StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
360 ONE WAM LIMITED,360ONE,2024-03-28,667.05,681.0,658.35,675.6,667.95,481500
360 ONE WAM LIMITED,360ONE,2024-03-27,652.55,674.0,650.85,667.95,650.3,530619
360 ONE WAM LIMITED,360ONE,2024-03-26,665.8,666.0,647.0,650.3,665.85,264980
360 ONE WAM LIMITED,360ONE,2024-03-22,675.7,682.45,659.05,665.85,673.4,802243
360 ONE WAM LIMITED,360ONE,2024-03-21,676.55,689.55,670.0,673.4,673.75,285163
360 ONE WAM LIMITED,360ONE,2024-03-20,694.35,696.35,666.05,673.75,692.6,177154
360 ONE WAM LIMITED,360ONE,2024-03-19,692.0,700.0,688.55,692.6,689.65,256540
360 ONE WAM LIMITED,360ONE,2024-03-18,705.0,710.0,682.35,689.65,694.35,132046
360 ONE WAM LIMITED,360ONE,2024-03-15,695.8,700.55,685.1,694.35,696.7,284769
360 ONE WAM LIMITED,360ONE,2024-03-14,682.0,700.0,679.65,696.7,697.6,141794
360 ONE WAM LIMITED,360ONE,2024-03-13,704.9,707.15,674.75,697.6,708.45,472495
360 ONE WAM LIMITED,360ONE,2024-03-12,713.55,731.45,690.0,708.45,710.7,594950
360 ONE WAM LIMITED,360ONE,2024-03-11,681.05,722.65,672.0,710.7,679.8,743621
360 ONE WAM LIMITED,360ONE,2024-03-07,702.55,705.1,675.85,679.8,696.25,298672
360 ONE WAM LIMITED,360ONE,2024-03-06,710.15,717.6,692.2,696.25,720.95,247042
360 ONE WAM LIMITED,360ONE,2024-03-05,708.35,734.8,701.55,720.95,727.3,235044
360 ONE WAM LIMITED,360ONE,2024-03-04,730.75,739.7,721.05,727.3,726.85,114655
360 ONE WAM LIMITED,360ONE,2024-03-02,735.8,735.8,718.0,726.85,731.7,12606
360 ONE WAM LIMITED,360ONE,2024-03-01,723.0,743.85,721.55,731.7,718.95,347110
360 ONE WAM LIMITED,360ONE,2024-02-29,723.45,743.95,707.9,718.95,716.3,824679
360 ONE WAM LIMITED,360ONE,2024-02-28,748.05,751.1,710.05,716.3,747.85,501982
360 ONE WAM LIMITED,360ONE,2024-02-27,773.8,788.95,737.45,747.85,769.6,837440
360 ONE WAM LIMITED,360ONE,2024-02-26,721.9,775.0,717.8,769.6,721.7,1134217
360 ONE WAM LIMITED,360ONE,2024-02-23,710.0,724.75,699.35,721.7,708.5,138055
360 ONE WAM LIMITED,360ONE,2024-02-22,719.0,721.1,689.0,708.5,713.7,220919
360 ONE WAM LIMITED,360ONE,2024-02-21,708.75,744.9,707.75,713.7,705.5,327025
360 ONE WAM LIMITED,360ONE,2024-02-20,707.95,709.0,695.55,705.5,702.0,113402
360 ONE WAM LIMITED,360ONE,2024-02-19,695.15,707.6,695.15,702.0,692.4,87428
360 ONE WAM LIMITED,360ONE,2024-02-16,713.05,715.0,685.05,692.4,713.6,930453
360 ONE WAM LIMITED,360ONE,2024-02-15,712.0,726.95,705.7,713.6,707.85,665907
360 ONE WAM LIMITED,360ONE,2024-02-14,690.25,719.95,680.65,707.85,691.7,696379
360 ONE WAM LIMITED,360ONE,2024-02-13,650.75,698.0,647.05,691.7,648.25,1283704
360 ONE WAM LIMITED,360ONE,2024-02-12,651.85,666.0,641.05,648.25,654.3,1146649
