StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
ABB India Limited,ABB,2024-03-28,6280.0,6471.95,6222.8,6360.85,6279.35,722060
ABB India Limited,ABB,2024-03-27,6110.0,6341.9,6086.0,6279.35,5929.8,1232034
ABB India Limited,ABB,2024-03-26,5881.0,5986.6,5875.3,5929.8,5967.4,383434
ABB India Limited,ABB,2024-03-22,5875.0,6034.05,5835.05,5967.4,5864.9,514271
ABB India Limited,ABB,2024-03-21,5760.0,5877.0,5750.0,5864.9,5733.7,381358
ABB India Limited,ABB,2024-03-20,5680.0,5769.85,5560.0,5733.7,5628.6,272707
ABB India Limited,ABB,2024-03-19,5787.5,5787.5,5611.5,5628.6,5766.75,245880
ABB India Limited,ABB,2024-03-18,5645.0,5785.0,5616.55,5766.75,5616.55,306134
ABB India Limited,ABB,2024-03-15,5650.0,5789.8,5585.5,5616.55,5625.4,810054
ABB India Limited,ABB,2024-03-14,5614.9,5658.3,5520.0,5625.4,5597.25,354416
ABB India Limited,ABB,2024-03-13,5749.9,5809.35,5572.7,5597.25,5718.0,454668
ABB India Limited,ABB,2024-03-12,5850.0,5855.0,5690.0,5718.0,5841.35,310813
ABB India Limited,ABB,2024-03-11,5801.05,5933.9,5770.75,5841.35,5770.75,693540
ABB India Limited,ABB,2024-03-07,5697.05,5792.0,5675.0,5770.75,5700.7,289128
ABB India Limited,ABB,2024-03-06,5660.0,5720.0,5588.45,5700.7,5680.85,401305
ABB India Limited,ABB,2024-03-05,5620.0,5695.0,5571.45,5680.85,5631.55,340244
ABB India Limited,ABB,2024-03-04,5490.0,5665.0,5488.85,5631.55,5499.55,484602
ABB India Limited,ABB,2024-03-02,5485.0,5525.0,5480.0,5499.55,5489.85,10430
ABB India Limited,ABB,2024-03-01,5498.0,5524.6,5455.0,5489.85,5444.95,345570
ABB India Limited,ABB,2024-02-29,5444.95,5485.0,5350.45,5444.95,5428.6,527441
ABB India Limited,ABB,2024-02-28,5440.0,5552.0,5380.25,5428.6,5450.5,785448
ABB India Limited,ABB,2024-02-27,5270.0,5474.75,5245.5,5450.5,5296.2,656105
ABB India Limited,ABB,2024-02-26,5359.05,5432.3,5136.05,5296.2,5392.05,1164768
ABB India Limited,ABB,2024-02-23,5420.0,5518.1,5320.65,5392.05,5425.0,1578299
ABB India Limited,ABB,2024-02-22,5200.0,5450.0,5081.6,5425.0,4984.7,4222692
ABB India Limited,ABB,2024-02-21,4640.0,5134.0,4640.0,4984.7,4524.5,4404765
ABB India Limited,ABB,2024-02-20,4514.75,4547.0,4461.6,4524.5,4488.85,169172
ABB India Limited,ABB,2024-02-19,4540.0,4555.85,4449.15,4488.85,4524.15,155541
ABB India Limited,ABB,2024-02-16,4510.0,4539.7,4469.45,4524.15,4468.6,185797
ABB India Limited,ABB,2024-02-15,4575.0,4587.9,4460.65,4468.6,4558.4,286311
ABB India Limited,ABB,2024-02-14,4441.85,4621.1,4427.85,4558.4,4464.85,371445
ABB India Limited,ABB,2024-02-13,4448.0,4485.35,4375.8,4464.85,4428.4,290402
ABB India Limited,ABB,2024-02-12,4484.9,4552.3,4400.0,4428.4,4489.45,149594
ABB India Limited,ABB,2024-02-09,4464.0,4501.45,4412.7,4489.45,4450.4,203496
ABB India Limited,ABB,2024-02-08,4610.0,4610.0,4440.1,4450.4,4575.1,132187
ABB India Limited,ABB,2024-02-07,4434.55,4629.3,4434.5,4575.1,4403.0,281178
ABB India Limited,ABB,2024-02-06,4378.0,4423.6,4362.05,4403.0,4368.2,177927
ABB India Limited,ABB,2024-02-05,4500.0,4538.5,4343.75,4368.2,4480.45,290961
ABB India Limited,ABB,2024-02-02,4546.05,4594.95,4463.0,4480.45,4546.05,315504
ABB India Limited,ABB,2024-02-01,4692.0,4698.0,4340.3,4546.05,4671.6,825760
ABB India Limited,ABB,2024-01-31,4749.0,4762.75,4631.0,4671.6,4729.75,292837
ABB India Limited,ABB,2024-01-30,4825.0,4860.0,4715.95,4729.75,4791.55,152802
ABB India Limited,ABB,2024-01-29,4751.0,4807.15,4715.4,4791.55,4739.3,87854
ABB India Limited,ABB,2024-01-25,4768.0,4794.95,4665.0,4739.3,4731.25,114581
ABB India Limited,ABB,2024-01-24,4764.95,4814.9,4613.8,4731.25,4770.55,293735
ABB India Limited,ABB,2024-01-23,4750.95,4897.0,4735.9,4770.55,4750.95,348426
ABB India Limited,ABB,2024-01-20,4845.0,4845.0,4730.0,4750.95,4820.45,49467
ABB India Limited,ABB,2024-01-19,4738.45,4844.1,4738.45,4820.45,4710.35,132723
ABB India Limited,ABB,2024-01-18,4765.0,4797.4,4665.0,4710.35,4773.05,151382
