StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Abbott India Limited,ABBOTINDIA,2024-03-28,26858.4,27229.9,26715.0,27120.8,26711.05,33995
Abbott India Limited,ABBOTINDIA,2024-03-27,26900.0,26916.4,26426.3,26711.05,26701.05,17617
Abbott India Limited,ABBOTINDIA,2024-03-26,27199.0,27199.0,26550.65,26701.05,27067.1,14019
Abbott India Limited,ABBOTINDIA,2024-03-22,27810.25,27983.65,26820.05,27067.1,27673.25,21967
Abbott India Limited,ABBOTINDIA,2024-03-21,27900.0,27997.45,27501.0,27673.25,27688.8,9629
Abbott India Limited,ABBOTINDIA,2024-03-20,28200.05,28278.75,27603.0,27688.8,28291.5,11001
Abbott India Limited,ABBOTINDIA,2024-03-19,28800.0,28800.0,28203.4,28291.5,28604.15,9557
Abbott India Limited,ABBOTINDIA,2024-03-18,28750.0,28750.0,27832.05,28604.15,28404.35,19878
Abbott India Limited,ABBOTINDIA,2024-03-15,28308.1,28583.5,28071.85,28404.35,28308.1,14070
Abbott India Limited,ABBOTINDIA,2024-03-14,27666.0,28599.7,27250.0,28308.1,27401.95,31673
Abbott India Limited,ABBOTINDIA,2024-03-13,27000.0,27527.4,26829.0,27401.95,26993.7,12992
Abbott India Limited,ABBOTINDIA,2024-03-12,27000.0,27400.0,26929.3,26993.7,27229.55,7102
Abbott India Limited,ABBOTINDIA,2024-03-11,27699.95,27699.95,26861.45,27229.55,27434.95,18245
Abbott India Limited,ABBOTINDIA,2024-03-07,27321.5,27768.2,27313.65,27434.95,27321.5,4563
Abbott India Limited,ABBOTINDIA,2024-03-06,27255.0,27519.95,27010.0,27321.5,27370.45,9022
Abbott India Limited,ABBOTINDIA,2024-03-05,27749.95,27749.95,27270.05,27370.45,27606.0,6108
Abbott India Limited,ABBOTINDIA,2024-03-04,28172.05,28317.65,27507.0,27606.0,28181.95,14704
Abbott India Limited,ABBOTINDIA,2024-03-02,28280.0,28493.15,27830.25,28181.95,28216.65,2483
Abbott India Limited,ABBOTINDIA,2024-03-01,28569.0,28648.85,28166.0,28216.65,28434.2,9277
Abbott India Limited,ABBOTINDIA,2024-02-29,28610.0,28699.15,28100.0,28434.2,28610.0,15096
Abbott India Limited,ABBOTINDIA,2024-02-28,28650.75,29041.0,28464.9,28610.0,28670.35,15458
Abbott India Limited,ABBOTINDIA,2024-02-27,28480.0,28792.0,28480.0,28670.35,28458.6,6347
Abbott India Limited,ABBOTINDIA,2024-02-26,28600.0,28815.25,27618.1,28458.6,28707.8,48847
Abbott India Limited,ABBOTINDIA,2024-02-23,28855.8,28989.15,28557.0,28707.8,28855.8,8697
Abbott India Limited,ABBOTINDIA,2024-02-22,29131.35,29334.6,28712.2,28855.8,29131.35,13290
Abbott India Limited,ABBOTINDIA,2024-02-21,29245.0,29348.1,28999.95,29131.35,29191.05,7813
Abbott India Limited,ABBOTINDIA,2024-02-20,29487.8,29519.0,29070.0,29191.05,29526.7,7538
Abbott India Limited,ABBOTINDIA,2024-02-19,29538.6,29629.8,29271.1,29526.7,29538.6,12349
Abbott India Limited,ABBOTINDIA,2024-02-16,29184.0,29638.95,29183.95,29538.6,29183.95,7903
Abbott India Limited,ABBOTINDIA,2024-02-15,29367.55,29400.0,29009.85,29183.95,29367.55,9518
Abbott India Limited,ABBOTINDIA,2024-02-14,28887.95,29465.1,28551.6,29367.55,28884.9,12941
Abbott India Limited,ABBOTINDIA,2024-02-13,28530.45,28994.0,28437.45,28884.9,28477.8,12964
Abbott India Limited,ABBOTINDIA,2024-02-12,28083.75,28696.65,27831.05,28477.8,28083.7,31271
Abbott India Limited,ABBOTINDIA,2024-02-09,28400.0,28448.85,28020.65,28083.7,28258.3,13645
Abbott India Limited,ABBOTINDIA,2024-02-08,28727.4,28847.85,28125.05,28258.3,28727.4,16917
Abbott India Limited,ABBOTINDIA,2024-02-07,28319.0,28801.0,28203.1,28727.4,28319.0,15152
Abbott India Limited,ABBOTINDIA,2024-02-06,28069.55,28454.6,27881.8,28319.0,28069.5,13959
Abbott India Limited,ABBOTINDIA,2024-02-05,28174.0,28325.0,27701.4,28069.5,28064.3,30098
Abbott India Limited,ABBOTINDIA,2024-02-02,26410.0,28280.2,26410.0,28064.3,25887.0,103081
Abbott India Limited,ABBOTINDIA,2024-02-01,26175.0,26332.35,25701.1,25887.0,25906.95,9535
Abbott India Limited,ABBOTINDIA,2024-01-31,25544.85,26249.95,25522.5,25906.95,25508.65,23752
Abbott India Limited,ABBOTINDIA,2024-01-30,25602.0,25773.7,25351.05,25508.65,25568.05,13033
Abbott India Limited,ABBOTINDIA,2024-01-29,25060.75,25809.25,25020.35,25568.05,25060.75,32932
Abbott India Limited,ABBOTINDIA,2024-01-25,25598.6,25746.4,24868.7,25060.75,25598.6,27325
Abbott India Limited,ABBOTINDIA,2024-01-24,25500.0,25717.9,25240.0,25598.6,25481.4,12433
Abbott India Limited,ABBOTINDIA,2024-01-23,25205.05,25780.0,25205.05,25481.4,25204.55,15952
Abbott India Limited,ABBOTINDIA,2024-01-20,25899.95,25949.9,24832.05,25204.55,25867.0,22332
Abbott India Limited,ABBOTINDIA,2024-01-19,25736.95,25989.9,25690.05,25867.0,25737.5,9675
Abbott India Limited,ABBOTINDIA,2024-01-18,25749.95,25875.0,25301.0,25737.5,25730.7,14103
Abbott India Limited,ABBOTINDIA,2024-01-17,25600.0,26139.95,25546.15,25730.7,25806.5,15925
Abbott India Limited,ABBOTINDIA,2024-01-16,26220.0,26305.9,25601.0,25806.5,26210.45,51548
Abbott India Limited,ABBOTINDIA,2024-01-15,25700.0,26381.65,25700.0,26210.45,25748.9,33616
Abbott India Limited,ABBOTINDIA,2024-01-12,25338.1,25869.95,25200.0,25748.9,25339.65,37367
Abbott India Limited,ABBOTINDIA,2024-01-11,24609.0,25388.5,24465.1,25339.65,24609.25,42601
Abbott India Limited,ABBOTINDIA,2024-01-10,24300.0,24672.0,24067.5,24609.25,24231.9,33691
Abbott India Limited,ABBOTINDIA,2024-01-09,23738.7,24289.85,23709.05,24231.9,23658.1,16783
Abbott India Limited,ABBOTINDIA,2024-01-08,23800.0,24086.0,23585.0,23658.1,23884.6,20750
Abbott India Limited,ABBOTINDIA,2024-01-05,23569.8,24000.0,23485.2,23884.6,23569.8,22754
Abbott India Limited,ABBOTINDIA,2024-01-04,23675.0,23675.0,23143.55,23569.8,23606.6,34327
Abbott India Limited,ABBOTINDIA,2024-01-03,23450.0,23650.0,23220.2,23606.6,23327.25,19924
Abbott India Limited,ABBOTINDIA,2024-01-02,22780.0,23456.0,22761.1,23327.25,22761.1,55844
Abbott India Limited,ABBOTINDIA,2024-01-01,22852.0,22903.9,22720.0,22761.1,22851.25,24341
Abbott India Limited,ABBOTINDIA,2023-12-29,22650.0,22900.0,22520.0,22851.25,22623.7,19648
Abbott India Limited,ABBOTINDIA,2023-12-28,22620.0,22716.35,22500.0,22623.7,22570.1,11577
Abbott India Limited,ABBOTINDIA,2023-12-27,22483.0,22692.95,22450.0,22570.1,22452.55,11512
Abbott India Limited,ABBOTINDIA,2023-12-26,22599.95,22670.0,22239.05,22452.55,22604.0,24132
Abbott India Limited,ABBOTINDIA,2023-12-22,22367.3,22661.0,22324.6,22604.0,22354.75,12474
Abbott India Limited,ABBOTINDIA,2023-12-21,22143.9,22435.0,22000.0,22354.75,22135.15,13841
Abbott India Limited,ABBOTINDIA,2023-12-20,22902.25,22959.6,22041.5,22135.15,22902.25,24567
Abbott India Limited,ABBOTINDIA,2023-12-19,22781.0,23052.5,22752.25,22902.25,22780.3,11982
Abbott India Limited,ABBOTINDIA,2023-12-18,22750.05,22934.9,22620.0,22780.3,22694.8,20584
Abbott India Limited,ABBOTINDIA,2023-12-15,22742.0,22841.05,22610.0,22694.8,22742.0,11975
Abbott India Limited,ABBOTINDIA,2023-12-14,22870.0,22906.15,22502.05,22742.0,22780.85,12923
Abbott India Limited,ABBOTINDIA,2023-12-13,22825.0,22948.0,22722.1,22780.85,22825.0,8835
Abbott India Limited,ABBOTINDIA,2023-12-12,23046.55,23165.9,22760.5,22825.0,23046.55,12943
Abbott India Limited,ABBOTINDIA,2023-12-11,22984.05,23095.0,22690.05,23046.55,22858.0,13002
Abbott India Limited,ABBOTINDIA,2023-12-08,23139.95,23150.0,22728.65,22858.0,23073.4,8428
