StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Aditya Birla Fashion and Retail Limited,ABFRL,2024-03-28,206.2,207.0,202.95,205.55,204.95,4179453
Aditya Birla Fashion and Retail Limited,ABFRL,2024-03-27,207.0,208.6,204.2,204.95,207.0,2467316
Aditya Birla Fashion and Retail Limited,ABFRL,2024-03-26,206.5,209.35,204.35,207.0,205.35,2983020
Aditya Birla Fashion and Retail Limited,ABFRL,2024-03-22,206.25,207.75,205.0,205.35,206.35,1655818
Aditya Birla Fashion and Retail Limited,ABFRL,2024-03-21,204.65,207.15,203.1,206.35,202.15,1925596
Aditya Birla Fashion and Retail Limited,ABFRL,2024-03-20,206.9,209.9,200.4,202.15,206.7,5247070
Aditya Birla Fashion and Retail Limited,ABFRL,2024-03-19,207.85,208.4,205.25,206.7,208.15,2817616
Aditya Birla Fashion and Retail Limited,ABFRL,2024-03-18,207.5,210.4,205.2,208.15,207.35,3137225
Aditya Birla Fashion and Retail Limited,ABFRL,2024-03-15,201.0,212.65,201.0,207.35,201.0,11425573
Aditya Birla Fashion and Retail Limited,ABFRL,2024-03-14,200.1,204.0,198.75,201.0,200.35,4196921
Aditya Birla Fashion and Retail Limited,ABFRL,2024-03-13,213.8,215.85,198.85,200.35,213.35,5658098
Aditya Birla Fashion and Retail Limited,ABFRL,2024-03-12,220.4,220.8,212.5,213.35,220.35,3719891
Aditya Birla Fashion and Retail Limited,ABFRL,2024-03-11,226.0,227.35,219.35,220.35,225.4,3110786
Aditya Birla Fashion and Retail Limited,ABFRL,2024-03-07,224.75,229.8,224.25,225.4,223.7,3860278
Aditya Birla Fashion and Retail Limited,ABFRL,2024-03-06,234.2,235.35,222.05,223.7,229.0,7929342
Aditya Birla Fashion and Retail Limited,ABFRL,2024-03-05,231.5,232.65,228.35,229.0,230.0,2106828
Aditya Birla Fashion and Retail Limited,ABFRL,2024-03-04,232.8,235.8,229.25,230.0,231.5,4394690
Aditya Birla Fashion and Retail Limited,ABFRL,2024-03-02,231.0,232.1,230.25,231.5,229.75,354136
Aditya Birla Fashion and Retail Limited,ABFRL,2024-03-01,226.9,231.5,224.45,229.75,225.2,5741809
Aditya Birla Fashion and Retail Limited,ABFRL,2024-02-29,230.05,231.85,221.7,225.2,230.9,7468847
Aditya Birla Fashion and Retail Limited,ABFRL,2024-02-28,229.2,236.0,229.05,230.9,228.9,11867178
Aditya Birla Fashion and Retail Limited,ABFRL,2024-02-27,225.7,230.6,224.35,228.9,225.3,3485905
Aditya Birla Fashion and Retail Limited,ABFRL,2024-02-26,228.2,231.3,224.6,225.3,226.2,3448696
Aditya Birla Fashion and Retail Limited,ABFRL,2024-02-23,227.95,228.9,225.1,226.2,227.15,2536384
Aditya Birla Fashion and Retail Limited,ABFRL,2024-02-22,227.55,229.8,224.7,227.15,226.65,4362030
Aditya Birla Fashion and Retail Limited,ABFRL,2024-02-21,237.5,240.35,225.25,226.65,235.2,5898624
Aditya Birla Fashion and Retail Limited,ABFRL,2024-02-20,236.0,238.1,232.25,235.2,235.45,2900531
Aditya Birla Fashion and Retail Limited,ABFRL,2024-02-19,230.95,237.8,230.1,235.45,230.85,3508971
Aditya Birla Fashion and Retail Limited,ABFRL,2024-02-16,238.5,238.7,229.3,230.85,238.5,5937348
Aditya Birla Fashion and Retail Limited,ABFRL,2024-02-15,245.3,249.0,234.55,238.5,243.4,8960274
Aditya Birla Fashion and Retail Limited,ABFRL,2024-02-14,236.1,245.4,236.1,243.4,240.65,4426916
Aditya Birla Fashion and Retail Limited,ABFRL,2024-02-13,242.0,243.3,229.15,240.65,240.75,6176849
Aditya Birla Fashion and Retail Limited,ABFRL,2024-02-12,252.85,254.65,239.05,240.75,252.85,7013243
Aditya Birla Fashion and Retail Limited,ABFRL,2024-02-09,260.1,261.4,246.55,252.85,258.75,6484466
Aditya Birla Fashion and Retail Limited,ABFRL,2024-02-08,265.2,266.0,257.85,258.75,262.8,6448635
Aditya Birla Fashion and Retail Limited,ABFRL,2024-02-07,256.5,264.5,249.75,262.8,254.7,9375464
Aditya Birla Fashion and Retail Limited,ABFRL,2024-02-06,249.6,257.05,248.0,254.7,248.05,6052874
Aditya Birla Fashion and Retail Limited,ABFRL,2024-02-05,249.75,253.9,245.5,248.05,248.45,4477600
Aditya Birla Fashion and Retail Limited,ABFRL,2024-02-02,242.95,255.0,242.8,248.45,241.9,11761230
Aditya Birla Fashion and Retail Limited,ABFRL,2024-02-01,243.95,245.1,240.5,241.9,243.95,3029372
Aditya Birla Fashion and Retail Limited,ABFRL,2024-01-31,240.05,246.65,239.25,243.95,240.0,4022875
Aditya Birla Fashion and Retail Limited,ABFRL,2024-01-30,243.4,249.0,239.05,240.0,243.05,5438208
Aditya Birla Fashion and Retail Limited,ABFRL,2024-01-29,242.0,249.0,241.1,243.05,241.6,5847555
Aditya Birla Fashion and Retail Limited,ABFRL,2024-01-25,236.0,243.2,234.05,241.6,235.3,6531428
Aditya Birla Fashion and Retail Limited,ABFRL,2024-01-24,223.0,237.35,222.75,235.3,222.7,13447714
Aditya Birla Fashion and Retail Limited,ABFRL,2024-01-23,226.9,228.5,221.45,222.7,225.75,3756257
Aditya Birla Fashion and Retail Limited,ABFRL,2024-01-20,224.7,226.6,223.95,225.75,223.8,1389852
Aditya Birla Fashion and Retail Limited,ABFRL,2024-01-19,224.15,227.5,223.0,223.8,223.15,2537776
Aditya Birla Fashion and Retail Limited,ABFRL,2024-01-18,223.0,225.35,216.5,223.15,223.65,3988759
Aditya Birla Fashion and Retail Limited,ABFRL,2024-01-17,229.7,230.4,222.6,223.65,231.8,5077713
Aditya Birla Fashion and Retail Limited,ABFRL,2024-01-16,231.4,234.75,228.75,231.8,230.85,7267208
Aditya Birla Fashion and Retail Limited,ABFRL,2024-01-15,233.25,234.4,228.1,230.85,233.0,3416114
Aditya Birla Fashion and Retail Limited,ABFRL,2024-01-12,234.8,236.65,232.5,233.0,233.95,1579129
Aditya Birla Fashion and Retail Limited,ABFRL,2024-01-11,227.25,235.95,227.25,233.95,226.75,5394653
Aditya Birla Fashion and Retail Limited,ABFRL,2024-01-10,229.45,230.75,224.55,226.75,229.45,4259770
Aditya Birla Fashion and Retail Limited,ABFRL,2024-01-09,232.7,234.45,228.05,229.45,230.8,3155818
Aditya Birla Fashion and Retail Limited,ABFRL,2024-01-08,239.75,240.0,230.1,230.8,238.1,5361473
Aditya Birla Fashion and Retail Limited,ABFRL,2024-01-05,247.6,249.25,234.15,238.1,246.75,8252293
Aditya Birla Fashion and Retail Limited,ABFRL,2024-01-04,241.6,248.8,240.2,246.75,240.75,7066222
Aditya Birla Fashion and Retail Limited,ABFRL,2024-01-03,242.75,244.5,238.45,240.75,242.35,6307165
Aditya Birla Fashion and Retail Limited,ABFRL,2024-01-03,64.0,64.0,64.0,64.0,64.0,20
Aditya Birla Fashion and Retail Limited,ABFRL,2024-01-02,230.55,246.5,227.35,242.35,225.85,27564558
Aditya Birla Fashion and Retail Limited,ABFRL,2024-01-01,226.0,227.2,223.6,225.85,223.7,1877648
Aditya Birla Fashion and Retail Limited,ABFRL,2023-12-29,220.45,225.0,220.0,223.7,219.95,2661083
Aditya Birla Fashion and Retail Limited,ABFRL,2023-12-28,220.9,221.9,218.5,219.95,220.05,1700947
Aditya Birla Fashion and Retail Limited,ABFRL,2023-12-27,221.45,223.4,219.3,220.05,221.05,1595008
Aditya Birla Fashion and Retail Limited,ABFRL,2023-12-26,220.7,223.0,219.5,221.05,219.8,1988679
