StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Action Construction Equipment Limited,ACE,2024-03-28,1419.45,1472.9,1416.1,1426.65,1408.9,555877
Action Construction Equipment Limited,ACE,2024-03-27,1397.0,1444.7,1380.0,1408.9,1392.4,603349
Action Construction Equipment Limited,ACE,2024-03-26,1380.0,1415.85,1345.0,1392.4,1393.2,522256
Action Construction Equipment Limited,ACE,2024-03-22,1409.0,1428.2,1370.4,1393.2,1408.35,677845
Action Construction Equipment Limited,ACE,2024-03-21,1296.8,1424.95,1294.0,1408.35,1276.35,1724060
Action Construction Equipment Limited,ACE,2024-03-20,1286.1,1295.0,1243.05,1276.35,1281.1,245596
Action Construction Equipment Limited,ACE,2024-03-19,1276.85,1294.0,1232.6,1281.1,1274.85,346062
Action Construction Equipment Limited,ACE,2024-03-18,1238.4,1310.0,1230.05,1274.85,1241.1,549590
Action Construction Equipment Limited,ACE,2024-03-15,1278.0,1331.95,1205.05,1241.1,1273.45,756999
Action Construction Equipment Limited,ACE,2024-03-14,1074.95,1294.0,1050.0,1273.45,1078.5,1454430
Action Construction Equipment Limited,ACE,2024-03-13,1265.05,1305.0,1044.3,1078.5,1265.0,802633
Action Construction Equipment Limited,ACE,2024-03-12,1307.7,1309.5,1211.1,1265.0,1291.7,546515
Action Construction Equipment Limited,ACE,2024-03-11,1382.0,1382.0,1285.1,1291.7,1383.35,307743
Action Construction Equipment Limited,ACE,2024-03-07,1391.0,1424.4,1350.5,1383.35,1383.9,258094
Action Construction Equipment Limited,ACE,2024-03-06,1414.5,1461.1,1260.45,1383.9,1402.7,419566
Action Construction Equipment Limited,ACE,2024-03-05,1402.0,1430.0,1390.05,1402.7,1391.95,369531
Action Construction Equipment Limited,ACE,2024-03-04,1489.4,1489.4,1376.35,1391.95,1487.3,1038710
Action Construction Equipment Limited,ACE,2024-03-02,1439.7,1489.4,1439.7,1487.3,1418.5,234665
Action Construction Equipment Limited,ACE,2024-03-01,1299.0,1478.0,1276.25,1418.5,1264.15,1796623
Action Construction Equipment Limited,ACE,2024-02-29,1220.1,1295.0,1220.1,1264.15,1214.3,1150990
Action Construction Equipment Limited,ACE,2024-02-28,1257.9,1278.4,1202.35,1214.3,1244.7,546336
Action Construction Equipment Limited,ACE,2024-02-27,1155.55,1255.1,1150.0,1244.7,1158.55,1093352
Action Construction Equipment Limited,ACE,2024-02-26,1176.05,1179.9,1151.1,1158.55,1170.45,154249
Action Construction Equipment Limited,ACE,2024-02-23,1100.0,1179.0,1095.5,1170.45,1095.45,421853
Action Construction Equipment Limited,ACE,2024-02-22,1120.1,1128.35,1086.9,1095.45,1108.0,243417
Action Construction Equipment Limited,ACE,2024-02-21,1137.6,1154.65,1100.0,1108.0,1129.85,239338
Action Construction Equipment Limited,ACE,2024-02-20,1173.1,1173.5,1127.0,1129.85,1169.0,234941
Action Construction Equipment Limited,ACE,2024-02-19,1185.0,1199.95,1165.2,1169.0,1174.75,180032
Action Construction Equipment Limited,ACE,2024-02-16,1159.0,1184.7,1155.0,1174.75,1151.75,196809
Action Construction Equipment Limited,ACE,2024-02-15,1189.0,1210.9,1142.1,1151.75,1177.4,355095
Action Construction Equipment Limited,ACE,2024-02-14,1146.7,1198.0,1124.05,1177.4,1143.05,655285
Action Construction Equipment Limited,ACE,2024-02-13,1106.45,1160.0,1066.3,1143.05,1106.35,569096
Action Construction Equipment Limited,ACE,2024-02-12,1113.7,1125.95,1092.5,1106.35,1103.8,402436
Action Construction Equipment Limited,ACE,2024-02-09,1143.1,1143.9,1075.05,1103.8,1144.95,472391
Action Construction Equipment Limited,ACE,2024-02-08,1129.8,1175.2,1116.9,1144.95,1116.9,721003
