StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Archean Chemical Industries Limited,ACI,2024-03-28,655.85,676.95,655.85,669.0,653.45,315691
Archean Chemical Industries Limited,ACI,2024-03-27,636.35,658.75,636.35,653.45,636.35,502943
Archean Chemical Industries Limited,ACI,2024-03-26,635.75,645.0,628.65,636.35,638.75,305970
Archean Chemical Industries Limited,ACI,2024-03-22,622.8,643.0,620.1,638.75,621.95,642505
Archean Chemical Industries Limited,ACI,2024-03-21,614.0,632.0,609.05,621.95,605.85,389742
Archean Chemical Industries Limited,ACI,2024-03-20,608.5,616.4,596.05,605.85,606.2,507240
Archean Chemical Industries Limited,ACI,2024-03-19,620.0,622.55,601.25,606.2,614.4,347735
Archean Chemical Industries Limited,ACI,2024-03-18,615.55,631.0,600.25,614.4,596.6,1378025
Archean Chemical Industries Limited,ACI,2024-03-15,589.0,621.0,571.3,596.6,588.4,3365498
Archean Chemical Industries Limited,ACI,2024-03-14,602.0,603.45,584.8,588.4,607.3,873115
Archean Chemical Industries Limited,ACI,2024-03-13,637.0,637.0,583.3,607.3,639.15,1516224
Archean Chemical Industries Limited,ACI,2024-03-12,652.0,653.15,615.0,639.15,649.7,999532
Archean Chemical Industries Limited,ACI,2024-03-11,694.8,696.9,645.85,649.7,687.95,613001
Archean Chemical Industries Limited,ACI,2024-03-07,703.0,703.0,679.05,687.95,700.65,458109
Archean Chemical Industries Limited,ACI,2024-03-06,705.0,715.65,683.1,700.65,705.25,741486
Archean Chemical Industries Limited,ACI,2024-03-05,724.85,724.85,701.0,705.25,719.0,509669
Archean Chemical Industries Limited,ACI,2024-03-04,745.95,745.95,715.0,719.0,742.0,480016
Archean Chemical Industries Limited,ACI,2024-03-02,738.0,746.5,731.55,742.0,731.3,56903
Archean Chemical Industries Limited,ACI,2024-03-01,755.0,758.0,725.0,731.3,757.4,674870
Archean Chemical Industries Limited,ACI,2024-02-29,754.0,770.0,721.1,757.4,752.45,1484057
Archean Chemical Industries Limited,ACI,2024-02-28,790.0,795.0,746.75,752.45,794.25,879366
Archean Chemical Industries Limited,ACI,2024-02-27,827.0,837.7,787.95,794.25,822.75,772048
Archean Chemical Industries Limited,ACI,2024-02-26,789.95,833.85,775.0,822.75,789.95,1269511
Archean Chemical Industries Limited,ACI,2024-02-23,746.25,799.85,746.0,789.95,746.25,2064676
Archean Chemical Industries Limited,ACI,2024-02-22,766.0,779.35,733.35,746.25,759.15,1309657
Archean Chemical Industries Limited,ACI,2024-02-21,740.95,767.3,731.05,759.15,739.85,1480764
Archean Chemical Industries Limited,ACI,2024-02-20,720.5,749.0,704.15,739.85,717.7,1383473
Archean Chemical Industries Limited,ACI,2024-02-19,669.0,744.0,665.0,717.7,659.15,5021145
Archean Chemical Industries Limited,ACI,2024-02-16,634.65,664.3,628.1,659.15,631.5,722138
Archean Chemical Industries Limited,ACI,2024-02-15,639.4,644.4,630.1,631.5,636.7,228640
Archean Chemical Industries Limited,ACI,2024-02-14,649.85,649.85,632.3,636.7,651.85,367093
Archean Chemical Industries Limited,ACI,2024-02-13,646.0,655.55,624.4,651.85,646.05,489092
Archean Chemical Industries Limited,ACI,2024-02-12,643.6,656.65,622.0,646.05,639.1,582061
Archean Chemical Industries Limited,ACI,2024-02-09,631.95,642.4,608.0,639.1,626.15,467554
Archean Chemical Industries Limited,ACI,2024-02-08,623.05,632.7,618.3,626.15,624.6,362306
Archean Chemical Industries Limited,ACI,2024-02-07,620.65,636.95,612.35,624.6,616.95,1207553
Archean Chemical Industries Limited,ACI,2024-02-06,631.0,634.0,613.15,616.95,627.45,288922
Archean Chemical Industries Limited,ACI,2024-02-05,643.0,644.0,623.0,627.45,619.45,524877
Archean Chemical Industries Limited,ACI,2024-02-02,631.5,636.0,617.05,619.45,628.4,324554
Archean Chemical Industries Limited,ACI,2024-02-01,636.65,639.0,625.0,628.4,633.5,205060
Archean Chemical Industries Limited,ACI,2024-01-31,625.25,637.0,625.25,633.5,628.45,162399
Archean Chemical Industries Limited,ACI,2024-01-30,621.0,636.3,619.7,628.45,619.7,250941
Archean Chemical Industries Limited,ACI,2024-01-29,622.15,630.0,615.0,619.7,621.6,166924
