StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Adani Enterprises Limited,ADANIENT,2024-03-28,3134.0,3237.0,3096.75,3197.1,3122.1,2327053
Adani Enterprises Limited,ADANIENT,2024-03-27,3115.0,3138.45,3106.25,3122.1,3109.95,900231
Adani Enterprises Limited,ADANIENT,2024-03-26,3100.5,3171.95,3089.1,3109.95,3107.7,937103
Adani Enterprises Limited,ADANIENT,2024-03-22,3066.55,3128.95,3048.05,3107.7,3066.5,951557
Adani Enterprises Limited,ADANIENT,2024-03-21,3089.55,3107.1,3059.6,3066.5,3051.45,1175751
Adani Enterprises Limited,ADANIENT,2024-03-20,3075.0,3083.2,3021.1,3051.45,3052.7,966481
Adani Enterprises Limited,ADANIENT,2024-03-19,3126.0,3164.8,3041.85,3052.7,3111.75,1460452
Adani Enterprises Limited,ADANIENT,2024-03-18,3050.1,3124.0,2976.05,3111.75,3132.2,3042515
Adani Enterprises Limited,ADANIENT,2024-03-15,3111.0,3143.4,3061.25,3132.2,3087.45,2199094
Adani Enterprises Limited,ADANIENT,2024-03-14,2927.45,3101.2,2880.0,3087.45,2906.2,3759100
Adani Enterprises Limited,ADANIENT,2024-03-13,3125.0,3138.05,2850.15,2906.2,3122.5,3407040
Adani Enterprises Limited,ADANIENT,2024-03-12,3207.35,3222.7,3111.0,3122.5,3207.35,1199487
Adani Enterprises Limited,ADANIENT,2024-03-11,3241.2,3259.0,3200.0,3207.35,3226.55,738851
Adani Enterprises Limited,ADANIENT,2024-03-07,3240.0,3262.0,3220.0,3226.55,3233.95,856328
Adani Enterprises Limited,ADANIENT,2024-03-06,3323.0,3323.0,3183.15,3233.95,3310.2,1935203
Adani Enterprises Limited,ADANIENT,2024-03-05,3325.3,3334.0,3295.05,3310.2,3317.15,1190416
Adani Enterprises Limited,ADANIENT,2024-03-04,3335.0,3350.0,3310.05,3317.15,3333.25,1061244
Adani Enterprises Limited,ADANIENT,2024-03-02,3332.0,3348.7,3321.5,3333.25,3318.75,119511
Adani Enterprises Limited,ADANIENT,2024-03-01,3309.85,3346.0,3281.8,3318.75,3285.4,1161067
Adani Enterprises Limited,ADANIENT,2024-02-29,3220.05,3304.75,3205.35,3285.4,3219.0,1352988
