StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Adani Green Energy Limited,ADANIGREEN,2024-03-28,1832.55,1863.0,1820.0,1835.15,1822.5,605145
Adani Green Energy Limited,ADANIGREEN,2024-03-27,1869.7,1895.0,1804.0,1822.5,1859.0,1172737
Adani Green Energy Limited,ADANIGREEN,2024-03-26,1840.0,1938.7,1840.0,1859.0,1851.75,955701
Adani Green Energy Limited,ADANIGREEN,2024-03-22,1857.05,1865.0,1837.05,1851.75,1855.35,390803
Adani Green Energy Limited,ADANIGREEN,2024-03-21,1861.0,1869.0,1831.25,1855.35,1847.75,328500
Adani Green Energy Limited,ADANIGREEN,2024-03-20,1834.9,1861.95,1812.85,1847.75,1821.55,463752
Adani Green Energy Limited,ADANIGREEN,2024-03-19,1870.0,1892.4,1801.15,1821.55,1869.9,587661
Adani Green Energy Limited,ADANIGREEN,2024-03-18,1810.05,1899.9,1750.85,1869.9,1902.6,1479146
Adani Green Energy Limited,ADANIGREEN,2024-03-15,1902.0,1944.95,1870.45,1902.6,1895.3,1749994
Adani Green Energy Limited,ADANIGREEN,2024-03-14,1716.0,1913.0,1663.2,1895.3,1725.0,1875930
Adani Green Energy Limited,ADANIGREEN,2024-03-13,1897.1,1916.6,1650.0,1725.0,1897.1,2348187
Adani Green Energy Limited,ADANIGREEN,2024-03-12,1930.0,1939.0,1873.1,1897.1,1930.3,639409
Adani Green Energy Limited,ADANIGREEN,2024-03-11,1930.0,1983.55,1904.1,1930.3,1929.1,755932
Adani Green Energy Limited,ADANIGREEN,2024-03-07,1919.9,1949.95,1910.8,1929.1,1910.5,517466
Adani Green Energy Limited,ADANIGREEN,2024-03-06,1950.0,1953.5,1894.3,1910.5,1947.4,643437
Adani Green Energy Limited,ADANIGREEN,2024-03-05,1943.2,1970.0,1938.0,1947.4,1940.7,415461
Adani Green Energy Limited,ADANIGREEN,2024-03-04,1977.55,1998.55,1930.0,1940.7,1971.35,609441
Adani Green Energy Limited,ADANIGREEN,2024-03-02,1969.9,1980.75,1946.0,1971.35,1969.55,116094
Adani Green Energy Limited,ADANIGREEN,2024-03-01,1930.0,1998.0,1930.0,1969.55,1895.05,947398
Adani Green Energy Limited,ADANIGREEN,2024-02-29,1921.0,1947.35,1855.95,1895.05,1918.15,2243471
Adani Green Energy Limited,ADANIGREEN,2024-02-28,1989.8,1996.5,1891.0,1918.15,1979.5,916806
Adani Green Energy Limited,ADANIGREEN,2024-02-27,1964.0,2018.95,1947.95,1979.5,1970.45,1002672
Adani Green Energy Limited,ADANIGREEN,2024-02-26,1931.4,2000.0,1925.0,1970.45,1923.3,1995834
Adani Green Energy Limited,ADANIGREEN,2024-02-23,1930.5,1943.3,1910.0,1923.3,1922.65,599092
Adani Green Energy Limited,ADANIGREEN,2024-02-22,1915.0,1930.0,1866.7,1922.65,1904.95,680137
Adani Green Energy Limited,ADANIGREEN,2024-02-21,1926.0,1962.1,1880.05,1904.95,1926.65,1184961
Adani Green Energy Limited,ADANIGREEN,2024-02-20,1963.7,1964.0,1920.0,1926.65,1955.05,1252526
Adani Green Energy Limited,ADANIGREEN,2024-02-19,1919.0,1975.0,1911.65,1955.05,1904.75,2401867
Adani Green Energy Limited,ADANIGREEN,2024-02-16,1910.05,1930.75,1891.65,1904.75,1900.75,1701073
Adani Green Energy Limited,ADANIGREEN,2024-02-15,1868.0,1959.7,1857.15,1900.75,1852.25,3184514
Adani Green Energy Limited,ADANIGREEN,2024-02-14,1813.0,1882.95,1796.4,1852.25,1815.55,2627140
Adani Green Energy Limited,ADANIGREEN,2024-02-13,1853.0,1861.5,1734.3,1815.55,1842.6,1771092
Adani Green Energy Limited,ADANIGREEN,2024-02-12,1888.05,1908.0,1830.0,1842.6,1880.7,2383164
Adani Green Energy Limited,ADANIGREEN,2024-02-09,1836.9,1918.0,1805.55,1880.7,1827.95,3159808
Adani Green Energy Limited,ADANIGREEN,2024-02-08,1884.1,1918.0,1820.0,1827.95,1866.0,1698528
Adani Green Energy Limited,ADANIGREEN,2024-02-07,1749.5,1990.0,1746.0,1866.0,1721.65,8925796
Adani Green Energy Limited,ADANIGREEN,2024-02-06,1668.65,1744.95,1653.0,1721.65,1668.65,1975868
Adani Green Energy Limited,ADANIGREEN,2024-02-05,1684.0,1698.0,1651.6,1668.65,1674.25,1070961
Adani Green Energy Limited,ADANIGREEN,2024-02-02,1681.9,1698.95,1663.85,1674.25,1665.95,946215
Adani Green Energy Limited,ADANIGREEN,2024-02-01,1689.0,1706.0,1655.65,1665.95,1669.45,1735338
Adani Green Energy Limited,ADANIGREEN,2024-01-31,1680.0,1694.9,1665.05,1669.45,1679.45,802666
Adani Green Energy Limited,ADANIGREEN,2024-01-30,1720.0,1722.0,1674.0,1679.45,1715.5,992518
Adani Green Energy Limited,ADANIGREEN,2024-01-29,1684.95,1750.0,1673.45,1715.5,1664.8,3435566
Adani Green Energy Limited,ADANIGREEN,2024-01-25,1647.0,1677.0,1636.05,1664.8,1641.35,1088872
Adani Green Energy Limited,ADANIGREEN,2024-01-24,1687.95,1687.95,1629.0,1641.35,1680.9,9489231
Adani Green Energy Limited,ADANIGREEN,2024-01-23,1740.0,1745.0,1632.0,1680.9,1678.3,1594674
Adani Green Energy Limited,ADANIGREEN,2024-01-20,1580.0,1700.0,1575.4,1678.3,1570.75,1094274
Adani Green Energy Limited,ADANIGREEN,2024-01-19,1610.0,1619.15,1562.75,1570.75,1588.25,796187
Adani Green Energy Limited,ADANIGREEN,2024-01-18,1615.0,1629.0,1565.65,1588.25,1615.0,994211
Adani Green Energy Limited,ADANIGREEN,2024-01-17,1653.0,1656.95,1605.1,1615.0,1666.8,1151828
Adani Green Energy Limited,ADANIGREEN,2024-01-16,1693.5,1693.8,1660.0,1666.8,1694.8,961314
Adani Green Energy Limited,ADANIGREEN,2024-01-15,1725.0,1727.1,1685.0,1694.8,1710.7,687285
Adani Green Energy Limited,ADANIGREEN,2024-01-12,1725.6,1746.1,1705.1,1710.7,1714.15,620508
Adani Green Energy Limited,ADANIGREEN,2024-01-11,1739.0,1762.05,1702.0,1714.15,1723.25,985473
Adani Green Energy Limited,ADANIGREEN,2024-01-10,1704.0,1755.0,1691.0,1723.25,1683.4,2417233
Adani Green Energy Limited,ADANIGREEN,2024-01-09,1698.05,1725.0,1679.05,1683.4,1680.05,939531
Adani Green Energy Limited,ADANIGREEN,2024-01-08,1685.3,1714.0,1665.0,1680.05,1674.0,1137776
Adani Green Energy Limited,ADANIGREEN,2024-01-05,1695.0,1700.0,1660.0,1674.0,1692.5,871729
Adani Green Energy Limited,ADANIGREEN,2024-01-04,1706.55,1723.0,1675.05,1692.5,1697.25,1492988
Adani Green Energy Limited,ADANIGREEN,2024-01-03,1699.0,1747.4,1610.0,1697.25,1603.55,8064214
Adani Green Energy Limited,ADANIGREEN,2024-01-02,1598.8,1616.0,1565.7,1603.55,1598.4,1031651
Adani Green Energy Limited,ADANIGREEN,2024-01-01,1598.0,1620.0,1585.0,1598.4,1597.0,912757
Adani Green Energy Limited,ADANIGREEN,2023-12-29,1570.0,1616.5,1545.0,1597.0,1561.0,1160954
Adani Green Energy Limited,ADANIGREEN,2023-12-28,1605.1,1608.4,1555.0,1561.0,1601.1,1156469
Adani Green Energy Limited,ADANIGREEN,2023-12-27,1644.0,1657.95,1570.05,1601.1,1600.2,2120712
Adani Green Energy Limited,ADANIGREEN,2023-12-26,1555.0,1632.0,1551.55,1600.2,1533.1,2810862
Adani Green Energy Limited,ADANIGREEN,2023-12-22,1543.0,1546.0,1500.0,1533.1,1519.55,1062643
Adani Green Energy Limited,ADANIGREEN,2023-12-21,1390.05,1549.0,1390.05,1519.55,1452.15,2134995
Adani Green Energy Limited,ADANIGREEN,2023-12-20,1539.75,1569.4,1385.0,1452.15,1531.8,2233664
Adani Green Energy Limited,ADANIGREEN,2023-12-19,1530.5,1555.0,1506.0,1531.8,1524.65,965109
Adani Green Energy Limited,ADANIGREEN,2023-12-18,1518.95,1544.85,1500.25,1524.65,1526.65,1077675
Adani Green Energy Limited,ADANIGREEN,2023-12-15,1527.65,1541.0,1501.4,1526.65,1508.3,1698622
Adani Green Energy Limited,ADANIGREEN,2023-12-14,1435.95,1535.0,1435.95,1508.3,1427.7,3437936
