StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Adani Power Limited,ADANIPOWER,2024-03-28,520.0,538.85,518.55,533.8,516.55,3350259
Adani Power Limited,ADANIPOWER,2024-03-27,529.0,548.1,506.3,516.55,522.0,9346876
Adani Power Limited,ADANIPOWER,2024-03-26,520.3,535.7,519.0,522.0,531.05,1595013
Adani Power Limited,ADANIPOWER,2024-03-22,528.8,538.8,524.25,531.05,524.25,1331269
Adani Power Limited,ADANIPOWER,2024-03-21,517.8,528.2,517.0,524.25,514.85,829388
Adani Power Limited,ADANIPOWER,2024-03-20,523.8,523.8,501.55,514.85,518.2,2022566
Adani Power Limited,ADANIPOWER,2024-03-19,528.95,533.9,515.4,518.2,529.4,1032341
Adani Power Limited,ADANIPOWER,2024-03-18,511.0,532.0,510.0,529.4,530.4,3486054
Adani Power Limited,ADANIPOWER,2024-03-15,536.1,540.0,520.0,530.4,537.85,2295233
Adani Power Limited,ADANIPOWER,2024-03-14,501.9,544.95,501.9,537.85,528.3,2496183
Adani Power Limited,ADANIPOWER,2024-03-13,557.65,559.1,528.3,528.3,556.1,1791061
Adani Power Limited,ADANIPOWER,2024-03-12,564.0,566.0,542.0,556.1,566.95,1214938
Adani Power Limited,ADANIPOWER,2024-03-11,570.0,572.5,560.0,566.95,566.85,1158653
Adani Power Limited,ADANIPOWER,2024-03-07,576.6,577.65,565.0,566.85,576.7,1323851
Adani Power Limited,ADANIPOWER,2024-03-06,575.0,580.0,560.0,576.7,573.85,1708709
Adani Power Limited,ADANIPOWER,2024-03-05,558.8,580.0,555.3,573.85,559.9,2123437
Adani Power Limited,ADANIPOWER,2024-03-04,555.8,563.2,553.0,559.9,555.8,1297071
Adani Power Limited,ADANIPOWER,2024-03-02,557.5,557.8,553.0,555.8,554.15,141292
Adani Power Limited,ADANIPOWER,2024-03-01,552.4,559.0,550.2,554.15,549.95,988764
Adani Power Limited,ADANIPOWER,2024-02-29,553.35,564.0,539.0,549.95,549.6,1648782
Adani Power Limited,ADANIPOWER,2024-02-28,564.15,566.5,547.7,549.6,566.7,975616
Adani Power Limited,ADANIPOWER,2024-02-27,574.8,574.8,561.05,566.7,570.45,919411
Adani Power Limited,ADANIPOWER,2024-02-26,559.45,575.0,556.0,570.45,559.05,2002057
Adani Power Limited,ADANIPOWER,2024-02-23,562.0,566.0,555.1,559.05,562.25,801799
Adani Power Limited,ADANIPOWER,2024-02-22,546.5,567.0,517.3,562.25,540.75,1193558
Adani Power Limited,ADANIPOWER,2024-02-21,555.0,560.0,535.0,540.75,553.65,1263043
Adani Power Limited,ADANIPOWER,2024-02-20,570.0,570.85,551.95,553.65,567.65,1193009
Adani Power Limited,ADANIPOWER,2024-02-19,572.0,576.4,563.75,567.65,563.75,974361
Adani Power Limited,ADANIPOWER,2024-02-16,562.0,566.9,555.0,563.75,561.85,1015079
Adani Power Limited,ADANIPOWER,2024-02-15,568.0,569.0,558.8,561.85,563.9,658997
Adani Power Limited,ADANIPOWER,2024-02-14,552.0,570.0,537.0,563.9,562.1,1268142
Adani Power Limited,ADANIPOWER,2024-02-13,565.0,568.0,533.75,562.1,561.85,1671207
Adani Power Limited,ADANIPOWER,2024-02-12,575.0,584.95,556.0,561.85,569.5,1542575
Adani Power Limited,ADANIPOWER,2024-02-09,569.0,577.45,554.0,569.5,563.7,1327795
Adani Power Limited,ADANIPOWER,2024-02-08,572.0,578.8,561.0,563.7,569.7,2214893
Adani Power Limited,ADANIPOWER,2024-02-07,552.0,574.8,548.0,569.7,549.7,2785795
Adani Power Limited,ADANIPOWER,2024-02-06,554.9,554.9,545.0,549.7,546.3,1145839
Adani Power Limited,ADANIPOWER,2024-02-05,564.7,565.0,545.0,546.3,559.4,1576938
Adani Power Limited,ADANIPOWER,2024-02-02,567.0,568.0,555.5,559.4,564.35,2001145
Adani Power Limited,ADANIPOWER,2024-02-01,568.0,569.0,556.8,564.35,562.7,1377239
Adani Power Limited,ADANIPOWER,2024-01-31,558.5,570.3,558.0,562.7,558.3,1915616
Adani Power Limited,ADANIPOWER,2024-01-30,575.0,579.8,547.0,558.3,570.45,2962115
Adani Power Limited,ADANIPOWER,2024-01-29,570.0,570.45,552.5,570.45,543.3,5730005
Adani Power Limited,ADANIPOWER,2024-01-25,522.4,545.0,521.0,543.3,519.95,2175726
Adani Power Limited,ADANIPOWER,2024-01-24,522.8,526.05,512.0,519.95,517.55,42152346
Adani Power Limited,ADANIPOWER,2024-01-23,543.95,555.0,515.0,517.55,536.55,1439117
Adani Power Limited,ADANIPOWER,2024-01-20,536.75,540.0,530.0,536.55,516.75,858276
Adani Power Limited,ADANIPOWER,2024-01-19,529.0,549.0,514.4,516.75,523.55,6070841
Adani Power Limited,ADANIPOWER,2024-01-18,521.45,530.25,509.0,523.55,521.45,1384253
Adani Power Limited,ADANIPOWER,2024-01-17,529.45,529.9,506.1,521.45,532.3,1806770
Adani Power Limited,ADANIPOWER,2024-01-16,540.0,540.0,529.0,532.3,541.15,1055123
Adani Power Limited,ADANIPOWER,2024-01-15,546.8,547.0,540.0,541.15,541.15,1077632
Adani Power Limited,ADANIPOWER,2024-01-12,546.0,546.8,540.0,541.15,540.15,711519
Adani Power Limited,ADANIPOWER,2024-01-11,547.7,547.7,539.1,540.15,542.3,781046
Adani Power Limited,ADANIPOWER,2024-01-10,544.5,549.6,535.0,542.3,539.75,1024874
Adani Power Limited,ADANIPOWER,2024-01-09,545.0,553.5,535.0,539.75,541.7,1213712
Adani Power Limited,ADANIPOWER,2024-01-08,553.95,553.95,540.0,541.7,551.1,975444
Adani Power Limited,ADANIPOWER,2024-01-05,564.7,565.0,546.1,551.1,558.55,1411436
Adani Power Limited,ADANIPOWER,2024-01-04,548.0,561.45,537.3,558.55,544.5,3611727
Adani Power Limited,ADANIPOWER,2024-01-03,538.0,544.5,525.0,544.5,518.6,4044997
Adani Power Limited,ADANIPOWER,2024-01-02,525.0,525.0,515.0,518.6,523.25,1011777
Adani Power Limited,ADANIPOWER,2024-01-01,525.15,533.95,519.1,523.25,525.15,1123066
Adani Power Limited,ADANIPOWER,2023-12-29,520.5,527.0,518.0,525.15,523.4,1270593
Adani Power Limited,ADANIPOWER,2023-12-28,527.0,527.0,513.0,523.4,522.45,1388906
Adani Power Limited,ADANIPOWER,2023-12-27,517.4,533.0,512.0,522.45,511.7,1707299
Adani Power Limited,ADANIPOWER,2023-12-26,515.5,519.8,510.1,511.7,512.55,831910
Adani Power Limited,ADANIPOWER,2023-12-22,518.0,518.0,505.0,512.55,511.65,942799
