StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Aether Industries Limited,AETHER,2024-03-28,785.35,791.45,774.9,781.0,780.1,83756
Aether Industries Limited,AETHER,2024-03-27,787.8,795.65,761.55,780.1,787.8,168728
Aether Industries Limited,AETHER,2024-03-26,798.0,801.0,786.0,787.8,802.4,85765
Aether Industries Limited,AETHER,2024-03-22,804.3,811.0,796.0,802.4,804.3,72288
Aether Industries Limited,AETHER,2024-03-21,806.45,811.45,800.0,804.3,806.4,44857
Aether Industries Limited,AETHER,2024-03-20,806.0,809.95,792.05,806.4,801.15,42059
Aether Industries Limited,AETHER,2024-03-19,817.3,817.3,798.1,801.15,814.1,45756
Aether Industries Limited,AETHER,2024-03-18,810.15,816.3,806.15,814.1,806.15,27784
Aether Industries Limited,AETHER,2024-03-15,798.0,812.95,794.1,806.15,791.95,61177
Aether Industries Limited,AETHER,2024-03-14,786.95,799.85,781.0,791.95,786.95,84588
Aether Industries Limited,AETHER,2024-03-13,805.35,808.7,783.05,786.95,803.4,94010
Aether Industries Limited,AETHER,2024-03-12,818.95,818.95,800.0,803.4,816.65,92429
Aether Industries Limited,AETHER,2024-03-11,840.7,843.65,797.0,816.65,836.2,82782
Aether Industries Limited,AETHER,2024-03-07,843.05,844.35,830.05,836.2,841.0,72703
Aether Industries Limited,AETHER,2024-03-06,852.1,856.8,838.0,841.0,854.65,57749
Aether Industries Limited,AETHER,2024-03-05,857.85,864.9,853.0,854.65,855.7,64981
Aether Industries Limited,AETHER,2024-03-04,867.05,871.7,853.1,855.7,866.1,64018
Aether Industries Limited,AETHER,2024-03-02,868.0,870.0,860.75,866.1,869.6,6257
Aether Industries Limited,AETHER,2024-03-01,882.0,882.05,866.0,869.6,878.0,38723
Aether Industries Limited,AETHER,2024-02-29,870.0,886.9,869.95,878.0,876.75,109429
Aether Industries Limited,AETHER,2024-02-28,869.5,892.0,864.0,876.75,869.5,146561
Aether Industries Limited,AETHER,2024-02-27,870.0,874.9,863.05,869.5,864.35,58401
Aether Industries Limited,AETHER,2024-02-26,867.05,874.0,859.5,864.35,867.05,40846
Aether Industries Limited,AETHER,2024-02-23,870.0,871.95,862.05,867.05,860.25,50850
Aether Industries Limited,AETHER,2024-02-22,861.5,867.05,851.0,860.25,860.4,49254
Aether Industries Limited,AETHER,2024-02-21,860.05,871.95,852.0,860.4,866.75,37032
Aether Industries Limited,AETHER,2024-02-20,872.65,875.0,865.5,866.75,872.65,25275
Aether Industries Limited,AETHER,2024-02-19,866.0,875.0,865.1,872.65,865.1,69803
Aether Industries Limited,AETHER,2024-02-16,873.85,873.85,860.0,865.1,866.2,73780
Aether Industries Limited,AETHER,2024-02-15,858.0,877.2,856.5,866.2,858.0,74204
Aether Industries Limited,AETHER,2024-02-14,859.95,866.05,853.95,858.0,863.45,123065
Aether Industries Limited,AETHER,2024-02-13,865.0,866.8,851.5,863.45,858.15,53859
Aether Industries Limited,AETHER,2024-02-12,870.0,879.0,849.5,858.15,866.3,54439
Aether Industries Limited,AETHER,2024-02-09,882.0,882.0,848.4,866.3,869.8,96526
Aether Industries Limited,AETHER,2024-02-08,876.0,891.0,868.0,869.8,876.3,337829
Aether Industries Limited,AETHER,2024-02-07,870.0,890.95,858.1,876.3,856.4,372625
Aether Industries Limited,AETHER,2024-02-06,839.5,860.0,839.5,856.4,837.45,256624
