StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Affle (India) Limited,AFFLE,2024-03-28,1058.25,1068.0,1022.75,1041.7,1051.3,239669
Affle (India) Limited,AFFLE,2024-03-27,1066.0,1076.1,1046.0,1051.3,1059.9,456473
Affle (India) Limited,AFFLE,2024-03-26,1090.6,1092.5,1053.55,1059.9,1090.55,189688
Affle (India) Limited,AFFLE,2024-03-22,1074.95,1094.9,1066.3,1090.55,1060.6,188125
Affle (India) Limited,AFFLE,2024-03-21,1035.1,1068.0,1034.95,1060.6,1025.65,134858
Affle (India) Limited,AFFLE,2024-03-20,1013.9,1029.6,998.2,1025.65,1013.6,176161
Affle (India) Limited,AFFLE,2024-03-19,1027.0,1031.6,1009.0,1013.6,1027.2,201522
Affle (India) Limited,AFFLE,2024-03-18,1022.0,1040.0,1021.55,1027.2,1022.7,87203
Affle (India) Limited,AFFLE,2024-03-15,1043.65,1046.2,1012.55,1022.7,1033.65,281334
Affle (India) Limited,AFFLE,2024-03-14,1020.0,1045.0,1004.0,1033.65,1022.0,193058
Affle (India) Limited,AFFLE,2024-03-13,1049.0,1058.0,1013.0,1022.0,1048.1,279518
Affle (India) Limited,AFFLE,2024-03-12,1066.6,1071.7,1035.05,1048.1,1057.95,245469
Affle (India) Limited,AFFLE,2024-03-11,1100.6,1108.25,1052.5,1057.95,1095.1,171733
Affle (India) Limited,AFFLE,2024-03-07,1084.0,1105.95,1074.0,1095.1,1077.6,166485
Affle (India) Limited,AFFLE,2024-03-06,1079.05,1088.0,1051.15,1077.6,1089.95,219740
Affle (India) Limited,AFFLE,2024-03-05,1120.0,1124.0,1080.05,1089.95,1117.55,251790
Affle (India) Limited,AFFLE,2024-03-04,1125.1,1128.1,1109.0,1117.55,1125.1,171957
Affle (India) Limited,AFFLE,2024-03-02,1132.95,1132.95,1115.3,1125.1,1115.3,14781
Affle (India) Limited,AFFLE,2024-03-01,1130.0,1133.6,1102.0,1115.3,1118.15,183112
Affle (India) Limited,AFFLE,2024-02-29,1101.05,1129.85,1089.65,1118.15,1104.45,168683
Affle (India) Limited,AFFLE,2024-02-28,1125.0,1142.0,1101.0,1104.45,1120.25,145666
Affle (India) Limited,AFFLE,2024-02-27,1134.0,1139.95,1113.1,1120.25,1129.3,133715
Affle (India) Limited,AFFLE,2024-02-26,1122.05,1145.0,1122.05,1129.3,1136.65,72683
Affle (India) Limited,AFFLE,2024-02-23,1140.95,1150.0,1127.3,1136.65,1138.35,111395
Affle (India) Limited,AFFLE,2024-02-22,1132.05,1141.7,1122.2,1138.35,1126.7,66548
Affle (India) Limited,AFFLE,2024-02-21,1150.0,1163.55,1110.0,1126.7,1145.85,118684
Affle (India) Limited,AFFLE,2024-02-20,1166.4,1172.8,1134.6,1145.85,1160.05,81169
Affle (India) Limited,AFFLE,2024-02-19,1171.95,1187.35,1150.0,1160.05,1161.9,106795
Affle (India) Limited,AFFLE,2024-02-16,1187.0,1198.0,1150.0,1161.9,1183.2,202819
Affle (India) Limited,AFFLE,2024-02-15,1141.2,1190.0,1137.55,1183.2,1137.9,164538
Affle (India) Limited,AFFLE,2024-02-14,1127.8,1140.75,1118.05,1137.9,1136.0,191204
Affle (India) Limited,AFFLE,2024-02-13,1118.95,1139.9,1085.0,1136.0,1115.95,149988
Affle (India) Limited,AFFLE,2024-02-12,1128.9,1144.9,1102.5,1115.95,1114.25,200241
Affle (India) Limited,AFFLE,2024-02-09,1157.0,1165.55,1108.0,1114.25,1156.45,251374
Affle (India) Limited,AFFLE,2024-02-08,1185.2,1194.45,1150.0,1156.45,1183.5,177730
Affle (India) Limited,AFFLE,2024-02-07,1190.0,1194.9,1181.65,1183.5,1184.25,147771
Affle (India) Limited,AFFLE,2024-02-06,1200.4,1236.95,1178.0,1184.25,1195.0,260516
Affle (India) Limited,AFFLE,2024-02-05,1267.0,1270.0,1185.0,1195.0,1230.6,624456
Affle (India) Limited,AFFLE,2024-02-02,1229.95,1248.1,1216.6,1230.6,1214.2,155999
Affle (India) Limited,AFFLE,2024-02-01,1241.0,1241.0,1210.2,1214.2,1241.0,115056
Affle (India) Limited,AFFLE,2024-01-31,1200.0,1246.75,1192.5,1241.0,1191.65,206514
Affle (India) Limited,AFFLE,2024-01-30,1200.0,1216.65,1190.0,1191.65,1199.75,108305
Affle (India) Limited,AFFLE,2024-01-29,1230.0,1240.15,1197.55,1199.75,1219.65,295763
Affle (India) Limited,AFFLE,2024-01-25,1230.0,1242.5,1215.0,1219.65,1224.8,111560
Affle (India) Limited,AFFLE,2024-01-24,1193.0,1232.8,1171.05,1224.8,1187.2,192595
Affle (India) Limited,AFFLE,2024-01-23,1237.05,1249.45,1175.65,1187.2,1234.3,250096
Affle (India) Limited,AFFLE,2024-01-20,1266.0,1285.0,1220.0,1234.3,1265.25,145021
Affle (India) Limited,AFFLE,2024-01-19,1272.0,1283.1,1257.6,1265.25,1255.7,140672
Affle (India) Limited,AFFLE,2024-01-18,1272.9,1292.7,1205.05,1255.7,1285.7,312568
Affle (India) Limited,AFFLE,2024-01-17,1289.0,1314.75,1270.0,1285.7,1290.05,186814
Affle (India) Limited,AFFLE,2024-01-16,1305.0,1324.0,1275.0,1290.05,1304.2,163618
