StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Ajanta Pharma Limited,AJANTPHARM,2024-03-28,2179.35,2247.95,2173.6,2230.85,2193.5,149374
Ajanta Pharma Limited,AJANTPHARM,2024-03-27,2223.05,2317.65,2170.1,2193.5,2223.05,259332
Ajanta Pharma Limited,AJANTPHARM,2024-03-26,2142.5,2230.0,2105.0,2223.05,2152.3,107950
Ajanta Pharma Limited,AJANTPHARM,2024-03-22,2118.0,2164.0,2106.6,2152.3,2125.9,153571
Ajanta Pharma Limited,AJANTPHARM,2024-03-21,2092.5,2147.95,2080.0,2125.9,2082.1,322663
Ajanta Pharma Limited,AJANTPHARM,2024-03-20,2091.5,2105.8,2071.3,2082.1,2109.35,23023
Ajanta Pharma Limited,AJANTPHARM,2024-03-19,2135.1,2135.1,2081.0,2109.35,2124.45,24898
Ajanta Pharma Limited,AJANTPHARM,2024-03-18,2132.8,2132.8,2104.25,2124.45,2122.2,62074
Ajanta Pharma Limited,AJANTPHARM,2024-03-15,2124.6,2125.0,2092.0,2122.2,2124.3,45417
Ajanta Pharma Limited,AJANTPHARM,2024-03-14,2110.7,2128.0,2075.0,2124.3,2110.7,84254
Ajanta Pharma Limited,AJANTPHARM,2024-03-13,2096.9,2175.0,1998.35,2110.7,2108.15,122917
Ajanta Pharma Limited,AJANTPHARM,2024-03-12,2109.15,2189.0,2080.0,2108.15,2102.05,46994
Ajanta Pharma Limited,AJANTPHARM,2024-03-11,2094.8,2120.0,2069.3,2102.05,2091.1,120502
Ajanta Pharma Limited,AJANTPHARM,2024-03-07,2081.05,2105.0,2071.1,2091.1,2083.25,128858
Ajanta Pharma Limited,AJANTPHARM,2024-03-06,2101.05,2135.9,2061.0,2083.25,2104.4,213764
Ajanta Pharma Limited,AJANTPHARM,2024-03-05,2084.0,2126.9,2074.0,2104.4,2073.2,65159
Ajanta Pharma Limited,AJANTPHARM,2024-03-04,2122.0,2149.85,2060.1,2073.2,2139.25,342286
Ajanta Pharma Limited,AJANTPHARM,2024-03-02,2140.0,2179.0,2120.0,2139.25,2126.85,3713
Ajanta Pharma Limited,AJANTPHARM,2024-03-01,2219.6,2220.3,2110.1,2126.85,2208.0,156013
Ajanta Pharma Limited,AJANTPHARM,2024-02-29,2064.35,2245.0,2015.05,2208.0,2085.15,259006
Ajanta Pharma Limited,AJANTPHARM,2024-02-28,2126.0,2129.55,2070.85,2085.15,2122.55,44747
Ajanta Pharma Limited,AJANTPHARM,2024-02-27,2139.9,2151.15,2116.0,2122.55,2141.9,25692
Ajanta Pharma Limited,AJANTPHARM,2024-02-26,2136.95,2152.8,2100.0,2141.9,2125.85,77814
Ajanta Pharma Limited,AJANTPHARM,2024-02-23,2130.6,2135.0,2112.35,2125.85,2120.0,60608
Ajanta Pharma Limited,AJANTPHARM,2024-02-22,2119.4,2135.0,2105.35,2120.0,2113.1,31985
Ajanta Pharma Limited,AJANTPHARM,2024-02-21,2128.0,2156.7,2099.65,2113.1,2115.4,71112
Ajanta Pharma Limited,AJANTPHARM,2024-02-20,2145.95,2150.2,2103.8,2115.4,2139.5,71445
Ajanta Pharma Limited,AJANTPHARM,2024-02-19,2178.0,2178.0,2124.0,2139.5,2152.45,125717
Ajanta Pharma Limited,AJANTPHARM,2024-02-16,2164.5,2199.0,2138.35,2152.45,2153.25,134142
Ajanta Pharma Limited,AJANTPHARM,2024-02-15,2126.0,2158.85,2120.0,2153.25,2114.9,100888
Ajanta Pharma Limited,AJANTPHARM,2024-02-14,2156.0,2158.95,2110.05,2114.9,2156.4,67187
Ajanta Pharma Limited,AJANTPHARM,2024-02-13,2181.05,2200.0,2137.0,2156.4,2171.3,72932
Ajanta Pharma Limited,AJANTPHARM,2024-02-12,2178.5,2180.9,2111.55,2171.3,2166.05,96464
Ajanta Pharma Limited,AJANTPHARM,2024-02-09,2186.0,2193.1,2135.1,2166.05,2202.85,165093
Ajanta Pharma Limited,AJANTPHARM,2024-02-08,2244.9,2247.3,2185.35,2202.85,2257.45,212438
Ajanta Pharma Limited,AJANTPHARM,2024-02-07,2267.15,2319.75,2222.45,2257.45,2267.15,222118
Ajanta Pharma Limited,AJANTPHARM,2024-02-06,2178.1,2299.45,2174.75,2267.15,2165.35,226176
Ajanta Pharma Limited,AJANTPHARM,2024-02-05,2179.25,2184.25,2146.05,2165.35,2168.4,129144
Ajanta Pharma Limited,AJANTPHARM,2024-02-02,2200.0,2212.55,2155.1,2168.4,2181.25,72762
Ajanta Pharma Limited,AJANTPHARM,2024-02-01,2300.0,2300.0,2120.6,2181.25,2174.25,374661
Ajanta Pharma Limited,AJANTPHARM,2024-01-31,2122.0,2199.5,2116.7,2174.25,2111.45,74409
Ajanta Pharma Limited,AJANTPHARM,2024-01-30,2181.65,2196.95,2100.0,2111.45,2177.4,68005
Ajanta Pharma Limited,AJANTPHARM,2024-01-29,2185.05,2209.95,2169.75,2177.4,2185.05,48685
Ajanta Pharma Limited,AJANTPHARM,2024-01-25,2207.1,2243.0,2161.5,2185.05,2195.5,54039
Ajanta Pharma Limited,AJANTPHARM,2024-01-24,2230.0,2234.85,2186.0,2195.5,2196.9,46861
Ajanta Pharma Limited,AJANTPHARM,2024-01-23,2215.7,2215.7,2161.5,2196.9,2204.1,42312
Ajanta Pharma Limited,AJANTPHARM,2024-01-20,2201.0,2225.95,2200.0,2204.1,2201.0,7485
Ajanta Pharma Limited,AJANTPHARM,2024-01-19,2227.4,2233.75,2177.05,2201.0,2214.1,44227
Ajanta Pharma Limited,AJANTPHARM,2024-01-18,2250.0,2275.15,2194.0,2214.1,2252.85,44502
Ajanta Pharma Limited,AJANTPHARM,2024-01-17,2297.0,2297.0,2213.0,2252.85,2301.75,84023
Ajanta Pharma Limited,AJANTPHARM,2024-01-16,2263.95,2308.95,2240.0,2301.75,2252.1,98412
Ajanta Pharma Limited,AJANTPHARM,2024-01-15,2190.5,2269.45,2184.45,2252.1,2177.6,85615
Ajanta Pharma Limited,AJANTPHARM,2024-01-12,2235.0,2256.85,2166.0,2177.6,2220.7,101171
Ajanta Pharma Limited,AJANTPHARM,2024-01-11,2115.05,2245.9,2103.05,2220.7,2112.65,131861
Ajanta Pharma Limited,AJANTPHARM,2024-01-10,2149.8,2189.45,2105.0,2112.65,2159.1,65988
Ajanta Pharma Limited,AJANTPHARM,2024-01-09,2173.6,2237.15,2137.8,2159.1,2173.5,96316
Ajanta Pharma Limited,AJANTPHARM,2024-01-08,2245.0,2258.7,2160.1,2173.5,2235.1,50719
Ajanta Pharma Limited,AJANTPHARM,2024-01-05,2296.9,2296.9,2193.8,2235.1,2289.5,116838
Ajanta Pharma Limited,AJANTPHARM,2024-01-04,2215.0,2353.95,2215.0,2289.5,2232.85,191780
Ajanta Pharma Limited,AJANTPHARM,2024-01-03,2176.05,2244.45,2170.05,2232.85,2189.75,121669
Ajanta Pharma Limited,AJANTPHARM,2024-01-02,2138.05,2198.0,2128.15,2189.75,2159.65,127933
Ajanta Pharma Limited,AJANTPHARM,2024-01-01,2083.0,2170.2,2053.65,2159.65,2083.65,166867
Ajanta Pharma Limited,AJANTPHARM,2023-12-29,2002.85,2100.0,1987.7,2083.65,1994.25,161901
Ajanta Pharma Limited,AJANTPHARM,2023-12-28,2000.05,2017.8,1981.1,1994.25,1997.45,91080
Ajanta Pharma Limited,AJANTPHARM,2023-12-27,1986.75,2068.0,1975.0,1997.45,1986.75,276282
Ajanta Pharma Limited,AJANTPHARM,2023-12-26,1979.85,1994.8,1952.0,1986.75,1968.2,65821
Ajanta Pharma Limited,AJANTPHARM,2023-12-22,1904.0,1981.0,1895.0,1968.2,1898.85,225334
Ajanta Pharma Limited,AJANTPHARM,2023-12-21,1899.65,1910.3,1850.25,1898.85,1899.65,151733
Ajanta Pharma Limited,AJANTPHARM,2023-12-20,1903.2,1911.0,1877.95,1899.65,1893.2,65705
Ajanta Pharma Limited,AJANTPHARM,2023-12-19,1907.0,1911.4,1887.15,1893.2,1890.25,67591
Ajanta Pharma Limited,AJANTPHARM,2023-12-18,1900.0,1916.05,1878.0,1890.25,1897.5,126064
Ajanta Pharma Limited,AJANTPHARM,2023-12-15,1884.0,1909.0,1862.0,1897.5,1879.0,67020
Ajanta Pharma Limited,AJANTPHARM,2023-12-14,1912.55,1918.15,1872.5,1879.0,1902.2,45209
Ajanta Pharma Limited,AJANTPHARM,2023-12-13,1898.6,1923.95,1872.4,1902.2,1888.6,29992
Ajanta Pharma Limited,AJANTPHARM,2023-12-12,1896.9,1905.0,1870.55,1888.6,1887.0,64460
Ajanta Pharma Limited,AJANTPHARM,2023-12-11,1926.95,1930.95,1875.85,1887.0,1926.95,183358
Ajanta Pharma Limited,AJANTPHARM,2023-12-08,1955.0,1956.25,1910.1,1926.95,1958.55,144173
Ajanta Pharma Limited,AJANTPHARM,2023-12-07,1935.25,1968.65,1935.25,1958.55,1946.65,68749
Ajanta Pharma Limited,AJANTPHARM,2023-12-06,1969.85,2067.4,1935.0,1946.65,1966.85,613818
Ajanta Pharma Limited,AJANTPHARM,2023-12-05,1959.9,1981.65,1920.1,1966.85,1959.35,101775
Ajanta Pharma Limited,AJANTPHARM,2023-12-04,1973.3,1998.7,1932.2,1959.35,1963.0,92484
Ajanta Pharma Limited,AJANTPHARM,2023-12-01,1986.6,1998.65,1947.8,1963.0,1976.15,48090
Ajanta Pharma Limited,AJANTPHARM,2023-11-30,1954.95,1995.95,1941.15,1976.15,1949.05,221227
Ajanta Pharma Limited,AJANTPHARM,2023-11-29,1922.0,1966.95,1908.0,1949.05,1919.6,61813
Ajanta Pharma Limited,AJANTPHARM,2023-11-28,1964.9,1969.65,1912.1,1919.6,1957.95,77476
Ajanta Pharma Limited,AJANTPHARM,2023-11-24,1962.05,1969.8,1946.0,1957.95,1962.05,68129
Ajanta Pharma Limited,AJANTPHARM,2023-11-23,1924.0,1980.0,1916.0,1962.05,1918.55,119167
Ajanta Pharma Limited,AJANTPHARM,2023-11-22,1962.0,1979.0,1903.55,1918.55,1969.15,108420
Ajanta Pharma Limited,AJANTPHARM,2023-11-21,1979.95,1980.0,1951.05,1969.15,1971.65,63363
Ajanta Pharma Limited,AJANTPHARM,2023-11-20,1931.05,1980.0,1908.55,1971.65,1921.4,192467
Ajanta Pharma Limited,AJANTPHARM,2023-11-17,1940.0,1975.45,1909.9,1921.4,1930.1,146005
Ajanta Pharma Limited,AJANTPHARM,2023-11-16,1950.0,1974.95,1920.05,1930.1,1949.3,138095
Ajanta Pharma Limited,AJANTPHARM,2023-11-15,1874.65,1965.2,1853.0,1949.3,1868.85,476147
Ajanta Pharma Limited,AJANTPHARM,2023-11-13,1891.15,1899.0,1840.1,1868.85,1883.75,57027
Ajanta Pharma Limited,AJANTPHARM,2023-11-12,1896.95,1898.4,1872.55,1883.75,1887.85,10023
