StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Alkem Laboratories Limited,ALKEM,2024-03-28,4935.0,5009.95,4820.05,4942.0,5004.2,427458
Alkem Laboratories Limited,ALKEM,2024-03-27,5049.35,5059.1,4962.05,5004.2,5002.15,89989
Alkem Laboratories Limited,ALKEM,2024-03-26,4650.0,5022.5,4650.0,5002.15,4789.75,199779
Alkem Laboratories Limited,ALKEM,2024-03-22,4829.1,4829.1,4770.05,4789.75,4795.95,138264
Alkem Laboratories Limited,ALKEM,2024-03-21,4800.0,4835.0,4744.85,4795.95,4784.15,275225
Alkem Laboratories Limited,ALKEM,2024-03-20,4897.4,4903.1,4767.6,4784.15,4871.8,183011
Alkem Laboratories Limited,ALKEM,2024-03-19,5000.0,5000.3,4862.85,4871.8,4975.65,145345
Alkem Laboratories Limited,ALKEM,2024-03-18,5050.0,5068.8,4910.0,4975.65,5045.2,81473
Alkem Laboratories Limited,ALKEM,2024-03-15,4990.0,5095.65,4857.05,5045.2,4985.35,342923
Alkem Laboratories Limited,ALKEM,2024-03-14,4915.0,5017.0,4881.1,4985.35,4945.65,70479
Alkem Laboratories Limited,ALKEM,2024-03-13,5064.95,5080.9,4895.05,4945.65,5056.8,240960
Alkem Laboratories Limited,ALKEM,2024-03-12,5173.15,5188.95,5041.3,5056.8,5157.25,70615
Alkem Laboratories Limited,ALKEM,2024-03-11,5188.0,5225.0,5138.35,5157.25,5144.3,151048
Alkem Laboratories Limited,ALKEM,2024-03-07,5222.0,5225.0,5136.95,5144.3,5212.45,129528
Alkem Laboratories Limited,ALKEM,2024-03-06,5100.1,5221.7,5087.3,5212.45,5100.35,187217
Alkem Laboratories Limited,ALKEM,2024-03-05,5139.6,5139.65,5043.6,5100.35,5124.9,85058
Alkem Laboratories Limited,ALKEM,2024-03-04,5156.55,5169.5,5110.0,5124.9,5106.55,191376
Alkem Laboratories Limited,ALKEM,2024-03-02,5112.9,5148.8,5091.1,5106.55,5112.9,3470
Alkem Laboratories Limited,ALKEM,2024-03-01,5150.0,5168.95,5103.05,5112.9,5127.35,196260
Alkem Laboratories Limited,ALKEM,2024-02-29,5018.0,5148.3,4986.0,5127.35,4990.25,217756
Alkem Laboratories Limited,ALKEM,2024-02-28,5079.65,5079.8,4957.6,4990.25,5044.05,175724
Alkem Laboratories Limited,ALKEM,2024-02-27,5010.0,5096.35,4934.65,5044.05,5061.85,678534
Alkem Laboratories Limited,ALKEM,2024-02-26,5405.15,5413.8,4659.0,5061.85,5421.15,2521385
Alkem Laboratories Limited,ALKEM,2024-02-23,5423.2,5472.1,5355.0,5421.15,5423.2,141155
Alkem Laboratories Limited,ALKEM,2024-02-22,5467.0,5479.45,5367.05,5423.2,5415.5,232543
Alkem Laboratories Limited,ALKEM,2024-02-21,5425.0,5520.0,5390.1,5415.5,5402.85,170880
Alkem Laboratories Limited,ALKEM,2024-02-20,5470.0,5470.0,5350.95,5402.85,5471.85,121950
Alkem Laboratories Limited,ALKEM,2024-02-19,5444.6,5498.65,5405.45,5471.85,5444.6,76922
Alkem Laboratories Limited,ALKEM,2024-02-16,5340.0,5458.2,5268.6,5444.6,5310.55,273500
Alkem Laboratories Limited,ALKEM,2024-02-15,5243.9,5339.0,5180.0,5310.55,5237.8,251654
Alkem Laboratories Limited,ALKEM,2024-02-14,5293.15,5293.15,5142.55,5237.8,5293.45,294883
Alkem Laboratories Limited,ALKEM,2024-02-13,5199.95,5315.6,5160.0,5293.45,5149.35,229855
Alkem Laboratories Limited,ALKEM,2024-02-12,5320.0,5320.0,4967.45,5149.35,5327.9,343095
Alkem Laboratories Limited,ALKEM,2024-02-09,5350.0,5420.0,5226.75,5327.9,5311.15,570720
Alkem Laboratories Limited,ALKEM,2024-02-08,5154.65,5377.4,5127.85,5311.15,5127.85,611368
Alkem Laboratories Limited,ALKEM,2024-02-07,5150.0,5225.0,5100.15,5127.85,5065.2,484955
Alkem Laboratories Limited,ALKEM,2024-02-06,4949.9,5130.95,4948.95,5065.2,4924.05,635171
Alkem Laboratories Limited,ALKEM,2024-02-05,4925.35,5148.6,4870.0,4924.05,4917.7,305754
Alkem Laboratories Limited,ALKEM,2024-02-02,4875.0,4931.0,4781.4,4917.7,4854.75,344636
Alkem Laboratories Limited,ALKEM,2024-02-01,5000.15,5065.0,4834.0,4854.75,4996.05,173932
Alkem Laboratories Limited,ALKEM,2024-01-31,4990.0,5087.95,4972.0,4996.05,4946.3,263753
Alkem Laboratories Limited,ALKEM,2024-01-30,4975.0,4997.45,4906.0,4946.3,4975.35,164802
Alkem Laboratories Limited,ALKEM,2024-01-29,4998.65,5022.9,4940.45,4975.35,4971.75,62787
Alkem Laboratories Limited,ALKEM,2024-01-25,4999.6,5044.85,4934.6,4971.75,4999.6,213702
Alkem Laboratories Limited,ALKEM,2024-01-25,4999.6,4999.6,4999.6,4999.6,1708.45,106203
Alkem Laboratories Limited,ALKEM,2024-01-24,4860.2,5022.1,4816.5,4999.6,4815.7,230011
Alkem Laboratories Limited,ALKEM,2024-01-23,4878.7,4956.0,4763.25,4815.7,4878.7,206809
Alkem Laboratories Limited,ALKEM,2024-01-20,4966.0,4979.0,4849.0,4878.7,4964.3,24505
Alkem Laboratories Limited,ALKEM,2024-01-19,4974.95,4974.95,4904.25,4964.3,4933.85,114591
Alkem Laboratories Limited,ALKEM,2024-01-18,5056.15,5072.6,4908.35,4933.85,5056.15,153745
Alkem Laboratories Limited,ALKEM,2024-01-17,5060.6,5104.45,5014.0,5056.15,5060.6,110342
Alkem Laboratories Limited,ALKEM,2024-01-16,5037.95,5080.35,5023.65,5060.6,5037.6,100552
Alkem Laboratories Limited,ALKEM,2024-01-15,5048.1,5054.35,4968.0,5037.6,5048.7,227660
Alkem Laboratories Limited,ALKEM,2024-01-12,5072.25,5230.0,5012.0,5048.7,5057.75,138930
Alkem Laboratories Limited,ALKEM,2024-01-11,5128.05,5156.05,5030.5,5057.75,5119.8,147170
Alkem Laboratories Limited,ALKEM,2024-01-10,5222.9,5225.0,5073.0,5119.8,5178.55,215333
Alkem Laboratories Limited,ALKEM,2024-01-09,5230.0,5268.7,5165.55,5178.55,5203.55,159805
Alkem Laboratories Limited,ALKEM,2024-01-08,5230.0,5235.35,5150.55,5203.55,5238.6,50216
Alkem Laboratories Limited,ALKEM,2024-01-05,5275.0,5315.5,5202.95,5238.6,5269.45,223430
Alkem Laboratories Limited,ALKEM,2024-01-04,5240.5,5301.0,5228.6,5269.45,5240.5,442884
Alkem Laboratories Limited,ALKEM,2024-01-03,5201.95,5266.95,5156.2,5240.5,5186.0,275095
Alkem Laboratories Limited,ALKEM,2024-01-02,5135.0,5199.9,5113.85,5186.0,5120.0,101061
Alkem Laboratories Limited,ALKEM,2024-01-01,5209.95,5225.0,5093.2,5120.0,5202.6,101017
Alkem Laboratories Limited,ALKEM,2023-12-29,5146.6,5216.75,5104.9,5202.6,5126.35,147213
Alkem Laboratories Limited,ALKEM,2023-12-28,5074.95,5143.0,5018.2,5126.35,5075.3,447476
Alkem Laboratories Limited,ALKEM,2023-12-27,5010.0,5090.0,4992.45,5075.3,4972.5,240939
Alkem Laboratories Limited,ALKEM,2023-12-26,4916.45,4997.0,4901.1,4972.5,4914.4,83738
Alkem Laboratories Limited,ALKEM,2023-12-22,4920.6,4955.0,4858.65,4914.4,4909.9,152341
Alkem Laboratories Limited,ALKEM,2023-12-21,4858.0,4971.6,4818.65,4909.9,4877.35,150806
Alkem Laboratories Limited,ALKEM,2023-12-20,4950.0,5009.0,4864.7,4877.35,4936.65,188500
Alkem Laboratories Limited,ALKEM,2023-12-19,4889.75,4950.0,4884.9,4936.65,4903.25,95027
Alkem Laboratories Limited,ALKEM,2023-12-18,4899.1,4960.35,4852.55,4903.25,4919.35,161198
Alkem Laboratories Limited,ALKEM,2023-12-15,4880.8,5009.85,4791.55,4919.35,4857.2,1925737
Alkem Laboratories Limited,ALKEM,2023-12-14,4900.0,4925.0,4848.0,4857.2,4885.35,301947
Alkem Laboratories Limited,ALKEM,2023-12-13,4805.0,4900.0,4780.1,4885.35,4795.2,313944
Alkem Laboratories Limited,ALKEM,2023-12-12,4734.8,4813.35,4726.0,4795.2,4725.25,261701
Alkem Laboratories Limited,ALKEM,2023-12-11,4795.95,4795.95,4681.9,4725.25,4796.05,240894
Alkem Laboratories Limited,ALKEM,2023-12-08,4875.0,4897.8,4750.6,4796.05,4889.5,305427
Alkem Laboratories Limited,ALKEM,2023-12-07,4712.15,4900.0,4701.9,4889.5,4725.8,374821
Alkem Laboratories Limited,ALKEM,2023-12-06,4677.0,4807.0,4660.0,4725.8,4652.85,367725
Alkem Laboratories Limited,ALKEM,2023-12-05,4649.95,4667.45,4589.25,4652.85,4613.15,254553
Alkem Laboratories Limited,ALKEM,2023-12-04,4649.0,4667.15,4601.0,4613.15,4647.9,197993
Alkem Laboratories Limited,ALKEM,2023-12-01,4724.9,4741.95,4621.75,4647.9,4723.55,264101
Alkem Laboratories Limited,ALKEM,2023-11-30,4591.3,4795.5,4561.05,4723.55,4567.25,372051
Alkem Laboratories Limited,ALKEM,2023-11-29,4600.0,4606.7,4543.0,4567.25,4554.2,147770
Alkem Laboratories Limited,ALKEM,2023-11-28,4587.0,4613.55,4515.05,4554.2,4557.8,401971
Alkem Laboratories Limited,ALKEM,2023-11-24,4532.25,4593.45,4526.3,4557.8,4521.15,198443
Alkem Laboratories Limited,ALKEM,2023-11-23,4540.0,4574.4,4502.65,4521.15,4530.95,310248
Alkem Laboratories Limited,ALKEM,2023-11-22,4500.0,4572.95,4466.75,4530.95,4488.3,398114
Alkem Laboratories Limited,ALKEM,2023-11-21,4410.0,4500.0,4401.05,4488.3,4390.55,246036
Alkem Laboratories Limited,ALKEM,2023-11-20,4450.0,4450.0,4380.8,4390.55,4448.45,173174
Alkem Laboratories Limited,ALKEM,2023-11-17,4384.2,4450.0,4372.85,4448.45,4361.25,228005
Alkem Laboratories Limited,ALKEM,2023-11-16,4359.0,4380.0,4322.25,4361.25,4344.95,113150
Alkem Laboratories Limited,ALKEM,2023-11-15,4337.05,4383.95,4300.3,4344.95,4299.95,274824
Alkem Laboratories Limited,ALKEM,2023-11-13,4299.6,4345.0,4289.15,4299.95,4316.2,131420
Alkem Laboratories Limited,ALKEM,2023-11-12,4330.0,4330.3,4300.2,4316.2,4306.25,19352
Alkem Laboratories Limited,ALKEM,2023-11-10,4275.1,4325.0,4212.5,4306.25,4282.7,361432
Alkem Laboratories Limited,ALKEM,2023-11-09,4260.15,4337.5,4232.7,4282.7,4232.7,520821
Alkem Laboratories Limited,ALKEM,2023-11-08,4055.25,4300.0,4011.05,4232.7,4027.35,1222642
Alkem Laboratories Limited,ALKEM,2023-11-07,3825.2,4050.0,3814.8,4027.35,3825.2,662357
Alkem Laboratories Limited,ALKEM,2023-11-06,3809.0,3850.0,3783.55,3825.2,3808.95,166232
Alkem Laboratories Limited,ALKEM,2023-11-03,3810.0,3855.0,3790.1,3808.95,3792.25,261006
Alkem Laboratories Limited,ALKEM,2023-11-02,3723.0,3806.0,3723.0,3792.25,3722.65,321314
Alkem Laboratories Limited,ALKEM,2023-11-01,3734.0,3741.8,3676.05,3722.65,3721.85,126203
Alkem Laboratories Limited,ALKEM,2023-10-31,3700.0,3735.0,3679.95,3721.85,3691.75,140710
Alkem Laboratories Limited,ALKEM,2023-10-30,3694.5,3700.0,3650.2,3691.75,3675.15,169649
Alkem Laboratories Limited,ALKEM,2023-10-27,3586.8,3687.0,3558.0,3675.15,3560.8,101943
Alkem Laboratories Limited,ALKEM,2023-10-26,3584.9,3586.0,3509.95,3560.8,3585.35,61488
Alkem Laboratories Limited,ALKEM,2023-10-25,3535.15,3592.45,3531.8,3585.35,3533.85,108539
Alkem Laboratories Limited,ALKEM,2023-10-23,3576.0,3610.7,3521.6,3533.85,3585.6,117576
Alkem Laboratories Limited,ALKEM,2023-10-20,3585.0,3608.75,3540.0,3585.6,3615.85,90781
Alkem Laboratories Limited,ALKEM,2023-10-19,3629.95,3639.45,3574.9,3615.85,3632.9,163185
Alkem Laboratories Limited,ALKEM,2023-10-18,3632.0,3650.0,3614.95,3632.9,3620.3,177578
Alkem Laboratories Limited,ALKEM,2023-10-17,3621.9,3634.9,3581.25,3620.3,3609.35,122872
Alkem Laboratories Limited,ALKEM,2023-10-16,3615.0,3619.9,3582.1,3609.35,3612.45,82519
Alkem Laboratories Limited,ALKEM,2023-10-13,3600.85,3646.3,3570.0,3612.45,3594.95,148801
Alkem Laboratories Limited,ALKEM,2023-10-12,3555.95,3604.0,3546.75,3594.95,3539.75,154901
Alkem Laboratories Limited,ALKEM,2023-10-11,3585.75,3617.75,3531.25,3539.75,3585.75,147842
