StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Allcargo Logistics Limited,ALLCARGO,2024-03-28,73.0,75.9,70.8,71.6,72.85,6694888
Allcargo Logistics Limited,ALLCARGO,2024-03-27,69.7,73.4,69.65,72.85,69.7,6956748
Allcargo Logistics Limited,ALLCARGO,2024-03-26,71.85,71.85,69.5,69.7,72.55,6289593
Allcargo Logistics Limited,ALLCARGO,2024-03-22,64.6,73.5,64.6,72.55,64.15,44644445
Allcargo Logistics Limited,ALLCARGO,2024-03-21,64.5,65.5,63.65,64.15,63.35,3115554
Allcargo Logistics Limited,ALLCARGO,2024-03-20,65.9,66.4,63.05,63.35,65.2,3085734
Allcargo Logistics Limited,ALLCARGO,2024-03-19,67.2,67.55,64.8,65.2,67.2,2996577
Allcargo Logistics Limited,ALLCARGO,2024-03-18,68.4,68.9,66.1,67.2,67.5,4681396
Allcargo Logistics Limited,ALLCARGO,2024-03-15,69.85,71.7,66.85,67.5,69.35,3779347
Allcargo Logistics Limited,ALLCARGO,2024-03-14,69.1,70.65,67.0,69.35,69.1,5048017
Allcargo Logistics Limited,ALLCARGO,2024-03-13,76.0,76.0,68.5,69.1,75.85,4374060
Allcargo Logistics Limited,ALLCARGO,2024-03-12,77.65,78.8,74.6,75.85,77.4,2821258
Allcargo Logistics Limited,ALLCARGO,2024-03-11,82.3,82.8,76.95,77.4,82.2,2796482
Allcargo Logistics Limited,ALLCARGO,2024-03-07,82.45,83.6,81.3,82.2,81.7,1695948
Allcargo Logistics Limited,ALLCARGO,2024-03-06,83.9,84.5,80.55,81.7,82.55,4169214
Allcargo Logistics Limited,ALLCARGO,2024-03-05,88.0,88.4,82.2,82.55,87.85,3738388
Allcargo Logistics Limited,ALLCARGO,2024-03-04,88.0,91.8,85.9,87.85,87.8,10003561
Allcargo Logistics Limited,ALLCARGO,2024-03-02,85.65,88.75,85.35,87.8,85.35,2228483
Allcargo Logistics Limited,ALLCARGO,2024-03-01,85.25,86.85,84.0,85.35,85.25,4224491
Allcargo Logistics Limited,ALLCARGO,2024-02-29,82.7,87.85,81.55,85.25,80.2,35039431
Allcargo Logistics Limited,ALLCARGO,2024-02-28,83.2,84.3,79.5,80.2,82.85,2243896
Allcargo Logistics Limited,ALLCARGO,2024-02-27,84.0,84.45,82.5,82.85,84.45,1561680
Allcargo Logistics Limited,ALLCARGO,2024-02-26,83.9,85.85,83.05,84.45,84.2,3209422
Allcargo Logistics Limited,ALLCARGO,2024-02-23,82.0,87.4,81.65,84.2,81.55,11169335
Allcargo Logistics Limited,ALLCARGO,2024-02-22,83.25,83.95,81.0,81.55,83.25,2414982
Allcargo Logistics Limited,ALLCARGO,2024-02-21,84.8,85.45,82.7,83.25,85.3,9664130
Allcargo Logistics Limited,ALLCARGO,2024-02-20,75.0,87.5,74.6,85.3,75.0,50553876
Allcargo Logistics Limited,ALLCARGO,2024-02-19,76.4,77.3,74.8,75.0,76.0,852306
Allcargo Logistics Limited,ALLCARGO,2024-02-16,76.6,76.75,75.3,76.0,75.75,725119
Allcargo Logistics Limited,ALLCARGO,2024-02-15,72.15,76.5,72.15,75.75,72.15,1625783
Allcargo Logistics Limited,ALLCARGO,2024-02-14,72.95,73.4,71.5,72.15,73.5,1492540
Allcargo Logistics Limited,ALLCARGO,2024-02-13,70.0,74.8,69.75,73.5,75.65,4135279
Allcargo Logistics Limited,ALLCARGO,2024-02-12,79.3,79.3,75.05,75.65,77.8,1177242
Allcargo Logistics Limited,ALLCARGO,2024-02-09,79.0,79.0,76.45,77.8,78.1,1004772
Allcargo Logistics Limited,ALLCARGO,2024-02-08,79.4,79.95,78.0,78.1,78.45,1353198
Allcargo Logistics Limited,ALLCARGO,2024-02-07,78.15,79.85,78.15,78.45,80.05,1327063
Allcargo Logistics Limited,ALLCARGO,2024-02-06,80.0,80.9,79.0,80.05,79.65,1066006
Allcargo Logistics Limited,ALLCARGO,2024-02-05,79.85,81.45,79.0,79.65,79.3,1845411
Allcargo Logistics Limited,ALLCARGO,2024-02-02,79.9,80.25,78.8,79.3,79.25,1007521
Allcargo Logistics Limited,ALLCARGO,2024-02-01,81.85,81.85,78.75,79.25,81.2,1527442
Allcargo Logistics Limited,ALLCARGO,2024-01-31,78.05,81.95,78.0,81.2,77.6,3329821
Allcargo Logistics Limited,ALLCARGO,2024-01-30,79.4,79.8,77.45,77.6,79.0,1519043
Allcargo Logistics Limited,ALLCARGO,2024-01-29,79.9,80.7,78.75,79.0,79.85,1040712
Allcargo Logistics Limited,ALLCARGO,2024-01-25,80.0,80.9,79.45,79.85,79.55,1029099
Allcargo Logistics Limited,ALLCARGO,2024-01-24,77.15,80.7,77.1,79.55,77.2,1921165
Allcargo Logistics Limited,ALLCARGO,2024-01-23,78.3,79.6,76.7,77.2,78.3,1762185
Allcargo Logistics Limited,ALLCARGO,2024-01-20,79.95,80.2,78.05,78.3,79.5,1243324
Allcargo Logistics Limited,ALLCARGO,2024-01-19,80.4,80.75,79.2,79.5,80.0,854574
Allcargo Logistics Limited,ALLCARGO,2024-01-18,80.15,80.85,77.5,80.0,80.35,1517599
Allcargo Logistics Limited,ALLCARGO,2024-01-17,81.7,82.0,80.1,80.35,81.7,1290312
Allcargo Logistics Limited,ALLCARGO,2024-01-16,81.95,82.8,81.25,81.7,81.8,1865935
Allcargo Logistics Limited,ALLCARGO,2024-01-15,83.3,83.3,81.35,81.8,82.15,1583074
Allcargo Logistics Limited,ALLCARGO,2024-01-12,82.0,84.0,81.8,82.15,81.45,3015671
Allcargo Logistics Limited,ALLCARGO,2024-01-11,82.6,83.4,81.25,81.45,81.95,2356539
Allcargo Logistics Limited,ALLCARGO,2024-01-10,83.05,84.6,81.5,81.95,82.85,3736495
Allcargo Logistics Limited,ALLCARGO,2024-01-09,86.0,86.0,81.5,82.85,89.8,9083374
Allcargo Logistics Limited,ALLCARGO,2024-01-08,91.95,91.95,89.5,89.8,90.8,1454961
Allcargo Logistics Limited,ALLCARGO,2024-01-05,91.0,91.35,89.6,90.8,89.9,2186680
Allcargo Logistics Limited,ALLCARGO,2024-01-04,88.0,91.4,86.65,89.9,87.95,6824273
Allcargo Logistics Limited,ALLCARGO,2024-01-03,90.95,91.0,87.55,87.95,90.1,4694239
Allcargo Logistics Limited,ALLCARGO,2024-01-02,86.0,98.0,85.65,90.1,329.05,25954115
Allcargo Logistics Limited,ALLCARGO,2024-01-01,328.9,346.85,326.0,329.05,321.7,5617549
Allcargo Logistics Limited,ALLCARGO,2023-12-29,315.05,323.0,313.65,321.7,313.65,1115298
Allcargo Logistics Limited,ALLCARGO,2023-12-28,322.8,324.35,311.55,313.65,319.35,998452
Allcargo Logistics Limited,ALLCARGO,2023-12-27,329.7,329.7,317.0,319.35,323.95,1359291
Allcargo Logistics Limited,ALLCARGO,2023-12-26,319.95,332.0,317.5,323.95,307.0,4779660
Allcargo Logistics Limited,ALLCARGO,2023-12-22,299.0,315.0,299.0,307.0,284.95,7976436
Allcargo Logistics Limited,ALLCARGO,2023-12-21,273.15,286.95,272.05,284.95,272.35,979232
Allcargo Logistics Limited,ALLCARGO,2023-12-20,288.0,290.7,270.3,272.35,286.9,489601
Allcargo Logistics Limited,ALLCARGO,2023-12-19,286.5,292.05,285.3,286.9,286.5,609368
Allcargo Logistics Limited,ALLCARGO,2023-12-18,280.0,289.8,279.65,286.5,281.4,968025
Allcargo Logistics Limited,ALLCARGO,2023-12-15,269.0,284.15,268.1,281.4,269.85,1399705
Allcargo Logistics Limited,ALLCARGO,2023-12-14,272.5,273.15,268.0,269.85,271.25,373140
Allcargo Logistics Limited,ALLCARGO,2023-12-13,268.85,273.2,267.0,271.25,268.9,247113
Allcargo Logistics Limited,ALLCARGO,2023-12-12,271.2,272.3,268.5,268.9,270.65,157103
Allcargo Logistics Limited,ALLCARGO,2023-12-11,272.0,273.65,267.0,270.65,269.05,195706
Allcargo Logistics Limited,ALLCARGO,2023-12-08,271.15,272.9,267.3,269.05,269.85,228605
Allcargo Logistics Limited,ALLCARGO,2023-12-07,270.2,270.45,267.4,269.85,269.2,154345
Allcargo Logistics Limited,ALLCARGO,2023-12-06,272.9,272.9,267.8,269.2,271.75,264984
Allcargo Logistics Limited,ALLCARGO,2023-12-05,266.0,272.95,265.65,271.75,265.95,396598
Allcargo Logistics Limited,ALLCARGO,2023-12-04,269.8,269.8,265.05,265.95,264.95,210146
Allcargo Logistics Limited,ALLCARGO,2023-12-01,263.95,266.85,263.2,264.95,262.5,232034
Allcargo Logistics Limited,ALLCARGO,2023-11-30,269.3,270.55,260.65,262.5,269.25,427946
Allcargo Logistics Limited,ALLCARGO,2023-11-29,268.3,272.3,266.5,269.25,266.2,250740
Allcargo Logistics Limited,ALLCARGO,2023-11-28,264.95,270.0,264.0,266.2,263.4,209004
Allcargo Logistics Limited,ALLCARGO,2023-11-24,267.15,267.95,262.45,263.4,265.85,234963
Allcargo Logistics Limited,ALLCARGO,2023-11-23,270.8,270.9,265.4,265.85,270.55,311663
Allcargo Logistics Limited,ALLCARGO,2023-11-22,275.2,276.85,269.55,270.55,277.1,301518
Allcargo Logistics Limited,ALLCARGO,2023-11-21,279.1,281.75,275.0,277.1,279.1,256062
