StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Alok Industries Limited,ALOKINDS,2024-03-28,26.3,26.4,25.8,25.85,26.1,5506293
Alok Industries Limited,ALOKINDS,2024-03-27,26.7,27.2,26.0,26.1,26.65,4946768
Alok Industries Limited,ALOKINDS,2024-03-26,27.5,27.7,26.6,26.65,27.35,4569939
Alok Industries Limited,ALOKINDS,2024-03-22,27.0,27.95,27.0,27.35,27.05,2420236
Alok Industries Limited,ALOKINDS,2024-03-21,27.0,27.3,26.85,27.05,26.6,2289731
Alok Industries Limited,ALOKINDS,2024-03-20,27.4,27.6,25.8,26.6,27.15,3168975
Alok Industries Limited,ALOKINDS,2024-03-19,27.7,28.0,27.0,27.15,27.7,2890492
Alok Industries Limited,ALOKINDS,2024-03-18,27.4,28.75,27.4,27.7,27.4,2390209
Alok Industries Limited,ALOKINDS,2024-03-15,28.05,28.1,26.9,27.4,28.15,3232195
Alok Industries Limited,ALOKINDS,2024-03-14,26.05,28.35,25.8,28.15,27.15,5960900
Alok Industries Limited,ALOKINDS,2024-03-13,28.5,28.55,27.15,27.15,28.55,3264820
Alok Industries Limited,ALOKINDS,2024-03-12,30.0,30.5,28.4,28.55,29.9,3750144
Alok Industries Limited,ALOKINDS,2024-03-11,32.0,32.0,29.65,29.9,30.5,7925918
Alok Industries Limited,ALOKINDS,2024-03-07,30.5,30.5,29.9,30.5,29.05,8862660
Alok Industries Limited,ALOKINDS,2024-03-06,29.05,29.05,29.05,29.05,27.7,3495385
Alok Industries Limited,ALOKINDS,2024-03-05,28.3,28.35,27.6,27.7,28.1,2237705
Alok Industries Limited,ALOKINDS,2024-03-04,29.0,29.0,28.05,28.1,28.7,2269527
Alok Industries Limited,ALOKINDS,2024-03-02,28.85,29.1,28.0,28.7,28.65,745061
Alok Industries Limited,ALOKINDS,2024-03-01,29.4,29.55,28.6,28.65,28.85,2518374
Alok Industries Limited,ALOKINDS,2024-02-29,28.05,29.25,27.4,28.85,27.9,3653924
Alok Industries Limited,ALOKINDS,2024-02-28,28.9,29.4,27.5,27.9,28.9,3646516
Alok Industries Limited,ALOKINDS,2024-02-27,29.7,29.75,28.7,28.9,29.7,2485616
Alok Industries Limited,ALOKINDS,2024-02-26,30.05,30.5,29.6,29.7,29.65,4550216
Alok Industries Limited,ALOKINDS,2024-02-23,28.65,29.9,28.5,29.65,28.55,5973666
Alok Industries Limited,ALOKINDS,2024-02-22,28.5,28.8,28.0,28.55,28.5,2653186
Alok Industries Limited,ALOKINDS,2024-02-21,29.3,29.4,28.45,28.5,29.05,3099819
Alok Industries Limited,ALOKINDS,2024-02-20,29.5,29.7,29.0,29.05,29.4,2392311
