StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Ambuja Cements Limited,AMBUJACEM,2024-03-28,607.0,613.7,607.0,612.35,601.5,5
Ambuja Cements Limited,AMBUJACEM,2024-03-28,607.5,617.0,602.25,612.35,601.5,3861492
Ambuja Cements Limited,AMBUJACEM,2024-03-27,598.0,610.0,596.95,601.5,595.05,5070366
Ambuja Cements Limited,AMBUJACEM,2024-03-26,589.35,600.4,586.5,595.05,589.35,2175165
Ambuja Cements Limited,AMBUJACEM,2024-03-22,588.0,594.7,581.55,589.35,587.2,1818091
Ambuja Cements Limited,AMBUJACEM,2024-03-21,580.0,590.9,580.0,587.2,576.35,1977799
Ambuja Cements Limited,AMBUJACEM,2024-03-20,581.35,587.5,566.6,576.35,580.3,1678012
Ambuja Cements Limited,AMBUJACEM,2024-03-19,582.0,588.6,572.55,580.3,584.65,2021483
Ambuja Cements Limited,AMBUJACEM,2024-03-18,595.0,595.0,582.2,584.65,600.75,6348109
Ambuja Cements Limited,AMBUJACEM,2024-03-15,583.8,603.85,575.85,600.75,582.45,3693325
Ambuja Cements Limited,AMBUJACEM,2024-03-14,555.5,584.7,551.7,582.45,559.25,3200499
Ambuja Cements Limited,AMBUJACEM,2024-03-13,589.35,590.35,550.8,559.25,587.55,5946259
Ambuja Cements Limited,AMBUJACEM,2024-03-12,605.0,605.9,584.05,587.55,602.05,2900178
Ambuja Cements Limited,AMBUJACEM,2024-03-11,604.9,612.4,600.2,602.05,603.15,2547145
Ambuja Cements Limited,AMBUJACEM,2024-03-07,598.3,606.6,596.5,603.15,598.3,2393414
Ambuja Cements Limited,AMBUJACEM,2024-03-06,612.95,613.65,595.5,598.3,613.1,4127035
Ambuja Cements Limited,AMBUJACEM,2024-03-05,625.0,625.0,610.8,613.1,617.15,2430074
Ambuja Cements Limited,AMBUJACEM,2024-03-04,621.25,621.75,612.55,617.15,617.9,1878206
Ambuja Cements Limited,AMBUJACEM,2024-03-02,619.9,621.0,615.35,617.9,617.6,468561
Ambuja Cements Limited,AMBUJACEM,2024-03-01,608.1,620.0,607.0,617.6,605.9,4011709
Ambuja Cements Limited,AMBUJACEM,2024-02-29,589.25,609.7,584.0,605.9,589.25,3263796
Ambuja Cements Limited,AMBUJACEM,2024-02-28,603.9,606.0,585.1,589.25,603.35,2831925
Ambuja Cements Limited,AMBUJACEM,2024-02-27,607.95,612.5,599.0,603.35,608.6,3604237
Ambuja Cements Limited,AMBUJACEM,2024-02-26,602.95,615.25,602.6,608.6,602.95,5715227
Ambuja Cements Limited,AMBUJACEM,2024-02-23,593.8,608.7,587.25,602.95,592.75,4824640
Ambuja Cements Limited,AMBUJACEM,2024-02-22,593.0,595.0,583.0,592.75,587.8,1838366
Ambuja Cements Limited,AMBUJACEM,2024-02-21,591.9,596.7,583.25,587.8,588.8,4209055
Ambuja Cements Limited,AMBUJACEM,2024-02-20,584.85,590.0,579.45,588.8,584.85,1867263
Ambuja Cements Limited,AMBUJACEM,2024-02-19,588.8,594.0,581.9,584.85,585.1,3141571
Ambuja Cements Limited,AMBUJACEM,2024-02-16,573.2,590.65,573.05,585.1,572.25,9619487
Ambuja Cements Limited,AMBUJACEM,2024-02-15,573.9,574.8,568.85,572.25,570.9,1240706
Ambuja Cements Limited,AMBUJACEM,2024-02-14,560.15,573.35,559.65,570.9,568.25,2094616
Ambuja Cements Limited,AMBUJACEM,2024-02-13,566.35,570.0,552.5,568.25,563.5,2529788
Ambuja Cements Limited,AMBUJACEM,2024-02-12,582.1,587.2,560.25,563.5,576.2,3475737
Ambuja Cements Limited,AMBUJACEM,2024-02-09,564.7,582.25,552.55,576.2,563.35,6956624
Ambuja Cements Limited,AMBUJACEM,2024-02-08,570.0,571.25,559.65,563.35,568.2,2089376
Ambuja Cements Limited,AMBUJACEM,2024-02-07,570.0,575.95,564.3,568.2,566.6,2248160
Ambuja Cements Limited,AMBUJACEM,2024-02-06,558.95,568.0,549.95,566.6,555.0,2969565
Ambuja Cements Limited,AMBUJACEM,2024-02-05,560.0,563.15,551.0,555.0,557.4,2366641
Ambuja Cements Limited,AMBUJACEM,2024-02-02,570.65,572.25,554.55,557.4,565.05,3263916
Ambuja Cements Limited,AMBUJACEM,2024-02-01,568.0,569.8,554.05,565.05,560.3,6228014
Ambuja Cements Limited,AMBUJACEM,2024-01-31,573.4,586.45,547.0,560.3,570.85,13741694
Ambuja Cements Limited,AMBUJACEM,2024-01-30,574.2,583.95,568.05,570.85,574.1,4572466
Ambuja Cements Limited,AMBUJACEM,2024-01-29,570.9,578.9,562.8,574.1,560.15,7828638
Ambuja Cements Limited,AMBUJACEM,2024-01-25,530.0,566.0,526.35,560.15,527.45,8019238
Ambuja Cements Limited,AMBUJACEM,2024-01-24,525.05,531.0,514.5,527.45,525.05,3893697
Ambuja Cements Limited,AMBUJACEM,2024-01-23,543.8,543.8,517.05,525.05,540.75,2682760
Ambuja Cements Limited,AMBUJACEM,2024-01-20,538.0,546.0,532.1,540.75,537.1,2579032
Ambuja Cements Limited,AMBUJACEM,2024-01-19,526.85,538.0,525.25,537.1,524.15,2661086
Ambuja Cements Limited,AMBUJACEM,2024-01-18,522.65,526.95,509.0,524.15,520.55,2084710
