StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Anupam Rasayan India Limited,ANURAS,2024-03-28,865.0,878.8,860.55,870.45,863.1,61827
Anupam Rasayan India Limited,ANURAS,2024-03-27,879.6,882.0,850.0,863.1,880.4,90042
Anupam Rasayan India Limited,ANURAS,2024-03-26,886.25,889.95,870.0,880.4,887.8,53528
Anupam Rasayan India Limited,ANURAS,2024-03-22,892.65,895.1,885.0,887.8,892.65,75899
Anupam Rasayan India Limited,ANURAS,2024-03-21,892.65,905.55,887.0,892.65,890.55,79780
Anupam Rasayan India Limited,ANURAS,2024-03-20,898.9,900.45,889.0,890.55,899.6,31125
Anupam Rasayan India Limited,ANURAS,2024-03-19,908.9,914.95,895.05,899.6,911.35,83595
Anupam Rasayan India Limited,ANURAS,2024-03-18,906.8,920.0,902.0,911.35,910.05,38613
Anupam Rasayan India Limited,ANURAS,2024-03-15,923.9,925.5,901.05,910.05,923.75,101447
Anupam Rasayan India Limited,ANURAS,2024-03-14,895.95,929.5,892.0,923.75,914.0,106695
Anupam Rasayan India Limited,ANURAS,2024-03-13,932.85,934.6,900.0,914.0,932.9,111736
Anupam Rasayan India Limited,ANURAS,2024-03-12,949.9,949.9,921.0,932.9,948.5,64098
Anupam Rasayan India Limited,ANURAS,2024-03-11,936.65,954.4,920.1,948.5,936.65,109518
Anupam Rasayan India Limited,ANURAS,2024-03-07,953.85,957.35,917.15,936.65,953.85,181166
Anupam Rasayan India Limited,ANURAS,2024-03-06,955.25,961.0,940.5,953.85,957.55,141854
Anupam Rasayan India Limited,ANURAS,2024-03-05,960.0,960.0,945.05,957.55,956.7,94269
Anupam Rasayan India Limited,ANURAS,2024-03-04,945.0,966.0,945.0,956.7,958.1,95672
Anupam Rasayan India Limited,ANURAS,2024-03-02,955.0,960.85,953.0,958.1,958.25,9637
Anupam Rasayan India Limited,ANURAS,2024-03-01,963.0,963.0,954.0,958.25,956.3,52904
Anupam Rasayan India Limited,ANURAS,2024-02-29,948.4,961.0,939.05,956.3,954.25,73351
Anupam Rasayan India Limited,ANURAS,2024-02-28,955.0,957.4,945.0,954.25,953.0,78045
Anupam Rasayan India Limited,ANURAS,2024-02-27,937.9,955.0,937.9,953.0,941.65,53802
Anupam Rasayan India Limited,ANURAS,2024-02-26,946.65,961.45,937.4,941.65,940.45,117667
Anupam Rasayan India Limited,ANURAS,2024-02-23,925.0,945.0,920.0,940.45,921.45,115787
