StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Alembic Pharmaceuticals Limited,APLLTD,2024-03-28,994.0,997.35,969.6,984.8,984.75,141639
Alembic Pharmaceuticals Limited,APLLTD,2024-03-27,958.7,989.0,958.7,984.75,967.5,134979
Alembic Pharmaceuticals Limited,APLLTD,2024-03-26,951.7,972.7,947.3,967.5,957.4,58691
Alembic Pharmaceuticals Limited,APLLTD,2024-03-22,958.8,967.6,950.0,957.4,965.05,51337
Alembic Pharmaceuticals Limited,APLLTD,2024-03-21,957.05,970.0,942.65,965.05,945.45,209400
Alembic Pharmaceuticals Limited,APLLTD,2024-03-20,928.3,968.5,928.3,945.45,934.0,120261
Alembic Pharmaceuticals Limited,APLLTD,2024-03-19,968.05,968.05,924.25,934.0,963.25,119068
Alembic Pharmaceuticals Limited,APLLTD,2024-03-18,951.7,978.9,937.55,963.25,946.75,130439
Alembic Pharmaceuticals Limited,APLLTD,2024-03-15,920.0,959.65,920.0,946.75,927.0,66709
Alembic Pharmaceuticals Limited,APLLTD,2024-03-14,927.0,939.7,915.25,927.0,919.4,112990
Alembic Pharmaceuticals Limited,APLLTD,2024-03-13,992.0,997.95,901.8,919.4,980.35,166114
Alembic Pharmaceuticals Limited,APLLTD,2024-03-12,972.4,990.95,950.25,980.35,978.25,148399
Alembic Pharmaceuticals Limited,APLLTD,2024-03-11,997.3,999.0,974.4,978.25,999.25,106713
Alembic Pharmaceuticals Limited,APLLTD,2024-03-07,997.8,1018.4,994.6,999.25,998.85,185555
Alembic Pharmaceuticals Limited,APLLTD,2024-03-06,1023.6,1032.45,992.75,998.85,1029.7,107665
Alembic Pharmaceuticals Limited,APLLTD,2024-03-05,1007.9,1033.0,1001.0,1029.7,1004.75,170824
Alembic Pharmaceuticals Limited,APLLTD,2024-03-04,1043.0,1052.35,1001.2,1004.75,1048.0,78755
Alembic Pharmaceuticals Limited,APLLTD,2024-03-02,1055.0,1080.0,1034.3,1048.0,1055.0,7474
Alembic Pharmaceuticals Limited,APLLTD,2024-03-01,1025.0,1080.0,1018.1,1055.0,1019.65,101473
Alembic Pharmaceuticals Limited,APLLTD,2024-02-29,1033.7,1035.0,1012.0,1019.65,1028.7,143721
Alembic Pharmaceuticals Limited,APLLTD,2024-02-28,1050.3,1055.45,1014.05,1028.7,1050.3,81705
Alembic Pharmaceuticals Limited,APLLTD,2024-02-27,1050.0,1063.65,1036.7,1050.3,1047.45,66557
Alembic Pharmaceuticals Limited,APLLTD,2024-02-26,1050.25,1067.4,1030.85,1047.45,1048.35,183145
Alembic Pharmaceuticals Limited,APLLTD,2024-02-23,1085.0,1085.0,1042.95,1048.35,1079.55,145566
Alembic Pharmaceuticals Limited,APLLTD,2024-02-22,1068.4,1086.95,1062.65,1079.55,1075.15,187577
Alembic Pharmaceuticals Limited,APLLTD,2024-02-21,1051.0,1094.0,1030.1,1075.15,1048.0,449749
Alembic Pharmaceuticals Limited,APLLTD,2024-02-20,1009.2,1060.5,1001.65,1048.0,1004.2,485629
Alembic Pharmaceuticals Limited,APLLTD,2024-02-19,1003.2,1026.85,987.3,1004.2,1003.3,96189
Alembic Pharmaceuticals Limited,APLLTD,2024-02-16,1010.0,1012.4,990.55,1003.3,1003.85,189453
