StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-03-28,6231.45,6425.6,6112.5,6356.8,6231.45,818070
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-03-27,6355.0,6399.4,6220.0,6231.45,6322.45,603420
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-03-26,6398.0,6463.45,6309.5,6322.45,6375.9,629120
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-03-22,6169.15,6390.9,6168.7,6375.9,6182.5,727548
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-03-21,6189.9,6214.4,6105.6,6182.5,6174.05,350032
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-03-20,6148.0,6200.7,6073.45,6174.05,6113.2,413963
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-03-19,6077.0,6125.7,6034.05,6113.2,6136.55,542392
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-03-18,5997.75,6144.95,5978.65,6136.55,5983.2,419258
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-03-15,6015.0,6030.85,5941.6,5983.2,6023.15,764270
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-03-14,6008.4,6095.0,5980.0,6023.15,6008.4,439181
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-03-13,6180.0,6180.0,5956.05,6008.4,6144.8,356191
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-03-12,6240.0,6274.25,6107.5,6144.8,6204.7,482112
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-03-11,6048.8,6225.0,6036.1,6204.7,6048.8,521556
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-03-07,6065.5,6142.85,6032.0,6048.8,6054.3,738112
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-03-06,6025.0,6078.9,5945.0,6054.3,6061.1,588776
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-03-05,6035.05,6103.5,5976.2,6061.1,6033.3,724456
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-03-04,6145.0,6171.75,6022.85,6033.3,6133.3,551616
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-03-02,6169.95,6169.95,6119.95,6133.3,6085.4,33927
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-03-01,6102.0,6107.0,5941.85,6085.4,6101.6,1749136
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-02-29,6392.55,6392.55,6062.05,6101.6,6362.35,1543361
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-02-28,6630.0,6630.0,6345.3,6362.35,6620.6,536602
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-02-27,6588.0,6668.45,6570.0,6620.6,6584.0,313760
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-02-26,6769.95,6791.75,6570.9,6584.0,6774.05,453443
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-02-23,6779.0,6786.8,6723.1,6774.05,6769.2,352524
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-02-22,6765.0,6874.45,6690.05,6769.2,6760.15,564432
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-02-21,6784.95,6821.95,6717.3,6760.15,6759.45,537325
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-02-20,6667.5,6785.0,6637.85,6759.45,6657.15,559251
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-02-19,6620.0,6675.95,6511.05,6657.15,6600.55,334607
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-02-16,6631.05,6660.45,6525.1,6600.55,6627.6,391508
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-02-15,6750.0,6764.4,6585.6,6627.6,6754.1,446114
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-02-14,6718.8,6775.0,6700.0,6754.1,6718.9,452781
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-02-13,6614.45,6740.0,6598.25,6718.9,6614.45,521773
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-02-12,6464.9,6677.8,6375.0,6614.45,6437.35,709946
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-02-09,6269.4,6473.95,6213.6,6437.35,6231.0,933104
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-02-08,6201.5,6363.2,6150.0,6231.0,6177.95,794455
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-02-07,6237.75,6248.85,6155.0,6177.95,6197.3,323738
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-02-06,6259.95,6297.9,6155.05,6197.3,6234.5,326654
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-02-05,6320.55,6346.6,6209.2,6234.5,6320.55,147909
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-02-02,6320.0,6359.05,6291.3,6320.55,6287.95,239428
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-02-01,6289.65,6377.0,6267.8,6287.95,6352.95,255111
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-01-31,6280.0,6371.65,6255.55,6352.95,6309.8,499281
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-01-30,6331.0,6387.85,6283.8,6309.8,6329.75,304312
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-01-29,6199.05,6349.0,6177.8,6329.75,6168.85,554591
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-01-25,6210.05,6238.2,6119.1,6168.85,6213.35,337391
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-01-24,6153.55,6230.0,6083.35,6213.35,6153.75,435151
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-01-23,6428.0,6428.7,6133.65,6153.75,6122.55,982889
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-01-20,6120.0,6220.0,6073.0,6122.55,6094.65,249694
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-01-19,5987.0,6120.0,5951.0,6094.65,5990.85,326813
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-01-18,5959.0,6028.95,5838.0,5990.85,5925.9,591170
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-01-17,5872.85,5980.35,5831.25,5925.9,5904.55,378205
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-01-16,5882.0,5967.45,5829.0,5904.55,5896.4,347797
Apollo Hospitals Enterprise Limited,APOLLOHOSP,2024-01-15,5835.0,5924.15,5804.0,5896.4,5795.7,375458
