StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Apollo Tyres Limited,APOLLOTYRE,2024-03-28,468.0,470.65,462.7,466.45,467.7,1161982
Apollo Tyres Limited,APOLLOTYRE,2024-03-27,472.0,476.45,466.3,467.7,471.45,1248009
Apollo Tyres Limited,APOLLOTYRE,2024-03-26,469.5,474.25,465.1,471.45,468.35,1494231
Apollo Tyres Limited,APOLLOTYRE,2024-03-22,463.0,471.35,457.2,468.35,461.0,1670126
Apollo Tyres Limited,APOLLOTYRE,2024-03-21,456.6,462.75,453.6,461.0,452.05,1351780
Apollo Tyres Limited,APOLLOTYRE,2024-03-20,459.7,459.7,444.0,452.05,454.95,1714931
Apollo Tyres Limited,APOLLOTYRE,2024-03-19,458.0,458.0,441.65,454.95,458.1,2469179
Apollo Tyres Limited,APOLLOTYRE,2024-03-18,475.0,475.9,457.2,458.1,472.95,5046215
Apollo Tyres Limited,APOLLOTYRE,2024-03-15,501.1,503.35,470.7,472.95,502.55,2923532
Apollo Tyres Limited,APOLLOTYRE,2024-03-14,493.35,505.55,481.75,502.55,492.1,2421237
Apollo Tyres Limited,APOLLOTYRE,2024-03-13,510.45,514.55,489.0,492.1,507.1,2850815
Apollo Tyres Limited,APOLLOTYRE,2024-03-12,508.0,512.4,500.7,507.1,510.65,2396316
Apollo Tyres Limited,APOLLOTYRE,2024-03-11,519.8,519.8,499.35,510.65,516.7,3071219
Apollo Tyres Limited,APOLLOTYRE,2024-03-07,536.5,536.5,515.55,516.7,535.3,2393023
Apollo Tyres Limited,APOLLOTYRE,2024-03-06,542.0,542.95,524.85,535.3,542.0,1088131
Apollo Tyres Limited,APOLLOTYRE,2024-03-05,536.45,546.0,534.05,542.0,535.1,2474793
Apollo Tyres Limited,APOLLOTYRE,2024-03-04,530.55,537.85,521.7,535.1,531.2,1620165
Apollo Tyres Limited,APOLLOTYRE,2024-03-02,532.0,533.4,528.65,531.2,529.8,118708
Apollo Tyres Limited,APOLLOTYRE,2024-03-01,519.45,532.6,519.45,529.8,518.5,1375573
Apollo Tyres Limited,APOLLOTYRE,2024-02-29,509.7,521.0,505.6,518.5,507.5,1504165
Apollo Tyres Limited,APOLLOTYRE,2024-02-28,518.4,522.1,505.65,507.5,518.05,1012079
Apollo Tyres Limited,APOLLOTYRE,2024-02-27,526.25,528.35,515.55,518.05,526.25,873528
Apollo Tyres Limited,APOLLOTYRE,2024-02-26,524.5,530.05,519.65,526.25,523.75,1059568
Apollo Tyres Limited,APOLLOTYRE,2024-02-23,524.0,528.05,520.75,523.75,522.85,736032
Apollo Tyres Limited,APOLLOTYRE,2024-02-22,519.5,524.55,513.1,522.85,516.25,716238
Apollo Tyres Limited,APOLLOTYRE,2024-02-21,521.0,525.0,514.0,516.25,518.2,846319
Apollo Tyres Limited,APOLLOTYRE,2024-02-20,531.0,532.8,516.05,518.2,531.8,1786636
Apollo Tyres Limited,APOLLOTYRE,2024-02-19,530.0,537.2,527.05,531.8,528.65,1638779
