StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Asahi India Glass Limited,ASAHIINDIA,2024-03-28,533.0,543.4,531.75,536.35,533.85,96737
Asahi India Glass Limited,ASAHIINDIA,2024-03-27,529.45,540.0,529.45,533.85,528.8,155368
Asahi India Glass Limited,ASAHIINDIA,2024-03-26,533.0,540.0,524.75,528.8,530.8,100724
Asahi India Glass Limited,ASAHIINDIA,2024-03-22,520.45,533.9,515.5,530.8,520.45,61863
Asahi India Glass Limited,ASAHIINDIA,2024-03-21,513.55,526.0,513.55,520.45,511.2,77985
Asahi India Glass Limited,ASAHIINDIA,2024-03-20,516.25,520.3,508.6,511.2,516.25,288941
Asahi India Glass Limited,ASAHIINDIA,2024-03-19,506.5,523.45,501.55,516.25,506.5,445101
Asahi India Glass Limited,ASAHIINDIA,2024-03-18,509.0,515.75,505.0,506.5,509.5,35536
Asahi India Glass Limited,ASAHIINDIA,2024-03-15,520.45,523.15,505.3,509.5,519.85,58955
Asahi India Glass Limited,ASAHIINDIA,2024-03-14,510.0,532.45,506.0,519.85,512.55,112078
Asahi India Glass Limited,ASAHIINDIA,2024-03-13,517.65,521.95,507.0,512.55,517.65,159906
Asahi India Glass Limited,ASAHIINDIA,2024-03-12,522.0,524.65,516.4,517.65,523.0,75876
Asahi India Glass Limited,ASAHIINDIA,2024-03-11,520.95,527.3,510.55,523.0,520.95,121579
Asahi India Glass Limited,ASAHIINDIA,2024-03-07,524.3,529.0,518.0,520.95,520.3,66592
Asahi India Glass Limited,ASAHIINDIA,2024-03-06,534.05,535.45,518.1,520.3,534.85,205467
Asahi India Glass Limited,ASAHIINDIA,2024-03-05,534.45,537.5,528.2,534.85,534.45,49586
Asahi India Glass Limited,ASAHIINDIA,2024-03-04,535.05,537.5,528.0,534.45,534.3,52177
Asahi India Glass Limited,ASAHIINDIA,2024-03-02,536.95,537.9,530.1,534.3,532.5,3677
Asahi India Glass Limited,ASAHIINDIA,2024-03-01,541.05,542.0,528.5,532.5,535.4,133523
Asahi India Glass Limited,ASAHIINDIA,2024-02-29,529.9,540.9,525.05,535.4,535.25,113184
Asahi India Glass Limited,ASAHIINDIA,2024-02-28,539.95,540.0,529.2,535.25,535.8,107247
Asahi India Glass Limited,ASAHIINDIA,2024-02-27,535.1,538.95,532.45,535.8,536.1,52764
Asahi India Glass Limited,ASAHIINDIA,2024-02-26,536.55,540.3,529.15,536.1,535.85,106387
Asahi India Glass Limited,ASAHIINDIA,2024-02-23,539.95,540.0,531.8,535.85,535.95,67579
Asahi India Glass Limited,ASAHIINDIA,2024-02-22,532.7,539.9,526.8,535.95,531.05,97678
Asahi India Glass Limited,ASAHIINDIA,2024-02-21,538.7,539.95,528.0,531.05,536.85,58811
Asahi India Glass Limited,ASAHIINDIA,2024-02-20,541.9,541.9,535.2,536.85,538.7,44721
Asahi India Glass Limited,ASAHIINDIA,2024-02-19,545.3,547.45,535.0,538.7,543.65,54686
Asahi India Glass Limited,ASAHIINDIA,2024-02-16,542.0,549.0,541.5,543.65,540.15,58960
