StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Asian Paints Limited,ASIANPAINT,2024-03-28,2835.05,2868.0,2819.0,2846.75,2830.5,1864623
Asian Paints Limited,ASIANPAINT,2024-03-27,2817.95,2842.85,2817.7,2830.5,2814.65,1156231
Asian Paints Limited,ASIANPAINT,2024-03-26,2820.0,2844.15,2810.0,2814.65,2841.5,1372390
Asian Paints Limited,ASIANPAINT,2024-03-22,2821.15,2855.15,2808.0,2841.5,2821.15,1652689
Asian Paints Limited,ASIANPAINT,2024-03-21,2845.0,2845.4,2806.0,2821.15,2824.9,1167680
Asian Paints Limited,ASIANPAINT,2024-03-20,2815.1,2837.05,2797.55,2824.9,2815.1,818910
Asian Paints Limited,ASIANPAINT,2024-03-19,2840.0,2840.0,2801.0,2815.1,2846.5,1199135
Asian Paints Limited,ASIANPAINT,2024-03-18,2866.0,2866.0,2817.25,2846.5,2867.55,940424
Asian Paints Limited,ASIANPAINT,2024-03-15,2895.0,2896.95,2850.0,2867.55,2892.25,1356226
Asian Paints Limited,ASIANPAINT,2024-03-14,2860.0,2898.05,2841.0,2892.25,2860.15,1381741
Asian Paints Limited,ASIANPAINT,2024-03-13,2878.6,2887.25,2835.0,2860.15,2876.15,955841
Asian Paints Limited,ASIANPAINT,2024-03-12,2880.0,2899.9,2865.45,2876.15,2876.85,663186
Asian Paints Limited,ASIANPAINT,2024-03-11,2895.55,2896.55,2853.1,2876.85,2870.55,866546
Asian Paints Limited,ASIANPAINT,2024-03-07,2825.0,2894.0,2825.0,2870.55,2827.3,1564364
Asian Paints Limited,ASIANPAINT,2024-03-06,2827.95,2839.0,2777.75,2827.3,2820.4,1723066
Asian Paints Limited,ASIANPAINT,2024-03-05,2834.0,2834.85,2805.0,2820.4,2831.75,736381
Asian Paints Limited,ASIANPAINT,2024-03-04,2860.0,2860.95,2828.0,2831.75,2849.8,971299
Asian Paints Limited,ASIANPAINT,2024-03-02,2840.0,2862.1,2836.05,2849.8,2831.75,89988
Asian Paints Limited,ASIANPAINT,2024-03-01,2832.9,2845.95,2815.05,2831.75,2821.9,978174
Asian Paints Limited,ASIANPAINT,2024-02-29,2785.0,2838.0,2776.75,2821.9,2794.35,2284424
Asian Paints Limited,ASIANPAINT,2024-02-28,2850.15,2859.4,2785.5,2794.35,2859.55,2472196
Asian Paints Limited,ASIANPAINT,2024-02-27,2855.0,2870.0,2850.1,2859.55,2868.45,1296180
Asian Paints Limited,ASIANPAINT,2024-02-26,2920.0,2930.0,2847.8,2868.45,2985.95,3524491
Asian Paints Limited,ASIANPAINT,2024-02-23,2999.0,3005.0,2966.2,2985.95,3017.4,1650523
Asian Paints Limited,ASIANPAINT,2024-02-22,2983.0,3027.2,2932.1,3017.4,3001.8,2615821
Asian Paints Limited,ASIANPAINT,2024-02-21,3012.05,3026.75,2983.5,3001.8,3011.65,927130
Asian Paints Limited,ASIANPAINT,2024-02-20,2998.1,3017.1,2972.1,3011.65,2998.1,729371
Asian Paints Limited,ASIANPAINT,2024-02-19,3007.9,3018.7,2987.5,2998.1,3007.9,560700
Asian Paints Limited,ASIANPAINT,2024-02-16,3035.0,3035.0,3000.0,3007.9,3016.55,1179473
Asian Paints Limited,ASIANPAINT,2024-02-15,2980.0,3024.5,2967.45,3016.55,2976.4,1068730
Asian Paints Limited,ASIANPAINT,2024-02-14,2969.9,2980.8,2936.05,2976.4,2971.6,750339
Asian Paints Limited,ASIANPAINT,2024-02-13,2964.95,2981.25,2945.7,2971.6,2953.8,717118
Asian Paints Limited,ASIANPAINT,2024-02-12,2951.65,2964.95,2920.05,2953.8,2951.65,614469
Asian Paints Limited,ASIANPAINT,2024-02-09,2930.0,2959.0,2910.55,2951.65,2929.6,1144765
Asian Paints Limited,ASIANPAINT,2024-02-08,2999.75,2999.75,2919.8,2929.6,2981.15,1633654
Asian Paints Limited,ASIANPAINT,2024-02-07,2957.0,3002.95,2936.05,2981.15,2930.95,1134012
Asian Paints Limited,ASIANPAINT,2024-02-06,2931.0,2947.0,2902.65,2930.95,2917.35,1471312
Asian Paints Limited,ASIANPAINT,2024-02-05,2950.0,2965.0,2912.0,2917.35,2936.3,923435
Asian Paints Limited,ASIANPAINT,2024-02-02,2950.0,2962.35,2924.05,2936.3,2929.35,1881911
Asian Paints Limited,ASIANPAINT,2024-02-01,2961.0,2972.85,2919.95,2929.35,2957.85,3006472
Asian Paints Limited,ASIANPAINT,2024-01-31,2966.0,2971.9,2948.05,2957.85,2954.1,1771244
Asian Paints Limited,ASIANPAINT,2024-01-30,2990.0,3005.0,2951.05,2954.1,2976.05,1273188
Asian Paints Limited,ASIANPAINT,2024-01-29,2940.05,2988.45,2940.05,2976.05,2949.2,1862723
Asian Paints Limited,ASIANPAINT,2024-01-25,3010.05,3016.0,2942.3,2949.2,2999.45,2001961
Asian Paints Limited,ASIANPAINT,2024-01-25,2999.45,2999.45,2999.45,2999.45,3055.4,66453
Asian Paints Limited,ASIANPAINT,2024-01-24,3055.0,3055.0,2976.1,2999.45,3054.7,2665932
Asian Paints Limited,ASIANPAINT,2024-01-23,3087.55,3109.0,3021.55,3054.7,3138.8,2365225
Asian Paints Limited,ASIANPAINT,2024-01-20,3179.9,3189.2,3130.35,3138.8,3165.85,275937
Asian Paints Limited,ASIANPAINT,2024-01-19,3177.8,3201.55,3148.6,3165.85,3163.85,936201
Asian Paints Limited,ASIANPAINT,2024-01-18,3257.95,3257.95,3048.6,3163.85,3242.3,1979174
Asian Paints Limited,ASIANPAINT,2024-01-17,3294.1,3304.35,3193.05,3242.3,3296.9,2239241
Asian Paints Limited,ASIANPAINT,2024-01-16,3274.95,3320.0,3273.9,3296.9,3273.9,748215
Asian Paints Limited,ASIANPAINT,2024-01-15,3282.2,3287.2,3258.6,3273.9,3277.8,728116
Asian Paints Limited,ASIANPAINT,2024-01-12,3294.95,3294.95,3244.0,3277.8,3288.2,673004
Asian Paints Limited,ASIANPAINT,2024-01-11,3286.85,3309.2,3270.7,3288.2,3286.85,537469
Asian Paints Limited,ASIANPAINT,2024-01-10,3292.0,3293.0,3258.2,3286.85,3267.5,691087
Asian Paints Limited,ASIANPAINT,2024-01-09,3310.0,3315.0,3262.25,3267.5,3298.4,670704
Asian Paints Limited,ASIANPAINT,2024-01-08,3355.0,3376.5,3294.85,3298.4,3355.55,545884
Asian Paints Limited,ASIANPAINT,2024-01-05,3379.95,3380.4,3348.0,3355.55,3379.95,416956
Asian Paints Limited,ASIANPAINT,2024-01-04,3372.0,3401.25,3363.8,3379.95,3373.6,777127
Asian Paints Limited,ASIANPAINT,2024-01-03,3391.35,3399.0,3365.0,3373.6,3391.35,379131
Asian Paints Limited,ASIANPAINT,2024-01-02,3396.0,3398.9,3345.0,3391.35,3396.1,552394
Asian Paints Limited,ASIANPAINT,2024-01-01,3403.0,3411.8,3389.15,3396.1,3402.4,283951
Asian Paints Limited,ASIANPAINT,2023-12-29,3410.0,3422.95,3383.9,3402.4,3397.25,615676
Asian Paints Limited,ASIANPAINT,2023-12-28,3405.0,3419.95,3373.05,3397.25,3404.45,779250
Asian Paints Limited,ASIANPAINT,2023-12-27,3381.05,3409.95,3354.0,3404.45,3383.35,837182
Asian Paints Limited,ASIANPAINT,2023-12-26,3349.95,3391.9,3345.2,3383.35,3341.3,600190
Asian Paints Limited,ASIANPAINT,2023-12-22,3309.9,3350.8,3287.0,3341.3,3302.95,930563
Asian Paints Limited,ASIANPAINT,2023-12-21,3280.0,3320.0,3271.85,3302.95,3297.15,1585879
Asian Paints Limited,ASIANPAINT,2023-12-20,3336.05,3359.95,3282.65,3297.15,3336.05,979762
Asian Paints Limited,ASIANPAINT,2023-12-19,3335.95,3353.9,3300.15,3336.05,3332.05,780448
Asian Paints Limited,ASIANPAINT,2023-12-18,3313.0,3335.8,3296.0,3332.05,3313.9,911936
Asian Paints Limited,ASIANPAINT,2023-12-15,3250.0,3326.35,3242.0,3313.9,3241.35,1631687
Asian Paints Limited,ASIANPAINT,2023-12-14,3255.0,3258.6,3218.0,3241.35,3243.65,923107
Asian Paints Limited,ASIANPAINT,2023-12-13,3240.0,3254.95,3190.3,3243.65,3224.75,1052079
Asian Paints Limited,ASIANPAINT,2023-12-12,3228.0,3257.05,3210.0,3224.75,3233.0,1019030
Asian Paints Limited,ASIANPAINT,2023-12-11,3230.0,3245.0,3185.5,3233.0,3232.0,910426
Asian Paints Limited,ASIANPAINT,2023-12-08,3255.0,3269.8,3227.8,3232.0,3251.8,895852
Asian Paints Limited,ASIANPAINT,2023-12-07,3284.0,3299.95,3246.85,3251.8,3252.55,1071725
Asian Paints Limited,ASIANPAINT,2023-12-06,3265.0,3289.0,3232.95,3252.55,3226.25,1229158
Asian Paints Limited,ASIANPAINT,2023-12-05,3197.0,3247.65,3180.0,3226.25,3194.55,1005550
Asian Paints Limited,ASIANPAINT,2023-12-04,3190.0,3204.45,3166.5,3194.55,3173.4,1018189
Asian Paints Limited,ASIANPAINT,2023-12-01,3146.95,3190.6,3140.25,3173.4,3119.9,960196
Asian Paints Limited,ASIANPAINT,2023-11-30,3148.35,3153.95,3108.35,3119.9,3148.35,1793116
Asian Paints Limited,ASIANPAINT,2023-11-29,3148.35,3170.0,3142.0,3148.35,3148.35,620725
Asian Paints Limited,ASIANPAINT,2023-11-28,3141.15,3160.0,3136.15,3148.35,3136.15,647883
Asian Paints Limited,ASIANPAINT,2023-11-24,3118.0,3139.8,3111.0,3136.15,3122.95,756329
Asian Paints Limited,ASIANPAINT,2023-11-23,3148.0,3171.4,3115.15,3122.95,3133.0,792460
Asian Paints Limited,ASIANPAINT,2023-11-22,3140.0,3157.0,3121.2,3133.0,3133.25,489889
Asian Paints Limited,ASIANPAINT,2023-11-21,3156.9,3156.9,3127.0,3133.25,3140.35,409069
Asian Paints Limited,ASIANPAINT,2023-11-20,3168.9,3171.9,3132.0,3140.35,3168.9,406431
Asian Paints Limited,ASIANPAINT,2023-11-17,3150.0,3228.25,3145.65,3168.9,3130.3,1430175
Asian Paints Limited,ASIANPAINT,2023-11-16,3119.0,3140.9,3097.6,3130.3,3116.2,675454
Asian Paints Limited,ASIANPAINT,2023-11-15,3085.7,3118.85,3078.7,3116.2,3085.6,700017
Asian Paints Limited,ASIANPAINT,2023-11-13,3098.0,3098.0,3065.0,3085.6,3098.15,405941
Asian Paints Limited,ASIANPAINT,2023-11-12,3099.95,3100.0,3090.0,3098.15,3076.45,85178
Asian Paints Limited,ASIANPAINT,2023-11-10,3070.0,3085.0,3040.1,3076.45,3080.2,364232
Asian Paints Limited,ASIANPAINT,2023-11-09,3100.0,3111.4,3074.05,3080.2,3095.25,849702
Asian Paints Limited,ASIANPAINT,2023-11-08,3058.0,3098.95,3046.2,3095.25,3033.35,783400
Asian Paints Limited,ASIANPAINT,2023-11-07,3029.3,3038.95,3002.2,3033.35,3029.3,757998
Asian Paints Limited,ASIANPAINT,2023-11-06,2998.0,3034.05,2983.85,3029.3,2977.85,620959
Asian Paints Limited,ASIANPAINT,2023-11-03,2957.0,2982.9,2942.0,2977.85,2955.4,715997
Asian Paints Limited,ASIANPAINT,2023-11-02,2961.05,2962.0,2934.0,2955.4,2934.55,900125
Asian Paints Limited,ASIANPAINT,2023-11-01,2997.95,3008.9,2930.0,2934.55,2995.7,1029990
Asian Paints Limited,ASIANPAINT,2023-10-31,2969.0,3012.75,2966.0,2995.7,2967.1,1152306
Asian Paints Limited,ASIANPAINT,2023-10-30,2974.0,2991.95,2939.1,2967.1,2955.15,878885
Asian Paints Limited,ASIANPAINT,2023-10-27,2932.8,2974.65,2931.0,2955.15,2960.3,1708185
Asian Paints Limited,ASIANPAINT,2023-10-26,3051.1,3055.0,2940.0,2960.3,3060.8,1834111
Asian Paints Limited,ASIANPAINT,2023-10-25,3093.4,3108.0,3052.0,3060.8,3072.0,669290
Asian Paints Limited,ASIANPAINT,2023-10-23,3096.05,3108.9,3064.0,3072.0,3105.85,374476
Asian Paints Limited,ASIANPAINT,2023-10-20,3092.5,3115.1,3064.55,3105.85,3101.8,711434
Asian Paints Limited,ASIANPAINT,2023-10-19,3087.7,3110.9,3076.1,3101.8,3096.45,568124
Asian Paints Limited,ASIANPAINT,2023-10-18,3110.0,3115.2,3090.0,3096.45,3113.55,481985
Asian Paints Limited,ASIANPAINT,2023-10-17,3137.0,3137.0,3091.8,3113.55,3112.05,792640
Asian Paints Limited,ASIANPAINT,2023-10-16,3124.0,3128.0,3096.1,3112.05,3148.8,853011
Asian Paints Limited,ASIANPAINT,2023-10-13,3150.0,3172.0,3128.25,3148.8,3159.1,854688
Asian Paints Limited,ASIANPAINT,2023-10-12,3186.0,3188.5,3150.05,3159.1,3163.9,992531
Asian Paints Limited,ASIANPAINT,2023-10-11,3169.0,3185.0,3152.05,3163.9,3151.5,1025317
Asian Paints Limited,ASIANPAINT,2023-10-10,3150.0,3164.9,3140.05,3151.5,3152.8,847367
Asian Paints Limited,ASIANPAINT,2023-10-09,3140.05,3163.0,3132.7,3152.8,3195.75,700012
Asian Paints Limited,ASIANPAINT,2023-10-06,3214.75,3217.0,3190.0,3195.75,3206.25,814257
Asian Paints Limited,ASIANPAINT,2023-10-05,3210.0,3232.1,3174.3,3206.25,3169.9,1002610
Asian Paints Limited,ASIANPAINT,2023-10-04,3164.95,3189.0,3151.35,3169.9,3166.85,892584
Asian Paints Limited,ASIANPAINT,2023-10-03,3166.1,3227.8,3162.0,3166.85,3161.05,1219145
Asian Paints Limited,ASIANPAINT,2023-09-29,3195.0,3195.0,3134.0,3161.05,3170.35,1550585
Asian Paints Limited,ASIANPAINT,2023-09-28,3281.8,3289.0,3155.0,3170.35,3301.8,2104381
Asian Paints Limited,ASIANPAINT,2023-09-27,3288.0,3309.0,3271.7,3301.8,3292.8,516326
Asian Paints Limited,ASIANPAINT,2023-09-26,3323.0,3324.9,3260.35,3292.8,3323.25,834560
Asian Paints Limited,ASIANPAINT,2023-09-25,3272.3,3334.8,3271.15,3323.25,3274.85,1422084
Asian Paints Limited,ASIANPAINT,2023-09-22,3234.95,3283.6,3221.15,3274.85,3244.2,896521
Asian Paints Limited,ASIANPAINT,2023-09-21,3210.0,3261.2,3180.55,3244.2,3214.35,845739
Asian Paints Limited,ASIANPAINT,2023-09-20,3206.3,3228.0,3195.0,3214.35,3206.3,901084
Asian Paints Limited,ASIANPAINT,2023-09-18,3200.0,3229.9,3190.0,3206.3,3196.65,673602
Asian Paints Limited,ASIANPAINT,2023-09-15,3235.0,3240.0,3185.0,3196.65,3240.25,1568607
Asian Paints Limited,ASIANPAINT,2023-09-14,3282.0,3294.2,3223.25,3240.25,3277.75,1102554
Asian Paints Limited,ASIANPAINT,2023-09-13,3245.0,3284.65,3225.3,3277.75,3256.85,880907
Asian Paints Limited,ASIANPAINT,2023-09-12,3260.0,3279.8,3243.0,3256.85,3259.4,554905
Asian Paints Limited,ASIANPAINT,2023-09-11,3242.0,3265.0,3242.0,3259.4,3238.05,359345
