StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Astral Limited,ASTRAL,2024-03-28,2010.0,2012.05,1982.0,1991.25,1998.1,379847
Astral Limited,ASTRAL,2024-03-27,2009.8,2018.8,1987.7,1998.1,1992.9,327476
Astral Limited,ASTRAL,2024-03-26,1925.8,1999.0,1925.8,1992.9,1938.9,456184
Astral Limited,ASTRAL,2024-03-22,1940.0,1956.75,1912.05,1938.9,1942.5,519482
Astral Limited,ASTRAL,2024-03-21,1914.6,1950.0,1902.0,1942.5,1904.85,390508
Astral Limited,ASTRAL,2024-03-20,1951.75,1965.0,1895.85,1904.85,1951.75,1106750
Astral Limited,ASTRAL,2024-03-19,1979.9,2022.0,1878.6,1951.75,1970.6,2131586
Astral Limited,ASTRAL,2024-03-18,2035.25,2050.0,1944.45,1970.6,2030.2,1769550
Astral Limited,ASTRAL,2024-03-15,2015.0,2057.4,1956.8,2030.2,2015.65,514531
Astral Limited,ASTRAL,2024-03-14,1982.25,2045.75,1975.55,2015.65,2001.15,563858
Astral Limited,ASTRAL,2024-03-13,2049.05,2083.25,1975.6,2001.15,2044.35,1066781
Astral Limited,ASTRAL,2024-03-12,2102.0,2109.7,2035.55,2044.35,2101.0,479940
Astral Limited,ASTRAL,2024-03-11,2100.25,2124.95,2077.3,2101.0,2100.25,801434
Astral Limited,ASTRAL,2024-03-07,2080.05,2134.0,2080.05,2100.25,2093.0,415811
Astral Limited,ASTRAL,2024-03-06,2111.0,2111.0,2047.65,2093.0,2106.75,477261
Astral Limited,ASTRAL,2024-03-05,2106.0,2143.8,2088.0,2106.75,2097.1,803395
Astral Limited,ASTRAL,2024-03-04,2115.0,2119.4,2071.55,2097.1,2108.95,763233
Astral Limited,ASTRAL,2024-03-02,2077.5,2127.0,2074.0,2108.95,2073.6,143819
Astral Limited,ASTRAL,2024-03-01,2086.5,2106.2,2066.05,2073.6,2069.1,388318
Astral Limited,ASTRAL,2024-02-29,2052.5,2090.0,2031.5,2069.1,2052.45,2050782
Astral Limited,ASTRAL,2024-02-28,2104.0,2116.75,2039.2,2052.45,2095.25,639894
Astral Limited,ASTRAL,2024-02-27,2094.9,2134.55,2075.0,2095.25,2084.45,1057268
Astral Limited,ASTRAL,2024-02-26,2094.0,2124.45,2042.05,2084.45,2075.9,2331714
Astral Limited,ASTRAL,2024-02-23,1981.0,2095.0,1968.0,2075.9,1965.15,2917191
Astral Limited,ASTRAL,2024-02-22,1943.0,1969.95,1925.1,1965.15,1930.5,305171
Astral Limited,ASTRAL,2024-02-21,1966.0,1970.0,1922.75,1930.5,1952.0,649882
