StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
AstraZeneca Pharma India Limited,ASTRAZEN,2024-03-28,5329.8,5380.0,5255.0,5328.45,5314.75,7994
AstraZeneca Pharma India Limited,ASTRAZEN,2024-03-27,5159.0,5380.0,5082.65,5314.75,5082.7,43002
AstraZeneca Pharma India Limited,ASTRAZEN,2024-03-26,5175.25,5194.7,5025.0,5082.7,5130.4,5287
AstraZeneca Pharma India Limited,ASTRAZEN,2024-03-22,5039.8,5161.55,5018.05,5130.4,5031.15,6751
AstraZeneca Pharma India Limited,ASTRAZEN,2024-03-21,5049.75,5145.0,5025.0,5031.15,5033.75,4092
AstraZeneca Pharma India Limited,ASTRAZEN,2024-03-20,5087.9,5129.95,5008.25,5033.75,5071.6,10067
AstraZeneca Pharma India Limited,ASTRAZEN,2024-03-19,5097.25,5133.0,5022.2,5071.6,5097.25,4297
AstraZeneca Pharma India Limited,ASTRAZEN,2024-03-18,5059.9,5120.0,5020.0,5097.25,5059.85,3597
AstraZeneca Pharma India Limited,ASTRAZEN,2024-03-15,5001.95,5194.7,4928.05,5059.85,4928.05,27399
AstraZeneca Pharma India Limited,ASTRAZEN,2024-03-14,5099.8,5149.95,4785.0,4928.05,5093.45,13676
AstraZeneca Pharma India Limited,ASTRAZEN,2024-03-13,5170.25,5174.7,4993.95,5093.45,5170.25,39822
AstraZeneca Pharma India Limited,ASTRAZEN,2024-03-12,5374.9,5396.8,5135.05,5170.25,5374.9,30248
AstraZeneca Pharma India Limited,ASTRAZEN,2024-03-11,5449.0,5449.0,5310.0,5374.9,5423.15,7046
AstraZeneca Pharma India Limited,ASTRAZEN,2024-03-07,5399.8,5489.0,5328.75,5423.15,5395.35,8954
AstraZeneca Pharma India Limited,ASTRAZEN,2024-03-06,5470.0,5470.0,5355.0,5395.35,5452.45,15289
AstraZeneca Pharma India Limited,ASTRAZEN,2024-03-05,5440.0,5483.9,5373.1,5452.45,5449.9,16777
AstraZeneca Pharma India Limited,ASTRAZEN,2024-03-04,5450.2,5478.95,5397.4,5449.9,5450.2,24663
AstraZeneca Pharma India Limited,ASTRAZEN,2024-03-02,5487.3,5492.4,5346.0,5450.2,5449.2,913
AstraZeneca Pharma India Limited,ASTRAZEN,2024-03-01,5521.25,5542.95,5425.0,5449.2,5516.55,5777
AstraZeneca Pharma India Limited,ASTRAZEN,2024-02-29,5524.85,5590.0,5405.0,5516.55,5512.35,11820
AstraZeneca Pharma India Limited,ASTRAZEN,2024-02-28,5578.0,5630.0,5445.15,5512.35,5571.4,10827
AstraZeneca Pharma India Limited,ASTRAZEN,2024-02-27,5461.55,5586.0,5445.0,5571.4,5461.55,17811
