StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Adani Total Gas Limited,ATGL,2024-03-28,932.0,939.1,912.75,926.55,919.8,3467464
Adani Total Gas Limited,ATGL,2024-03-27,955.0,959.65,910.0,919.8,949.1,3942984
Adani Total Gas Limited,ATGL,2024-03-26,938.85,968.9,937.1,949.1,938.85,2996728
Adani Total Gas Limited,ATGL,2024-03-22,941.95,948.65,933.1,938.85,936.05,820686
Adani Total Gas Limited,ATGL,2024-03-21,955.0,955.0,930.0,936.05,936.1,910394
Adani Total Gas Limited,ATGL,2024-03-20,954.5,961.45,928.25,936.1,944.65,1211071
Adani Total Gas Limited,ATGL,2024-03-19,960.0,974.95,927.35,944.65,947.25,4195313
Adani Total Gas Limited,ATGL,2024-03-18,947.65,966.5,912.6,947.25,989.0,3673113
Adani Total Gas Limited,ATGL,2024-03-15,971.0,1007.0,945.25,989.0,973.3,6093587
Adani Total Gas Limited,ATGL,2024-03-14,870.0,981.0,846.55,973.3,873.0,6561550
Adani Total Gas Limited,ATGL,2024-03-13,966.05,976.05,862.05,873.0,965.1,4164593
Adani Total Gas Limited,ATGL,2024-03-12,1004.0,1007.8,960.0,965.1,1000.15,1668717
Adani Total Gas Limited,ATGL,2024-03-11,1010.0,1022.9,997.55,1000.15,1009.2,3607249
Adani Total Gas Limited,ATGL,2024-03-07,1014.0,1017.85,1001.0,1009.2,1005.85,3379167
Adani Total Gas Limited,ATGL,2024-03-06,1021.0,1023.1,995.35,1005.85,1020.15,3592120
Adani Total Gas Limited,ATGL,2024-03-05,1026.0,1032.25,1013.25,1020.15,1025.9,3237710
Adani Total Gas Limited,ATGL,2024-03-04,1047.7,1047.7,1019.1,1025.9,1040.1,2290040
Adani Total Gas Limited,ATGL,2024-03-02,1043.0,1046.0,1026.0,1040.1,1039.15,182084
Adani Total Gas Limited,ATGL,2024-03-01,1033.0,1053.85,1027.0,1039.15,1025.65,3839126
Adani Total Gas Limited,ATGL,2024-02-29,1020.0,1033.3,1005.25,1025.65,1018.9,3210358
Adani Total Gas Limited,ATGL,2024-02-28,1050.0,1056.85,1005.4,1018.9,1048.3,3498950
Adani Total Gas Limited,ATGL,2024-02-27,1089.0,1096.0,1042.2,1048.3,1075.55,5479415
Adani Total Gas Limited,ATGL,2024-02-26,1038.0,1095.0,1036.4,1075.55,1029.4,10670357
Adani Total Gas Limited,ATGL,2024-02-23,1018.15,1035.0,1015.1,1029.4,1018.15,4203600
Adani Total Gas Limited,ATGL,2024-02-22,1030.0,1031.85,1013.45,1018.15,1021.05,3220687
