StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Atul Limited,ATUL,2024-03-28,5784.35,5820.65,5730.0,5740.5,5784.35,125445
Atul Limited,ATUL,2024-03-27,5800.0,5898.3,5774.1,5784.35,5800.4,64329
Atul Limited,ATUL,2024-03-26,5871.2,5925.0,5787.0,5800.4,5874.0,48811
Atul Limited,ATUL,2024-03-22,5870.0,5935.0,5864.75,5874.0,5900.55,49947
Atul Limited,ATUL,2024-03-21,5885.0,5961.45,5882.1,5900.55,5878.5,50321
Atul Limited,ATUL,2024-03-20,5950.1,5950.1,5747.05,5878.5,5919.05,50600
Atul Limited,ATUL,2024-03-19,6058.6,6061.85,5906.15,5919.05,6011.3,22854
Atul Limited,ATUL,2024-03-18,5993.9,6055.0,5933.1,6011.3,5993.9,21608
Atul Limited,ATUL,2024-03-15,5963.55,6060.0,5932.15,5993.9,5963.55,42765
Atul Limited,ATUL,2024-03-14,5995.95,6075.0,5922.35,5963.55,5995.1,138151
Atul Limited,ATUL,2024-03-13,6005.1,6096.9,5950.0,5995.1,6057.65,90043
Atul Limited,ATUL,2024-03-12,6030.0,6080.0,5973.65,6057.65,6013.85,36008
Atul Limited,ATUL,2024-03-11,6110.0,6132.05,6001.55,6013.85,6105.5,20152
Atul Limited,ATUL,2024-03-07,6100.0,6190.9,6040.2,6105.5,6029.35,29117
Atul Limited,ATUL,2024-03-06,6148.95,6148.95,5985.0,6029.35,6067.7,81784
Atul Limited,ATUL,2024-03-05,6081.0,6136.0,6046.05,6067.7,6080.25,23303
Atul Limited,ATUL,2024-03-04,6166.45,6192.95,6070.05,6080.25,6170.6,26308
Atul Limited,ATUL,2024-03-02,6151.0,6198.0,6132.1,6170.6,6143.5,2483
Atul Limited,ATUL,2024-03-01,6218.0,6238.1,6120.4,6143.5,6217.75,52530
Atul Limited,ATUL,2024-02-29,6081.7,6269.05,6011.0,6217.75,6081.7,72443
Atul Limited,ATUL,2024-02-28,6228.0,6246.2,6024.7,6081.7,6219.25,38628
Atul Limited,ATUL,2024-02-27,6287.55,6301.65,6208.0,6219.25,6287.55,16209
Atul Limited,ATUL,2024-02-26,6325.0,6325.0,6249.85,6287.55,6292.05,13794
Atul Limited,ATUL,2024-02-23,6310.05,6353.9,6280.0,6292.05,6325.65,13500
Atul Limited,ATUL,2024-02-22,6310.0,6340.0,6247.8,6325.65,6310.7,14722
Atul Limited,ATUL,2024-02-21,6350.0,6390.0,6295.0,6310.7,6338.5,20233
Atul Limited,ATUL,2024-02-20,6375.6,6408.0,6283.0,6338.5,6312.45,24939
Atul Limited,ATUL,2024-02-19,6359.05,6386.55,6270.05,6312.45,6371.6,18669
Atul Limited,ATUL,2024-02-16,6360.3,6455.95,6355.0,6371.6,6360.3,23104
Atul Limited,ATUL,2024-02-15,6390.0,6494.0,6350.0,6360.3,6391.35,25812
Atul Limited,ATUL,2024-02-14,6370.0,6423.95,6334.05,6391.35,6394.4,13030
Atul Limited,ATUL,2024-02-13,6321.0,6405.0,6308.0,6394.4,6358.05,18171
Atul Limited,ATUL,2024-02-12,6431.2,6459.95,6329.45,6358.05,6374.5,27040
Atul Limited,ATUL,2024-02-09,6293.95,6398.0,6133.8,6374.5,6234.7,44981
Atul Limited,ATUL,2024-02-08,6356.0,6372.8,6208.65,6234.7,6338.55,43044
Atul Limited,ATUL,2024-02-07,6435.0,6435.0,6310.05,6338.55,6368.5,24556
Atul Limited,ATUL,2024-02-06,6321.0,6420.0,6292.0,6368.5,6288.45,32055
Atul Limited,ATUL,2024-02-05,6398.9,6435.15,6260.0,6288.45,6377.55,30387
Atul Limited,ATUL,2024-02-02,6300.0,6397.55,6273.8,6377.55,6296.25,25626
Atul Limited,ATUL,2024-02-01,6496.0,6496.0,6283.2,6296.25,6431.25,28611
Atul Limited,ATUL,2024-01-31,6185.0,6503.5,6176.05,6431.25,6181.15,87638
Atul Limited,ATUL,2024-01-30,6282.0,6335.0,6132.0,6181.15,6279.35,50580
Atul Limited,ATUL,2024-01-29,6326.7,6386.0,6266.0,6279.35,6326.7,40349
Atul Limited,ATUL,2024-01-25,6424.65,6453.4,6309.05,6326.7,6424.65,19367
Atul Limited,ATUL,2024-01-24,6174.15,6450.0,6165.0,6424.65,6174.15,52853
Atul Limited,ATUL,2024-01-23,6488.1,6498.5,6161.6,6174.15,6488.15,108356
Atul Limited,ATUL,2024-01-20,6590.0,6625.5,6452.0,6488.15,6602.25,35385
Atul Limited,ATUL,2024-01-19,6640.0,6749.8,6532.05,6602.25,6602.45,120770
Atul Limited,ATUL,2024-01-18,6588.05,6643.05,6520.05,6602.45,6628.8,25096
Atul Limited,ATUL,2024-01-17,6750.0,6777.05,6611.0,6628.8,6767.85,33449
Atul Limited,ATUL,2024-01-16,6828.5,6899.15,6757.0,6767.85,6869.55,17049
Atul Limited,ATUL,2024-01-15,6855.0,6893.95,6800.0,6869.55,6864.1,11394
Atul Limited,ATUL,2024-01-12,6862.35,6901.9,6838.6,6864.1,6862.3,17604
Atul Limited,ATUL,2024-01-11,6848.0,6900.0,6831.15,6862.3,6799.4,32754
Atul Limited,ATUL,2024-01-10,6780.1,6867.7,6777.1,6799.4,6804.1,51525
Atul Limited,ATUL,2024-01-09,6925.0,6925.0,6781.45,6804.1,6848.35,33715
Atul Limited,ATUL,2024-01-08,7050.0,7074.55,6834.0,6848.35,7028.75,138863
Atul Limited,ATUL,2024-01-05,7180.0,7180.0,7000.0,7028.75,7073.6,30268
Atul Limited,ATUL,2024-01-04,7200.0,7216.5,7060.05,7073.6,7161.35,18692
Atul Limited,ATUL,2024-01-03,7195.0,7225.0,7146.0,7161.35,7167.65,21035
Atul Limited,ATUL,2024-01-02,7169.95,7220.0,7064.05,7167.65,7169.1,27505
Atul Limited,ATUL,2024-01-01,7198.0,7210.0,7100.3,7169.1,7154.95,29878
Atul Limited,ATUL,2023-12-29,7069.0,7198.0,7058.05,7154.95,7069.0,80211
Atul Limited,ATUL,2023-12-28,7050.0,7075.0,6985.0,7069.0,7026.0,42833
Atul Limited,ATUL,2023-12-27,7050.0,7050.0,7050.0,7050.0,7031.55,1500
Atul Limited,ATUL,2023-12-27,7096.0,7096.0,6974.4,7026.0,7031.55,65552
Atul Limited,ATUL,2023-12-26,7020.0,7076.45,6911.0,7031.55,6988.15,69809
Atul Limited,ATUL,2023-12-22,6920.0,6950.0,6920.0,6950.0,6862.45,226
Atul Limited,ATUL,2023-12-22,6865.0,7000.0,6864.3,6988.15,6862.45,57230
Atul Limited,ATUL,2023-12-21,6816.0,6881.95,6744.0,6862.45,6817.3,51052
Atul Limited,ATUL,2023-12-21,6850.0,6850.0,6850.0,6850.0,6817.3,1228
Atul Limited,ATUL,2023-12-20,7130.0,7130.0,7130.0,7130.0,7097.45,1600
Atul Limited,ATUL,2023-12-20,7110.0,7125.95,6788.05,6817.3,7097.45,65661
Atul Limited,ATUL,2023-12-19,7030.05,7133.95,7013.0,7097.45,7030.05,48883
Atul Limited,ATUL,2023-12-19,7050.0,7130.0,7050.0,7130.0,7030.05,1407
Atul Limited,ATUL,2023-12-18,7050.0,7050.0,7050.0,7050.0,6987.25,1856
Atul Limited,ATUL,2023-12-18,6958.0,7079.95,6927.4,7030.05,6987.25,61170
Atul Limited,ATUL,2023-12-15,6965.1,7080.0,6926.55,6987.25,6962.2,65191
Atul Limited,ATUL,2023-12-14,6845.0,6975.1,6845.0,6962.2,6844.05,34334
Atul Limited,ATUL,2023-12-13,6849.0,6863.45,6770.2,6844.05,6807.2,19198
Atul Limited,ATUL,2023-12-12,6776.0,6903.6,6776.0,6807.2,6795.65,32678
Atul Limited,ATUL,2023-12-12,6900.0,6900.0,6900.0,6900.0,6795.65,2498
Atul Limited,ATUL,2023-12-11,6800.0,6840.0,6800.0,6840.0,6748.7,1400
Atul Limited,ATUL,2023-12-11,6720.0,6815.0,6720.0,6795.65,6748.7,61089
Atul Limited,ATUL,2023-12-08,6903.45,6915.35,6703.5,6748.7,6875.9,46485
Atul Limited,ATUL,2023-12-08,6900.0,6900.0,6870.0,6870.0,6875.9,666
Atul Limited,ATUL,2023-12-07,6825.05,6930.0,6784.0,6875.9,6830.7,129145
Atul Limited,ATUL,2023-12-07,6850.0,6850.0,6850.0,6850.0,6830.7,10
Atul Limited,ATUL,2023-12-06,6752.0,6895.0,6752.0,6830.7,6781.35,34532
Atul Limited,ATUL,2023-12-06,6860.0,6860.0,6860.0,6860.0,6781.35,500
Atul Limited,ATUL,2023-12-05,6800.0,6800.0,6800.0,6800.0,6747.05,300
Atul Limited,ATUL,2023-12-05,6753.95,6845.05,6726.05,6781.35,6747.05,98480
Atul Limited,ATUL,2023-12-04,6680.0,6836.0,6621.15,6747.05,6651.65,42809
Atul Limited,ATUL,2023-12-01,6644.0,6680.0,6613.0,6651.65,6598.85,46185
Atul Limited,ATUL,2023-11-30,6644.95,6649.9,6564.7,6598.85,6636.75,45682
Atul Limited,ATUL,2023-11-29,6540.0,6650.0,6536.35,6636.75,6525.55,40527
