StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
AU Small Finance Bank Limited,AUBANK,2024-03-28,563.85,570.45,561.0,565.0,561.5,2782930
AU Small Finance Bank Limited,AUBANK,2024-03-27,564.8,566.8,557.2,561.5,563.0,4923826
AU Small Finance Bank Limited,AUBANK,2024-03-26,564.25,568.8,561.7,563.0,564.25,1569118
AU Small Finance Bank Limited,AUBANK,2024-03-22,564.0,568.9,561.25,564.25,565.95,2314067
AU Small Finance Bank Limited,AUBANK,2024-03-21,568.4,571.9,563.55,565.95,559.9,2026437
AU Small Finance Bank Limited,AUBANK,2024-03-20,562.2,568.5,553.7,559.9,560.15,5079488
AU Small Finance Bank Limited,AUBANK,2024-03-19,576.5,582.4,558.05,560.15,569.85,3113350
AU Small Finance Bank Limited,AUBANK,2024-03-18,581.9,583.75,567.7,569.85,578.25,3332799
AU Small Finance Bank Limited,AUBANK,2024-03-15,583.9,587.3,575.1,578.25,583.95,2181470
AU Small Finance Bank Limited,AUBANK,2024-03-14,573.0,587.85,569.0,583.95,576.9,2141385
AU Small Finance Bank Limited,AUBANK,2024-03-13,578.0,586.45,570.9,576.9,576.05,4609989
AU Small Finance Bank Limited,AUBANK,2024-03-12,586.8,590.85,574.65,576.05,584.2,2657472
AU Small Finance Bank Limited,AUBANK,2024-03-11,572.0,585.35,569.3,584.2,571.25,4579646
AU Small Finance Bank Limited,AUBANK,2024-03-07,570.0,575.95,565.5,571.25,566.8,2332771
AU Small Finance Bank Limited,AUBANK,2024-03-06,575.35,578.2,564.45,566.8,571.75,3655651
AU Small Finance Bank Limited,AUBANK,2024-03-05,589.4,590.0,571.0,571.75,580.1,2733333
AU Small Finance Bank Limited,AUBANK,2024-03-04,578.05,583.9,575.95,580.1,578.0,3884607
AU Small Finance Bank Limited,AUBANK,2024-03-02,578.0,583.7,572.45,578.0,575.55,329643
AU Small Finance Bank Limited,AUBANK,2024-03-01,574.4,579.8,570.45,575.55,569.85,1665391
AU Small Finance Bank Limited,AUBANK,2024-02-29,573.9,576.45,564.45,569.85,571.15,3314480
AU Small Finance Bank Limited,AUBANK,2024-02-28,594.0,594.0,567.8,571.15,590.4,3000799
AU Small Finance Bank Limited,AUBANK,2024-02-27,588.45,595.7,586.3,590.4,586.2,1683135
AU Small Finance Bank Limited,AUBANK,2024-02-26,599.95,603.9,583.85,586.2,599.95,6638312
AU Small Finance Bank Limited,AUBANK,2024-02-23,596.45,606.95,593.4,599.95,592.5,3450186
AU Small Finance Bank Limited,AUBANK,2024-02-22,588.55,594.0,583.6,592.5,588.15,2315282
AU Small Finance Bank Limited,AUBANK,2024-02-21,602.55,602.55,584.4,588.15,599.1,3176517
AU Small Finance Bank Limited,AUBANK,2024-02-20,602.4,610.4,597.85,599.1,599.35,2935294
AU Small Finance Bank Limited,AUBANK,2024-02-19,584.5,603.9,581.7,599.35,581.75,4840679
AU Small Finance Bank Limited,AUBANK,2024-02-16,582.1,585.85,579.0,581.75,581.9,2145814
AU Small Finance Bank Limited,AUBANK,2024-02-15,595.0,595.0,580.45,581.9,590.75,2107954
AU Small Finance Bank Limited,AUBANK,2024-02-14,589.95,594.75,580.2,590.75,593.8,4560881
AU Small Finance Bank Limited,AUBANK,2024-02-13,600.0,602.45,587.35,593.8,594.7,3185544
AU Small Finance Bank Limited,AUBANK,2024-02-12,608.0,609.45,585.5,594.7,603.9,5184975
AU Small Finance Bank Limited,AUBANK,2024-02-09,600.0,605.75,592.25,603.9,595.6,2343195
AU Small Finance Bank Limited,AUBANK,2024-02-08,621.0,625.8,594.0,595.6,618.9,3862384
AU Small Finance Bank Limited,AUBANK,2024-02-07,620.4,623.45,612.1,618.9,616.5,2773694
AU Small Finance Bank Limited,AUBANK,2024-02-06,622.6,622.6,613.0,616.5,622.6,1713489
AU Small Finance Bank Limited,AUBANK,2024-02-05,628.95,630.0,616.7,622.6,629.0,5678989
AU Small Finance Bank Limited,AUBANK,2024-02-02,638.75,645.7,627.6,629.0,634.95,2688173
AU Small Finance Bank Limited,AUBANK,2024-02-01,639.85,644.0,632.3,634.95,636.6,2006355
AU Small Finance Bank Limited,AUBANK,2024-01-31,628.0,640.45,620.8,636.6,625.25,5579390
AU Small Finance Bank Limited,AUBANK,2024-01-30,630.0,631.85,613.5,625.25,626.35,7443243
AU Small Finance Bank Limited,AUBANK,2024-01-29,670.0,670.0,624.05,626.35,707.85,21666348
AU Small Finance Bank Limited,AUBANK,2024-01-25,740.0,741.45,703.2,707.85,737.25,5475393
AU Small Finance Bank Limited,AUBANK,2024-01-24,716.5,739.0,709.05,737.25,716.5,2550245
AU Small Finance Bank Limited,AUBANK,2024-01-23,755.0,758.0,709.05,716.5,747.5,3081087
AU Small Finance Bank Limited,AUBANK,2024-01-20,737.8,755.4,735.0,747.5,730.55,1930061
AU Small Finance Bank Limited,AUBANK,2024-01-19,740.0,746.15,724.5,730.55,734.1,4468871
AU Small Finance Bank Limited,AUBANK,2024-01-18,754.35,758.75,732.85,734.1,757.4,2679347
AU Small Finance Bank Limited,AUBANK,2024-01-17,759.95,783.95,744.2,757.4,775.55,5351653
AU Small Finance Bank Limited,AUBANK,2024-01-16,772.05,781.9,770.75,775.55,772.05,1357631
AU Small Finance Bank Limited,AUBANK,2024-01-15,790.8,792.0,770.05,772.05,788.35,1416880
AU Small Finance Bank Limited,AUBANK,2024-01-12,783.0,791.0,772.0,788.35,776.6,1336781
AU Small Finance Bank Limited,AUBANK,2024-01-11,780.0,786.9,772.75,776.6,772.45,922879
AU Small Finance Bank Limited,AUBANK,2024-01-10,770.45,781.45,764.4,772.45,777.3,2832401
AU Small Finance Bank Limited,AUBANK,2024-01-09,813.4,813.4,775.0,777.3,801.7,2705036
AU Small Finance Bank Limited,AUBANK,2024-01-08,794.0,813.2,792.0,801.7,801.05,2497633
AU Small Finance Bank Limited,AUBANK,2024-01-05,805.0,809.7,791.55,801.05,797.35,2341793
AU Small Finance Bank Limited,AUBANK,2024-01-04,778.0,804.15,745.05,797.35,770.35,2624482
AU Small Finance Bank Limited,AUBANK,2024-01-03,766.85,774.15,754.0,770.35,766.85,2031856
AU Small Finance Bank Limited,AUBANK,2024-01-02,786.0,788.0,761.6,766.85,786.0,2202630
AU Small Finance Bank Limited,AUBANK,2024-01-01,790.9,790.9,779.0,786.0,787.4,1258532
AU Small Finance Bank Limited,AUBANK,2023-12-29,790.0,794.95,775.6,787.4,788.65,1424964
AU Small Finance Bank Limited,AUBANK,2023-12-28,779.0,798.85,768.05,788.65,774.6,3280996
AU Small Finance Bank Limited,AUBANK,2023-12-27,774.9,780.0,768.0,774.6,769.55,1065904
AU Small Finance Bank Limited,AUBANK,2023-12-26,768.6,772.3,762.2,769.55,765.45,847143
AU Small Finance Bank Limited,AUBANK,2023-12-22,774.0,785.8,758.0,765.45,771.3,2822166
AU Small Finance Bank Limited,AUBANK,2023-12-21,750.0,773.0,743.5,771.3,760.05,2313825
AU Small Finance Bank Limited,AUBANK,2023-12-20,737.4,772.15,734.9,760.05,731.3,5717729
AU Small Finance Bank Limited,AUBANK,2023-12-19,749.55,751.6,730.05,731.3,748.65,1743062
AU Small Finance Bank Limited,AUBANK,2023-12-18,758.25,758.25,743.0,748.65,758.3,1843431
AU Small Finance Bank Limited,AUBANK,2023-12-15,760.0,769.45,750.1,758.3,760.0,2252891
AU Small Finance Bank Limited,AUBANK,2023-12-14,740.5,761.0,737.0,760.0,735.5,1669614
AU Small Finance Bank Limited,AUBANK,2023-12-13,742.0,742.05,729.0,735.5,741.4,2369489
AU Small Finance Bank Limited,AUBANK,2023-12-12,742.9,748.95,739.45,741.4,739.75,1195849
AU Small Finance Bank Limited,AUBANK,2023-12-11,744.45,746.0,735.75,739.75,740.5,1733049
AU Small Finance Bank Limited,AUBANK,2023-12-08,752.25,753.7,734.25,740.5,751.0,1267997
AU Small Finance Bank Limited,AUBANK,2023-12-07,750.0,752.0,739.35,751.0,747.5,678386
AU Small Finance Bank Limited,AUBANK,2023-12-06,764.95,764.95,743.25,747.5,760.95,2383186
AU Small Finance Bank Limited,AUBANK,2023-12-05,756.0,767.0,744.2,760.95,753.75,2286148
AU Small Finance Bank Limited,AUBANK,2023-12-04,755.0,756.8,742.85,753.75,742.45,2867230
AU Small Finance Bank Limited,AUBANK,2023-12-01,745.0,751.4,740.05,742.45,741.4,1178096
AU Small Finance Bank Limited,AUBANK,2023-11-30,751.0,754.9,738.05,741.4,748.25,2292859
AU Small Finance Bank Limited,AUBANK,2023-11-29,737.8,750.95,735.05,748.25,737.15,2345052
AU Small Finance Bank Limited,AUBANK,2023-11-28,724.55,742.7,718.2,737.15,722.2,1521215
AU Small Finance Bank Limited,AUBANK,2023-11-24,720.0,726.1,711.55,722.2,719.3,1619706
AU Small Finance Bank Limited,AUBANK,2023-11-23,721.9,725.5,717.5,719.3,717.1,1613045
AU Small Finance Bank Limited,AUBANK,2023-11-22,720.0,723.4,710.1,717.1,719.8,1502045
AU Small Finance Bank Limited,AUBANK,2023-11-21,735.0,740.6,717.65,719.8,734.15,1022291
AU Small Finance Bank Limited,AUBANK,2023-11-20,732.8,744.4,725.7,734.15,730.2,1905411
AU Small Finance Bank Limited,AUBANK,2023-11-17,719.0,737.5,718.95,730.2,729.6,1167320
AU Small Finance Bank Limited,AUBANK,2023-11-16,727.8,733.85,719.0,729.6,726.55,1478691
AU Small Finance Bank Limited,AUBANK,2023-11-15,735.2,740.7,724.05,726.55,729.75,2347341
AU Small Finance Bank Limited,AUBANK,2023-11-13,713.1,732.4,704.4,729.75,708.0,3927946
AU Small Finance Bank Limited,AUBANK,2023-11-12,704.95,715.75,703.45,708.0,699.25,198373
AU Small Finance Bank Limited,AUBANK,2023-11-10,689.8,700.55,683.4,699.25,690.55,1514007
AU Small Finance Bank Limited,AUBANK,2023-11-09,678.1,699.8,675.75,690.55,675.35,2062461
AU Small Finance Bank Limited,AUBANK,2023-11-08,672.95,676.4,666.3,675.35,669.9,2274273
AU Small Finance Bank Limited,AUBANK,2023-11-07,677.15,679.7,668.3,669.9,673.95,3384898
AU Small Finance Bank Limited,AUBANK,2023-11-06,673.0,680.35,669.0,673.95,669.25,3301471
AU Small Finance Bank Limited,AUBANK,2023-11-03,673.6,673.6,664.8,669.25,666.75,1200934
AU Small Finance Bank Limited,AUBANK,2023-11-02,677.8,677.8,656.7,666.75,668.65,2091524
AU Small Finance Bank Limited,AUBANK,2023-11-01,675.0,676.85,665.35,668.65,669.1,1608023
AU Small Finance Bank Limited,AUBANK,2023-10-31,669.9,685.7,662.85,669.1,665.95,2598527
AU Small Finance Bank Limited,AUBANK,2023-10-30,688.0,688.0,630.4,665.95,690.1,8750585
AU Small Finance Bank Limited,AUBANK,2023-10-27,689.95,699.6,683.55,690.1,686.55,1251035
AU Small Finance Bank Limited,AUBANK,2023-10-26,700.0,707.05,684.1,686.55,706.25,2065324
AU Small Finance Bank Limited,AUBANK,2023-10-25,696.15,709.0,693.1,706.25,695.45,1877527
AU Small Finance Bank Limited,AUBANK,2023-10-23,699.2,711.1,690.5,695.45,699.8,2223975
AU Small Finance Bank Limited,AUBANK,2023-10-20,704.5,707.2,698.1,699.8,705.15,1167195
AU Small Finance Bank Limited,AUBANK,2023-10-19,705.3,707.15,697.0,705.15,704.45,603325
AU Small Finance Bank Limited,AUBANK,2023-10-18,708.9,711.6,702.7,704.45,706.6,1479098
AU Small Finance Bank Limited,AUBANK,2023-10-17,714.8,714.8,706.0,706.6,709.35,620122
AU Small Finance Bank Limited,AUBANK,2023-10-16,716.95,716.95,703.15,709.35,716.95,1680941
AU Small Finance Bank Limited,AUBANK,2023-10-13,716.3,720.0,712.0,716.95,716.3,410117
AU Small Finance Bank Limited,AUBANK,2023-10-12,719.0,723.0,715.0,716.3,715.75,691279
AU Small Finance Bank Limited,AUBANK,2023-10-11,718.9,720.7,712.0,715.75,715.2,1174535
AU Small Finance Bank Limited,AUBANK,2023-10-10,715.05,717.8,708.75,715.2,711.0,527218
AU Small Finance Bank Limited,AUBANK,2023-10-09,708.0,717.45,703.05,711.0,713.55,927404
AU Small Finance Bank Limited,AUBANK,2023-10-06,719.9,720.0,712.45,713.55,714.4,718188
AU Small Finance Bank Limited,AUBANK,2023-10-05,702.0,716.95,702.0,714.4,703.6,925577
AU Small Finance Bank Limited,AUBANK,2023-10-04,704.0,708.1,688.0,703.6,704.8,3416610
AU Small Finance Bank Limited,AUBANK,2023-10-03,714.8,714.8,702.1,704.8,713.5,855484
AU Small Finance Bank Limited,AUBANK,2023-09-29,724.2,730.25,708.1,713.5,720.4,1456488
AU Small Finance Bank Limited,AUBANK,2023-09-28,745.75,747.25,716.6,720.4,745.75,3968952
AU Small Finance Bank Limited,AUBANK,2023-09-27,747.95,754.9,744.2,745.75,750.1,869637
AU Small Finance Bank Limited,AUBANK,2023-09-26,743.0,752.0,740.6,750.1,742.35,766479
AU Small Finance Bank Limited,AUBANK,2023-09-25,744.55,748.35,734.2,742.35,744.55,1928986
AU Small Finance Bank Limited,AUBANK,2023-09-22,745.75,751.6,742.15,744.55,742.6,1667979
AU Small Finance Bank Limited,AUBANK,2023-09-21,756.65,763.95,739.25,742.6,755.45,1979595
AU Small Finance Bank Limited,AUBANK,2023-09-20,727.6,759.2,725.25,755.45,729.05,4544074
AU Small Finance Bank Limited,AUBANK,2023-09-18,730.05,736.9,726.0,729.05,732.5,1002996
AU Small Finance Bank Limited,AUBANK,2023-09-15,743.95,745.5,728.2,732.5,738.75,918800
AU Small Finance Bank Limited,AUBANK,2023-09-14,727.2,744.0,725.65,738.75,723.45,1248430
AU Small Finance Bank Limited,AUBANK,2023-09-13,720.15,730.05,709.05,723.45,718.45,2418932
AU Small Finance Bank Limited,AUBANK,2023-09-12,739.0,739.9,712.0,718.45,735.1,1588895
AU Small Finance Bank Limited,AUBANK,2023-09-11,737.0,741.2,732.1,735.1,734.9,1172424
AU Small Finance Bank Limited,AUBANK,2023-09-08,728.5,736.95,724.0,734.9,725.35,1387523
AU Small Finance Bank Limited,AUBANK,2023-09-07,724.5,728.0,720.25,725.35,719.35,604310
AU Small Finance Bank Limited,AUBANK,2023-09-05,721.0,721.0,714.05,714.95,716.7,1083984
AU Small Finance Bank Limited,AUBANK,2023-09-01,724.65,734.2,719.4,725.65,723.55,1524424
AU Small Finance Bank Limited,AUBANK,2023-08-31,729.95,734.95,707.55,723.55,728.95,5250911
AU Small Finance Bank Limited,AUBANK,2023-08-30,732.0,742.5,725.45,728.95,731.45,1202305
AU Small Finance Bank Limited,AUBANK,2023-08-29,738.1,740.0,730.0,731.45,738.8,453151
AU Small Finance Bank Limited,AUBANK,2023-08-28,738.95,743.0,733.95,738.8,737.55,1116902
AU Small Finance Bank Limited,AUBANK,2023-08-25,743.85,752.0,735.25,737.55,745.8,889001
AU Small Finance Bank Limited,AUBANK,2023-08-24,734.0,748.85,728.55,745.8,731.25,2556581
AU Small Finance Bank Limited,AUBANK,2023-08-23,728.45,737.85,727.0,731.25,728.5,1329218
AU Small Finance Bank Limited,AUBANK,2023-08-22,712.25,729.75,708.85,728.5,708.85,2220325
AU Small Finance Bank Limited,AUBANK,2023-08-21,711.1,716.7,705.35,708.85,711.05,1704679
AU Small Finance Bank Limited,AUBANK,2023-08-18,703.45,719.4,701.4,711.05,698.4,2034025
AU Small Finance Bank Limited,AUBANK,2023-08-17,702.0,707.4,696.6,698.4,700.7,1814426
AU Small Finance Bank Limited,AUBANK,2023-08-16,702.0,708.9,696.0,700.7,706.6,1513243
AU Small Finance Bank Limited,AUBANK,2023-08-14,704.0,710.8,699.05,706.6,704.95,635962
AU Small Finance Bank Limited,AUBANK,2023-08-11,704.45,708.35,697.1,704.95,701.9,649337
AU Small Finance Bank Limited,AUBANK,2023-08-10,717.4,718.25,697.1,701.9,717.4,3017173
AU Small Finance Bank Limited,AUBANK,2023-08-09,725.8,729.95,712.1,717.4,720.8,1773008
AU Small Finance Bank Limited,AUBANK,2023-08-08,725.0,729.7,701.4,720.8,725.95,2866317
AU Small Finance Bank Limited,AUBANK,2023-08-07,729.05,742.0,723.1,725.95,738.9,1456816
AU Small Finance Bank Limited,AUBANK,2023-08-04,737.5,743.05,729.4,738.9,728.25,1294794
AU Small Finance Bank Limited,AUBANK,2023-08-03,728.8,737.25,718.65,728.25,725.9,2475873
AU Small Finance Bank Limited,AUBANK,2023-08-02,720.15,730.65,714.0,725.9,721.65,2041223
AU Small Finance Bank Limited,AUBANK,2023-08-01,730.1,733.55,719.1,721.65,729.85,1152184
AU Small Finance Bank Limited,AUBANK,2023-07-31,716.0,732.0,716.0,729.85,725.2,1322632
AU Small Finance Bank Limited,AUBANK,2023-07-28,731.9,734.4,722.85,725.2,729.2,1383577
AU Small Finance Bank Limited,AUBANK,2023-07-27,735.05,738.4,724.4,729.2,732.0,2055123
AU Small Finance Bank Limited,AUBANK,2023-07-26,738.0,738.9,730.4,732.0,731.3,1174015
AU Small Finance Bank Limited,AUBANK,2023-07-25,745.0,745.3,725.1,731.3,739.15,1865463
AU Small Finance Bank Limited,AUBANK,2023-07-24,740.0,744.0,726.45,739.15,767.3,3665805
AU Small Finance Bank Limited,AUBANK,2023-07-21,770.05,775.85,761.05,767.3,772.35,795389
AU Small Finance Bank Limited,AUBANK,2023-07-20,772.9,776.85,765.0,772.35,769.35,1504123
AU Small Finance Bank Limited,AUBANK,2023-07-19,770.0,775.4,761.65,769.35,769.9,1119253
AU Small Finance Bank Limited,AUBANK,2023-07-18,768.95,774.35,764.05,769.9,767.45,1034645
AU Small Finance Bank Limited,AUBANK,2023-07-17,784.0,786.0,763.4,767.45,781.25,1279206
AU Small Finance Bank Limited,AUBANK,2023-07-14,760.0,782.5,759.2,781.25,760.2,1319880
AU Small Finance Bank Limited,AUBANK,2023-07-13,773.05,784.7,758.7,760.2,770.75,2268892
AU Small Finance Bank Limited,AUBANK,2023-07-12,767.45,772.9,753.15,770.75,763.55,4025563
AU Small Finance Bank Limited,AUBANK,2023-07-11,767.9,776.75,761.2,763.55,763.75,818918
AU Small Finance Bank Limited,AUBANK,2023-07-10,761.95,769.0,750.5,763.75,761.65,1131126
AU Small Finance Bank Limited,AUBANK,2023-07-07,787.25,787.45,758.0,761.65,789.85,1466776
AU Small Finance Bank Limited,AUBANK,2023-07-06,768.45,792.0,766.05,789.85,769.05,1665090
AU Small Finance Bank Limited,AUBANK,2023-07-05,777.05,782.5,761.1,769.05,777.2,2810140
AU Small Finance Bank Limited,AUBANK,2023-07-04,760.45,780.75,753.3,777.2,760.25,1783462
AU Small Finance Bank Limited,AUBANK,2023-07-03,760.0,763.2,755.8,760.25,753.65,988169
AU Small Finance Bank Limited,AUBANK,2023-06-30,754.0,759.8,747.45,753.65,747.8,1725775
AU Small Finance Bank Limited,AUBANK,2023-06-28,753.75,756.9,742.55,747.8,749.8,2946020
AU Small Finance Bank Limited,AUBANK,2023-06-27,748.95,755.35,744.35,749.8,745.4,907052
AU Small Finance Bank Limited,AUBANK,2023-06-26,736.7,749.35,732.05,745.4,736.7,1115771
AU Small Finance Bank Limited,AUBANK,2023-06-23,742.6,745.7,734.1,736.7,740.8,617906
