StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Aurobindo Pharma Limited,AUROPHARMA,2024-03-28,1070.35,1099.25,1064.05,1088.75,1070.35,2060466
Aurobindo Pharma Limited,AUROPHARMA,2024-03-27,1050.0,1074.9,1041.6,1070.35,1053.05,1497184
Aurobindo Pharma Limited,AUROPHARMA,2024-03-26,1002.0,1059.25,995.3,1053.05,1019.85,1859790
Aurobindo Pharma Limited,AUROPHARMA,2024-03-22,1004.0,1036.3,1004.0,1019.85,1028.25,1430882
Aurobindo Pharma Limited,AUROPHARMA,2024-03-21,1028.3,1030.8,1012.25,1028.25,1017.25,1235122
Aurobindo Pharma Limited,AUROPHARMA,2024-03-20,1004.0,1022.0,994.05,1017.25,990.4,2058203
Aurobindo Pharma Limited,AUROPHARMA,2024-03-19,1015.0,1017.0,986.2,990.4,1017.6,1633129
Aurobindo Pharma Limited,AUROPHARMA,2024-03-18,989.9,1025.0,989.25,1017.6,1001.35,2266012
Aurobindo Pharma Limited,AUROPHARMA,2024-03-15,1010.0,1015.8,984.3,1001.35,1011.3,2084432
Aurobindo Pharma Limited,AUROPHARMA,2024-03-14,1005.0,1022.15,990.4,1011.3,1005.6,1744256
Aurobindo Pharma Limited,AUROPHARMA,2024-03-13,1051.0,1067.35,985.05,1005.6,1044.7,2054014
Aurobindo Pharma Limited,AUROPHARMA,2024-03-12,1073.9,1085.0,1037.15,1044.7,1064.7,1492814
Aurobindo Pharma Limited,AUROPHARMA,2024-03-11,1072.0,1076.9,1052.15,1064.7,1058.85,2372008
Aurobindo Pharma Limited,AUROPHARMA,2024-03-07,1060.0,1073.65,1054.45,1058.85,1060.2,1168234
Aurobindo Pharma Limited,AUROPHARMA,2024-03-06,1081.25,1081.8,1038.1,1060.2,1083.85,1717312
Aurobindo Pharma Limited,AUROPHARMA,2024-03-05,1086.1,1098.7,1069.3,1083.85,1090.9,2278824
Aurobindo Pharma Limited,AUROPHARMA,2024-03-04,1080.0,1114.0,1072.0,1090.9,1076.95,3893794
Aurobindo Pharma Limited,AUROPHARMA,2024-03-02,1041.4,1077.7,1037.15,1076.95,1026.4,665407
Aurobindo Pharma Limited,AUROPHARMA,2024-03-01,1020.6,1032.45,1011.15,1026.4,1028.1,2737303
Aurobindo Pharma Limited,AUROPHARMA,2024-02-29,1028.55,1032.55,1014.75,1028.1,1028.55,1882782
Aurobindo Pharma Limited,AUROPHARMA,2024-02-28,1049.6,1050.55,1022.2,1028.55,1045.6,1300541
Aurobindo Pharma Limited,AUROPHARMA,2024-02-27,1037.0,1053.0,1033.6,1045.6,1041.9,912097
Aurobindo Pharma Limited,AUROPHARMA,2024-02-26,1043.8,1049.0,1019.0,1041.9,1043.8,3005755
Aurobindo Pharma Limited,AUROPHARMA,2024-02-23,1049.0,1054.25,1039.1,1043.8,1047.0,1093551
Aurobindo Pharma Limited,AUROPHARMA,2024-02-22,1053.95,1053.95,1035.3,1047.0,1040.8,893988
Aurobindo Pharma Limited,AUROPHARMA,2024-02-21,1052.1,1061.0,1036.45,1040.8,1052.4,1584527
Aurobindo Pharma Limited,AUROPHARMA,2024-02-20,1040.9,1055.1,1025.05,1052.4,1040.9,1754778
Aurobindo Pharma Limited,AUROPHARMA,2024-02-19,1041.05,1056.8,1034.2,1040.9,1034.2,2374532
Aurobindo Pharma Limited,AUROPHARMA,2024-02-16,1024.45,1053.7,1020.6,1034.2,1017.2,4276343
Aurobindo Pharma Limited,AUROPHARMA,2024-02-15,998.95,1024.0,996.45,1017.2,996.1,3729561
Aurobindo Pharma Limited,AUROPHARMA,2024-02-14,1019.9,1019.9,958.5,996.1,1026.4,6714469
Aurobindo Pharma Limited,AUROPHARMA,2024-02-13,1031.9,1040.0,1018.0,1026.4,1018.65,3447523
Aurobindo Pharma Limited,AUROPHARMA,2024-02-12,1035.9,1035.9,1000.05,1018.65,1003.15,7764030
Aurobindo Pharma Limited,AUROPHARMA,2024-02-09,1012.6,1021.0,977.0,1003.15,1002.6,3018985
Aurobindo Pharma Limited,AUROPHARMA,2024-02-08,1002.5,1029.8,997.6,1002.6,994.25,3235131
Aurobindo Pharma Limited,AUROPHARMA,2024-02-07,1017.65,1022.75,977.0,994.25,1014.4,6590077
Aurobindo Pharma Limited,AUROPHARMA,2024-02-06,1026.5,1048.9,1005.25,1014.4,1018.25,3897286
Aurobindo Pharma Limited,AUROPHARMA,2024-02-05,1052.0,1074.3,1009.35,1018.25,1066.75,9198598
Aurobindo Pharma Limited,AUROPHARMA,2024-02-02,1071.1,1075.0,1050.0,1066.75,1070.8,4136167
Aurobindo Pharma Limited,AUROPHARMA,2024-02-01,1155.0,1155.05,1035.4,1070.8,1150.4,10693504
Aurobindo Pharma Limited,AUROPHARMA,2024-01-31,1148.15,1161.7,1121.15,1150.4,1156.05,6067488
Aurobindo Pharma Limited,AUROPHARMA,2024-01-30,1157.0,1177.1,1144.05,1156.05,1160.85,1317033
Aurobindo Pharma Limited,AUROPHARMA,2024-01-29,1151.0,1170.3,1142.05,1160.85,1150.85,2487620
Aurobindo Pharma Limited,AUROPHARMA,2024-01-25,1163.9,1173.9,1140.05,1150.85,1160.1,1951555
Aurobindo Pharma Limited,AUROPHARMA,2024-01-25,1160.1,1160.1,1160.1,1160.1,489.3,107558
Aurobindo Pharma Limited,AUROPHARMA,2024-01-24,1133.6,1165.45,1112.65,1160.1,1133.6,3035259
Aurobindo Pharma Limited,AUROPHARMA,2024-01-23,1159.9,1166.3,1126.05,1133.6,1144.05,2687597
Aurobindo Pharma Limited,AUROPHARMA,2024-01-20,1152.0,1162.95,1140.1,1144.05,1148.7,1087358
Aurobindo Pharma Limited,AUROPHARMA,2024-01-19,1130.0,1155.45,1115.2,1148.7,1124.8,1860722
Aurobindo Pharma Limited,AUROPHARMA,2024-01-18,1087.5,1130.9,1061.4,1124.8,1088.65,3751754
Aurobindo Pharma Limited,AUROPHARMA,2024-01-17,1114.95,1118.35,1083.05,1088.65,1118.85,2555372
Aurobindo Pharma Limited,AUROPHARMA,2024-01-16,1149.65,1149.65,1115.2,1118.85,1149.65,1916355
