StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Axis Bank Limited,AXISBANK,2024-03-28,1052.85,1058.4,1044.1,1047.2,1052.85,10235318
Axis Bank Limited,AXISBANK,2024-03-27,1045.8,1057.55,1044.25,1052.85,1040.55,17027308
Axis Bank Limited,AXISBANK,2024-03-26,1029.0,1044.2,1027.5,1040.55,1033.3,9656767
Axis Bank Limited,AXISBANK,2024-03-22,1040.1,1047.25,1029.95,1033.3,1035.6,9891194
Axis Bank Limited,AXISBANK,2024-03-21,1039.35,1050.55,1028.15,1035.6,1034.75,9903738
Axis Bank Limited,AXISBANK,2024-03-20,1050.0,1057.45,1030.95,1034.75,1050.8,12619644
Axis Bank Limited,AXISBANK,2024-03-19,1055.55,1060.95,1046.7,1050.8,1061.35,6728886
Axis Bank Limited,AXISBANK,2024-03-18,1044.0,1066.9,1043.6,1061.35,1046.4,7612407
Axis Bank Limited,AXISBANK,2024-03-15,1056.25,1056.25,1030.25,1046.4,1058.25,17798175
Axis Bank Limited,AXISBANK,2024-03-14,1075.0,1081.25,1055.6,1058.25,1080.4,10253613
Axis Bank Limited,AXISBANK,2024-03-13,1096.0,1099.55,1070.75,1080.4,1097.0,11503890
Axis Bank Limited,AXISBANK,2024-03-12,1105.0,1121.4,1084.25,1097.0,1105.1,9817138
Axis Bank Limited,AXISBANK,2024-03-11,1112.25,1120.0,1101.9,1105.1,1111.45,6751641
Axis Bank Limited,AXISBANK,2024-03-07,1126.0,1126.9,1107.55,1111.45,1125.0,6943879
Axis Bank Limited,AXISBANK,2024-03-06,1100.2,1131.95,1095.35,1125.0,1100.8,13787638
Axis Bank Limited,AXISBANK,2024-03-05,1102.2,1110.9,1094.5,1100.8,1106.75,4851446
Axis Bank Limited,AXISBANK,2024-03-04,1099.25,1108.9,1093.1,1106.75,1096.7,5895441
Axis Bank Limited,AXISBANK,2024-03-02,1099.3,1104.9,1091.15,1096.7,1099.25,250465
Axis Bank Limited,AXISBANK,2024-03-01,1076.0,1101.7,1076.0,1099.25,1075.1,4819390
Axis Bank Limited,AXISBANK,2024-02-29,1071.0,1082.3,1055.35,1075.1,1074.2,13648997
Axis Bank Limited,AXISBANK,2024-02-28,1077.4,1085.0,1064.05,1074.2,1079.05,7643191
Axis Bank Limited,AXISBANK,2024-02-27,1081.65,1088.55,1072.05,1079.05,1085.2,6546815
Axis Bank Limited,AXISBANK,2024-02-26,1093.45,1094.8,1079.65,1085.2,1096.8,5354189
Axis Bank Limited,AXISBANK,2024-02-23,1099.0,1107.4,1090.0,1096.8,1100.9,6250943
Axis Bank Limited,AXISBANK,2024-02-22,1090.3,1110.7,1081.5,1100.9,1084.2,14633340
Axis Bank Limited,AXISBANK,2024-02-21,1093.85,1093.95,1073.1,1084.2,1088.6,9177213
Axis Bank Limited,AXISBANK,2024-02-20,1059.0,1090.5,1057.7,1088.6,1062.95,8722800
Axis Bank Limited,AXISBANK,2024-02-19,1069.0,1070.0,1060.1,1062.95,1068.75,7562645
Axis Bank Limited,AXISBANK,2024-02-16,1073.0,1076.0,1058.0,1068.75,1072.2,8660907
Axis Bank Limited,AXISBANK,2024-02-15,1097.5,1097.55,1069.25,1072.2,1096.85,11780823
Axis Bank Limited,AXISBANK,2024-02-14,1061.3,1100.9,1060.55,1096.85,1070.75,16609115
Axis Bank Limited,AXISBANK,2024-02-13,1051.0,1075.55,1044.8,1070.75,1046.7,8413609
Axis Bank Limited,AXISBANK,2024-02-12,1051.4,1057.25,1035.35,1046.7,1051.4,8694379
Axis Bank Limited,AXISBANK,2024-02-09,1039.95,1054.9,1034.55,1051.4,1035.9,8233454
Axis Bank Limited,AXISBANK,2024-02-08,1072.0,1075.6,1031.65,1035.9,1069.1,9869141
Axis Bank Limited,AXISBANK,2024-02-07,1061.05,1073.7,1057.5,1069.1,1050.05,7281793
Axis Bank Limited,AXISBANK,2024-02-06,1061.55,1065.1,1048.2,1050.05,1061.5,8011171
Axis Bank Limited,AXISBANK,2024-02-05,1067.05,1079.5,1058.0,1061.5,1067.05,12569454
