StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Bajaj Auto Limited,BAJAJ-AUTO,2024-03-28,9162.5,9243.6,8980.05,9148.15,9162.5,847202
Bajaj Auto Limited,BAJAJ-AUTO,2024-03-27,8959.0,9287.8,8926.7,9162.5,8960.55,1034030
Bajaj Auto Limited,BAJAJ-AUTO,2024-03-26,8945.25,9020.0,8851.05,8960.55,8945.25,534067
Bajaj Auto Limited,BAJAJ-AUTO,2024-03-22,8700.05,9050.0,8682.0,8945.25,8750.6,851210
Bajaj Auto Limited,BAJAJ-AUTO,2024-03-21,8608.2,8770.0,8585.0,8750.6,8635.6,720691
Bajaj Auto Limited,BAJAJ-AUTO,2024-03-20,8640.0,8784.0,8562.0,8635.6,8640.2,790885
Bajaj Auto Limited,BAJAJ-AUTO,2024-03-19,8500.0,8687.9,8442.55,8640.2,8521.8,673456
Bajaj Auto Limited,BAJAJ-AUTO,2024-03-18,8343.0,8547.15,8294.2,8521.8,8350.7,367524
Bajaj Auto Limited,BAJAJ-AUTO,2024-03-15,8384.8,8432.1,8110.0,8350.7,8383.55,676870
Bajaj Auto Limited,BAJAJ-AUTO,2024-03-14,8330.5,8400.0,8202.05,8383.55,8384.9,392634
Bajaj Auto Limited,BAJAJ-AUTO,2024-03-13,8527.7,8617.2,8296.95,8384.9,8527.7,430048
Bajaj Auto Limited,BAJAJ-AUTO,2024-03-12,8636.95,8699.95,8475.25,8527.7,8659.4,324864
Bajaj Auto Limited,BAJAJ-AUTO,2024-03-11,9023.45,9025.0,8630.0,8659.4,8879.05,631957
Bajaj Auto Limited,BAJAJ-AUTO,2024-03-07,8638.0,8972.85,8500.05,8879.05,8605.8,1243547
Bajaj Auto Limited,BAJAJ-AUTO,2024-03-06,8369.7,8681.15,8364.0,8605.8,8351.75,959543
Bajaj Auto Limited,BAJAJ-AUTO,2024-03-05,8160.05,8388.0,8160.05,8351.75,8207.3,615117
Bajaj Auto Limited,BAJAJ-AUTO,2024-03-04,8068.75,8225.0,8046.65,8207.3,8041.3,410053
Bajaj Auto Limited,BAJAJ-AUTO,2024-03-02,8079.9,8150.1,7989.15,8041.3,8040.05,14968
Bajaj Auto Limited,BAJAJ-AUTO,2024-03-01,7955.0,8094.0,7945.3,8040.05,7909.35,399007
Bajaj Auto Limited,BAJAJ-AUTO,2024-02-29,7997.4,8143.5,7890.0,7909.35,8188.65,1042536
Bajaj Auto Limited,BAJAJ-AUTO,2024-02-28,8470.0,8486.65,8071.85,8188.65,8463.5,537728
Bajaj Auto Limited,BAJAJ-AUTO,2024-02-27,8460.0,8490.0,8383.5,8463.5,8448.0,392445
Bajaj Auto Limited,BAJAJ-AUTO,2024-02-26,8458.8,8547.95,8375.0,8448.0,8436.95,345968
Bajaj Auto Limited,BAJAJ-AUTO,2024-02-23,8497.5,8531.0,8401.05,8436.95,8498.45,340749
Bajaj Auto Limited,BAJAJ-AUTO,2024-02-22,8260.0,8550.0,8220.0,8498.45,8232.25,548486
Bajaj Auto Limited,BAJAJ-AUTO,2024-02-21,8300.0,8376.85,8205.0,8232.25,8295.2,439817
Bajaj Auto Limited,BAJAJ-AUTO,2024-02-20,8505.0,8505.0,8238.7,8295.2,8509.7,547082
Bajaj Auto Limited,BAJAJ-AUTO,2024-02-19,8400.0,8650.0,8361.1,8509.7,8325.05,1044959
