StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Bajaj Finserv Limited,BAJAJFINSV,2024-03-28,1588.0,1669.0,1588.0,1643.85,1582.65,5210310
Bajaj Finserv Limited,BAJAJFINSV,2024-03-27,1590.0,1609.9,1578.2,1582.65,1593.9,1205575
Bajaj Finserv Limited,BAJAJFINSV,2024-03-26,1589.0,1619.0,1589.0,1593.9,1587.55,1616192
Bajaj Finserv Limited,BAJAJFINSV,2024-03-22,1593.0,1610.0,1583.4,1587.55,1602.6,1570412
Bajaj Finserv Limited,BAJAJFINSV,2024-03-21,1596.0,1609.45,1592.0,1602.6,1584.7,1166497
Bajaj Finserv Limited,BAJAJFINSV,2024-03-20,1582.5,1593.5,1566.1,1584.7,1581.5,723724
Bajaj Finserv Limited,BAJAJFINSV,2024-03-19,1574.05,1590.0,1551.1,1581.5,1577.05,1385006
Bajaj Finserv Limited,BAJAJFINSV,2024-03-18,1570.95,1579.15,1561.0,1577.05,1571.45,645594
Bajaj Finserv Limited,BAJAJFINSV,2024-03-15,1547.5,1589.6,1547.5,1571.45,1563.7,1929597
Bajaj Finserv Limited,BAJAJFINSV,2024-03-14,1565.6,1580.0,1550.1,1563.7,1573.15,1289823
Bajaj Finserv Limited,BAJAJFINSV,2024-03-13,1592.3,1598.95,1562.0,1573.15,1593.55,1279653
Bajaj Finserv Limited,BAJAJFINSV,2024-03-12,1590.1,1612.0,1565.15,1593.55,1598.8,1587096
Bajaj Finserv Limited,BAJAJFINSV,2024-03-11,1597.5,1616.15,1583.0,1598.8,1582.8,1285565
Bajaj Finserv Limited,BAJAJFINSV,2024-03-07,1557.15,1589.65,1557.15,1582.8,1554.6,1380840
Bajaj Finserv Limited,BAJAJFINSV,2024-03-06,1558.0,1558.0,1530.8,1554.6,1550.5,1239370
Bajaj Finserv Limited,BAJAJFINSV,2024-03-05,1630.0,1636.6,1541.15,1550.5,1619.3,2343463
Bajaj Finserv Limited,BAJAJFINSV,2024-03-04,1616.0,1625.0,1603.3,1619.3,1610.15,589948
Bajaj Finserv Limited,BAJAJFINSV,2024-03-02,1613.4,1615.9,1605.0,1610.15,1613.4,44273
Bajaj Finserv Limited,BAJAJFINSV,2024-03-01,1597.95,1620.3,1595.2,1613.4,1593.8,740120
Bajaj Finserv Limited,BAJAJFINSV,2024-02-29,1584.95,1603.6,1568.35,1593.8,1584.5,1352363
Bajaj Finserv Limited,BAJAJFINSV,2024-02-28,1603.0,1609.7,1580.0,1584.5,1600.6,790763
Bajaj Finserv Limited,BAJAJFINSV,2024-02-27,1614.3,1623.45,1595.0,1600.6,1614.3,931236
Bajaj Finserv Limited,BAJAJFINSV,2024-02-26,1616.0,1629.4,1610.0,1614.3,1616.55,742382
Bajaj Finserv Limited,BAJAJFINSV,2024-02-23,1596.0,1620.9,1596.0,1616.55,1592.55,1199419
Bajaj Finserv Limited,BAJAJFINSV,2024-02-22,1599.0,1599.0,1565.85,1592.55,1586.95,1149519
Bajaj Finserv Limited,BAJAJFINSV,2024-02-21,1604.0,1618.6,1580.6,1586.95,1602.85,674394
Bajaj Finserv Limited,BAJAJFINSV,2024-02-20,1617.95,1619.0,1597.5,1602.85,1620.15,1232581
Bajaj Finserv Limited,BAJAJFINSV,2024-02-19,1576.0,1625.0,1572.0,1620.15,1575.9,1162373
Bajaj Finserv Limited,BAJAJFINSV,2024-02-16,1583.1,1585.0,1567.05,1575.9,1569.4,850341
Bajaj Finserv Limited,BAJAJFINSV,2024-02-15,1589.95,1590.0,1564.55,1569.4,1579.7,803588
Bajaj Finserv Limited,BAJAJFINSV,2024-02-14,1582.0,1582.0,1582.0,1582.0,1575.0,1426965
Bajaj Finserv Limited,BAJAJFINSV,2024-02-14,1560.0,1583.0,1555.0,1579.7,1568.0,763689
Bajaj Finserv Limited,BAJAJFINSV,2024-02-13,1560.0,1586.45,1552.2,1568.0,1557.25,1833289
Bajaj Finserv Limited,BAJAJFINSV,2024-02-12,1578.75,1579.3,1551.5,1557.25,1570.95,803753
Bajaj Finserv Limited,BAJAJFINSV,2024-02-09,1586.25,1587.3,1562.7,1570.95,1570.55,1049368
Bajaj Finserv Limited,BAJAJFINSV,2024-02-08,1607.95,1607.95,1565.0,1570.55,1596.2,1486674
Bajaj Finserv Limited,BAJAJFINSV,2024-02-07,1609.0,1623.75,1589.4,1596.2,1597.05,1477982
Bajaj Finserv Limited,BAJAJFINSV,2024-02-06,1626.8,1626.8,1578.6,1597.05,1614.9,2376798
Bajaj Finserv Limited,BAJAJFINSV,2024-02-05,1650.0,1659.9,1608.55,1614.9,1651.5,2578535
Bajaj Finserv Limited,BAJAJFINSV,2024-02-02,1635.0,1664.0,1626.7,1651.5,1622.25,1514648
Bajaj Finserv Limited,BAJAJFINSV,2024-02-01,1632.0,1632.0,1613.0,1622.25,1627.3,1352416
