StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-03-28,8065.1,8344.05,8065.1,8272.75,8096.3,74053
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-03-27,8428.15,8509.8,7965.25,8096.3,8413.2,108749
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-03-26,8212.0,8435.0,8212.0,8413.2,8395.05,29115
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-03-22,8215.0,8447.65,8202.65,8395.05,8202.65,49514
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-03-21,8121.0,8219.7,8120.0,8202.65,8130.15,16304
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-03-20,8191.05,8194.75,8088.0,8130.15,8204.6,14503
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-03-19,8264.6,8318.0,8190.1,8204.6,8210.3,23350
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-03-18,8243.75,8243.75,8150.1,8210.3,8243.75,19087
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-03-15,8148.7,8299.9,8142.05,8243.75,8231.0,46749
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-03-14,8225.0,8300.0,8080.6,8231.0,8369.0,68591
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-03-13,8510.0,8581.25,8277.9,8369.0,8594.15,36711
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-03-12,8616.95,8662.45,8525.0,8594.15,8616.15,23669
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-03-11,8666.25,8747.7,8558.8,8616.15,8665.15,67923
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-03-07,8787.95,8787.95,8610.0,8665.15,8716.1,38774
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-03-06,8756.95,8756.95,8649.95,8716.1,8726.15,41202
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-03-05,8830.0,8860.45,8685.0,8726.15,8855.6,41517
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-03-04,9175.0,9175.0,8838.9,8855.6,9047.65,45298
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-03-02,9123.2,9249.0,8900.15,9047.65,8944.35,1446
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-03-01,9154.3,9288.0,8911.5,8944.35,9149.6,35724
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-02-29,8651.0,9348.95,8601.0,9149.6,8705.3,80740
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-02-28,8708.15,8820.8,8671.15,8705.3,8703.0,16018
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-02-27,8802.25,9140.0,8631.15,8703.0,8802.2,70693
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-02-26,8765.0,8869.0,8730.0,8802.2,8755.8,17937
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-02-23,8750.0,8800.0,8559.05,8755.8,8683.9,12322
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-02-22,8845.5,8845.5,8615.2,8683.9,8807.8,38170
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-02-21,8895.0,8898.9,8750.0,8807.8,8817.5,11657
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-02-20,8859.0,8898.35,8742.7,8817.5,8876.25,18070
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-02-19,8880.0,8974.9,8757.4,8876.25,8784.75,14418
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-02-16,8825.9,8925.0,8620.2,8784.75,8769.1,38842
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-02-15,8764.4,8825.0,8680.85,8769.1,8764.4,17982
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-02-14,8700.15,8878.95,8651.0,8764.4,8761.8,16425
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-02-13,8619.6,8790.0,8571.55,8761.8,8619.6,16594
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-02-12,8634.0,8700.9,8519.65,8619.6,8634.05,11036
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-02-09,8684.25,8784.1,8510.0,8634.05,8674.05,27292
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-02-08,8700.0,8724.9,8575.0,8674.05,8611.85,38780
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-02-07,8524.0,8719.0,8452.0,8611.85,8452.45,48763
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-02-06,8342.8,8479.5,8283.55,8452.45,8330.35,19163
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-02-05,8468.8,8520.0,8307.9,8330.35,8461.45,18949
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-02-02,8341.9,8485.0,8271.05,8461.45,8341.9,16462
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-02-01,8457.0,8457.0,8251.3,8341.9,8366.3,21348
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-01-31,8251.65,8393.55,8211.0,8366.3,8251.65,35250
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-01-30,8255.0,8327.9,8202.15,8251.65,8246.55,34625
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-01-29,8192.05,8380.0,8177.55,8246.55,8194.7,32525
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-01-25,8224.1,8224.9,8130.0,8194.7,8190.95,14926
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-01-24,8199.85,8230.9,8001.0,8190.95,8122.2,21964
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-01-23,8400.0,8400.0,8007.55,8122.2,8261.55,38548
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-01-20,8472.85,8568.0,8213.45,8261.55,8472.8,32340
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-01-19,8003.5,8500.0,8003.5,8472.8,7999.35,135675
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-01-18,8139.8,8139.8,7890.0,7999.35,8098.75,33821
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-01-17,8149.95,8150.0,8058.15,8098.75,8177.35,21311
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-01-16,8200.0,8209.0,8140.75,8177.35,8222.8,14829
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-01-15,8090.0,8250.0,8081.8,8222.8,8051.55,33759
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-01-12,8078.0,8117.95,8025.0,8051.55,8041.15,9367
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-01-11,8032.7,8108.95,8005.25,8041.15,8031.95,19415
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-01-10,8088.0,8136.6,7990.0,8031.95,8008.35,21386
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-01-09,8279.95,8312.95,7965.0,8008.35,8045.8,38473
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-01-08,8070.0,8128.3,8018.0,8045.8,8066.1,11458
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-01-05,8252.0,8275.0,8020.0,8066.1,8209.95,26527
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-01-04,8080.0,8246.0,7968.05,8209.95,8103.4,46150
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-01-03,7829.95,8220.55,7711.2,8103.4,7817.75,86219
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-01-02,7810.0,7848.95,7756.05,7817.75,7763.65,30786
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2024-01-01,7710.0,7799.0,7700.0,7763.65,7674.6,17080
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-12-29,7749.9,7819.85,7620.0,7674.6,7713.25,52509
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-12-28,7968.95,8188.45,7676.8,7713.25,7921.35,87310
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-12-27,7898.95,7980.0,7830.1,7921.35,7891.4,11177
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-12-26,7877.0,7955.0,7835.0,7891.4,7837.6,19122
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-12-22,7745.0,7873.2,7745.0,7837.6,7742.95,17659
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-12-21,7777.0,7805.0,7660.0,7742.95,7869.65,29668
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-12-20,7860.0,7914.25,7812.0,7869.65,7827.35,27757
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-12-19,7940.0,7940.0,7800.0,7827.35,7894.6,54892
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-12-18,8039.85,8039.85,7870.15,7894.6,7969.8,39141
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-12-15,8325.55,8370.0,7883.75,7969.8,8325.6,75533
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-12-14,8233.1,8350.0,8160.1,8325.6,8233.1,41327
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-12-13,7849.85,8366.65,7823.25,8233.1,7838.0,53366
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-12-12,7900.5,7900.5,7755.6,7838.0,7818.1,26619
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-12-11,7984.25,8039.0,7770.0,7818.1,7984.25,64180
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-12-08,8080.4,8080.4,7920.0,7984.25,8080.4,27621
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-12-07,7870.0,8373.85,7800.0,8080.4,7879.0,151760
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-12-06,7780.0,7950.0,7720.0,7879.0,7709.25,43794
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-12-05,7897.0,7897.0,7629.65,7709.25,7849.95,65891
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-12-04,7396.65,7974.25,7357.05,7849.95,7332.9,157847
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-12-01,7406.95,7439.95,7260.55,7332.9,7356.1,30157
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-11-30,7371.25,7400.0,7210.0,7356.1,7309.35,57191
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-11-29,7325.0,7444.85,7244.55,7309.35,7320.7,17133
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-11-28,7420.1,7480.0,7300.0,7320.7,7438.85,19597
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-11-24,7423.6,7488.8,7399.0,7438.85,7423.6,14344
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-11-23,7420.9,7440.0,7329.95,7423.6,7377.3,15089
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-11-22,7359.0,7470.0,7330.4,7377.3,7346.0,27197
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-11-21,7320.0,7355.0,7234.05,7346.0,7272.0,11430
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-11-20,7347.8,7357.7,7243.6,7272.0,7347.8,12074
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-11-17,7125.0,7375.0,7108.65,7347.8,7138.4,62674
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-11-16,7091.55,7195.0,7036.0,7138.4,7183.25,21153
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-11-15,7163.7,7190.0,7110.15,7183.25,7126.2,21269
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-11-13,7134.0,7150.0,7052.05,7126.2,7119.1,23008
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-11-12,7154.8,7170.0,7090.0,7119.1,7138.6,2003
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-11-10,7015.05,7150.0,7015.05,7138.6,7073.8,14493
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-11-09,7120.0,7170.0,7050.0,7073.8,7130.55,17729
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-11-08,7084.0,7135.25,7076.0,7130.55,7065.15,14575
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-11-07,7000.0,7097.6,7000.0,7065.15,7000.35,28285
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-11-06,7026.35,7034.0,6913.3,7000.35,6922.3,31959
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-11-03,6860.05,6984.9,6851.15,6922.3,6849.3,17745
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-11-02,6776.5,6885.0,6776.5,6849.3,6741.0,56156
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-11-01,6884.5,6924.6,6711.0,6741.0,6926.45,28739
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-10-31,6811.55,6949.9,6805.55,6926.45,6794.3,19889
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-10-30,6790.0,6820.0,6627.9,6794.3,6729.0,19034
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-10-27,6766.95,6839.0,6670.15,6729.0,6667.65,13991
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-10-26,6770.0,6833.95,6650.0,6667.65,6856.0,21099
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-10-25,7099.1,7128.9,6800.35,6856.0,7099.05,28693
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-10-23,7080.0,7165.0,7008.75,7099.05,7055.4,53413
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-10-20,6861.15,7120.0,6828.0,7055.4,6861.15,101039
Bajaj Holdings & Investment Limited,BAJAJHLDNG,2023-10-19,6822.0,6889.0,6756.0,6861.15,6865.05,16188
