StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Bajaj Finance Limited,BAJFINANCE,2024-03-28,7032.1,7349.3,7032.1,7245.25,7022.75,3574518
Bajaj Finance Limited,BAJFINANCE,2024-03-27,6945.75,7049.0,6905.0,7022.75,6910.1,1551275
Bajaj Finance Limited,BAJFINANCE,2024-03-26,6754.5,6945.0,6745.0,6910.1,6760.9,1850321
Bajaj Finance Limited,BAJFINANCE,2024-03-22,6705.0,6803.0,6686.3,6760.9,6715.75,1125238
Bajaj Finance Limited,BAJFINANCE,2024-03-21,6707.5,6771.65,6657.15,6715.75,6649.5,1806092
Bajaj Finance Limited,BAJFINANCE,2024-03-20,6610.0,6731.0,6606.0,6649.5,6596.25,1490831
Bajaj Finance Limited,BAJFINANCE,2024-03-19,6509.7,6667.2,6505.0,6596.25,6504.65,1408087
Bajaj Finance Limited,BAJFINANCE,2024-03-18,6514.35,6555.0,6456.1,6504.65,6514.35,676425
Bajaj Finance Limited,BAJFINANCE,2024-03-15,6375.05,6578.0,6360.0,6514.35,6397.45,1970500
Bajaj Finance Limited,BAJFINANCE,2024-03-14,6456.15,6470.0,6297.8,6397.45,6456.15,1219865
Bajaj Finance Limited,BAJFINANCE,2024-03-13,6439.25,6514.95,6391.55,6456.15,6436.05,1132183
Bajaj Finance Limited,BAJFINANCE,2024-03-12,6405.0,6485.0,6341.35,6436.05,6433.75,1094677
Bajaj Finance Limited,BAJFINANCE,2024-03-11,6550.0,6552.0,6404.0,6433.75,6421.05,1203971
Bajaj Finance Limited,BAJFINANCE,2024-03-07,6350.0,6468.6,6325.4,6421.05,6311.25,1469421
Bajaj Finance Limited,BAJFINANCE,2024-03-06,6332.5,6345.9,6187.8,6311.25,6324.25,2104792
Bajaj Finance Limited,BAJFINANCE,2024-03-05,6602.45,6636.25,6272.0,6324.25,6602.45,1717558
Bajaj Finance Limited,BAJFINANCE,2024-03-04,6588.0,6639.95,6557.45,6602.45,6584.35,397118
Bajaj Finance Limited,BAJFINANCE,2024-03-02,6565.0,6605.0,6565.0,6584.35,6571.45,49760
Bajaj Finance Limited,BAJFINANCE,2024-03-01,6511.75,6608.7,6502.1,6571.45,6495.35,919080
Bajaj Finance Limited,BAJFINANCE,2024-02-29,6499.0,6539.0,6366.2,6495.35,6498.7,1699098
