StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Balaji Amines Limited,BALAMINES,2024-03-28,2078.0,2085.95,2033.3,2045.25,2066.05,74636
Balaji Amines Limited,BALAMINES,2024-03-27,2050.1,2097.5,2050.1,2066.05,2051.95,108869
Balaji Amines Limited,BALAMINES,2024-03-26,2100.05,2106.7,2045.0,2051.95,2106.7,92896
Balaji Amines Limited,BALAMINES,2024-03-22,2066.0,2165.0,2066.0,2106.7,2062.35,181950
Balaji Amines Limited,BALAMINES,2024-03-21,2076.4,2086.6,2055.0,2062.35,2036.7,39570
Balaji Amines Limited,BALAMINES,2024-03-20,2058.2,2076.95,2032.0,2036.7,2058.2,33895
Balaji Amines Limited,BALAMINES,2024-03-19,2081.75,2114.7,2053.75,2058.2,2081.75,37688
Balaji Amines Limited,BALAMINES,2024-03-18,2105.0,2129.7,2072.0,2081.75,2100.95,39908
Balaji Amines Limited,BALAMINES,2024-03-15,2058.75,2129.7,2058.0,2100.95,2057.65,69139
Balaji Amines Limited,BALAMINES,2024-03-14,2041.05,2099.0,2009.2,2057.65,2041.05,84568
Balaji Amines Limited,BALAMINES,2024-03-13,2157.95,2165.6,2030.0,2041.05,2156.35,136704
Balaji Amines Limited,BALAMINES,2024-03-12,2223.7,2230.15,2131.05,2156.35,2223.6,79167
Balaji Amines Limited,BALAMINES,2024-03-11,2337.85,2337.85,2202.0,2223.6,2337.15,77590
Balaji Amines Limited,BALAMINES,2024-03-07,2318.05,2375.5,2318.05,2337.15,2317.2,88123
Balaji Amines Limited,BALAMINES,2024-03-06,2402.05,2431.95,2301.15,2317.2,2393.9,233353
Balaji Amines Limited,BALAMINES,2024-03-05,2209.75,2426.95,2189.5,2393.9,2196.35,1279540
Balaji Amines Limited,BALAMINES,2024-03-04,2205.15,2239.05,2186.0,2196.35,2227.4,33463
Balaji Amines Limited,BALAMINES,2024-03-02,2210.0,2263.95,2210.0,2227.4,2195.85,19573
Balaji Amines Limited,BALAMINES,2024-03-01,2194.0,2220.2,2175.9,2195.85,2173.75,30915
Balaji Amines Limited,BALAMINES,2024-02-29,2176.0,2194.0,2152.0,2173.75,2185.65,29538
Balaji Amines Limited,BALAMINES,2024-02-28,2216.55,2229.15,2180.0,2185.65,2216.55,24201
Balaji Amines Limited,BALAMINES,2024-02-27,2217.15,2265.0,2204.45,2216.55,2246.45,35517
Balaji Amines Limited,BALAMINES,2024-02-26,2259.0,2259.0,2205.0,2246.45,2238.05,45869
Balaji Amines Limited,BALAMINES,2024-02-23,2270.05,2280.15,2225.0,2238.05,2267.85,37834
Balaji Amines Limited,BALAMINES,2024-02-22,2292.5,2300.7,2260.0,2267.85,2292.5,19872
Balaji Amines Limited,BALAMINES,2024-02-21,2312.0,2345.0,2277.2,2292.5,2303.2,60787
Balaji Amines Limited,BALAMINES,2024-02-20,2289.95,2319.65,2275.0,2303.2,2291.05,34747
Balaji Amines Limited,BALAMINES,2024-02-19,2268.85,2324.75,2247.05,2291.05,2266.3,52394
Balaji Amines Limited,BALAMINES,2024-02-16,2271.0,2336.95,2234.0,2266.3,2234.55,73839
Balaji Amines Limited,BALAMINES,2024-02-15,2180.0,2278.95,2172.3,2234.55,2169.45,75884
