StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Balkrishna Industries Limited,BALKRISIND,2024-03-28,2307.4,2333.0,2275.0,2317.35,2290.85,271784
Balkrishna Industries Limited,BALKRISIND,2024-03-27,2274.8,2312.95,2255.4,2290.85,2266.4,264660
Balkrishna Industries Limited,BALKRISIND,2024-03-26,2272.0,2288.95,2253.0,2266.4,2276.05,146934
Balkrishna Industries Limited,BALKRISIND,2024-03-22,2305.0,2312.95,2259.35,2276.05,2309.55,312564
Balkrishna Industries Limited,BALKRISIND,2024-03-21,2284.6,2322.9,2274.35,2309.55,2280.4,256352
Balkrishna Industries Limited,BALKRISIND,2024-03-20,2290.95,2323.0,2248.1,2280.4,2284.5,206430
Balkrishna Industries Limited,BALKRISIND,2024-03-19,2260.35,2300.0,2246.2,2284.5,2260.35,365379
Balkrishna Industries Limited,BALKRISIND,2024-03-18,2262.5,2279.9,2233.0,2260.35,2267.0,285308
Balkrishna Industries Limited,BALKRISIND,2024-03-15,2252.5,2286.15,2233.0,2267.0,2267.75,282792
Balkrishna Industries Limited,BALKRISIND,2024-03-14,2260.0,2293.05,2212.8,2267.75,2285.4,402650
Balkrishna Industries Limited,BALKRISIND,2024-03-13,2363.95,2378.8,2270.5,2285.4,2344.4,634895
Balkrishna Industries Limited,BALKRISIND,2024-03-12,2237.85,2358.0,2234.0,2344.4,2246.65,1134190
Balkrishna Industries Limited,BALKRISIND,2024-03-11,2250.0,2263.85,2193.8,2246.65,2267.15,863296
Balkrishna Industries Limited,BALKRISIND,2024-03-07,2280.0,2290.0,2259.0,2267.15,2281.6,137523
Balkrishna Industries Limited,BALKRISIND,2024-03-06,2281.8,2287.0,2235.3,2281.6,2271.85,272361
Balkrishna Industries Limited,BALKRISIND,2024-03-05,2234.0,2324.0,2234.0,2271.85,2238.35,586091
Balkrishna Industries Limited,BALKRISIND,2024-03-04,2269.8,2269.8,2233.1,2238.35,2266.5,351156
Balkrishna Industries Limited,BALKRISIND,2024-03-02,2265.0,2270.35,2250.0,2266.5,2250.85,10259
Balkrishna Industries Limited,BALKRISIND,2024-03-01,2241.85,2263.4,2210.05,2250.85,2228.95,1018688
Balkrishna Industries Limited,BALKRISIND,2024-02-29,2229.0,2240.0,2194.5,2228.95,2229.2,478956
Balkrishna Industries Limited,BALKRISIND,2024-02-28,2289.25,2299.75,2218.0,2229.2,2289.25,282334
Balkrishna Industries Limited,BALKRISIND,2024-02-27,2294.8,2315.2,2277.25,2289.25,2290.15,177543
Balkrishna Industries Limited,BALKRISIND,2024-02-26,2332.95,2333.0,2267.05,2290.15,2333.5,721204
Balkrishna Industries Limited,BALKRISIND,2024-02-23,2286.5,2353.2,2286.5,2333.5,2280.35,303936
Balkrishna Industries Limited,BALKRISIND,2024-02-22,2267.55,2287.0,2252.8,2280.35,2257.8,114899
Balkrishna Industries Limited,BALKRISIND,2024-02-21,2294.55,2312.0,2251.0,2257.8,2294.55,209004
Balkrishna Industries Limited,BALKRISIND,2024-02-20,2324.0,2327.5,2277.55,2294.55,2323.85,237725
Balkrishna Industries Limited,BALKRISIND,2024-02-19,2340.0,2344.95,2313.0,2323.85,2339.75,135084
Balkrishna Industries Limited,BALKRISIND,2024-02-16,2340.0,2359.3,2332.7,2339.75,2334.85,135488
Balkrishna Industries Limited,BALKRISIND,2024-02-15,2365.0,2373.65,2330.0,2334.85,2351.05,127649
Balkrishna Industries Limited,BALKRISIND,2024-02-14,2309.95,2361.9,2285.6,2351.05,2315.6,119297
Balkrishna Industries Limited,BALKRISIND,2024-02-13,2350.0,2351.95,2293.15,2315.6,2344.5,221202
Balkrishna Industries Limited,BALKRISIND,2024-02-12,2309.95,2356.9,2280.1,2344.5,2297.5,612117
Balkrishna Industries Limited,BALKRISIND,2024-02-09,2330.0,2330.0,2279.35,2297.5,2311.5,268270
Balkrishna Industries Limited,BALKRISIND,2024-02-08,2349.4,2365.65,2304.0,2311.5,2349.4,194937
Balkrishna Industries Limited,BALKRISIND,2024-02-07,2402.85,2404.0,2344.0,2349.4,2382.15,467803
Balkrishna Industries Limited,BALKRISIND,2024-02-06,2411.95,2420.65,2378.1,2382.15,2410.6,373510
Balkrishna Industries Limited,BALKRISIND,2024-02-05,2458.9,2482.0,2400.0,2410.6,2452.4,414992
Balkrishna Industries Limited,BALKRISIND,2024-02-02,2449.9,2478.75,2430.15,2452.4,2436.5,264382
Balkrishna Industries Limited,BALKRISIND,2024-02-01,2464.95,2494.0,2421.35,2436.5,2454.25,234190
