StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Balrampur Chini Mills Limited,BALRAMCHIN,2024-03-28,363.0,364.25,359.0,361.95,362.15,1485300
Balrampur Chini Mills Limited,BALRAMCHIN,2024-03-27,368.7,369.1,360.0,362.15,366.1,2056254
Balrampur Chini Mills Limited,BALRAMCHIN,2024-03-26,363.8,372.95,363.65,366.1,366.15,1687433
Balrampur Chini Mills Limited,BALRAMCHIN,2024-03-22,366.5,372.6,363.3,366.15,366.35,1232410
Balrampur Chini Mills Limited,BALRAMCHIN,2024-03-21,360.2,367.95,360.15,366.35,357.35,1193526
Balrampur Chini Mills Limited,BALRAMCHIN,2024-03-20,364.0,365.0,356.05,357.35,363.25,655220
Balrampur Chini Mills Limited,BALRAMCHIN,2024-03-19,357.25,365.4,356.0,363.25,360.85,1503434
Balrampur Chini Mills Limited,BALRAMCHIN,2024-03-18,366.05,368.9,358.1,360.85,359.25,2951142
Balrampur Chini Mills Limited,BALRAMCHIN,2024-03-15,357.0,361.95,350.0,359.25,356.05,1918527
Balrampur Chini Mills Limited,BALRAMCHIN,2024-03-14,349.35,357.9,343.5,356.05,347.6,1267523
Balrampur Chini Mills Limited,BALRAMCHIN,2024-03-13,364.55,367.45,345.3,347.6,363.85,1989299
Balrampur Chini Mills Limited,BALRAMCHIN,2024-03-12,375.0,375.8,360.35,363.85,374.8,2188899
Balrampur Chini Mills Limited,BALRAMCHIN,2024-03-11,378.9,379.45,372.25,374.8,378.45,1001363
Balrampur Chini Mills Limited,BALRAMCHIN,2024-03-07,374.4,380.9,374.0,378.45,373.05,992857
Balrampur Chini Mills Limited,BALRAMCHIN,2024-03-06,378.5,380.8,370.0,373.05,380.8,1637563
Balrampur Chini Mills Limited,BALRAMCHIN,2024-03-05,382.0,383.0,377.4,380.8,380.35,951385
Balrampur Chini Mills Limited,BALRAMCHIN,2024-03-04,375.7,386.1,374.3,380.35,374.95,2258905
Balrampur Chini Mills Limited,BALRAMCHIN,2024-03-02,374.7,376.0,372.0,374.95,372.55,188539
Balrampur Chini Mills Limited,BALRAMCHIN,2024-03-01,373.8,377.6,371.55,372.55,372.95,1317165
Balrampur Chini Mills Limited,BALRAMCHIN,2024-02-29,374.0,374.8,369.0,372.95,371.2,1200332
Balrampur Chini Mills Limited,BALRAMCHIN,2024-02-28,384.0,385.4,369.0,371.2,382.9,2767865
