StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Bandhan Bank Limited,BANDHANBNK,2024-03-28,181.3,182.0,179.45,180.0,180.85,13334606
Bandhan Bank Limited,BANDHANBNK,2024-03-27,182.2,183.5,179.55,180.85,181.75,19522292
Bandhan Bank Limited,BANDHANBNK,2024-03-26,181.35,183.75,180.2,181.75,181.75,11903481
Bandhan Bank Limited,BANDHANBNK,2024-03-22,181.0,182.85,180.45,181.75,180.45,14713576
Bandhan Bank Limited,BANDHANBNK,2024-03-21,180.0,182.0,179.4,180.45,177.85,9616624
Bandhan Bank Limited,BANDHANBNK,2024-03-20,181.5,181.9,177.05,177.85,180.45,11378108
Bandhan Bank Limited,BANDHANBNK,2024-03-19,181.85,182.75,179.3,180.45,181.35,7297535
Bandhan Bank Limited,BANDHANBNK,2024-03-18,185.0,186.15,180.8,181.35,183.15,8657646
Bandhan Bank Limited,BANDHANBNK,2024-03-15,180.5,186.0,179.1,183.15,179.65,12223804
Bandhan Bank Limited,BANDHANBNK,2024-03-14,178.7,183.15,173.15,179.65,178.7,16837953
Bandhan Bank Limited,BANDHANBNK,2024-03-13,189.3,189.95,176.85,178.7,188.7,18229091
Bandhan Bank Limited,BANDHANBNK,2024-03-12,192.15,192.9,188.15,188.7,191.8,9664742
Bandhan Bank Limited,BANDHANBNK,2024-03-11,196.0,196.15,190.05,191.8,195.05,16936507
Bandhan Bank Limited,BANDHANBNK,2024-03-07,196.7,197.35,194.55,195.05,194.9,5189243
Bandhan Bank Limited,BANDHANBNK,2024-03-06,198.0,198.45,193.85,194.9,197.95,14535779
Bandhan Bank Limited,BANDHANBNK,2024-03-05,199.9,201.65,197.45,197.95,199.0,8212814
Bandhan Bank Limited,BANDHANBNK,2024-03-04,201.1,201.7,198.45,199.0,200.75,7532396
Bandhan Bank Limited,BANDHANBNK,2024-03-02,200.0,201.4,199.9,200.75,199.85,952270
Bandhan Bank Limited,BANDHANBNK,2024-03-01,197.5,200.5,196.5,199.85,195.6,7821881
Bandhan Bank Limited,BANDHANBNK,2024-02-29,196.65,197.65,193.1,195.6,196.65,19407356
Bandhan Bank Limited,BANDHANBNK,2024-02-28,201.2,202.2,195.9,196.65,201.15,9979111
Bandhan Bank Limited,BANDHANBNK,2024-02-27,203.05,204.35,200.75,201.15,202.6,8341347
Bandhan Bank Limited,BANDHANBNK,2024-02-26,209.2,209.2,199.7,202.6,208.25,26710009
Bandhan Bank Limited,BANDHANBNK,2024-02-23,204.95,209.35,204.45,208.25,203.65,13607467
Bandhan Bank Limited,BANDHANBNK,2024-02-22,201.4,204.15,198.3,203.65,200.55,6594640
Bandhan Bank Limited,BANDHANBNK,2024-02-21,203.9,204.15,199.75,200.55,202.7,7362611
