StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Bank of Baroda,BANKBARODA,2024-03-28,261.0,265.0,261.0,264.05,258.75,114
Bank of Baroda,BANKBARODA,2024-03-28,258.75,266.4,258.75,264.05,258.75,11966752
Bank of Baroda,BANKBARODA,2024-03-27,261.0,263.8,257.7,258.75,261.55,19196992
Bank of Baroda,BANKBARODA,2024-03-26,259.0,263.75,259.0,261.55,259.8,8259347
Bank of Baroda,BANKBARODA,2024-03-22,255.5,260.9,253.65,259.8,255.7,11402546
Bank of Baroda,BANKBARODA,2024-03-21,253.5,257.3,253.0,255.7,249.85,10121220
Bank of Baroda,BANKBARODA,2024-03-20,249.9,253.0,243.8,249.85,249.1,17342930
Bank of Baroda,BANKBARODA,2024-03-19,253.8,255.8,248.5,249.1,254.5,11016984
Bank of Baroda,BANKBARODA,2024-03-18,253.45,257.9,252.2,254.5,254.0,10806790
Bank of Baroda,BANKBARODA,2024-03-15,258.5,261.5,250.15,254.0,259.2,17126874
Bank of Baroda,BANKBARODA,2024-03-14,259.9,263.85,255.6,259.2,260.9,13623004
Bank of Baroda,BANKBARODA,2024-03-13,272.0,273.45,258.4,260.9,271.6,20711328
Bank of Baroda,BANKBARODA,2024-03-12,277.0,279.5,270.85,271.6,277.4,12003823
Bank of Baroda,BANKBARODA,2024-03-11,283.85,285.6,276.5,277.4,281.75,18217736
Bank of Baroda,BANKBARODA,2024-03-07,282.55,284.5,279.2,281.75,282.55,10994198
Bank of Baroda,BANKBARODA,2024-03-06,277.85,284.25,271.3,282.55,278.1,32754392
Bank of Baroda,BANKBARODA,2024-03-05,272.95,278.6,272.25,278.1,273.2,14431461
Bank of Baroda,BANKBARODA,2024-03-04,273.55,276.25,272.1,273.2,271.85,11707996
Bank of Baroda,BANKBARODA,2024-03-02,271.2,273.0,271.05,271.85,271.15,855493
Bank of Baroda,BANKBARODA,2024-03-01,266.5,272.2,265.4,271.15,265.45,9702235
Bank of Baroda,BANKBARODA,2024-02-29,261.4,267.6,258.35,265.45,261.75,16296464
Bank of Baroda,BANKBARODA,2024-02-28,270.35,271.45,260.65,261.75,270.35,13653858
Bank of Baroda,BANKBARODA,2024-02-27,269.55,273.1,267.4,270.35,269.55,15572873
Bank of Baroda,BANKBARODA,2024-02-26,268.85,272.4,266.7,269.55,268.85,12448638
Bank of Baroda,BANKBARODA,2024-02-23,276.0,280.15,265.3,268.85,275.6,23264484
Bank of Baroda,BANKBARODA,2024-02-22,275.25,276.95,270.15,275.6,275.1,11871556
Bank of Baroda,BANKBARODA,2024-02-21,273.5,279.5,273.0,275.1,273.25,19624058
Bank of Baroda,BANKBARODA,2024-02-20,270.1,274.8,269.75,273.25,270.7,14006722
Bank of Baroda,BANKBARODA,2024-02-19,275.65,277.0,269.75,270.7,275.65,14006706
Bank of Baroda,BANKBARODA,2024-02-16,276.1,280.75,274.55,275.65,275.7,20666587
