StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Bank of India,BANKINDIA,2024-03-28,133.2,137.85,132.8,137.05,131.9,13378241
Bank of India,BANKINDIA,2024-03-27,134.65,135.0,131.4,131.9,133.5,8724839
Bank of India,BANKINDIA,2024-03-26,135.85,136.95,133.05,133.5,135.8,9406196
Bank of India,BANKINDIA,2024-03-22,135.7,137.7,134.9,135.8,134.6,8881966
Bank of India,BANKINDIA,2024-03-21,134.15,136.25,133.95,134.6,131.45,8302052
Bank of India,BANKINDIA,2024-03-20,134.05,135.6,128.1,131.45,133.9,8243643
Bank of India,BANKINDIA,2024-03-19,133.1,134.7,131.2,133.9,133.1,11009392
Bank of India,BANKINDIA,2024-03-18,134.0,135.25,131.3,133.1,134.3,10652375
Bank of India,BANKINDIA,2024-03-15,130.8,135.6,125.6,134.3,130.4,25112860
Bank of India,BANKINDIA,2024-03-14,127.0,133.5,125.1,130.4,128.45,18478220
Bank of India,BANKINDIA,2024-03-13,140.75,142.1,126.9,128.45,140.2,21197858
Bank of India,BANKINDIA,2024-03-12,144.0,144.65,138.1,140.2,143.9,13318583
Bank of India,BANKINDIA,2024-03-11,147.3,149.45,142.8,143.9,145.95,16358360
Bank of India,BANKINDIA,2024-03-07,144.8,148.15,144.55,145.95,145.3,17449961
Bank of India,BANKINDIA,2024-03-06,143.35,147.0,139.95,145.3,143.7,35383879
Bank of India,BANKINDIA,2024-03-05,138.05,145.2,138.05,143.7,139.45,30920424
Bank of India,BANKINDIA,2024-03-04,138.4,139.95,135.9,139.45,137.5,13083002
Bank of India,BANKINDIA,2024-03-02,137.4,137.8,135.8,137.5,136.4,1498903
Bank of India,BANKINDIA,2024-03-01,134.9,137.2,133.9,136.4,131.45,10702960
Bank of India,BANKINDIA,2024-02-29,132.6,134.25,128.8,131.45,132.6,27788093
Bank of India,BANKINDIA,2024-02-28,136.3,136.7,130.25,132.6,135.8,11162257
Bank of India,BANKINDIA,2024-02-27,136.0,137.7,134.0,135.8,136.7,10123884
Bank of India,BANKINDIA,2024-02-26,137.0,137.8,135.8,136.7,136.85,7667258
Bank of India,BANKINDIA,2024-02-23,140.0,140.75,136.0,136.85,139.25,15595124
Bank of India,BANKINDIA,2024-02-22,141.8,142.3,136.5,139.25,141.2,17728329
