StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Bata India Limited,BATAINDIA,2024-03-28,1367.3,1371.0,1360.25,1364.2,1367.3,383390
Bata India Limited,BATAINDIA,2024-03-27,1372.4,1377.95,1362.0,1367.3,1372.4,549012
Bata India Limited,BATAINDIA,2024-03-26,1380.0,1382.1,1366.3,1372.4,1382.7,389068
Bata India Limited,BATAINDIA,2024-03-22,1379.65,1397.75,1376.1,1382.7,1379.65,391026
Bata India Limited,BATAINDIA,2024-03-21,1383.7,1394.0,1374.75,1379.65,1375.1,340578
Bata India Limited,BATAINDIA,2024-03-20,1376.6,1380.0,1348.1,1375.1,1371.45,366341
Bata India Limited,BATAINDIA,2024-03-19,1378.5,1387.9,1357.1,1371.45,1377.25,498346
Bata India Limited,BATAINDIA,2024-03-18,1395.0,1398.45,1372.95,1377.25,1390.5,535191
Bata India Limited,BATAINDIA,2024-03-15,1407.4,1418.85,1386.45,1390.5,1407.15,421772
Bata India Limited,BATAINDIA,2024-03-14,1390.0,1413.0,1367.05,1407.15,1403.5,476722
Bata India Limited,BATAINDIA,2024-03-13,1427.0,1432.6,1378.75,1403.5,1427.05,819845
Bata India Limited,BATAINDIA,2024-03-12,1446.0,1461.85,1418.0,1427.05,1447.1,320124
Bata India Limited,BATAINDIA,2024-03-11,1452.0,1466.95,1435.0,1447.1,1450.45,272578
Bata India Limited,BATAINDIA,2024-03-07,1444.9,1454.55,1431.85,1450.45,1434.3,240421
Bata India Limited,BATAINDIA,2024-03-06,1454.0,1459.85,1415.05,1434.3,1448.75,346898
Bata India Limited,BATAINDIA,2024-03-05,1424.0,1473.85,1418.05,1448.75,1425.25,707312
Bata India Limited,BATAINDIA,2024-03-04,1440.0,1441.85,1416.0,1425.25,1435.4,236729
Bata India Limited,BATAINDIA,2024-03-02,1445.9,1445.9,1428.25,1435.4,1432.5,18958
Bata India Limited,BATAINDIA,2024-03-01,1413.0,1439.0,1408.0,1432.5,1409.55,220164
Bata India Limited,BATAINDIA,2024-02-29,1406.0,1415.55,1381.0,1409.55,1406.35,421510
Bata India Limited,BATAINDIA,2024-02-28,1438.0,1445.7,1400.0,1406.35,1437.75,506598
Bata India Limited,BATAINDIA,2024-02-27,1428.6,1446.7,1423.0,1437.75,1428.55,266131
Bata India Limited,BATAINDIA,2024-02-26,1426.0,1434.95,1419.9,1428.55,1426.5,339069
Bata India Limited,BATAINDIA,2024-02-23,1430.0,1433.0,1417.75,1426.5,1417.6,231233
Bata India Limited,BATAINDIA,2024-02-22,1435.0,1438.45,1410.95,1417.6,1431.95,473373
Bata India Limited,BATAINDIA,2024-02-21,1449.9,1452.85,1425.05,1431.95,1437.85,343186
Bata India Limited,BATAINDIA,2024-02-20,1432.05,1442.9,1416.5,1437.85,1433.85,482265
Bata India Limited,BATAINDIA,2024-02-19,1443.0,1453.35,1430.25,1433.85,1432.8,259101
Bata India Limited,BATAINDIA,2024-02-16,1415.1,1437.0,1411.55,1432.8,1410.2,317081
Bata India Limited,BATAINDIA,2024-02-15,1422.0,1424.0,1406.45,1410.2,1411.15,151684
Bata India Limited,BATAINDIA,2024-02-14,1405.0,1416.6,1394.1,1411.15,1410.4,211631
Bata India Limited,BATAINDIA,2024-02-13,1412.0,1420.95,1400.0,1410.4,1410.3,144524
Bata India Limited,BATAINDIA,2024-02-12,1421.3,1425.55,1402.55,1410.3,1421.3,220573
Bata India Limited,BATAINDIA,2024-02-09,1422.25,1427.35,1406.4,1421.3,1415.45,274905
Bata India Limited,BATAINDIA,2024-02-08,1428.35,1434.55,1403.0,1415.45,1421.45,528206
Bata India Limited,BATAINDIA,2024-02-07,1458.0,1458.0,1396.85,1421.45,1442.35,1076463
Bata India Limited,BATAINDIA,2024-02-06,1434.0,1450.0,1430.0,1442.35,1431.9,196289
Bata India Limited,BATAINDIA,2024-02-05,1458.35,1460.65,1425.0,1431.9,1452.4,381770
Bata India Limited,BATAINDIA,2024-02-02,1424.95,1468.75,1421.15,1452.4,1459.15,1497583
Bata India Limited,BATAINDIA,2024-02-01,1496.0,1496.0,1444.15,1459.15,1488.45,700786
Bata India Limited,BATAINDIA,2024-01-31,1460.0,1491.4,1455.6,1488.45,1460.35,439830
Bata India Limited,BATAINDIA,2024-01-30,1468.9,1478.4,1442.8,1460.35,1458.25,588228
Bata India Limited,BATAINDIA,2024-01-29,1450.0,1472.9,1425.0,1458.25,1449.3,556305
Bata India Limited,BATAINDIA,2024-01-25,1460.0,1475.3,1442.0,1449.3,1466.45,324588
Bata India Limited,BATAINDIA,2024-01-24,1482.0,1482.0,1460.0,1466.45,1464.95,212352
Bata India Limited,BATAINDIA,2024-01-23,1517.9,1517.9,1461.0,1464.95,1507.15,237089
Bata India Limited,BATAINDIA,2024-01-20,1531.4,1531.8,1502.0,1507.15,1515.8,120444
Bata India Limited,BATAINDIA,2024-01-19,1525.0,1532.4,1505.55,1515.8,1516.7,244001
Bata India Limited,BATAINDIA,2024-01-18,1543.4,1545.7,1513.0,1516.7,1543.4,168177
Bata India Limited,BATAINDIA,2024-01-17,1565.0,1578.9,1539.05,1543.4,1578.5,190130
