StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Bayer Cropscience Limited,BAYERCROP,2024-03-28,5305.35,5404.65,5219.9,5254.35,5289.5,41542
Bayer Cropscience Limited,BAYERCROP,2024-03-27,5104.8,5314.65,5085.1,5289.5,5101.6,36753
Bayer Cropscience Limited,BAYERCROP,2024-03-26,4977.0,5193.6,4977.0,5101.6,5079.0,11014
Bayer Cropscience Limited,BAYERCROP,2024-03-22,5088.0,5115.85,5023.0,5079.0,5065.3,13006
Bayer Cropscience Limited,BAYERCROP,2024-03-21,5025.3,5087.75,4953.0,5065.3,5025.3,16939
Bayer Cropscience Limited,BAYERCROP,2024-03-20,5012.7,5039.0,4930.0,5025.3,5002.0,6417
Bayer Cropscience Limited,BAYERCROP,2024-03-19,5078.3,5078.35,4982.1,5002.0,5078.3,4278
Bayer Cropscience Limited,BAYERCROP,2024-03-18,4955.9,5149.0,4955.9,5078.3,4983.9,12223
Bayer Cropscience Limited,BAYERCROP,2024-03-15,5194.0,5224.95,4901.2,4983.9,5080.85,49724
Bayer Cropscience Limited,BAYERCROP,2024-03-14,5030.15,5148.05,5010.1,5080.85,5030.15,8749
Bayer Cropscience Limited,BAYERCROP,2024-03-13,5290.0,5318.0,4925.5,5030.15,5286.1,34804
Bayer Cropscience Limited,BAYERCROP,2024-03-12,5316.0,5446.5,5266.8,5286.1,5346.55,13057
Bayer Cropscience Limited,BAYERCROP,2024-03-11,5504.6,5522.9,5321.0,5346.55,5475.8,14542
Bayer Cropscience Limited,BAYERCROP,2024-03-07,5460.0,5565.0,5436.05,5475.8,5469.2,9965
Bayer Cropscience Limited,BAYERCROP,2024-03-06,5505.0,5534.6,5450.0,5469.2,5522.0,7997
Bayer Cropscience Limited,BAYERCROP,2024-03-05,5525.0,5629.85,5515.55,5522.0,5553.85,7443
Bayer Cropscience Limited,BAYERCROP,2024-03-04,5700.0,5700.0,5515.55,5553.85,5684.9,30352
Bayer Cropscience Limited,BAYERCROP,2024-03-02,5714.0,5739.95,5628.05,5684.9,5644.8,936
