StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Bombay Burmah Trading Corporation Limited,BBTC,2024-03-28,1558.25,1589.3,1550.05,1567.75,1545.5,39831
Bombay Burmah Trading Corporation Limited,BBTC,2024-03-27,1573.0,1581.7,1530.1,1545.5,1573.0,73341
Bombay Burmah Trading Corporation Limited,BBTC,2024-03-26,1575.0,1598.0,1561.55,1573.0,1574.8,28429
Bombay Burmah Trading Corporation Limited,BBTC,2024-03-22,1570.95,1594.85,1570.0,1574.8,1575.65,24772
Bombay Burmah Trading Corporation Limited,BBTC,2024-03-21,1548.95,1585.0,1546.9,1575.65,1540.75,18900
Bombay Burmah Trading Corporation Limited,BBTC,2024-03-20,1546.65,1560.7,1522.0,1540.75,1542.3,30603
Bombay Burmah Trading Corporation Limited,BBTC,2024-03-19,1573.0,1585.85,1535.1,1542.3,1564.2,31475
Bombay Burmah Trading Corporation Limited,BBTC,2024-03-18,1609.95,1621.9,1556.1,1564.2,1609.95,34366
Bombay Burmah Trading Corporation Limited,BBTC,2024-03-15,1599.9,1625.0,1568.8,1609.95,1627.1,47495
Bombay Burmah Trading Corporation Limited,BBTC,2024-03-14,1551.0,1639.45,1531.05,1627.1,1543.8,54482
Bombay Burmah Trading Corporation Limited,BBTC,2024-03-13,1656.95,1677.0,1525.35,1543.8,1650.05,82996
Bombay Burmah Trading Corporation Limited,BBTC,2024-03-12,1695.9,1695.9,1620.3,1650.05,1688.15,79954
Bombay Burmah Trading Corporation Limited,BBTC,2024-03-11,1759.0,1767.8,1678.0,1688.15,1745.25,74219
Bombay Burmah Trading Corporation Limited,BBTC,2024-03-07,1684.95,1814.0,1684.7,1745.25,1682.6,260140
Bombay Burmah Trading Corporation Limited,BBTC,2024-03-06,1723.7,1724.15,1670.0,1682.6,1728.65,51578
Bombay Burmah Trading Corporation Limited,BBTC,2024-03-05,1727.9,1758.4,1711.0,1728.65,1733.05,40779
Bombay Burmah Trading Corporation Limited,BBTC,2024-03-04,1723.3,1763.0,1708.1,1733.05,1720.95,62354
Bombay Burmah Trading Corporation Limited,BBTC,2024-03-02,1735.7,1735.7,1713.15,1720.95,1722.05,2546
Bombay Burmah Trading Corporation Limited,BBTC,2024-03-01,1748.0,1748.65,1700.0,1722.05,1736.95,50188
Bombay Burmah Trading Corporation Limited,BBTC,2024-02-29,1668.95,1750.0,1639.95,1736.95,1670.0,98889
Bombay Burmah Trading Corporation Limited,BBTC,2024-02-28,1735.0,1735.0,1665.0,1670.0,1727.55,56638
Bombay Burmah Trading Corporation Limited,BBTC,2024-02-27,1754.0,1762.95,1719.55,1727.55,1762.95,50257
Bombay Burmah Trading Corporation Limited,BBTC,2024-02-26,1730.0,1780.05,1718.05,1762.95,1731.0,65270
Bombay Burmah Trading Corporation Limited,BBTC,2024-02-23,1724.0,1769.95,1710.0,1731.0,1711.4,105008
Bombay Burmah Trading Corporation Limited,BBTC,2024-02-22,1716.9,1725.65,1672.85,1711.4,1712.75,95903
Bombay Burmah Trading Corporation Limited,BBTC,2024-02-21,1778.0,1794.8,1697.5,1712.75,1782.45,179465
Bombay Burmah Trading Corporation Limited,BBTC,2024-02-20,1787.0,1836.9,1745.1,1782.45,1788.25,228995
Bombay Burmah Trading Corporation Limited,BBTC,2024-02-19,1755.05,1826.0,1755.05,1788.25,1764.75,145427
Bombay Burmah Trading Corporation Limited,BBTC,2024-02-16,1743.9,1818.9,1735.7,1764.75,1733.95,207325
Bombay Burmah Trading Corporation Limited,BBTC,2024-02-15,1718.0,1747.8,1704.65,1733.95,1719.35,93524
Bombay Burmah Trading Corporation Limited,BBTC,2024-02-14,1741.0,1782.7,1701.75,1719.35,1782.7,162877
Bombay Burmah Trading Corporation Limited,BBTC,2024-02-13,1655.0,1839.95,1644.55,1782.7,1656.45,567747
Bombay Burmah Trading Corporation Limited,BBTC,2024-02-12,1702.0,1714.7,1634.7,1656.45,1716.3,94638
Bombay Burmah Trading Corporation Limited,BBTC,2024-02-09,1740.9,1743.2,1650.2,1716.3,1741.25,116544
Bombay Burmah Trading Corporation Limited,BBTC,2024-02-08,1790.0,1790.0,1732.2,1741.25,1774.25,111828
Bombay Burmah Trading Corporation Limited,BBTC,2024-02-07,1714.15,1809.8,1685.2,1774.25,1714.15,287791
Bombay Burmah Trading Corporation Limited,BBTC,2024-02-06,1666.0,1807.0,1666.0,1714.15,1658.85,460032
Bombay Burmah Trading Corporation Limited,BBTC,2024-02-05,1710.0,1715.25,1633.0,1658.85,1706.75,85142
Bombay Burmah Trading Corporation Limited,BBTC,2024-02-02,1732.2,1752.0,1694.05,1706.75,1715.2,108218
