StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Bharat Dynamics Limited,BDL,2024-03-28,1765.95,1771.95,1743.0,1751.9,1755.0,373501
Bharat Dynamics Limited,BDL,2024-03-27,1739.0,1770.0,1731.95,1755.0,1729.4,804619
Bharat Dynamics Limited,BDL,2024-03-26,1693.3,1747.95,1673.0,1729.4,1686.05,922418
Bharat Dynamics Limited,BDL,2024-03-22,1706.0,1719.7,1680.05,1686.05,1661.9,1280144
Bharat Dynamics Limited,BDL,2024-03-21,1657.0,1685.4,1655.05,1661.9,1619.55,776849
Bharat Dynamics Limited,BDL,2024-03-20,1630.0,1649.9,1587.0,1619.55,1623.65,514348
Bharat Dynamics Limited,BDL,2024-03-19,1681.0,1682.95,1612.65,1623.65,1676.95,570851
Bharat Dynamics Limited,BDL,2024-03-18,1681.9,1711.0,1662.8,1676.95,1681.9,441300
Bharat Dynamics Limited,BDL,2024-03-15,1660.0,1697.6,1602.05,1681.9,1658.05,982666
Bharat Dynamics Limited,BDL,2024-03-14,1582.0,1686.95,1552.1,1658.05,1590.15,972197
Bharat Dynamics Limited,BDL,2024-03-13,1733.0,1738.3,1565.0,1590.15,1727.55,1565428
Bharat Dynamics Limited,BDL,2024-03-12,1780.0,1808.0,1709.0,1727.55,1768.6,932780
Bharat Dynamics Limited,BDL,2024-03-11,1810.0,1830.0,1762.0,1768.6,1799.25,712177
Bharat Dynamics Limited,BDL,2024-03-07,1794.0,1812.0,1785.8,1799.25,1785.8,494919
Bharat Dynamics Limited,BDL,2024-03-06,1869.9,1869.9,1775.1,1785.8,1793.95,1619114
Bharat Dynamics Limited,BDL,2024-03-05,1835.0,1880.0,1788.0,1793.95,1834.45,755190
Bharat Dynamics Limited,BDL,2024-03-04,1848.5,1869.7,1810.0,1834.45,1846.0,725532
Bharat Dynamics Limited,BDL,2024-03-02,1839.0,1851.95,1827.75,1846.0,1840.75,63356
Bharat Dynamics Limited,BDL,2024-03-01,1825.0,1848.7,1796.0,1840.75,1809.1,695634
Bharat Dynamics Limited,BDL,2024-02-29,1824.2,1835.0,1780.1,1809.1,1827.45,813834
Bharat Dynamics Limited,BDL,2024-02-28,1897.4,1929.3,1801.0,1827.45,1888.05,1376331
Bharat Dynamics Limited,BDL,2024-02-27,1888.5,1984.8,1871.95,1888.05,1886.25,2620826
Bharat Dynamics Limited,BDL,2024-02-26,1792.0,1918.95,1774.55,1886.25,1787.25,2839404
Bharat Dynamics Limited,BDL,2024-02-23,1755.25,1818.95,1753.0,1787.25,1746.5,1320561
Bharat Dynamics Limited,BDL,2024-02-22,1706.0,1765.55,1663.95,1746.5,1700.05,967834
Bharat Dynamics Limited,BDL,2024-02-21,1753.0,1758.6,1677.0,1700.05,1751.65,814514
Bharat Dynamics Limited,BDL,2024-02-20,1760.0,1762.05,1720.05,1751.65,1763.5,480986
Bharat Dynamics Limited,BDL,2024-02-19,1727.0,1780.0,1720.35,1763.5,1709.9,868251
Bharat Dynamics Limited,BDL,2024-02-16,1680.05,1794.0,1676.75,1709.9,1664.15,2236360
Bharat Dynamics Limited,BDL,2024-02-15,1640.6,1680.0,1628.1,1664.15,1629.2,733484
Bharat Dynamics Limited,BDL,2024-02-14,1574.1,1644.95,1556.35,1629.2,1585.05,1064326
Bharat Dynamics Limited,BDL,2024-02-13,1632.0,1664.7,1575.9,1585.05,1616.05,1289463
Bharat Dynamics Limited,BDL,2024-02-12,1855.0,1862.85,1590.0,1616.05,1838.55,2532473
Bharat Dynamics Limited,BDL,2024-02-09,1919.8,1926.9,1806.05,1838.55,1912.65,1522015
Bharat Dynamics Limited,BDL,2024-02-08,1751.0,1938.9,1750.1,1912.65,1754.7,4470588
Bharat Dynamics Limited,BDL,2024-02-07,1765.0,1796.0,1749.0,1754.7,1752.6,314580
Bharat Dynamics Limited,BDL,2024-02-06,1759.2,1789.9,1735.0,1752.6,1761.95,478501
Bharat Dynamics Limited,BDL,2024-02-05,1770.0,1815.95,1746.05,1761.95,1759.4,577547
Bharat Dynamics Limited,BDL,2024-02-02,1710.0,1830.0,1707.0,1759.4,1704.05,1929129
Bharat Dynamics Limited,BDL,2024-02-01,1713.25,1728.0,1675.0,1704.05,1707.05,423803
Bharat Dynamics Limited,BDL,2024-01-31,1703.3,1723.0,1691.3,1707.05,1702.3,422154
Bharat Dynamics Limited,BDL,2024-01-30,1678.0,1718.5,1650.0,1702.3,1675.05,899421
Bharat Dynamics Limited,BDL,2024-01-29,1683.5,1690.4,1646.1,1675.05,1669.05,390895
Bharat Dynamics Limited,BDL,2024-01-25,1708.0,1722.05,1655.0,1669.05,1701.7,610285
Bharat Dynamics Limited,BDL,2024-01-24,1669.0,1754.9,1625.25,1701.7,1669.65,1389186
Bharat Dynamics Limited,BDL,2024-01-23,1741.0,1741.0,1651.1,1669.65,1732.35,654849
Bharat Dynamics Limited,BDL,2024-01-20,1725.0,1747.95,1704.15,1732.35,1722.45,338984
Bharat Dynamics Limited,BDL,2024-01-19,1730.0,1745.3,1711.25,1722.45,1717.3,384062
Bharat Dynamics Limited,BDL,2024-01-18,1752.9,1770.0,1656.0,1717.3,1751.15,765133
Bharat Dynamics Limited,BDL,2024-01-17,1732.2,1786.4,1712.05,1751.15,1746.4,650943
Bharat Dynamics Limited,BDL,2024-01-16,1763.5,1838.8,1726.0,1746.4,1755.7,2096931
Bharat Dynamics Limited,BDL,2024-01-15,1737.3,1779.45,1717.5,1755.7,1726.6,773097
Bharat Dynamics Limited,BDL,2024-01-12,1743.8,1743.8,1715.2,1726.6,1738.5,251576
Bharat Dynamics Limited,BDL,2024-01-11,1740.1,1757.0,1727.0,1738.5,1735.95,407449
Bharat Dynamics Limited,BDL,2024-01-10,1745.95,1750.0,1706.0,1735.95,1741.8,668394
Bharat Dynamics Limited,BDL,2024-01-09,1734.3,1755.0,1720.75,1741.8,1717.2,537106
Bharat Dynamics Limited,BDL,2024-01-08,1743.65,1745.0,1702.9,1717.2,1737.3,458633
Bharat Dynamics Limited,BDL,2024-01-05,1695.0,1759.0,1694.95,1737.3,1682.95,1789998
Bharat Dynamics Limited,BDL,2024-01-04,1649.15,1724.0,1647.95,1682.95,1640.9,1183015
Bharat Dynamics Limited,BDL,2024-01-03,1671.25,1675.75,1630.0,1640.9,1671.0,734685
Bharat Dynamics Limited,BDL,2024-01-02,1735.4,1736.8,1665.0,1671.0,1726.65,869786
Bharat Dynamics Limited,BDL,2024-01-01,1720.0,1747.0,1717.0,1726.65,1712.35,487179
Bharat Dynamics Limited,BDL,2023-12-29,1705.55,1744.0,1684.55,1712.35,1697.55,1436425
Bharat Dynamics Limited,BDL,2023-12-28,1747.1,1763.0,1689.2,1697.55,1765.1,2030364
Bharat Dynamics Limited,BDL,2023-12-27,1701.0,1810.95,1693.95,1765.1,1694.8,4524846
Bharat Dynamics Limited,BDL,2023-12-26,1587.0,1726.95,1580.3,1694.8,1571.25,4045275
Bharat Dynamics Limited,BDL,2023-12-22,1551.8,1584.0,1535.7,1571.25,1541.2,1012000
Bharat Dynamics Limited,BDL,2023-12-21,1449.8,1554.0,1431.1,1541.2,1479.0,1380343
Bharat Dynamics Limited,BDL,2023-12-20,1526.9,1578.9,1460.0,1479.0,1519.3,2520173
Bharat Dynamics Limited,BDL,2023-12-19,1535.0,1555.9,1502.4,1519.3,1529.25,1631716
Bharat Dynamics Limited,BDL,2023-12-18,1397.1,1598.0,1396.0,1529.25,1391.75,5409627
Bharat Dynamics Limited,BDL,2023-12-15,1381.0,1399.0,1370.0,1391.75,1379.95,551703
Bharat Dynamics Limited,BDL,2023-12-14,1394.0,1400.9,1367.65,1379.95,1383.6,449212
Bharat Dynamics Limited,BDL,2023-12-13,1374.0,1404.95,1361.0,1383.6,1364.75,1628104
Bharat Dynamics Limited,BDL,2023-12-12,1358.75,1410.0,1336.1,1364.75,1358.75,1466674
Bharat Dynamics Limited,BDL,2023-12-11,1325.0,1366.7,1314.0,1358.75,1323.4,1208038
Bharat Dynamics Limited,BDL,2023-12-08,1305.95,1389.95,1304.0,1323.4,1300.35,3189479
Bharat Dynamics Limited,BDL,2023-12-07,1285.45,1313.3,1269.25,1300.35,1285.45,1043936
Bharat Dynamics Limited,BDL,2023-12-06,1244.95,1304.0,1226.9,1285.45,1241.0,2181369
Bharat Dynamics Limited,BDL,2023-12-05,1237.05,1268.0,1210.9,1241.0,1233.65,1049538
Bharat Dynamics Limited,BDL,2023-12-04,1260.0,1265.8,1227.55,1233.65,1224.4,1316543
Bharat Dynamics Limited,BDL,2023-12-01,1192.0,1231.0,1185.05,1224.4,1162.75,3019281
Bharat Dynamics Limited,BDL,2023-11-30,1154.9,1182.0,1153.05,1162.75,1153.95,792660
Bharat Dynamics Limited,BDL,2023-11-29,1170.0,1183.95,1150.2,1153.95,1168.05,464991
Bharat Dynamics Limited,BDL,2023-11-28,1171.55,1184.0,1156.5,1168.05,1159.25,1169340
Bharat Dynamics Limited,BDL,2023-11-24,1109.0,1171.9,1104.6,1159.25,1106.6,2552996
Bharat Dynamics Limited,BDL,2023-11-23,1094.5,1121.95,1094.5,1106.6,1090.65,312574
Bharat Dynamics Limited,BDL,2023-11-22,1128.0,1130.0,1083.05,1090.65,1123.85,421195
Bharat Dynamics Limited,BDL,2023-11-21,1151.0,1154.85,1112.55,1123.85,1146.55,971451
Bharat Dynamics Limited,BDL,2023-11-20,1129.0,1150.0,1116.1,1146.55,1125.4,635698
Bharat Dynamics Limited,BDL,2023-11-17,1111.0,1129.0,1102.55,1125.4,1107.45,541855
Bharat Dynamics Limited,BDL,2023-11-16,1090.0,1119.45,1087.05,1107.45,1089.7,640710
Bharat Dynamics Limited,BDL,2023-11-15,1092.0,1098.6,1068.2,1089.7,1082.75,598783
Bharat Dynamics Limited,BDL,2023-11-13,1063.15,1088.9,1050.0,1082.75,1063.15,540331
Bharat Dynamics Limited,BDL,2023-11-12,1069.0,1069.0,1060.0,1063.15,1053.2,154893
Bharat Dynamics Limited,BDL,2023-11-10,1042.0,1057.5,1035.0,1053.2,1052.1,315962
Bharat Dynamics Limited,BDL,2023-11-09,1060.0,1062.95,1046.15,1052.1,1056.75,213125
Bharat Dynamics Limited,BDL,2023-11-08,1055.0,1060.9,1042.95,1056.75,1047.0,413677
Bharat Dynamics Limited,BDL,2023-11-07,1043.0,1055.75,1032.05,1047.0,1040.6,488128
Bharat Dynamics Limited,BDL,2023-11-06,1045.0,1058.0,1027.45,1040.6,1038.35,858404
Bharat Dynamics Limited,BDL,2023-11-03,1012.9,1064.0,1004.1,1038.35,1001.35,2027356
Bharat Dynamics Limited,BDL,2023-11-02,989.8,1007.0,982.65,1001.35,985.1,318724
Bharat Dynamics Limited,BDL,2023-11-01,982.25,998.25,973.0,985.1,974.15,321544
Bharat Dynamics Limited,BDL,2023-10-31,965.0,977.25,963.0,974.15,963.3,163344
Bharat Dynamics Limited,BDL,2023-10-30,969.95,974.7,954.55,963.3,965.15,159943
Bharat Dynamics Limited,BDL,2023-10-27,963.6,985.0,951.25,965.15,958.6,376172
Bharat Dynamics Limited,BDL,2023-10-26,933.0,962.05,901.0,958.6,934.2,745841
Bharat Dynamics Limited,BDL,2023-10-25,970.0,980.0,900.0,934.2,969.9,906712
Bharat Dynamics Limited,BDL,2023-10-23,1003.7,1008.0,960.0,969.9,1001.35,410330
Bharat Dynamics Limited,BDL,2023-10-20,1005.8,1011.35,996.0,1001.35,1005.0,159209
Bharat Dynamics Limited,BDL,2023-10-19,1006.65,1012.0,1000.05,1005.0,1011.15,134586
Bharat Dynamics Limited,BDL,2023-10-18,1018.0,1019.5,1003.15,1011.15,1014.6,231991
Bharat Dynamics Limited,BDL,2023-10-17,1005.95,1018.0,1001.05,1014.6,1001.8,383553
Bharat Dynamics Limited,BDL,2023-10-16,1004.0,1013.0,990.0,1001.8,1001.4,381550
Bharat Dynamics Limited,BDL,2023-10-13,1005.0,1013.5,997.95,1001.4,1006.4,382124
Bharat Dynamics Limited,BDL,2023-10-12,1035.9,1038.3,998.8,1006.4,1033.1,497595
Bharat Dynamics Limited,BDL,2023-10-11,1040.0,1043.0,1026.6,1033.1,1030.3,297476
Bharat Dynamics Limited,BDL,2023-10-10,1015.0,1035.8,1015.0,1030.3,1003.65,838941
Bharat Dynamics Limited,BDL,2023-10-09,995.9,1024.9,976.9,1003.65,995.9,826251
Bharat Dynamics Limited,BDL,2023-10-06,1006.6,1012.65,991.05,995.9,1001.65,436658
Bharat Dynamics Limited,BDL,2023-10-05,990.0,1041.95,988.05,1001.65,979.5,1561972
Bharat Dynamics Limited,BDL,2023-10-04,1019.25,1020.05,973.2,979.5,1021.2,884631
Bharat Dynamics Limited,BDL,2023-10-03,1026.05,1027.9,1016.15,1021.2,1031.3,260860
Bharat Dynamics Limited,BDL,2023-09-29,1009.95,1040.0,1002.5,1031.3,1005.65,327128
Bharat Dynamics Limited,BDL,2023-09-28,1027.0,1031.85,998.0,1005.65,1024.6,455822
Bharat Dynamics Limited,BDL,2023-09-27,1035.0,1039.45,1017.2,1024.6,1034.5,413649
Bharat Dynamics Limited,BDL,2023-09-26,991.9,1041.25,991.9,1034.5,991.25,871975
Bharat Dynamics Limited,BDL,2023-09-25,1009.95,1019.4,956.0,991.25,1004.35,1385842
Bharat Dynamics Limited,BDL,2023-09-22,1032.05,1034.8,998.55,1004.35,1026.2,703464
Bharat Dynamics Limited,BDL,2023-09-21,1042.75,1060.4,1020.35,1026.2,1041.5,447360
Bharat Dynamics Limited,BDL,2023-09-20,1070.0,1088.95,1037.05,1041.5,1055.0,1360294
Bharat Dynamics Limited,BDL,2023-09-18,1080.0,1099.0,1042.0,1055.0,1064.4,986930
Bharat Dynamics Limited,BDL,2023-09-15,1072.0,1084.8,1056.0,1064.4,1064.4,373350
Bharat Dynamics Limited,BDL,2023-09-14,1082.55,1089.0,1060.0,1064.4,1066.05,489854
Bharat Dynamics Limited,BDL,2023-09-13,1079.8,1125.0,1051.5,1066.05,1077.7,1052722
Bharat Dynamics Limited,BDL,2023-09-12,1180.0,1189.6,1062.45,1077.7,1173.15,983424
Bharat Dynamics Limited,BDL,2023-09-11,1199.0,1206.35,1171.05,1173.15,1191.8,498730
Bharat Dynamics Limited,BDL,2023-09-08,1191.1,1224.4,1187.95,1191.8,1185.15,1193979
Bharat Dynamics Limited,BDL,2023-09-07,1155.45,1218.9,1154.05,1185.15,1149.3,2280003
Bharat Dynamics Limited,BDL,2023-09-05,1177.6,1194.9,1162.35,1169.25,1177.55,569664
Bharat Dynamics Limited,BDL,2023-09-01,1131.15,1154.05,1128.0,1143.5,1126.4,1042444
Bharat Dynamics Limited,BDL,2023-08-31,1131.0,1148.4,1122.8,1126.4,1131.7,303675
Bharat Dynamics Limited,BDL,2023-08-30,1131.4,1157.2,1124.8,1131.7,1121.4,361831
Bharat Dynamics Limited,BDL,2023-08-29,1125.9,1129.0,1113.1,1121.4,1120.5,246622
Bharat Dynamics Limited,BDL,2023-08-28,1115.0,1137.35,1114.95,1120.5,1120.15,287125
Bharat Dynamics Limited,BDL,2023-08-25,1151.0,1161.7,1099.0,1120.15,1152.0,210407
Bharat Dynamics Limited,BDL,2023-08-24,1172.05,1180.4,1145.0,1152.0,1161.55,258970
Bharat Dynamics Limited,BDL,2023-08-23,1152.3,1172.6,1146.65,1161.55,1146.55,430131
Bharat Dynamics Limited,BDL,2023-08-22,1115.7,1150.0,1114.15,1146.55,1110.15,304165
Bharat Dynamics Limited,BDL,2023-08-21,1114.85,1131.0,1105.25,1110.15,1108.45,221199
Bharat Dynamics Limited,BDL,2023-08-18,1134.0,1138.75,1104.05,1108.45,1133.55,305749
Bharat Dynamics Limited,BDL,2023-08-17,1143.0,1153.0,1124.1,1133.55,1141.95,247673
Bharat Dynamics Limited,BDL,2023-08-16,1126.1,1179.85,1124.95,1141.95,1123.55,1067013
Bharat Dynamics Limited,BDL,2023-08-14,1129.5,1130.7,1102.35,1123.55,1127.5,334588
Bharat Dynamics Limited,BDL,2023-08-11,1127.0,1144.9,1123.05,1127.5,1121.45,144496
Bharat Dynamics Limited,BDL,2023-08-10,1141.0,1148.6,1117.1,1121.45,1142.8,244415
Bharat Dynamics Limited,BDL,2023-08-09,1122.0,1157.0,1121.1,1142.8,1115.05,303312
Bharat Dynamics Limited,BDL,2023-08-08,1148.4,1160.0,1093.1,1115.05,1142.4,538841
Bharat Dynamics Limited,BDL,2023-08-07,1154.95,1158.8,1126.8,1142.4,1164.3,336407
Bharat Dynamics Limited,BDL,2023-08-04,1196.1,1196.1,1112.0,1164.3,1190.1,1303468
Bharat Dynamics Limited,BDL,2023-08-03,1189.95,1206.0,1180.1,1190.1,1188.95,190069
Bharat Dynamics Limited,BDL,2023-08-02,1211.0,1216.6,1175.0,1188.95,1224.45,393122
Bharat Dynamics Limited,BDL,2023-08-01,1232.9,1237.35,1210.0,1224.45,1227.55,285271
Bharat Dynamics Limited,BDL,2023-07-31,1205.0,1231.75,1202.05,1227.55,1201.1,505934
Bharat Dynamics Limited,BDL,2023-07-28,1202.0,1214.0,1195.15,1201.1,1202.1,251239
Bharat Dynamics Limited,BDL,2023-07-27,1199.85,1207.0,1191.65,1202.1,1198.55,212838
Bharat Dynamics Limited,BDL,2023-07-26,1203.0,1206.65,1187.4,1198.55,1193.45,206806
Bharat Dynamics Limited,BDL,2023-07-25,1190.6,1214.0,1180.9,1193.45,1178.5,543132
Bharat Dynamics Limited,BDL,2023-07-24,1184.4,1195.85,1160.0,1178.5,1178.95,300482
Bharat Dynamics Limited,BDL,2023-07-21,1168.0,1195.0,1164.2,1178.95,1172.8,393062
Bharat Dynamics Limited,BDL,2023-07-20,1172.0,1188.8,1160.9,1172.8,1168.55,363688
Bharat Dynamics Limited,BDL,2023-07-19,1156.95,1182.9,1145.1,1168.55,1155.95,462396
Bharat Dynamics Limited,BDL,2023-07-18,1171.8,1188.65,1148.05,1155.95,1165.8,350862
Bharat Dynamics Limited,BDL,2023-07-17,1184.0,1205.15,1161.3,1165.8,1181.2,634413
Bharat Dynamics Limited,BDL,2023-07-14,1217.95,1224.85,1175.1,1181.2,1214.0,631732
Bharat Dynamics Limited,BDL,2023-07-13,1229.5,1245.0,1197.0,1214.0,1229.5,786491
Bharat Dynamics Limited,BDL,2023-07-12,1233.0,1268.0,1201.05,1229.5,1231.6,2703798
Bharat Dynamics Limited,BDL,2023-07-11,1083.95,1278.0,1083.95,1231.6,1080.45,9998142
Bharat Dynamics Limited,BDL,2023-07-10,1102.0,1103.45,1077.5,1080.45,1103.0,411720
Bharat Dynamics Limited,BDL,2023-07-07,1117.0,1124.7,1088.8,1103.0,1115.8,459230
Bharat Dynamics Limited,BDL,2023-07-06,1127.2,1135.85,1107.0,1115.8,1127.2,393140
Bharat Dynamics Limited,BDL,2023-07-05,1107.3,1131.0,1102.05,1127.2,1105.15,597402
Bharat Dynamics Limited,BDL,2023-07-04,1118.0,1125.0,1102.9,1105.15,1117.85,193103
Bharat Dynamics Limited,BDL,2023-07-03,1126.4,1133.0,1105.55,1117.85,1120.25,481430
Bharat Dynamics Limited,BDL,2023-06-30,1099.0,1126.0,1081.35,1120.25,1098.35,455745
Bharat Dynamics Limited,BDL,2023-06-28,1090.45,1100.85,1087.05,1098.35,1085.0,488042
Bharat Dynamics Limited,BDL,2023-06-27,1097.0,1114.0,1076.0,1085.0,1093.4,672288
Bharat Dynamics Limited,BDL,2023-06-26,1100.0,1107.0,1062.95,1093.4,1103.95,919071
Bharat Dynamics Limited,BDL,2023-06-23,1171.15,1183.75,1095.55,1103.95,1171.15,1036214
Bharat Dynamics Limited,BDL,2023-06-22,1194.0,1207.6,1164.6,1171.15,1189.8,386168
Bharat Dynamics Limited,BDL,2023-06-21,1215.9,1247.0,1169.55,1189.8,1212.85,1426565
Bharat Dynamics Limited,BDL,2023-06-20,1202.0,1230.8,1180.25,1212.85,1196.15,853751
Bharat Dynamics Limited,BDL,2023-06-19,1187.8,1239.0,1185.45,1196.15,1179.05,1414322
