StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Bharat Electronics Limited,BEL,2024-03-28,200.5,202.45,199.0,201.5,199.45,17425093
Bharat Electronics Limited,BEL,2024-03-27,200.0,203.95,198.0,199.45,199.4,37817130
Bharat Electronics Limited,BEL,2024-03-26,197.0,200.5,195.95,199.4,197.5,25723863
Bharat Electronics Limited,BEL,2024-03-22,196.5,198.95,192.75,197.5,196.85,31321524
Bharat Electronics Limited,BEL,2024-03-21,190.0,197.5,190.0,196.85,187.45,43152810
Bharat Electronics Limited,BEL,2024-03-20,186.9,187.95,182.5,187.45,185.4,16235947
Bharat Electronics Limited,BEL,2024-03-19,190.0,192.45,184.55,185.4,189.9,27819341
Bharat Electronics Limited,BEL,2024-03-18,190.0,192.0,187.05,189.9,188.85,22999225
Bharat Electronics Limited,BEL,2024-03-15,196.75,196.75,179.1,188.85,195.25,88781999
Bharat Electronics Limited,BEL,2024-03-14,189.0,197.15,186.25,195.25,190.3,34622781
Bharat Electronics Limited,BEL,2024-03-13,204.1,205.6,188.2,190.3,204.25,41620003
Bharat Electronics Limited,BEL,2024-03-12,211.0,211.35,201.5,204.25,212.55,34719550
Bharat Electronics Limited,BEL,2024-03-11,216.45,216.45,211.9,212.55,215.2,22800967
Bharat Electronics Limited,BEL,2024-03-07,211.45,216.8,211.15,215.2,210.45,41484038
Bharat Electronics Limited,BEL,2024-03-06,211.8,213.45,205.6,210.45,210.75,26236957
Bharat Electronics Limited,BEL,2024-03-05,211.0,213.75,209.85,210.75,209.6,24964592
Bharat Electronics Limited,BEL,2024-03-04,207.95,212.95,206.35,209.6,206.75,34272251
Bharat Electronics Limited,BEL,2024-03-02,206.0,207.7,205.9,206.75,205.6,1497553
Bharat Electronics Limited,BEL,2024-03-01,205.95,208.05,204.8,205.6,205.1,12949604
Bharat Electronics Limited,BEL,2024-02-29,205.45,205.9,199.75,205.1,205.65,24059731
Bharat Electronics Limited,BEL,2024-02-28,206.2,209.0,201.45,205.65,205.35,38996363
Bharat Electronics Limited,BEL,2024-02-27,203.55,209.0,203.1,205.35,204.25,28877205
Bharat Electronics Limited,BEL,2024-02-26,205.65,206.9,202.8,204.25,205.3,27013630
