StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Bharat Forge Limited,BHARATFORG,2024-03-28,1114.95,1135.2,1103.5,1129.6,1111.2,1391471
Bharat Forge Limited,BHARATFORG,2024-03-27,1132.4,1143.05,1107.25,1111.2,1130.15,1811541
Bharat Forge Limited,BHARATFORG,2024-03-26,1131.9,1140.95,1127.0,1130.15,1128.95,728614
Bharat Forge Limited,BHARATFORG,2024-03-22,1102.0,1133.6,1101.3,1128.95,1102.0,1129996
Bharat Forge Limited,BHARATFORG,2024-03-21,1097.8,1122.0,1094.0,1102.0,1092.7,2400850
Bharat Forge Limited,BHARATFORG,2024-03-20,1110.0,1118.6,1088.0,1092.7,1112.7,1044847
Bharat Forge Limited,BHARATFORG,2024-03-19,1111.75,1133.0,1093.6,1112.7,1114.4,830859
Bharat Forge Limited,BHARATFORG,2024-03-18,1119.0,1121.0,1090.3,1114.4,1119.5,1199978
Bharat Forge Limited,BHARATFORG,2024-03-15,1117.95,1130.65,1099.1,1119.5,1113.05,1004065
Bharat Forge Limited,BHARATFORG,2024-03-14,1111.0,1127.0,1096.7,1113.05,1127.0,1500630
Bharat Forge Limited,BHARATFORG,2024-03-13,1155.85,1164.45,1115.0,1127.0,1155.85,1538078
Bharat Forge Limited,BHARATFORG,2024-03-12,1160.05,1170.9,1139.0,1155.85,1159.85,942567
Bharat Forge Limited,BHARATFORG,2024-03-11,1170.05,1190.6,1143.4,1159.85,1178.85,2315091
Bharat Forge Limited,BHARATFORG,2024-03-07,1181.65,1193.6,1170.35,1178.85,1181.75,557070
Bharat Forge Limited,BHARATFORG,2024-03-06,1189.0,1190.75,1150.1,1181.75,1185.8,674420
Bharat Forge Limited,BHARATFORG,2024-03-05,1190.0,1211.0,1179.95,1185.8,1189.15,1251169
Bharat Forge Limited,BHARATFORG,2024-03-04,1182.0,1193.7,1170.0,1189.15,1179.65,1806324
Bharat Forge Limited,BHARATFORG,2024-03-02,1186.55,1194.9,1171.05,1179.65,1184.25,60824
Bharat Forge Limited,BHARATFORG,2024-03-01,1150.05,1187.9,1150.05,1184.25,1151.0,740159
Bharat Forge Limited,BHARATFORG,2024-02-29,1145.0,1158.0,1135.8,1151.0,1152.25,1187019
Bharat Forge Limited,BHARATFORG,2024-02-28,1175.75,1181.55,1141.15,1152.25,1177.95,770303
Bharat Forge Limited,BHARATFORG,2024-02-27,1173.9,1195.2,1169.8,1177.95,1175.6,1178342
Bharat Forge Limited,BHARATFORG,2024-02-26,1132.1,1181.85,1119.4,1175.6,1132.1,3694478
Bharat Forge Limited,BHARATFORG,2024-02-23,1133.05,1145.55,1125.0,1132.1,1133.05,443601
Bharat Forge Limited,BHARATFORG,2024-02-22,1123.4,1135.5,1109.4,1133.05,1123.3,508795
Bharat Forge Limited,BHARATFORG,2024-02-21,1125.9,1142.4,1115.7,1123.3,1122.55,1137612
Bharat Forge Limited,BHARATFORG,2024-02-20,1124.9,1125.7,1100.0,1122.55,1124.75,1337593
Bharat Forge Limited,BHARATFORG,2024-02-19,1150.0,1150.0,1117.0,1124.75,1133.85,883522
Bharat Forge Limited,BHARATFORG,2024-02-16,1121.85,1136.0,1106.35,1133.85,1110.45,1009339
Bharat Forge Limited,BHARATFORG,2024-02-15,1115.0,1115.4,1094.3,1110.45,1105.1,856004
Bharat Forge Limited,BHARATFORG,2024-02-14,1084.55,1120.9,1074.45,1105.1,1092.45,2028786
Bharat Forge Limited,BHARATFORG,2024-02-13,1160.95,1161.0,1063.0,1092.45,1130.95,6017374
Bharat Forge Limited,BHARATFORG,2024-02-12,1324.0,1330.0,1116.95,1130.95,1314.05,7363983
Bharat Forge Limited,BHARATFORG,2024-02-09,1285.0,1321.25,1272.8,1314.05,1282.3,1936968
Bharat Forge Limited,BHARATFORG,2024-02-08,1286.0,1295.35,1268.15,1282.3,1285.25,728305
Bharat Forge Limited,BHARATFORG,2024-02-07,1286.65,1296.65,1276.0,1285.25,1285.5,654867
Bharat Forge Limited,BHARATFORG,2024-02-06,1284.0,1305.0,1275.25,1285.5,1271.6,1223155
Bharat Forge Limited,BHARATFORG,2024-02-05,1245.6,1274.85,1229.55,1271.6,1238.85,1419072
Bharat Forge Limited,BHARATFORG,2024-02-02,1237.9,1251.95,1231.05,1238.85,1229.55,570679
Bharat Forge Limited,BHARATFORG,2024-02-01,1242.0,1245.75,1217.0,1229.55,1235.25,346050
Bharat Forge Limited,BHARATFORG,2024-01-31,1210.95,1243.95,1204.0,1235.25,1208.9,892789
Bharat Forge Limited,BHARATFORG,2024-01-30,1250.0,1256.05,1205.0,1208.9,1243.65,613893
Bharat Forge Limited,BHARATFORG,2024-01-29,1201.1,1250.0,1200.45,1243.65,1200.25,1842394
Bharat Forge Limited,BHARATFORG,2024-01-25,1226.0,1226.0,1192.05,1200.25,1215.8,792922
Bharat Forge Limited,BHARATFORG,2024-01-24,1193.45,1225.0,1180.0,1215.8,1193.45,495413
Bharat Forge Limited,BHARATFORG,2024-01-23,1223.95,1232.0,1189.05,1193.45,1223.95,522523
Bharat Forge Limited,BHARATFORG,2024-01-20,1238.0,1244.1,1221.45,1223.95,1233.85,151211
Bharat Forge Limited,BHARATFORG,2024-01-19,1225.0,1241.4,1221.3,1233.85,1222.85,409600
Bharat Forge Limited,BHARATFORG,2024-01-18,1200.0,1237.5,1186.9,1222.85,1206.0,1184472
Bharat Forge Limited,BHARATFORG,2024-01-17,1225.6,1233.45,1203.25,1206.0,1225.65,822748
Bharat Forge Limited,BHARATFORG,2024-01-16,1256.6,1259.05,1221.5,1225.65,1257.4,568277
Bharat Forge Limited,BHARATFORG,2024-01-15,1260.0,1264.7,1248.15,1257.4,1253.2,430152
Bharat Forge Limited,BHARATFORG,2024-01-12,1272.0,1275.0,1234.25,1253.2,1274.7,1262925
Bharat Forge Limited,BHARATFORG,2024-01-11,1285.0,1299.0,1270.3,1274.7,1283.85,430781
Bharat Forge Limited,BHARATFORG,2024-01-10,1279.55,1287.0,1255.5,1283.85,1273.95,731879
Bharat Forge Limited,BHARATFORG,2024-01-09,1267.0,1290.0,1262.0,1273.95,1256.05,1187562
Bharat Forge Limited,BHARATFORG,2024-01-08,1272.0,1276.35,1248.6,1256.05,1267.05,1003414
Bharat Forge Limited,BHARATFORG,2024-01-05,1268.0,1270.0,1251.0,1267.05,1260.8,671381
Bharat Forge Limited,BHARATFORG,2024-01-04,1229.05,1265.1,1219.3,1260.8,1235.95,872939
Bharat Forge Limited,BHARATFORG,2024-01-03,1242.0,1244.25,1215.75,1235.95,1241.4,565828
Bharat Forge Limited,BHARATFORG,2024-01-02,1255.6,1259.0,1225.55,1241.4,1247.5,703395
Bharat Forge Limited,BHARATFORG,2024-01-01,1242.0,1258.0,1233.95,1247.5,1238.35,609955
Bharat Forge Limited,BHARATFORG,2023-12-29,1245.0,1247.0,1228.9,1238.35,1245.65,603888
Bharat Forge Limited,BHARATFORG,2023-12-28,1223.55,1249.9,1222.8,1245.65,1218.6,1803621
Bharat Forge Limited,BHARATFORG,2023-12-27,1230.0,1238.5,1204.4,1218.6,1226.95,878725
Bharat Forge Limited,BHARATFORG,2023-12-26,1205.05,1230.0,1202.05,1226.95,1201.75,768606
Bharat Forge Limited,BHARATFORG,2023-12-22,1188.0,1203.9,1183.15,1201.75,1183.95,517014
Bharat Forge Limited,BHARATFORG,2023-12-21,1164.95,1187.5,1153.05,1183.95,1176.15,717489
Bharat Forge Limited,BHARATFORG,2023-12-20,1227.0,1227.0,1149.55,1176.15,1220.9,1218390
