StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Bharti Airtel Limited,BHARTIARTL,2024-03-28,1226.95,1238.5,1220.3,1228.6,1224.8,10518377
Bharti Airtel Limited,BHARTIARTL,2024-03-27,1210.55,1228.25,1210.55,1224.8,1213.1,5779169
Bharti Airtel Limited,BHARTIARTL,2024-03-26,1225.0,1234.0,1210.0,1213.1,1236.1,10898138
Bharti Airtel Limited,BHARTIARTL,2024-03-22,1226.95,1245.0,1222.0,1236.1,1220.8,7840007
Bharti Airtel Limited,BHARTIARTL,2024-03-21,1238.0,1242.9,1214.1,1220.8,1231.8,9952250
Bharti Airtel Limited,BHARTIARTL,2024-03-20,1228.25,1239.0,1223.65,1231.8,1228.35,6596032
Bharti Airtel Limited,BHARTIARTL,2024-03-19,1216.2,1240.4,1214.6,1228.35,1225.3,7703719
Bharti Airtel Limited,BHARTIARTL,2024-03-18,1225.0,1230.55,1215.2,1225.3,1220.0,4141080
Bharti Airtel Limited,BHARTIARTL,2024-03-15,1190.0,1222.8,1187.85,1220.0,1194.6,10115416
Bharti Airtel Limited,BHARTIARTL,2024-03-14,1173.95,1199.7,1163.55,1194.6,1168.75,8569080
Bharti Airtel Limited,BHARTIARTL,2024-03-13,1212.0,1212.0,1151.7,1168.75,1204.25,7528096
Bharti Airtel Limited,BHARTIARTL,2024-03-12,1200.0,1208.0,1197.8,1204.25,1196.6,4249548
Bharti Airtel Limited,BHARTIARTL,2024-03-11,1186.0,1218.3,1186.0,1196.6,1199.7,6679208
Bharti Airtel Limited,BHARTIARTL,2024-03-07,1193.7,1193.7,1193.7,1193.7,1023.0,49000000
Bharti Airtel Limited,BHARTIARTL,2024-03-07,1209.85,1213.6,1189.45,1199.7,1193.7,8903981
Bharti Airtel Limited,BHARTIARTL,2024-03-06,1173.95,1196.6,1157.35,1193.7,1168.9,5464839
Bharti Airtel Limited,BHARTIARTL,2024-03-05,1133.05,1179.75,1133.05,1168.9,1133.5,5375008
Bharti Airtel Limited,BHARTIARTL,2024-03-04,1132.0,1149.25,1132.0,1133.5,1131.1,5855090
Bharti Airtel Limited,BHARTIARTL,2024-03-02,1128.7,1135.0,1123.55,1131.1,1128.7,133654
Bharti Airtel Limited,BHARTIARTL,2024-03-01,1128.0,1140.75,1117.4,1128.7,1123.35,5927490
Bharti Airtel Limited,BHARTIARTL,2024-02-29,1118.85,1137.95,1099.0,1123.35,1128.75,13818650
Bharti Airtel Limited,BHARTIARTL,2024-02-28,1133.4,1152.65,1123.5,1128.75,1127.5,5302711
Bharti Airtel Limited,BHARTIARTL,2024-02-27,1113.0,1131.0,1101.3,1127.5,1110.05,7149094
Bharti Airtel Limited,BHARTIARTL,2024-02-26,1118.1,1125.9,1104.35,1110.05,1125.75,3186134
Bharti Airtel Limited,BHARTIARTL,2024-02-23,1127.0,1131.85,1115.3,1125.75,1135.55,6709844
Bharti Airtel Limited,BHARTIARTL,2024-02-22,1137.6,1138.75,1097.65,1135.55,1139.9,8642368
Bharti Airtel Limited,BHARTIARTL,2024-02-21,1155.0,1159.15,1132.6,1139.9,1143.95,4570259
Bharti Airtel Limited,BHARTIARTL,2024-02-20,1145.0,1151.6,1135.0,1143.95,1142.2,5397418
Bharti Airtel Limited,BHARTIARTL,2024-02-19,1121.05,1145.0,1118.35,1142.2,1120.0,4711035
Bharti Airtel Limited,BHARTIARTL,2024-02-16,1124.0,1127.05,1116.85,1120.0,1120.7,3091952
Bharti Airtel Limited,BHARTIARTL,2024-02-15,1122.3,1131.45,1109.4,1120.7,1115.85,5056712
