StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Bharat Heavy Electricals Limited,BHEL,2024-03-28,253.05,253.7,245.6,247.3,243.1,28014588
Bharat Heavy Electricals Limited,BHEL,2024-03-27,241.35,249.5,240.5,243.1,239.8,22974438
Bharat Heavy Electricals Limited,BHEL,2024-03-26,238.5,240.45,236.2,239.8,239.1,12328059
Bharat Heavy Electricals Limited,BHEL,2024-03-22,235.0,240.35,234.55,239.1,237.2,18998595
Bharat Heavy Electricals Limited,BHEL,2024-03-21,229.9,237.95,228.0,237.2,224.75,36784553
Bharat Heavy Electricals Limited,BHEL,2024-03-20,220.0,225.95,215.8,224.75,218.8,21903121
Bharat Heavy Electricals Limited,BHEL,2024-03-19,224.25,226.45,217.25,218.8,224.3,21463953
Bharat Heavy Electricals Limited,BHEL,2024-03-18,216.75,226.9,213.4,224.3,216.75,30924687
Bharat Heavy Electricals Limited,BHEL,2024-03-15,225.5,227.7,207.1,216.75,226.45,52563647
Bharat Heavy Electricals Limited,BHEL,2024-03-14,224.8,232.3,221.95,226.45,225.3,38281171
Bharat Heavy Electricals Limited,BHEL,2024-03-13,245.0,246.25,222.05,225.3,244.1,42267395
Bharat Heavy Electricals Limited,BHEL,2024-03-12,255.0,255.85,243.15,244.1,254.55,27919780
Bharat Heavy Electricals Limited,BHEL,2024-03-11,259.1,259.55,253.65,254.55,257.5,20685651
Bharat Heavy Electricals Limited,BHEL,2024-03-07,256.75,261.05,254.8,257.5,255.2,26124937
Bharat Heavy Electricals Limited,BHEL,2024-03-06,270.7,272.0,249.6,255.2,265.8,81812288
Bharat Heavy Electricals Limited,BHEL,2024-03-05,265.5,271.7,254.7,265.8,264.55,64079248
Bharat Heavy Electricals Limited,BHEL,2024-03-04,237.1,275.85,237.1,264.55,235.9,246246357
Bharat Heavy Electricals Limited,BHEL,2024-03-02,236.55,238.0,235.65,235.9,235.3,2267556
Bharat Heavy Electricals Limited,BHEL,2024-03-01,230.0,237.35,229.6,235.3,227.55,35475431
Bharat Heavy Electricals Limited,BHEL,2024-02-29,225.85,233.0,219.75,227.55,224.7,150876575
Bharat Heavy Electricals Limited,BHEL,2024-02-28,223.65,230.45,221.0,224.7,222.6,36680021
Bharat Heavy Electricals Limited,BHEL,2024-02-27,228.05,228.4,221.75,222.6,228.05,22497412
Bharat Heavy Electricals Limited,BHEL,2024-02-26,229.8,232.15,226.25,228.05,229.6,14288582
Bharat Heavy Electricals Limited,BHEL,2024-02-23,229.45,233.75,228.5,229.6,228.5,21463226
Bharat Heavy Electricals Limited,BHEL,2024-02-22,224.0,229.4,220.95,228.5,221.9,25023398
Bharat Heavy Electricals Limited,BHEL,2024-02-21,232.0,232.35,220.05,221.9,230.9,22193528
Bharat Heavy Electricals Limited,BHEL,2024-02-20,226.9,233.8,225.95,230.9,225.7,22994469
Bharat Heavy Electricals Limited,BHEL,2024-02-19,226.65,230.65,225.05,225.7,225.85,12184195
Bharat Heavy Electricals Limited,BHEL,2024-02-16,228.55,230.5,224.95,225.85,227.55,20099858
Bharat Heavy Electricals Limited,BHEL,2024-02-15,227.5,233.15,224.8,227.55,224.45,30765077
Bharat Heavy Electricals Limited,BHEL,2024-02-14,202.5,226.2,202.5,224.45,213.35,48738557
Bharat Heavy Electricals Limited,BHEL,2024-02-13,217.0,217.45,201.35,213.35,216.7,58782489
Bharat Heavy Electricals Limited,BHEL,2024-02-12,228.0,230.15,214.2,216.7,227.55,28287984
Bharat Heavy Electricals Limited,BHEL,2024-02-09,236.5,236.6,217.35,227.55,230.8,49500870
Bharat Heavy Electricals Limited,BHEL,2024-02-08,232.0,236.95,229.75,230.8,231.55,20903389
Bharat Heavy Electricals Limited,BHEL,2024-02-07,232.3,238.0,228.7,231.55,231.8,20297349
Bharat Heavy Electricals Limited,BHEL,2024-02-06,236.3,236.3,228.35,231.8,235.3,20312567
Bharat Heavy Electricals Limited,BHEL,2024-02-05,234.65,243.25,232.35,235.3,233.8,32248058
Bharat Heavy Electricals Limited,BHEL,2024-02-02,229.7,235.7,229.0,233.8,227.5,31480257
Bharat Heavy Electricals Limited,BHEL,2024-02-01,230.5,232.0,223.2,227.5,228.25,26372822
Bharat Heavy Electricals Limited,BHEL,2024-01-31,228.0,232.25,225.1,228.25,227.95,19835653
Bharat Heavy Electricals Limited,BHEL,2024-01-30,223.45,234.45,222.3,227.95,221.3,46928698
Bharat Heavy Electricals Limited,BHEL,2024-01-29,221.0,223.2,219.9,221.3,219.9,22269048
Bharat Heavy Electricals Limited,BHEL,2024-01-25,211.0,220.6,211.0,219.9,209.9,34410301
Bharat Heavy Electricals Limited,BHEL,2024-01-25,209.9,209.9,209.9,209.9,61.55,515703
Bharat Heavy Electricals Limited,BHEL,2024-01-24,204.5,211.35,200.7,209.9,202.95,32560581
Bharat Heavy Electricals Limited,BHEL,2024-01-23,221.5,221.9,201.55,202.95,219.75,45960109
Bharat Heavy Electricals Limited,BHEL,2024-01-20,224.5,225.5,217.85,219.75,222.25,23302300
Bharat Heavy Electricals Limited,BHEL,2024-01-19,215.0,223.0,212.5,222.25,212.15,63867429
Bharat Heavy Electricals Limited,BHEL,2024-01-18,209.5,213.15,196.3,212.15,207.1,68991855
Bharat Heavy Electricals Limited,BHEL,2024-01-17,200.25,213.2,200.2,207.1,203.0,104586370
Bharat Heavy Electricals Limited,BHEL,2024-01-16,202.05,203.75,197.0,203.0,201.25,36297046
Bharat Heavy Electricals Limited,BHEL,2024-01-15,204.5,204.5,199.0,201.25,196.45,39361703
Bharat Heavy Electricals Limited,BHEL,2024-01-12,198.0,199.15,195.6,196.45,197.75,14384270
Bharat Heavy Electricals Limited,BHEL,2024-01-11,201.0,201.95,196.75,197.75,199.65,26199838
Bharat Heavy Electricals Limited,BHEL,2024-01-10,196.0,201.0,192.0,199.65,195.6,39855938
Bharat Heavy Electricals Limited,BHEL,2024-01-09,196.85,199.25,194.75,195.6,195.15,20766773
Bharat Heavy Electricals Limited,BHEL,2024-01-08,195.9,200.15,193.5,195.15,195.8,24173941
Bharat Heavy Electricals Limited,BHEL,2024-01-05,196.05,197.9,192.85,195.8,195.05,31168193
Bharat Heavy Electricals Limited,BHEL,2024-01-04,195.85,196.75,191.85,195.05,194.4,30243640
Bharat Heavy Electricals Limited,BHEL,2024-01-03,201.8,201.8,193.5,194.4,202.0,52393773
Bharat Heavy Electricals Limited,BHEL,2024-01-02,203.0,204.9,197.6,202.0,198.15,72765808
Bharat Heavy Electricals Limited,BHEL,2024-01-01,199.0,204.65,196.9,198.15,193.55,75665268
Bharat Heavy Electricals Limited,BHEL,2023-12-29,191.95,199.7,191.3,193.55,192.6,56016618
Bharat Heavy Electricals Limited,BHEL,2023-12-28,182.5,193.95,182.0,192.6,181.95,80428777
Bharat Heavy Electricals Limited,BHEL,2023-12-27,183.4,185.65,180.0,181.95,182.2,17855973
Bharat Heavy Electricals Limited,BHEL,2023-12-26,179.5,184.3,178.65,182.2,178.3,37756996
Bharat Heavy Electricals Limited,BHEL,2023-12-22,181.05,181.35,175.9,178.3,180.45,19064120
Bharat Heavy Electricals Limited,BHEL,2023-12-21,168.95,181.15,165.8,180.45,172.0,31883299
Bharat Heavy Electricals Limited,BHEL,2023-12-20,186.0,190.45,169.6,172.0,184.75,39496283
Bharat Heavy Electricals Limited,BHEL,2023-12-19,187.4,188.3,182.45,184.75,187.4,19460688
Bharat Heavy Electricals Limited,BHEL,2023-12-18,181.55,188.25,179.9,187.4,181.55,25404383
Bharat Heavy Electricals Limited,BHEL,2023-12-15,184.0,186.2,181.0,181.55,181.4,25157198
Bharat Heavy Electricals Limited,BHEL,2023-12-14,180.25,184.2,180.25,181.4,179.65,23427830
Bharat Heavy Electricals Limited,BHEL,2023-12-13,178.0,181.9,176.35,179.65,177.9,21665601
Bharat Heavy Electricals Limited,BHEL,2023-12-12,180.0,180.75,176.25,177.9,179.65,14211330
Bharat Heavy Electricals Limited,BHEL,2023-12-11,177.45,181.45,177.05,179.65,176.7,20541517
Bharat Heavy Electricals Limited,BHEL,2023-12-08,183.8,183.85,173.2,176.7,183.3,36422560
Bharat Heavy Electricals Limited,BHEL,2023-12-07,178.9,184.4,176.35,183.3,178.45,28058369
Bharat Heavy Electricals Limited,BHEL,2023-12-06,177.7,181.0,174.85,178.45,176.7,24652623
Bharat Heavy Electricals Limited,BHEL,2023-12-05,174.05,181.65,173.3,176.7,174.05,43939364
Bharat Heavy Electricals Limited,BHEL,2023-12-04,175.1,176.6,170.8,174.05,170.5,43592841
Bharat Heavy Electricals Limited,BHEL,2023-12-01,171.35,174.15,169.5,170.5,170.45,37623687
Bharat Heavy Electricals Limited,BHEL,2023-11-30,165.75,176.5,160.8,170.45,165.05,125768226
Bharat Heavy Electricals Limited,BHEL,2023-11-29,161.0,166.0,158.25,165.05,156.05,66299728
Bharat Heavy Electricals Limited,BHEL,2023-11-28,152.5,157.8,151.5,156.05,152.25,48716588
Bharat Heavy Electricals Limited,BHEL,2023-11-24,143.7,155.4,142.25,152.25,142.75,109749908
Bharat Heavy Electricals Limited,BHEL,2023-11-23,141.5,144.2,141.1,142.75,141.15,22350588
Bharat Heavy Electricals Limited,BHEL,2023-11-22,140.0,141.75,139.25,141.15,139.6,14276386
Bharat Heavy Electricals Limited,BHEL,2023-11-21,141.5,141.55,136.2,139.6,140.95,19689241
Bharat Heavy Electricals Limited,BHEL,2023-11-20,142.6,143.15,139.85,140.95,141.85,19703693
Bharat Heavy Electricals Limited,BHEL,2023-11-17,138.75,143.2,137.55,141.85,138.65,28788415
Bharat Heavy Electricals Limited,BHEL,2023-11-16,137.4,140.85,137.25,138.65,137.4,29402772
Bharat Heavy Electricals Limited,BHEL,2023-11-15,138.0,138.35,135.3,137.4,136.5,24142281
Bharat Heavy Electricals Limited,BHEL,2023-11-13,128.95,138.0,128.7,136.5,129.0,77439295
Bharat Heavy Electricals Limited,BHEL,2023-11-12,129.5,129.7,128.45,129.0,129.05,2528861
Bharat Heavy Electricals Limited,BHEL,2023-11-10,125.55,130.2,123.8,129.05,125.8,24894388
Bharat Heavy Electricals Limited,BHEL,2023-11-09,124.05,127.4,121.95,125.8,125.3,33342195
Bharat Heavy Electricals Limited,BHEL,2023-11-08,129.6,130.25,124.55,125.3,128.95,15189519
Bharat Heavy Electricals Limited,BHEL,2023-11-07,130.25,130.8,128.35,128.95,130.05,10828413
Bharat Heavy Electricals Limited,BHEL,2023-11-06,129.4,131.2,127.65,130.05,128.6,13327821
Bharat Heavy Electricals Limited,BHEL,2023-11-03,129.0,132.45,128.05,128.6,128.05,27932123
Bharat Heavy Electricals Limited,BHEL,2023-11-02,122.55,128.5,122.35,128.05,121.55,22803638
Bharat Heavy Electricals Limited,BHEL,2023-11-01,121.3,123.0,120.7,121.55,120.85,11853409
Bharat Heavy Electricals Limited,BHEL,2023-10-31,121.45,122.4,119.5,120.85,120.7,13504849
Bharat Heavy Electricals Limited,BHEL,2023-10-30,118.2,121.45,117.7,120.7,117.65,18259367
Bharat Heavy Electricals Limited,BHEL,2023-10-27,118.65,120.55,117.4,117.65,117.85,13964054
Bharat Heavy Electricals Limited,BHEL,2023-10-26,115.4,118.25,113.5,117.85,116.3,18497619
Bharat Heavy Electricals Limited,BHEL,2023-10-25,118.05,120.25,114.05,116.3,117.75,20235803
Bharat Heavy Electricals Limited,BHEL,2023-10-23,125.2,125.75,116.85,117.75,125.2,19539996
Bharat Heavy Electricals Limited,BHEL,2023-10-20,128.95,130.1,124.55,125.2,129.2,17288411
Bharat Heavy Electricals Limited,BHEL,2023-10-19,128.2,129.95,127.1,129.2,129.2,18139312
Bharat Heavy Electricals Limited,BHEL,2023-10-18,132.75,133.7,128.2,129.2,132.45,25434863
Bharat Heavy Electricals Limited,BHEL,2023-10-17,131.9,133.6,130.1,132.45,131.15,23757135
Bharat Heavy Electricals Limited,BHEL,2023-10-16,128.1,131.6,127.0,131.15,128.35,15014283
Bharat Heavy Electricals Limited,BHEL,2023-10-13,129.95,130.2,127.5,128.35,130.65,14077735
Bharat Heavy Electricals Limited,BHEL,2023-10-12,131.05,133.75,130.25,130.65,130.85,18231128
Bharat Heavy Electricals Limited,BHEL,2023-10-11,131.8,132.6,129.3,130.85,131.2,18607776
Bharat Heavy Electricals Limited,BHEL,2023-10-10,127.0,131.45,127.0,131.2,126.45,23073503
Bharat Heavy Electricals Limited,BHEL,2023-10-09,127.05,127.9,124.35,126.45,128.9,17709670
Bharat Heavy Electricals Limited,BHEL,2023-10-06,128.1,129.9,127.55,128.9,127.4,13871322
Bharat Heavy Electricals Limited,BHEL,2023-10-05,128.3,130.5,127.1,127.4,127.55,14679290
Bharat Heavy Electricals Limited,BHEL,2023-10-04,130.8,130.8,125.7,127.55,131.15,21432884
Bharat Heavy Electricals Limited,BHEL,2023-10-03,131.0,132.4,129.9,131.15,131.0,18947214
Bharat Heavy Electricals Limited,BHEL,2023-09-29,128.3,131.7,128.1,131.0,126.65,29692801
Bharat Heavy Electricals Limited,BHEL,2023-09-28,127.3,131.2,125.95,126.65,126.9,54115299
Bharat Heavy Electricals Limited,BHEL,2023-09-27,124.35,127.6,122.85,126.9,124.35,28571024
Bharat Heavy Electricals Limited,BHEL,2023-09-26,125.75,125.95,123.1,124.35,125.25,16917591
Bharat Heavy Electricals Limited,BHEL,2023-09-25,124.85,126.95,123.7,125.25,124.4,37608586
Bharat Heavy Electricals Limited,BHEL,2023-09-22,125.0,125.6,123.3,124.4,124.25,18256470
Bharat Heavy Electricals Limited,BHEL,2023-09-21,123.0,127.0,122.15,124.25,123.6,32859985
Bharat Heavy Electricals Limited,BHEL,2023-09-20,126.0,127.45,123.15,123.6,126.45,20538834
Bharat Heavy Electricals Limited,BHEL,2023-09-18,128.45,129.7,126.0,126.45,127.6,16251908
Bharat Heavy Electricals Limited,BHEL,2023-09-15,130.8,132.05,126.7,127.6,129.9,23253842
Bharat Heavy Electricals Limited,BHEL,2023-09-14,129.55,134.25,126.15,129.9,128.8,63995422
Bharat Heavy Electricals Limited,BHEL,2023-09-13,126.95,130.7,121.6,128.8,125.65,74638974
Bharat Heavy Electricals Limited,BHEL,2023-09-12,141.45,141.5,124.2,125.65,139.85,86077435
Bharat Heavy Electricals Limited,BHEL,2023-09-11,146.4,148.9,139.0,139.85,145.3,76013022
Bharat Heavy Electricals Limited,BHEL,2023-09-08,138.6,146.4,138.6,145.3,137.7,71729474
Bharat Heavy Electricals Limited,BHEL,2023-09-07,135.8,138.95,135.0,137.7,135.55,25911001
Bharat Heavy Electricals Limited,BHEL,2023-09-05,139.7,143.6,137.15,138.4,138.75,52060353
Bharat Heavy Electricals Limited,BHEL,2023-09-01,122.0,137.1,121.4,136.15,121.25,192280009
Bharat Heavy Electricals Limited,BHEL,2023-08-31,120.9,122.0,118.7,121.25,118.7,68540952
Bharat Heavy Electricals Limited,BHEL,2023-08-30,115.5,119.5,114.0,118.7,114.65,80676360
Bharat Heavy Electricals Limited,BHEL,2023-08-29,109.8,115.6,109.05,114.65,109.55,65979986
Bharat Heavy Electricals Limited,BHEL,2023-08-28,106.8,110.5,106.05,109.55,105.25,41415363
Bharat Heavy Electricals Limited,BHEL,2023-08-25,107.65,109.2,105.0,105.25,107.65,26019715
Bharat Heavy Electricals Limited,BHEL,2023-08-24,111.5,113.05,107.05,107.65,109.5,43168726
Bharat Heavy Electricals Limited,BHEL,2023-08-23,113.0,113.0,108.55,109.5,111.05,52947192
Bharat Heavy Electricals Limited,BHEL,2023-08-22,101.5,112.85,101.05,111.05,100.95,100869823
Bharat Heavy Electricals Limited,BHEL,2023-08-21,98.65,101.2,97.5,100.95,98.0,20365580
Bharat Heavy Electricals Limited,BHEL,2023-08-18,100.1,100.35,97.75,98.0,99.9,12953826
Bharat Heavy Electricals Limited,BHEL,2023-08-17,99.85,101.75,99.6,99.9,99.85,11091212
Bharat Heavy Electricals Limited,BHEL,2023-08-16,101.0,101.45,98.65,99.85,101.8,17684303
Bharat Heavy Electricals Limited,BHEL,2023-08-14,103.0,103.0,100.45,101.8,103.05,12302674
