StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Bikaji Foods International Limited,BIKAJI,2024-03-28,492.6,496.9,482.9,490.45,490.85,235939
Bikaji Foods International Limited,BIKAJI,2024-03-27,483.95,497.4,482.35,490.85,482.85,669466
Bikaji Foods International Limited,BIKAJI,2024-03-26,490.0,491.95,481.25,482.85,489.85,145974
Bikaji Foods International Limited,BIKAJI,2024-03-22,498.0,499.0,489.0,489.85,498.5,219847
Bikaji Foods International Limited,BIKAJI,2024-03-21,492.85,501.0,487.35,498.5,490.35,244152
Bikaji Foods International Limited,BIKAJI,2024-03-20,490.0,494.0,480.35,490.35,485.0,119739
Bikaji Foods International Limited,BIKAJI,2024-03-19,492.0,493.2,478.1,485.0,488.25,129836
Bikaji Foods International Limited,BIKAJI,2024-03-18,485.0,494.35,483.0,488.25,484.95,219507
Bikaji Foods International Limited,BIKAJI,2024-03-15,496.55,496.55,476.1,484.95,492.35,342313
Bikaji Foods International Limited,BIKAJI,2024-03-14,502.95,503.0,488.35,492.35,503.2,183225
Bikaji Foods International Limited,BIKAJI,2024-03-13,508.25,512.4,489.75,503.2,511.9,225898
Bikaji Foods International Limited,BIKAJI,2024-03-12,525.0,525.0,508.0,511.9,526.15,122826
Bikaji Foods International Limited,BIKAJI,2024-03-11,533.85,542.0,521.2,526.15,533.85,207622
Bikaji Foods International Limited,BIKAJI,2024-03-07,521.0,539.0,509.0,533.85,516.15,235282
Bikaji Foods International Limited,BIKAJI,2024-03-06,503.5,519.7,503.5,516.15,506.75,555783
Bikaji Foods International Limited,BIKAJI,2024-03-05,517.0,517.0,499.8,506.75,516.85,460840
Bikaji Foods International Limited,BIKAJI,2024-03-04,526.95,526.95,514.5,516.85,522.4,84756
Bikaji Foods International Limited,BIKAJI,2024-03-02,520.0,529.0,515.05,522.4,517.9,20342
Bikaji Foods International Limited,BIKAJI,2024-03-01,527.95,528.0,515.0,517.9,521.85,92045
Bikaji Foods International Limited,BIKAJI,2024-02-29,518.5,530.0,514.05,521.85,519.1,317694
Bikaji Foods International Limited,BIKAJI,2024-02-28,526.0,526.0,513.0,519.1,525.6,449816
Bikaji Foods International Limited,BIKAJI,2024-02-27,530.9,533.9,525.0,525.6,527.6,186662
Bikaji Foods International Limited,BIKAJI,2024-02-26,531.65,531.65,524.15,527.6,527.75,328270
Bikaji Foods International Limited,BIKAJI,2024-02-23,531.0,532.0,524.8,527.75,529.6,285555
Bikaji Foods International Limited,BIKAJI,2024-02-22,538.2,538.2,527.75,529.6,532.0,106835
Bikaji Foods International Limited,BIKAJI,2024-02-21,539.25,539.3,529.6,532.0,535.3,236020
Bikaji Foods International Limited,BIKAJI,2024-02-20,543.65,543.95,534.25,535.3,541.25,327945
Bikaji Foods International Limited,BIKAJI,2024-02-19,537.0,546.5,531.35,541.25,537.4,442372
Bikaji Foods International Limited,BIKAJI,2024-02-16,541.95,544.65,535.55,537.4,539.3,127126
Bikaji Foods International Limited,BIKAJI,2024-02-15,529.0,546.95,527.1,539.3,524.15,692033
Bikaji Foods International Limited,BIKAJI,2024-02-14,527.5,539.1,521.55,524.15,530.35,1432944
Bikaji Foods International Limited,BIKAJI,2024-02-13,549.85,549.85,523.0,530.35,547.25,1182370
Bikaji Foods International Limited,BIKAJI,2024-02-12,551.7,552.85,541.9,547.25,551.8,1268023
Bikaji Foods International Limited,BIKAJI,2024-02-09,555.45,566.0,540.25,551.8,553.45,159721
Bikaji Foods International Limited,BIKAJI,2024-02-08,569.9,569.9,550.05,553.45,564.0,911786
Bikaji Foods International Limited,BIKAJI,2024-02-07,562.0,569.4,555.55,564.0,558.7,290705
Bikaji Foods International Limited,BIKAJI,2024-02-06,550.1,564.0,550.1,558.7,547.4,268145
Bikaji Foods International Limited,BIKAJI,2024-02-05,548.0,575.9,542.6,547.4,547.55,407859
Bikaji Foods International Limited,BIKAJI,2024-02-02,588.1,597.2,535.7,547.55,584.2,1026472
Bikaji Foods International Limited,BIKAJI,2024-02-01,596.0,598.9,576.2,584.2,591.7,248693
Bikaji Foods International Limited,BIKAJI,2024-01-31,593.0,603.55,586.65,591.7,581.9,316354
Bikaji Foods International Limited,BIKAJI,2024-01-30,586.65,605.9,580.0,581.9,583.7,493859
Bikaji Foods International Limited,BIKAJI,2024-01-29,575.75,585.8,574.2,583.7,573.8,165195
Bikaji Foods International Limited,BIKAJI,2024-01-25,579.0,582.15,568.05,573.8,576.4,115842
Bikaji Foods International Limited,BIKAJI,2024-01-24,575.95,581.5,564.05,576.4,570.65,148461
Bikaji Foods International Limited,BIKAJI,2024-01-23,580.65,593.0,561.0,570.65,577.1,234324
Bikaji Foods International Limited,BIKAJI,2024-01-20,578.15,582.0,575.0,577.1,576.05,75328
Bikaji Foods International Limited,BIKAJI,2024-01-19,581.5,584.8,572.1,576.05,577.8,136948
Bikaji Foods International Limited,BIKAJI,2024-01-18,576.75,585.0,566.55,577.8,576.75,277837
Bikaji Foods International Limited,BIKAJI,2024-01-17,577.05,583.6,567.2,576.75,587.45,413016
Bikaji Foods International Limited,BIKAJI,2024-01-16,584.0,591.1,574.1,587.45,580.65,693001
Bikaji Foods International Limited,BIKAJI,2024-01-15,583.05,587.45,571.15,580.65,583.05,205533
Bikaji Foods International Limited,BIKAJI,2024-01-12,572.65,592.0,571.0,583.05,570.95,480677
Bikaji Foods International Limited,BIKAJI,2024-01-11,577.9,580.0,566.2,570.95,573.85,137183
Bikaji Foods International Limited,BIKAJI,2024-01-10,574.1,578.35,570.0,573.85,574.1,129323
Bikaji Foods International Limited,BIKAJI,2024-01-09,584.0,587.8,571.55,574.1,580.35,270557
Bikaji Foods International Limited,BIKAJI,2024-01-08,574.75,584.5,574.55,580.35,573.35,972448
Bikaji Foods International Limited,BIKAJI,2024-01-05,570.0,585.0,568.9,573.35,567.55,1276363
Bikaji Foods International Limited,BIKAJI,2024-01-04,552.9,574.9,552.6,567.55,550.95,524870
Bikaji Foods International Limited,BIKAJI,2024-01-03,553.7,558.25,548.0,550.95,553.9,103818
Bikaji Foods International Limited,BIKAJI,2024-01-02,548.3,559.0,545.55,553.9,546.4,156524
Bikaji Foods International Limited,BIKAJI,2024-01-01,546.0,556.0,543.05,546.4,546.1,145982
Bikaji Foods International Limited,BIKAJI,2023-12-29,555.0,558.6,544.05,546.1,558.6,221044
Bikaji Foods International Limited,BIKAJI,2023-12-28,562.5,562.5,553.1,558.6,559.2,276086
Bikaji Foods International Limited,BIKAJI,2023-12-27,557.0,580.0,549.75,559.2,553.3,962930
Bikaji Foods International Limited,BIKAJI,2023-12-26,554.75,555.0,547.0,553.3,552.35,218200
Bikaji Foods International Limited,BIKAJI,2023-12-22,542.9,555.0,537.05,552.35,540.75,355027
Bikaji Foods International Limited,BIKAJI,2023-12-21,527.35,545.55,521.05,540.75,537.35,182514
Bikaji Foods International Limited,BIKAJI,2023-12-20,544.45,547.65,533.0,537.35,544.45,352821
Bikaji Foods International Limited,BIKAJI,2023-12-19,538.75,548.0,534.05,544.45,535.85,197120
Bikaji Foods International Limited,BIKAJI,2023-12-18,548.6,548.6,532.55,535.85,547.6,289607
Bikaji Foods International Limited,BIKAJI,2023-12-15,541.65,550.0,540.1,547.6,538.75,217312
Bikaji Foods International Limited,BIKAJI,2023-12-14,534.65,546.9,532.55,538.75,532.7,345023
Bikaji Foods International Limited,BIKAJI,2023-12-13,533.65,536.5,525.75,532.7,533.25,170424
Bikaji Foods International Limited,BIKAJI,2023-12-12,527.0,536.5,520.85,533.25,526.0,599879
Bikaji Foods International Limited,BIKAJI,2023-12-11,527.0,527.0,521.2,526.0,527.6,290414
Bikaji Foods International Limited,BIKAJI,2023-12-08,526.15,531.95,521.0,527.6,524.3,195352
Bikaji Foods International Limited,BIKAJI,2023-12-07,546.45,546.45,520.0,524.3,547.55,476906
Bikaji Foods International Limited,BIKAJI,2023-12-06,543.9,561.4,538.6,547.55,542.4,354318
Bikaji Foods International Limited,BIKAJI,2023-12-05,538.05,546.2,535.2,542.4,537.75,193139
Bikaji Foods International Limited,BIKAJI,2023-12-04,559.95,559.95,535.4,537.75,553.85,322588
Bikaji Foods International Limited,BIKAJI,2023-12-01,563.95,564.8,550.45,553.85,558.0,190334
Bikaji Foods International Limited,BIKAJI,2023-11-30,547.8,560.0,544.5,558.0,545.7,572965
Bikaji Foods International Limited,BIKAJI,2023-11-29,544.0,549.9,540.25,545.7,542.35,103467
Bikaji Foods International Limited,BIKAJI,2023-11-28,551.6,554.9,540.0,542.35,548.15,133897
Bikaji Foods International Limited,BIKAJI,2023-11-24,540.05,551.0,537.1,548.15,539.65,332479
Bikaji Foods International Limited,BIKAJI,2023-11-23,535.0,545.0,534.8,539.65,535.1,175157
Bikaji Foods International Limited,BIKAJI,2023-11-22,550.0,551.05,531.95,535.1,546.05,219187
Bikaji Foods International Limited,BIKAJI,2023-11-21,552.0,562.5,542.7,546.05,547.35,464362
Bikaji Foods International Limited,BIKAJI,2023-11-20,542.45,564.45,541.0,547.35,539.35,557287
Bikaji Foods International Limited,BIKAJI,2023-11-17,549.0,560.05,535.0,539.35,549.1,719932
Bikaji Foods International Limited,BIKAJI,2023-11-16,554.2,559.8,545.05,549.1,549.45,820587
Bikaji Foods International Limited,BIKAJI,2023-11-15,524.9,553.0,516.3,549.45,520.0,1545656
Bikaji Foods International Limited,BIKAJI,2023-11-13,522.65,522.65,515.15,520.0,521.9,132124
Bikaji Foods International Limited,BIKAJI,2023-11-12,519.5,527.9,512.0,521.9,515.8,151814
Bikaji Foods International Limited,BIKAJI,2023-11-10,524.9,528.2,513.0,515.8,524.0,299462
Bikaji Foods International Limited,BIKAJI,2023-11-09,520.0,535.0,517.3,524.0,520.25,721402
Bikaji Foods International Limited,BIKAJI,2023-11-08,523.55,525.0,511.6,520.25,519.55,511656
Bikaji Foods International Limited,BIKAJI,2023-11-07,502.4,525.0,496.0,519.55,499.15,2104234
Bikaji Foods International Limited,BIKAJI,2023-11-06,485.35,503.0,480.05,499.15,479.35,655964
Bikaji Foods International Limited,BIKAJI,2023-11-03,478.2,482.0,475.0,479.35,474.75,121179
Bikaji Foods International Limited,BIKAJI,2023-11-02,473.8,477.55,471.0,474.75,468.9,88170
Bikaji Foods International Limited,BIKAJI,2023-11-01,474.5,487.0,467.05,468.9,473.1,311053
Bikaji Foods International Limited,BIKAJI,2023-10-31,470.05,480.0,470.05,473.1,468.9,117103
Bikaji Foods International Limited,BIKAJI,2023-10-30,469.8,475.65,463.65,468.9,467.5,300492
Bikaji Foods International Limited,BIKAJI,2023-10-27,459.05,472.0,459.05,467.5,458.5,338035
Bikaji Foods International Limited,BIKAJI,2023-10-26,468.5,468.55,450.2,458.5,469.8,602536
Bikaji Foods International Limited,BIKAJI,2023-10-25,482.85,486.0,465.0,469.8,479.35,349494
Bikaji Foods International Limited,BIKAJI,2023-10-23,490.0,495.85,476.2,479.35,489.05,199075
Bikaji Foods International Limited,BIKAJI,2023-10-20,489.95,494.8,485.5,489.05,491.5,184940
Bikaji Foods International Limited,BIKAJI,2023-10-19,487.6,493.15,479.0,491.5,483.85,151639
Bikaji Foods International Limited,BIKAJI,2023-10-18,490.5,491.25,482.75,483.85,488.15,75846
Bikaji Foods International Limited,BIKAJI,2023-10-17,494.25,496.4,486.35,488.15,491.3,139068
Bikaji Foods International Limited,BIKAJI,2023-10-16,484.9,494.0,479.0,491.3,483.45,390630
Bikaji Foods International Limited,BIKAJI,2023-10-13,481.55,488.3,480.55,483.45,483.15,282674
Bikaji Foods International Limited,BIKAJI,2023-10-12,488.0,490.45,480.0,483.15,484.85,165201
Bikaji Foods International Limited,BIKAJI,2023-10-11,474.8,488.9,472.55,484.85,470.65,476081
Bikaji Foods International Limited,BIKAJI,2023-10-10,476.6,476.6,469.95,470.65,470.6,125008
Bikaji Foods International Limited,BIKAJI,2023-10-09,465.0,476.95,461.3,470.6,470.6,309986
Bikaji Foods International Limited,BIKAJI,2023-10-06,482.4,484.5,467.65,470.6,480.7,325467
Bikaji Foods International Limited,BIKAJI,2023-10-05,484.95,485.9,479.75,480.7,481.1,102881
Bikaji Foods International Limited,BIKAJI,2023-10-04,487.5,492.0,478.0,481.1,487.8,230563
Bikaji Foods International Limited,BIKAJI,2023-10-03,490.0,493.0,484.75,487.8,484.95,165242
Bikaji Foods International Limited,BIKAJI,2023-09-29,494.4,494.4,484.0,484.95,491.6,266710
Bikaji Foods International Limited,BIKAJI,2023-09-28,492.65,493.9,485.8,491.6,491.45,116557
Bikaji Foods International Limited,BIKAJI,2023-09-27,489.9,493.0,483.25,491.45,488.35,227547
Bikaji Foods International Limited,BIKAJI,2023-09-26,491.1,498.55,483.05,488.35,491.1,559112
Bikaji Foods International Limited,BIKAJI,2023-09-25,485.95,494.05,482.15,491.1,481.9,249747
Bikaji Foods International Limited,BIKAJI,2023-09-22,488.0,492.25,476.4,481.9,485.0,242757
Bikaji Foods International Limited,BIKAJI,2023-09-21,485.5,489.9,478.0,485.0,487.0,258749
Bikaji Foods International Limited,BIKAJI,2023-09-20,492.0,495.0,485.0,487.0,492.6,113584
Bikaji Foods International Limited,BIKAJI,2023-09-18,501.65,503.45,491.05,492.6,494.65,155176
Bikaji Foods International Limited,BIKAJI,2023-09-15,494.8,502.95,492.05,494.65,489.1,435333
Bikaji Foods International Limited,BIKAJI,2023-09-14,497.8,505.0,485.0,489.1,489.6,1134576
Bikaji Foods International Limited,BIKAJI,2023-09-13,495.75,501.2,477.25,489.6,496.25,699000
Bikaji Foods International Limited,BIKAJI,2023-09-12,522.9,525.95,469.0,496.25,520.5,732488
