StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Biocon Limited,BIOCON,2024-03-28,260.0,266.75,259.2,264.15,256.6,7744310
Biocon Limited,BIOCON,2024-03-27,256.95,263.25,255.85,256.6,257.7,7577249
Biocon Limited,BIOCON,2024-03-26,254.2,258.95,251.0,257.7,252.2,7271365
Biocon Limited,BIOCON,2024-03-22,250.2,254.7,248.45,252.2,248.7,5586546
Biocon Limited,BIOCON,2024-03-21,248.5,252.3,247.55,248.7,246.85,3542830
Biocon Limited,BIOCON,2024-03-20,246.5,249.55,244.55,246.85,245.75,3465199
Biocon Limited,BIOCON,2024-03-19,250.8,252.4,245.05,245.75,250.65,4014805
Biocon Limited,BIOCON,2024-03-18,252.8,254.55,247.75,250.65,251.65,4693478
Biocon Limited,BIOCON,2024-03-15,262.0,262.6,250.25,251.65,267.4,10073254
Biocon Limited,BIOCON,2024-03-14,252.5,273.45,249.9,267.4,252.85,6106792
Biocon Limited,BIOCON,2024-03-13,271.0,273.45,250.4,252.85,270.35,7078060
Biocon Limited,BIOCON,2024-03-12,279.3,281.65,270.0,270.35,279.2,3628757
Biocon Limited,BIOCON,2024-03-11,284.0,286.2,278.1,279.2,281.9,4569107
Biocon Limited,BIOCON,2024-03-07,276.0,285.2,276.0,281.9,274.5,9041425
Biocon Limited,BIOCON,2024-03-06,280.0,280.85,269.25,274.5,279.95,6070958
Biocon Limited,BIOCON,2024-03-05,278.95,282.7,277.0,279.95,278.9,5524477
Biocon Limited,BIOCON,2024-03-04,277.9,287.2,275.7,278.9,276.95,17778466
Biocon Limited,BIOCON,2024-03-02,275.5,279.5,274.35,276.95,273.9,336360
Biocon Limited,BIOCON,2024-03-01,276.55,282.25,272.5,273.9,276.5,4963400
Biocon Limited,BIOCON,2024-02-29,272.65,277.6,267.45,276.5,271.05,5644851
Biocon Limited,BIOCON,2024-02-28,276.0,281.5,270.1,271.05,275.7,6304110
Biocon Limited,BIOCON,2024-02-27,273.4,282.0,273.3,275.7,272.95,8810926
Biocon Limited,BIOCON,2024-02-26,274.8,275.95,269.1,272.95,273.05,4389040
Biocon Limited,BIOCON,2024-02-23,272.0,275.0,270.1,273.05,270.8,4763062
Biocon Limited,BIOCON,2024-02-22,275.0,275.8,268.0,270.8,274.0,4385098
Biocon Limited,BIOCON,2024-02-21,281.5,283.8,272.65,274.0,281.2,5852991
Biocon Limited,BIOCON,2024-02-20,286.75,289.6,280.0,281.2,291.05,10218574
Biocon Limited,BIOCON,2024-02-19,287.0,303.1,286.85,291.05,286.85,28508993
Biocon Limited,BIOCON,2024-02-16,276.0,290.0,275.55,286.85,274.3,12781234
Biocon Limited,BIOCON,2024-02-15,273.7,278.0,272.5,274.3,271.7,4257799
Biocon Limited,BIOCON,2024-02-14,265.55,274.4,263.9,271.7,267.2,4842342
Biocon Limited,BIOCON,2024-02-13,267.0,274.3,261.0,267.2,266.7,5350604
Biocon Limited,BIOCON,2024-02-12,275.1,280.5,264.6,266.7,273.4,6238533
Biocon Limited,BIOCON,2024-02-09,280.95,291.05,271.5,273.4,284.7,16961839
Biocon Limited,BIOCON,2024-02-08,293.0,294.35,283.6,284.7,290.25,5818098
Biocon Limited,BIOCON,2024-02-07,304.0,304.0,284.35,290.25,298.55,11567515
Biocon Limited,BIOCON,2024-02-06,286.4,307.1,286.0,298.55,284.65,23649986
Biocon Limited,BIOCON,2024-02-05,275.95,289.5,275.35,284.65,274.7,10372100
Biocon Limited,BIOCON,2024-02-02,272.0,280.8,270.6,274.7,269.95,5660639
Biocon Limited,BIOCON,2024-02-01,268.3,273.65,266.15,269.95,268.4,4986173
Biocon Limited,BIOCON,2024-01-31,261.15,270.35,260.0,268.4,260.0,4943291
Biocon Limited,BIOCON,2024-01-30,262.0,264.35,259.05,260.0,260.1,2637680
Biocon Limited,BIOCON,2024-01-29,261.3,261.55,256.4,260.1,258.7,3314421
Biocon Limited,BIOCON,2024-01-25,266.3,266.4,257.0,258.7,264.5,3864418
Biocon Limited,BIOCON,2024-01-24,262.5,266.4,260.85,264.5,262.5,4637208
Biocon Limited,BIOCON,2024-01-23,274.6,276.45,261.45,262.5,273.95,5447314
Biocon Limited,BIOCON,2024-01-20,277.0,278.75,271.5,273.95,276.1,2287845
Biocon Limited,BIOCON,2024-01-19,282.0,283.45,275.25,276.1,280.3,4152394
Biocon Limited,BIOCON,2024-01-18,280.15,287.25,273.35,280.3,279.7,5337699
Biocon Limited,BIOCON,2024-01-17,286.25,289.25,278.2,279.7,287.6,6926246
Biocon Limited,BIOCON,2024-01-16,282.25,288.7,276.3,287.6,281.1,13568999
Biocon Limited,BIOCON,2024-01-15,275.7,283.0,273.8,281.1,274.2,4445241
Biocon Limited,BIOCON,2024-01-12,283.45,283.65,269.1,274.2,282.1,5430166
Biocon Limited,BIOCON,2024-01-11,282.95,286.5,281.25,282.1,281.45,3239162
Biocon Limited,BIOCON,2024-01-10,281.2,284.95,278.8,281.45,281.2,2847064
Biocon Limited,BIOCON,2024-01-09,283.1,286.8,280.5,281.2,280.55,3105303
Biocon Limited,BIOCON,2024-01-08,293.2,293.2,280.0,280.55,291.3,7064064
Biocon Limited,BIOCON,2024-01-05,285.35,294.5,278.7,291.3,283.6,12166860
Biocon Limited,BIOCON,2024-01-04,286.0,287.85,281.2,283.6,282.35,9653743
Biocon Limited,BIOCON,2024-01-03,267.95,284.5,265.6,282.35,266.2,28706243
Biocon Limited,BIOCON,2024-01-02,257.6,267.7,255.85,266.2,255.55,17494142
Biocon Limited,BIOCON,2024-01-01,249.8,259.65,249.65,255.55,249.65,7038993
Biocon Limited,BIOCON,2023-12-29,247.4,250.75,247.4,249.65,247.35,2137811
Biocon Limited,BIOCON,2023-12-28,253.05,253.3,245.0,247.35,252.75,7352066
Biocon Limited,BIOCON,2023-12-27,252.15,255.7,250.85,252.75,250.65,2913019
Biocon Limited,BIOCON,2023-12-26,248.0,252.0,247.75,250.65,246.3,3586164
Biocon Limited,BIOCON,2023-12-22,246.45,249.2,244.8,246.3,245.7,2273146
Biocon Limited,BIOCON,2023-12-21,242.35,247.0,239.3,245.7,242.6,2124226
Biocon Limited,BIOCON,2023-12-20,253.75,255.55,241.4,242.6,252.35,3532183
Biocon Limited,BIOCON,2023-12-19,255.9,256.9,249.6,252.35,254.1,4813865
Biocon Limited,BIOCON,2023-12-18,251.9,256.8,249.05,254.1,251.7,4310027
Biocon Limited,BIOCON,2023-12-15,254.95,254.95,249.25,251.7,248.05,6815893
Biocon Limited,BIOCON,2023-12-14,251.65,251.65,246.9,248.05,249.3,7398830
Biocon Limited,BIOCON,2023-12-13,239.8,250.0,239.0,249.3,238.65,4745442
Biocon Limited,BIOCON,2023-12-12,240.45,243.0,238.25,238.65,240.05,1455169
Biocon Limited,BIOCON,2023-12-11,239.8,240.55,237.65,240.05,239.0,1612669
Biocon Limited,BIOCON,2023-12-08,242.6,243.8,236.9,239.0,242.25,2350010
Biocon Limited,BIOCON,2023-12-07,240.95,243.75,240.55,242.25,240.4,1857120
Biocon Limited,BIOCON,2023-12-06,243.5,244.45,240.0,240.4,243.1,2329446
Biocon Limited,BIOCON,2023-12-05,242.1,243.4,240.3,243.1,240.65,2272088
Biocon Limited,BIOCON,2023-12-04,243.3,243.4,238.9,240.65,240.65,1817846
Biocon Limited,BIOCON,2023-12-01,241.0,245.1,240.05,240.65,238.3,3020077
Biocon Limited,BIOCON,2023-11-30,236.75,239.15,236.15,238.3,236.75,3794118
Biocon Limited,BIOCON,2023-11-29,233.2,237.4,233.2,236.75,233.1,2307166
Biocon Limited,BIOCON,2023-11-28,235.4,236.25,231.25,233.1,235.35,2846098
Biocon Limited,BIOCON,2023-11-24,235.45,238.95,234.9,235.35,234.65,2203816
Biocon Limited,BIOCON,2023-11-23,236.5,236.5,233.2,234.65,236.0,1158811
Biocon Limited,BIOCON,2023-11-22,234.45,237.5,233.7,236.0,233.7,2803434
Biocon Limited,BIOCON,2023-11-21,236.8,236.8,232.9,233.7,235.0,1697203
Biocon Limited,BIOCON,2023-11-20,233.0,238.7,232.3,235.0,232.75,4820490
Biocon Limited,BIOCON,2023-11-17,231.9,233.5,231.5,232.75,231.9,1783108
Biocon Limited,BIOCON,2023-11-16,229.6,234.2,228.25,231.9,229.1,4508925
Biocon Limited,BIOCON,2023-11-15,231.5,231.75,228.45,229.1,227.35,3215676
Biocon Limited,BIOCON,2023-11-13,230.1,231.85,224.35,227.35,234.8,8590243
Biocon Limited,BIOCON,2023-11-12,236.0,236.0,230.0,234.8,227.4,2128551
Biocon Limited,BIOCON,2023-11-10,227.85,228.65,222.55,227.4,227.05,2629871
Biocon Limited,BIOCON,2023-11-09,228.95,229.5,225.9,227.05,226.85,1989025
Biocon Limited,BIOCON,2023-11-08,226.2,229.35,225.45,226.85,225.35,3110053
Biocon Limited,BIOCON,2023-11-07,225.15,225.9,223.6,225.35,224.85,2717764
Biocon Limited,BIOCON,2023-11-06,225.6,226.9,223.6,224.85,224.5,3115669
Biocon Limited,BIOCON,2023-11-03,223.7,228.0,223.0,224.5,221.75,3721458
Biocon Limited,BIOCON,2023-11-02,220.45,223.6,220.25,221.75,218.7,2216990
Biocon Limited,BIOCON,2023-11-01,221.0,221.6,218.3,218.7,219.65,1171523
Biocon Limited,BIOCON,2023-10-31,222.2,223.45,217.5,219.65,221.9,1965042
Biocon Limited,BIOCON,2023-10-30,223.0,224.05,219.85,221.9,222.7,2213338
Biocon Limited,BIOCON,2023-10-27,224.1,226.0,222.45,222.7,222.1,2766883
Biocon Limited,BIOCON,2023-10-26,224.7,226.05,218.0,222.1,224.4,3304417
Biocon Limited,BIOCON,2023-10-25,227.0,229.4,223.9,224.4,226.25,3158091
Biocon Limited,BIOCON,2023-10-23,231.45,233.4,225.1,226.25,230.95,3841041
Biocon Limited,BIOCON,2023-10-20,235.5,236.6,230.5,230.95,235.4,4771316
Biocon Limited,BIOCON,2023-10-19,239.0,239.5,233.4,235.4,238.65,5417771
Biocon Limited,BIOCON,2023-10-18,251.5,252.0,236.7,238.65,254.9,13082442
Biocon Limited,BIOCON,2023-10-17,255.0,257.5,253.7,254.9,254.2,2999430
Biocon Limited,BIOCON,2023-10-16,254.5,255.05,252.5,254.2,254.55,1514070
Biocon Limited,BIOCON,2023-10-13,259.45,259.5,254.0,254.55,260.1,2764245
Biocon Limited,BIOCON,2023-10-12,258.0,261.25,257.4,260.1,257.4,1572827
Biocon Limited,BIOCON,2023-10-11,258.8,259.8,257.1,257.4,257.9,1496819
Biocon Limited,BIOCON,2023-10-10,261.0,261.7,255.65,257.9,260.45,2682999
Biocon Limited,BIOCON,2023-10-09,261.2,263.85,259.65,260.45,264.55,1225855
Biocon Limited,BIOCON,2023-10-06,264.0,265.85,262.6,264.55,263.6,1215958
Biocon Limited,BIOCON,2023-10-05,266.8,267.65,263.25,263.6,264.85,897722
Biocon Limited,BIOCON,2023-10-04,271.75,271.75,262.7,264.85,272.7,2557186
Biocon Limited,BIOCON,2023-10-03,269.1,274.9,269.1,272.7,272.2,1984718
Biocon Limited,BIOCON,2023-09-29,268.7,274.0,265.1,272.2,266.9,2867446
Biocon Limited,BIOCON,2023-09-28,265.15,269.75,264.25,266.9,264.65,4594900
Biocon Limited,BIOCON,2023-09-27,262.8,265.8,261.65,264.65,261.65,1584824
Biocon Limited,BIOCON,2023-09-26,264.85,266.0,260.9,261.65,264.1,1175241
Biocon Limited,BIOCON,2023-09-25,264.35,266.15,262.8,264.1,264.35,1072534
Biocon Limited,BIOCON,2023-09-22,267.0,269.25,261.3,264.35,267.0,3614837
Biocon Limited,BIOCON,2023-09-21,275.0,276.0,266.2,267.0,273.2,4855030
Biocon Limited,BIOCON,2023-09-20,273.95,275.65,268.5,273.2,273.2,3260778
Biocon Limited,BIOCON,2023-09-18,277.8,278.4,272.0,273.2,276.75,2554179
Biocon Limited,BIOCON,2023-09-15,275.0,279.9,273.25,276.75,274.95,6956452
Biocon Limited,BIOCON,2023-09-14,272.65,275.4,271.5,274.95,270.85,2486100
Biocon Limited,BIOCON,2023-09-13,267.3,271.95,265.85,270.85,267.3,2367997
Biocon Limited,BIOCON,2023-09-12,277.3,277.3,265.55,267.3,276.4,5319049
Biocon Limited,BIOCON,2023-09-11,268.35,278.05,266.85,276.4,266.4,4969656
Biocon Limited,BIOCON,2023-09-08,268.05,269.25,265.9,266.4,267.6,1573069
Biocon Limited,BIOCON,2023-09-07,271.75,271.75,266.2,267.6,269.4,2855904
Biocon Limited,BIOCON,2023-09-05,262.0,269.3,261.5,267.1,261.35,5013357
Biocon Limited,BIOCON,2023-09-01,259.85,263.35,258.8,260.8,259.35,2015580
Biocon Limited,BIOCON,2023-08-31,260.3,261.75,256.95,259.35,260.0,1952045
Biocon Limited,BIOCON,2023-08-30,260.0,262.0,259.3,260.0,259.15,1662468
Biocon Limited,BIOCON,2023-08-29,260.15,261.15,257.55,259.15,259.9,1535249
Biocon Limited,BIOCON,2023-08-28,255.95,260.5,253.85,259.9,255.4,1511554
Biocon Limited,BIOCON,2023-08-25,259.8,260.5,254.1,255.4,260.5,1994407
Biocon Limited,BIOCON,2023-08-24,260.4,264.0,259.9,260.5,260.35,2373743
Biocon Limited,BIOCON,2023-08-23,260.05,261.95,259.8,260.35,260.0,1152160
Biocon Limited,BIOCON,2023-08-22,259.7,262.2,258.75,260.0,259.45,1855647
Biocon Limited,BIOCON,2023-08-21,257.95,260.0,257.25,259.45,258.2,1392931
Biocon Limited,BIOCON,2023-08-18,255.25,260.9,255.25,258.2,255.85,4142938
Biocon Limited,BIOCON,2023-08-17,257.15,258.0,255.1,255.85,257.15,1982358
Biocon Limited,BIOCON,2023-08-16,254.0,258.0,251.65,257.15,254.6,3619987
Biocon Limited,BIOCON,2023-08-14,258.15,263.7,253.3,254.6,256.2,6885295
Biocon Limited,BIOCON,2023-08-11,256.95,265.25,249.7,256.2,261.4,20590950
Biocon Limited,BIOCON,2023-08-10,269.0,269.0,260.55,261.4,270.05,6839209
Biocon Limited,BIOCON,2023-08-09,274.7,276.5,264.75,270.05,273.15,10018397
Biocon Limited,BIOCON,2023-08-08,264.2,274.0,263.7,273.15,261.4,13421010
Biocon Limited,BIOCON,2023-08-07,255.9,264.3,253.3,261.4,253.55,6179897
Biocon Limited,BIOCON,2023-08-04,255.9,258.2,253.05,253.55,254.55,1988139
Biocon Limited,BIOCON,2023-08-03,252.95,256.85,252.1,254.55,252.95,2844993
Biocon Limited,BIOCON,2023-08-02,256.7,256.7,250.65,252.95,255.8,1574491
Biocon Limited,BIOCON,2023-08-01,258.9,260.5,254.65,255.8,257.1,3486144
Biocon Limited,BIOCON,2023-07-31,258.0,259.2,256.0,257.1,256.75,3156485
Biocon Limited,BIOCON,2023-07-28,256.95,261.2,254.5,256.75,256.1,3317740
Biocon Limited,BIOCON,2023-07-27,252.0,258.0,250.6,256.1,249.45,4530779
Biocon Limited,BIOCON,2023-07-26,247.0,250.2,245.0,249.45,245.7,2240553
Biocon Limited,BIOCON,2023-07-25,251.75,251.75,243.4,245.7,249.5,4702511
Biocon Limited,BIOCON,2023-07-24,260.0,260.4,248.5,249.5,263.95,8242031
Biocon Limited,BIOCON,2023-07-21,266.0,267.25,262.75,263.95,266.25,2515077
Biocon Limited,BIOCON,2023-07-20,267.25,268.75,264.9,266.25,266.8,3529099
Biocon Limited,BIOCON,2023-07-19,266.55,268.2,265.25,266.8,266.1,3708586
Biocon Limited,BIOCON,2023-07-18,265.25,269.7,265.0,266.1,264.6,3653085
Biocon Limited,BIOCON,2023-07-17,263.0,268.0,262.6,264.6,262.2,6311920
Biocon Limited,BIOCON,2023-07-14,258.05,263.4,256.15,262.2,257.15,2624910
Biocon Limited,BIOCON,2023-07-13,260.4,261.65,256.0,257.15,259.15,2780982
Biocon Limited,BIOCON,2023-07-12,255.0,262.35,254.3,259.15,254.2,4526585
Biocon Limited,BIOCON,2023-07-11,256.0,256.4,252.55,254.2,254.7,2604446
Biocon Limited,BIOCON,2023-07-10,255.0,256.35,251.55,254.7,253.95,3929446
Biocon Limited,BIOCON,2023-07-07,258.45,259.95,253.0,253.95,259.5,2992725
Biocon Limited,BIOCON,2023-07-06,259.5,264.5,257.65,259.5,257.65,3801171
Biocon Limited,BIOCON,2023-07-05,263.1,264.55,256.45,257.65,262.55,3783626
Biocon Limited,BIOCON,2023-07-04,267.0,270.5,259.8,262.55,263.5,6335870
Biocon Limited,BIOCON,2023-07-03,268.05,270.25,262.6,263.5,265.5,5176929
Biocon Limited,BIOCON,2023-06-30,246.6,267.8,246.0,265.5,245.0,18396181
Biocon Limited,BIOCON,2023-06-28,245.0,245.8,243.55,245.0,243.65,2727619
Biocon Limited,BIOCON,2023-06-27,240.15,245.4,240.15,243.65,239.95,2772073
Biocon Limited,BIOCON,2023-06-26,237.95,240.9,236.1,239.95,236.9,2646456
Biocon Limited,BIOCON,2023-06-23,239.3,239.3,234.8,236.9,238.95,1917570
Biocon Limited,BIOCON,2023-06-22,245.5,245.9,238.5,238.95,245.1,2270480
Biocon Limited,BIOCON,2023-06-21,245.0,246.65,244.25,245.1,245.0,1728130
Biocon Limited,BIOCON,2023-06-20,245.85,246.25,244.4,245.0,244.85,1272664
Biocon Limited,BIOCON,2023-06-19,245.5,247.4,243.45,244.85,244.9,2326163
Biocon Limited,BIOCON,2023-06-16,244.0,247.95,243.5,244.9,243.5,3714937
Biocon Limited,BIOCON,2023-06-15,239.0,244.75,239.0,243.5,239.35,3481429
Biocon Limited,BIOCON,2023-06-14,239.9,240.5,238.3,239.35,239.15,1976055
Biocon Limited,BIOCON,2023-06-13,238.9,240.45,237.65,239.15,239.1,3405151
Biocon Limited,BIOCON,2023-06-12,241.5,242.15,238.65,239.1,241.1,3072631
Biocon Limited,BIOCON,2023-06-09,244.0,244.5,240.1,241.1,241.55,2166494
Biocon Limited,BIOCON,2023-06-08,243.0,244.55,240.9,241.55,243.7,1798133
Biocon Limited,BIOCON,2023-06-07,244.45,247.15,242.95,243.7,243.35,2294336
Biocon Limited,BIOCON,2023-06-06,242.0,244.0,239.85,243.35,241.4,2307032
Biocon Limited,BIOCON,2023-06-05,242.7,244.4,240.5,241.4,240.25,2965611
Biocon Limited,BIOCON,2023-06-02,242.0,242.0,234.0,240.25,245.3,7195827
Biocon Limited,BIOCON,2023-06-01,247.0,247.95,245.0,245.3,245.2,2522264
Biocon Limited,BIOCON,2023-05-31,240.55,246.4,240.55,245.2,241.65,2814189
Biocon Limited,BIOCON,2023-05-30,242.25,242.95,239.05,241.65,242.05,1529554
Biocon Limited,BIOCON,2023-05-29,240.3,244.4,238.5,242.05,239.45,2492152
Biocon Limited,BIOCON,2023-05-26,240.5,241.8,236.7,239.45,239.85,3430449
Biocon Limited,BIOCON,2023-05-25,243.45,249.2,238.85,239.85,243.0,6697848
Biocon Limited,BIOCON,2023-05-24,260.0,260.6,242.5,243.0,242.15,17725181
Biocon Limited,BIOCON,2023-05-23,240.5,244.4,240.05,242.15,240.45,2133409
Biocon Limited,BIOCON,2023-05-22,241.5,243.5,239.4,240.45,241.75,1895656
Biocon Limited,BIOCON,2023-05-19,245.0,246.65,240.55,241.75,245.05,2389591
Biocon Limited,BIOCON,2023-05-18,246.5,248.5,244.4,245.05,245.45,1911242
Biocon Limited,BIOCON,2023-05-17,243.05,247.85,243.05,245.45,246.25,1990771
Biocon Limited,BIOCON,2023-05-16,248.05,249.5,245.6,246.25,247.95,1319381
Biocon Limited,BIOCON,2023-05-15,245.1,249.55,243.05,247.95,245.1,2300820
Biocon Limited,BIOCON,2023-05-12,246.8,247.25,243.85,245.1,246.1,1502958
Biocon Limited,BIOCON,2023-05-10,247.7,249.2,243.85,246.55,246.25,2318845
Biocon Limited,BIOCON,2023-05-09,244.9,247.45,244.35,246.25,244.3,3022793
Biocon Limited,BIOCON,2023-05-08,243.0,245.0,241.8,244.3,242.85,1822973
Biocon Limited,BIOCON,2023-05-05,241.95,245.5,239.75,242.85,241.5,5343250
Biocon Limited,BIOCON,2023-05-04,239.2,242.25,238.1,241.5,238.25,3603842
Biocon Limited,BIOCON,2023-05-03,239.35,240.15,237.25,238.25,238.9,3025688
Biocon Limited,BIOCON,2023-05-02,233.95,239.9,232.55,238.9,232.55,5099831
Biocon Limited,BIOCON,2023-04-28,233.8,234.0,229.4,232.55,232.95,3853989
Biocon Limited,BIOCON,2023-04-27,231.0,233.4,229.7,232.95,230.8,2489889
Biocon Limited,BIOCON,2023-04-26,231.75,234.15,229.6,230.8,230.9,3597575
Biocon Limited,BIOCON,2023-04-25,230.7,233.9,226.1,230.9,225.65,8767164
Biocon Limited,BIOCON,2023-04-24,228.85,229.9,225.2,225.65,228.85,2793727
Biocon Limited,BIOCON,2023-04-21,229.5,230.95,227.2,228.85,229.5,2460397
Biocon Limited,BIOCON,2023-04-20,229.1,230.8,223.6,229.5,229.4,6045806
Biocon Limited,BIOCON,2023-04-19,232.6,233.2,226.8,229.4,232.1,4306899
Biocon Limited,BIOCON,2023-04-18,223.95,234.3,222.45,232.1,223.95,12504374
Biocon Limited,BIOCON,2023-04-17,224.15,224.65,222.25,223.95,224.1,3100051
Biocon Limited,BIOCON,2023-04-13,224.45,224.8,220.35,224.1,223.65,3557030
Biocon Limited,BIOCON,2023-04-12,217.35,227.0,216.25,223.65,216.0,12681754
Biocon Limited,BIOCON,2023-04-11,215.4,218.25,213.3,216.0,215.5,3201574
Biocon Limited,BIOCON,2023-04-10,217.0,217.5,213.2,215.5,215.8,2349024
Biocon Limited,BIOCON,2023-04-06,212.65,218.45,211.6,215.8,212.5,5396768
Biocon Limited,BIOCON,2023-04-05,207.8,215.35,206.65,212.5,209.35,7498043
Biocon Limited,BIOCON,2023-04-03,209.1,211.9,207.0,209.35,206.35,3426689
Biocon Limited,BIOCON,2023-03-31,202.6,208.2,202.3,206.35,201.6,3884594
Biocon Limited,BIOCON,2023-03-29,202.0,204.0,199.65,201.6,202.5,11020214
Biocon Limited,BIOCON,2023-03-28,206.65,206.8,199.25,202.5,206.65,4260256
Biocon Limited,BIOCON,2023-03-27,199.05,207.9,198.85,206.65,198.7,11575501
Biocon Limited,BIOCON,2023-03-24,207.0,207.0,196.65,198.7,207.0,6907260
Biocon Limited,BIOCON,2023-03-23,203.7,207.8,201.05,207.0,203.7,6145350
Biocon Limited,BIOCON,2023-03-22,201.15,204.2,200.0,203.7,201.1,4977834
Biocon Limited,BIOCON,2023-03-21,203.6,203.6,191.55,201.1,201.75,12170982
Biocon Limited,BIOCON,2023-03-20,206.0,209.95,198.8,201.75,202.3,12777914
Biocon Limited,BIOCON,2023-03-17,223.0,223.4,200.0,202.3,221.85,43622635
Biocon Limited,BIOCON,2023-03-16,222.0,225.65,221.0,221.85,221.25,2654387
Biocon Limited,BIOCON,2023-03-14,218.15,220.35,216.15,217.8,218.15,1694587
