StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Birla Corporation Limited,BIRLACORPN,2024-03-28,1448.0,1455.95,1416.9,1423.7,1428.75,100121
Birla Corporation Limited,BIRLACORPN,2024-03-27,1417.0,1449.95,1415.0,1428.75,1417.9,112665
Birla Corporation Limited,BIRLACORPN,2024-03-26,1459.45,1460.0,1413.3,1417.9,1448.85,107772
Birla Corporation Limited,BIRLACORPN,2024-03-22,1465.7,1465.95,1438.2,1448.85,1461.45,94290
Birla Corporation Limited,BIRLACORPN,2024-03-21,1429.0,1464.95,1425.0,1461.45,1425.25,95294
Birla Corporation Limited,BIRLACORPN,2024-03-20,1415.0,1428.95,1393.45,1425.25,1417.15,136378
Birla Corporation Limited,BIRLACORPN,2024-03-19,1420.0,1431.0,1408.6,1417.15,1418.8,54275
Birla Corporation Limited,BIRLACORPN,2024-03-18,1413.9,1455.55,1401.65,1418.8,1413.9,117451
Birla Corporation Limited,BIRLACORPN,2024-03-15,1437.05,1460.95,1394.85,1413.9,1426.05,190364
Birla Corporation Limited,BIRLACORPN,2024-03-14,1434.65,1449.0,1401.2,1426.05,1434.65,157068
Birla Corporation Limited,BIRLACORPN,2024-03-13,1477.3,1503.95,1375.0,1434.65,1459.35,213002
Birla Corporation Limited,BIRLACORPN,2024-03-12,1500.0,1525.0,1437.05,1459.35,1488.25,246208
Birla Corporation Limited,BIRLACORPN,2024-03-11,1548.6,1560.0,1476.9,1488.25,1541.15,122517
Birla Corporation Limited,BIRLACORPN,2024-03-07,1532.8,1570.2,1525.0,1541.15,1522.95,113164
Birla Corporation Limited,BIRLACORPN,2024-03-06,1560.0,1571.95,1472.1,1522.95,1573.05,279773
Birla Corporation Limited,BIRLACORPN,2024-03-05,1649.15,1654.0,1560.75,1573.05,1645.3,194414
Birla Corporation Limited,BIRLACORPN,2024-03-04,1678.0,1681.5,1628.0,1645.3,1677.65,82702
Birla Corporation Limited,BIRLACORPN,2024-03-02,1648.5,1680.0,1639.6,1677.65,1648.5,10261
Birla Corporation Limited,BIRLACORPN,2024-03-01,1658.1,1675.0,1638.0,1648.5,1641.65,131998
Birla Corporation Limited,BIRLACORPN,2024-02-29,1720.45,1725.65,1622.25,1641.65,1710.4,152492
Birla Corporation Limited,BIRLACORPN,2024-02-28,1771.75,1783.95,1701.05,1710.4,1767.1,111504
Birla Corporation Limited,BIRLACORPN,2024-02-27,1750.0,1802.0,1746.0,1767.1,1742.8,431792
Birla Corporation Limited,BIRLACORPN,2024-02-26,1706.25,1745.0,1705.45,1742.8,1695.2,105215
Birla Corporation Limited,BIRLACORPN,2024-02-23,1704.4,1732.15,1685.95,1695.2,1693.9,91292
Birla Corporation Limited,BIRLACORPN,2024-02-22,1710.0,1712.1,1655.0,1693.9,1697.5,75117
Birla Corporation Limited,BIRLACORPN,2024-02-21,1707.0,1755.0,1684.1,1697.5,1698.05,143632
Birla Corporation Limited,BIRLACORPN,2024-02-20,1735.55,1742.8,1686.35,1698.05,1735.55,77637
Birla Corporation Limited,BIRLACORPN,2024-02-19,1727.25,1744.0,1720.1,1735.55,1717.7,117051
Birla Corporation Limited,BIRLACORPN,2024-02-16,1684.0,1744.0,1670.0,1717.7,1673.9,226140
Birla Corporation Limited,BIRLACORPN,2024-02-15,1714.0,1716.25,1666.1,1673.9,1705.1,110492
Birla Corporation Limited,BIRLACORPN,2024-02-14,1651.85,1718.95,1640.0,1705.1,1651.85,181819
Birla Corporation Limited,BIRLACORPN,2024-02-13,1685.0,1685.0,1640.15,1651.85,1691.35,256831
Birla Corporation Limited,BIRLACORPN,2024-02-12,1720.0,1766.6,1666.45,1691.35,1696.15,578577
Birla Corporation Limited,BIRLACORPN,2024-02-09,1600.0,1770.0,1595.05,1696.15,1592.85,2492897
Birla Corporation Limited,BIRLACORPN,2024-02-08,1557.0,1605.0,1523.1,1592.85,1528.75,274954
