StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
BLS International Services Limited,BLS,2024-03-28,321.25,325.0,309.9,312.85,316.5,2033962
BLS International Services Limited,BLS,2024-03-27,319.75,325.0,315.05,316.5,317.4,1973474
BLS International Services Limited,BLS,2024-03-26,325.0,325.9,313.0,317.4,324.3,2495307
BLS International Services Limited,BLS,2024-03-22,323.55,329.9,318.5,324.3,324.3,3325709
BLS International Services Limited,BLS,2024-03-21,323.45,332.85,321.6,324.3,319.45,5306787
BLS International Services Limited,BLS,2024-03-20,326.3,345.3,316.1,319.45,325.5,6892337
BLS International Services Limited,BLS,2024-03-19,336.9,340.5,323.1,325.5,336.95,2416663
BLS International Services Limited,BLS,2024-03-18,357.7,359.0,335.45,336.95,353.75,3974240
BLS International Services Limited,BLS,2024-03-15,337.95,372.25,331.0,353.75,343.15,15240607
BLS International Services Limited,BLS,2024-03-14,289.6,345.5,288.4,343.15,287.95,14723271
BLS International Services Limited,BLS,2024-03-13,328.0,331.45,262.95,287.95,328.65,4343236
BLS International Services Limited,BLS,2024-03-12,331.0,340.0,323.15,328.65,334.1,3208787
BLS International Services Limited,BLS,2024-03-11,345.65,346.35,329.0,334.1,345.65,1609904
BLS International Services Limited,BLS,2024-03-07,349.0,354.7,342.65,345.65,348.3,754811
BLS International Services Limited,BLS,2024-03-06,355.4,355.4,343.0,348.3,356.65,3949692
BLS International Services Limited,BLS,2024-03-05,359.0,362.3,351.75,356.65,359.3,2586583
BLS International Services Limited,BLS,2024-03-04,372.3,373.0,357.5,359.3,370.8,2192323
BLS International Services Limited,BLS,2024-03-02,374.45,375.0,368.6,370.8,374.45,168692
BLS International Services Limited,BLS,2024-03-01,368.6,377.0,368.6,374.45,366.1,1265406
BLS International Services Limited,BLS,2024-02-29,363.1,374.0,352.1,366.1,366.85,2837570
BLS International Services Limited,BLS,2024-02-28,378.2,380.85,365.1,366.85,375.2,1029148
BLS International Services Limited,BLS,2024-02-27,367.75,383.2,367.75,375.2,367.5,4836300
BLS International Services Limited,BLS,2024-02-26,373.2,376.4,366.0,367.5,373.05,810312
BLS International Services Limited,BLS,2024-02-23,376.3,381.9,371.55,373.05,376.0,2339054
BLS International Services Limited,BLS,2024-02-22,379.0,382.5,370.65,376.0,379.1,1354219
BLS International Services Limited,BLS,2024-02-21,387.9,392.5,372.6,379.1,386.15,1228317
BLS International Services Limited,BLS,2024-02-20,384.95,395.85,381.15,386.15,383.45,2231203
BLS International Services Limited,BLS,2024-02-19,366.0,397.0,366.0,383.45,363.05,5408581
BLS International Services Limited,BLS,2024-02-16,365.45,375.0,359.0,363.05,362.8,1949143
BLS International Services Limited,BLS,2024-02-15,364.7,368.0,360.0,362.8,361.1,3216539
BLS International Services Limited,BLS,2024-02-14,364.0,366.9,360.0,361.1,367.3,1036026
BLS International Services Limited,BLS,2024-02-13,369.0,383.55,364.0,367.3,362.9,2453532
BLS International Services Limited,BLS,2024-02-12,385.0,388.65,356.1,362.9,384.9,1761725
