StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Blue Star Limited,BLUESTARCO,2024-03-28,1319.0,1331.95,1250.0,1273.7,1301.0,479647
Blue Star Limited,BLUESTARCO,2024-03-27,1272.9,1310.6,1262.1,1301.0,1265.45,320622
Blue Star Limited,BLUESTARCO,2024-03-26,1238.7,1272.9,1228.15,1265.45,1241.3,180115
Blue Star Limited,BLUESTARCO,2024-03-22,1247.0,1254.8,1225.0,1241.3,1247.25,222397
Blue Star Limited,BLUESTARCO,2024-03-21,1240.35,1262.2,1237.45,1247.25,1231.6,262805
Blue Star Limited,BLUESTARCO,2024-03-20,1275.0,1282.0,1222.55,1231.6,1276.65,170606
Blue Star Limited,BLUESTARCO,2024-03-19,1288.15,1295.0,1258.15,1276.65,1285.55,50157
Blue Star Limited,BLUESTARCO,2024-03-18,1265.05,1295.0,1265.05,1285.55,1280.0,76763
Blue Star Limited,BLUESTARCO,2024-03-15,1270.0,1290.0,1254.1,1280.0,1260.75,292412
Blue Star Limited,BLUESTARCO,2024-03-14,1265.45,1300.8,1242.9,1260.75,1266.8,111433
Blue Star Limited,BLUESTARCO,2024-03-13,1322.0,1325.75,1222.4,1266.8,1309.25,347260
Blue Star Limited,BLUESTARCO,2024-03-12,1339.5,1341.8,1295.0,1309.25,1325.85,185513
Blue Star Limited,BLUESTARCO,2024-03-11,1331.05,1359.0,1316.3,1325.85,1323.9,221774
Blue Star Limited,BLUESTARCO,2024-03-07,1257.0,1335.0,1245.95,1323.9,1258.7,329291
Blue Star Limited,BLUESTARCO,2024-03-06,1298.65,1300.45,1250.1,1258.7,1290.55,162795
Blue Star Limited,BLUESTARCO,2024-03-05,1320.05,1336.7,1285.45,1290.55,1316.25,298730
Blue Star Limited,BLUESTARCO,2024-03-04,1316.2,1324.7,1297.0,1316.25,1316.2,319651
Blue Star Limited,BLUESTARCO,2024-03-02,1308.05,1332.5,1295.0,1316.2,1308.05,20760
Blue Star Limited,BLUESTARCO,2024-03-01,1276.65,1312.75,1265.0,1308.05,1270.25,176332
Blue Star Limited,BLUESTARCO,2024-02-29,1292.0,1310.9,1263.15,1270.25,1292.0,245439
Blue Star Limited,BLUESTARCO,2024-02-28,1302.8,1315.25,1276.25,1292.0,1292.7,129839
Blue Star Limited,BLUESTARCO,2024-02-27,1270.1,1302.0,1265.1,1292.7,1256.35,212170
Blue Star Limited,BLUESTARCO,2024-02-26,1300.25,1333.0,1252.0,1256.35,1293.75,451667
Blue Star Limited,BLUESTARCO,2024-02-23,1278.85,1299.5,1277.65,1293.75,1277.6,196899
Blue Star Limited,BLUESTARCO,2024-02-22,1280.6,1292.45,1255.55,1277.6,1271.55,143144
Blue Star Limited,BLUESTARCO,2024-02-21,1290.0,1299.0,1260.25,1271.55,1286.6,121808
Blue Star Limited,BLUESTARCO,2024-02-20,1279.9,1294.7,1269.1,1286.6,1269.65,250734
Blue Star Limited,BLUESTARCO,2024-02-19,1240.0,1291.9,1236.25,1269.65,1236.25,294270
Blue Star Limited,BLUESTARCO,2024-02-16,1240.0,1255.0,1226.05,1236.25,1233.65,158885
Blue Star Limited,BLUESTARCO,2024-02-15,1192.05,1242.95,1189.0,1233.65,1192.05,250756
Blue Star Limited,BLUESTARCO,2024-02-14,1175.0,1201.0,1170.55,1192.05,1205.35,156492
Blue Star Limited,BLUESTARCO,2024-02-13,1151.55,1212.95,1140.25,1205.35,1151.55,375987
Blue Star Limited,BLUESTARCO,2024-02-12,1182.0,1189.85,1145.75,1151.55,1165.95,91886
Blue Star Limited,BLUESTARCO,2024-02-09,1159.55,1174.65,1141.15,1165.95,1153.75,73003
Blue Star Limited,BLUESTARCO,2024-02-08,1178.0,1185.55,1151.0,1153.75,1168.7,101895
Blue Star Limited,BLUESTARCO,2024-02-07,1169.9,1173.05,1145.0,1168.7,1160.45,215545
Blue Star Limited,BLUESTARCO,2024-02-06,1162.9,1197.9,1152.4,1160.45,1168.0,357107
Blue Star Limited,BLUESTARCO,2024-02-05,1195.05,1200.9,1144.85,1168.0,1188.5,222852
Blue Star Limited,BLUESTARCO,2024-02-02,1190.0,1215.0,1176.2,1188.5,1184.85,388072
Blue Star Limited,BLUESTARCO,2024-02-01,1140.0,1200.0,1127.45,1184.85,1139.5,550966
Blue Star Limited,BLUESTARCO,2024-01-31,1105.0,1150.0,1092.0,1139.5,1100.2,1115747
Blue Star Limited,BLUESTARCO,2024-01-30,1091.5,1117.95,1060.5,1100.2,1078.9,1334225
Blue Star Limited,BLUESTARCO,2024-01-29,1060.4,1105.95,1050.7,1078.9,1060.4,476632
Blue Star Limited,BLUESTARCO,2024-01-25,1075.0,1084.95,1047.0,1060.4,1086.6,302945
Blue Star Limited,BLUESTARCO,2024-01-24,1067.0,1120.4,1047.3,1086.6,1068.1,370667
Blue Star Limited,BLUESTARCO,2024-01-23,1097.95,1097.95,1056.5,1068.1,1089.95,137025
Blue Star Limited,BLUESTARCO,2024-01-20,1085.6,1099.0,1078.0,1089.95,1073.55,49452
Blue Star Limited,BLUESTARCO,2024-01-19,1054.5,1114.8,1054.45,1073.55,1049.25,338185
Blue Star Limited,BLUESTARCO,2024-01-18,1060.0,1073.2,1033.1,1049.25,1061.75,128520
Blue Star Limited,BLUESTARCO,2024-01-17,1045.0,1070.0,1035.0,1061.75,1051.2,129537
Blue Star Limited,BLUESTARCO,2024-01-16,1065.0,1098.0,1045.6,1051.2,1062.35,375774
Blue Star Limited,BLUESTARCO,2024-01-15,1025.35,1075.1,1025.35,1062.35,1022.25,299562
Blue Star Limited,BLUESTARCO,2024-01-12,999.0,1032.5,998.2,1022.25,996.0,221183
Blue Star Limited,BLUESTARCO,2024-01-11,976.0,1001.2,968.0,996.0,969.95,443996
Blue Star Limited,BLUESTARCO,2024-01-10,972.0,977.75,952.0,969.95,966.9,132410
Blue Star Limited,BLUESTARCO,2024-01-09,957.0,986.0,945.25,966.9,952.6,233630
Blue Star Limited,BLUESTARCO,2024-01-08,949.0,960.0,944.0,952.6,944.0,222620
