StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-03-28,508.95,514.5,495.0,497.75,505.15,617022
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-03-27,517.9,525.0,501.65,505.15,516.2,610457
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-03-26,523.6,531.9,512.25,516.2,523.6,630605
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-03-22,503.95,528.9,497.5,523.6,503.25,1318229
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-03-21,494.15,508.3,493.35,503.25,484.4,800679
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-03-20,496.9,504.75,478.85,484.4,495.15,525331
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-03-19,494.0,506.25,492.0,495.15,494.5,584317
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-03-18,495.1,510.75,490.95,494.5,498.25,531118
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-03-15,503.55,516.0,493.0,498.25,503.95,524681
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-03-14,483.9,516.35,477.0,503.95,484.45,977311
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-03-13,516.0,535.0,480.0,484.45,512.8,1095736
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-03-12,528.0,538.9,510.0,512.8,528.5,513034
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-03-11,548.9,551.85,525.0,528.5,549.5,496412
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-03-07,541.05,559.5,541.0,549.5,539.65,479555
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-03-06,554.0,559.95,532.6,539.65,559.65,739578
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-03-05,575.0,575.0,557.0,559.65,570.35,597761
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-03-04,568.4,583.6,558.0,570.35,563.3,1390792
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-03-02,568.9,569.8,552.55,563.3,569.1,140054
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-03-01,550.0,579.65,550.0,569.1,538.2,3292960
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-02-29,521.7,557.5,510.2,538.2,521.7,1130061
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-02-28,545.4,548.6,518.0,521.7,543.1,616890
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-02-27,540.5,552.5,535.15,543.1,537.3,688499
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-02-26,554.8,557.4,534.0,537.3,554.8,586149
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-02-23,562.9,566.9,552.1,554.8,558.25,412250
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-02-22,564.45,568.4,545.25,558.25,560.15,671273
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-02-21,568.0,584.65,554.4,560.15,563.65,1089210
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-02-20,583.7,585.0,560.05,563.65,580.7,757103
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-02-19,574.45,603.8,570.5,580.7,574.25,1571048
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-02-16,543.0,598.65,538.3,574.25,539.2,5243715
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-02-15,552.45,558.25,536.25,539.2,547.2,758049
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-02-14,537.85,561.55,515.3,547.2,540.1,1411595
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-02-13,491.95,552.1,482.3,540.1,490.5,4984716
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-02-12,543.5,544.0,486.0,490.5,540.0,1884650
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-02-09,552.0,568.25,530.2,540.0,551.8,1254954
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-02-08,531.0,576.2,516.35,551.8,608.3,3548088
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-02-07,618.4,627.0,606.0,608.3,614.8,783589
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-02-06,629.4,629.4,610.05,614.8,626.6,557470
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-02-05,630.0,649.95,610.0,626.6,625.55,1105881
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-02-02,632.0,640.0,620.0,625.55,622.3,916783
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-02-01,646.0,669.35,616.2,622.3,630.6,3792314
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-01-31,595.15,637.3,577.0,630.6,592.35,2118239
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-01-30,631.9,633.85,586.4,592.35,627.7,1540079
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-01-29,635.0,643.0,622.5,627.7,623.05,2218872
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-01-25,613.0,638.2,605.15,623.05,608.75,4640835
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-01-24,573.2,632.5,555.4,608.75,566.55,12764648
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-01-23,561.95,602.0,548.0,566.55,507.7,11386126
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-01-20,511.4,519.0,504.1,507.7,510.0,435194
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-01-19,493.75,517.1,493.75,510.0,488.75,1540378
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-01-18,500.1,509.05,478.15,488.75,498.6,624265
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-01-17,505.95,511.25,496.0,498.6,510.45,601472
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-01-16,495.55,524.8,491.55,510.45,491.2,1882510
BOROSIL RENEWABLES LIMITED,BORORENEW,2024-01-15,506.1,512.9,487.6,491.2,506.1,1112949
