StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Bosch Limited,BOSCHLTD,2024-03-28,30499.95,30595.75,29730.95,30031.3,30341.6,36810
Bosch Limited,BOSCHLTD,2024-03-27,30700.0,31150.0,30231.6,30341.6,30680.35,51920
Bosch Limited,BOSCHLTD,2024-03-26,30245.0,30852.1,30180.1,30680.35,30178.7,39017
Bosch Limited,BOSCHLTD,2024-03-22,30066.0,30450.0,29899.25,30178.7,30066.25,38966
Bosch Limited,BOSCHLTD,2024-03-21,29932.8,30200.0,29907.95,30066.25,29870.4,35457
Bosch Limited,BOSCHLTD,2024-03-20,29731.0,30197.35,29550.05,29870.4,29746.9,44864
Bosch Limited,BOSCHLTD,2024-03-19,29800.05,29950.0,29380.4,29746.9,29814.3,28685
Bosch Limited,BOSCHLTD,2024-03-18,29500.05,29960.0,29392.45,29814.3,29571.55,34319
Bosch Limited,BOSCHLTD,2024-03-15,29400.0,29763.8,28955.0,29571.55,29401.0,53434
Bosch Limited,BOSCHLTD,2024-03-14,28429.95,29629.5,28238.1,29401.0,28300.3,54457
Bosch Limited,BOSCHLTD,2024-03-13,29550.0,29850.0,28116.0,28300.3,29473.0,58216
Bosch Limited,BOSCHLTD,2024-03-12,29477.4,29800.0,29302.4,29473.0,29431.2,26775
Bosch Limited,BOSCHLTD,2024-03-11,29819.95,30020.0,29257.05,29431.2,29501.0,46917
Bosch Limited,BOSCHLTD,2024-03-07,30135.25,30468.05,29450.0,29501.0,30110.55,50513
Bosch Limited,BOSCHLTD,2024-03-06,30200.0,30263.45,29553.15,30110.55,30047.9,59027
Bosch Limited,BOSCHLTD,2024-03-05,29320.0,30250.0,29280.1,30047.9,29313.4,67247
Bosch Limited,BOSCHLTD,2024-03-04,29038.95,29500.0,28550.1,29313.4,29037.75,38585
Bosch Limited,BOSCHLTD,2024-03-02,29140.0,29290.0,29000.0,29037.75,28939.7,756
Bosch Limited,BOSCHLTD,2024-03-01,28590.85,29350.0,28590.85,28939.7,28590.85,47200
