StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Bharat Petroleum Corporation Limited,BPCL,2024-03-28,600.9,611.25,597.6,602.4,595.2,6084316
Bharat Petroleum Corporation Limited,BPCL,2024-03-27,605.0,611.75,593.3,595.2,599.85,5446788
Bharat Petroleum Corporation Limited,BPCL,2024-03-26,586.4,603.8,585.35,599.85,592.8,6783525
Bharat Petroleum Corporation Limited,BPCL,2024-03-22,589.0,604.45,584.55,592.8,587.8,10722770
Bharat Petroleum Corporation Limited,BPCL,2024-03-21,574.0,589.7,572.55,587.8,566.65,8312666
Bharat Petroleum Corporation Limited,BPCL,2024-03-20,561.0,572.4,560.3,566.65,557.7,8764283
Bharat Petroleum Corporation Limited,BPCL,2024-03-19,580.0,580.85,556.4,557.7,582.3,10832817
Bharat Petroleum Corporation Limited,BPCL,2024-03-18,586.45,592.8,580.3,582.3,586.45,5490247
Bharat Petroleum Corporation Limited,BPCL,2024-03-15,588.25,600.0,559.0,586.45,608.75,28519659
Bharat Petroleum Corporation Limited,BPCL,2024-03-14,597.75,614.0,592.4,608.75,597.75,9686237
Bharat Petroleum Corporation Limited,BPCL,2024-03-13,628.0,628.0,594.2,597.75,625.45,7455092
Bharat Petroleum Corporation Limited,BPCL,2024-03-12,627.0,635.35,616.65,625.45,626.4,7037182
Bharat Petroleum Corporation Limited,BPCL,2024-03-11,617.0,638.7,612.05,626.4,624.7,7676504
Bharat Petroleum Corporation Limited,BPCL,2024-03-07,637.0,641.15,622.0,624.7,638.35,5984287
Bharat Petroleum Corporation Limited,BPCL,2024-03-06,643.0,653.0,625.25,638.35,645.1,9129094
Bharat Petroleum Corporation Limited,BPCL,2024-03-05,641.05,649.5,632.1,645.1,640.45,6158968
Bharat Petroleum Corporation Limited,BPCL,2024-03-04,625.2,643.25,620.85,640.45,625.2,7402086
Bharat Petroleum Corporation Limited,BPCL,2024-03-02,625.0,629.95,618.4,625.2,623.3,312763
Bharat Petroleum Corporation Limited,BPCL,2024-03-01,611.0,627.25,609.0,623.3,603.85,7881618
Bharat Petroleum Corporation Limited,BPCL,2024-02-29,609.0,611.8,594.45,603.85,609.3,10257732
Bharat Petroleum Corporation Limited,BPCL,2024-02-28,624.85,625.55,606.1,609.3,625.05,6322961
Bharat Petroleum Corporation Limited,BPCL,2024-02-27,627.1,632.7,616.3,625.05,627.15,7440601
Bharat Petroleum Corporation Limited,BPCL,2024-02-26,617.0,633.6,604.1,627.15,617.95,11632098
Bharat Petroleum Corporation Limited,BPCL,2024-02-23,622.05,629.5,615.25,617.95,625.9,6282345
Bharat Petroleum Corporation Limited,BPCL,2024-02-22,629.0,630.85,610.85,625.9,633.2,13826790
Bharat Petroleum Corporation Limited,BPCL,2024-02-21,663.6,667.85,630.0,633.2,657.6,8861132
Bharat Petroleum Corporation Limited,BPCL,2024-02-20,652.55,664.0,637.25,657.6,652.55,10456755
Bharat Petroleum Corporation Limited,BPCL,2024-02-19,659.9,666.7,650.85,652.55,654.6,12498635
Bharat Petroleum Corporation Limited,BPCL,2024-02-16,666.0,687.95,651.9,654.6,652.75,27872405
Bharat Petroleum Corporation Limited,BPCL,2024-02-15,630.0,656.95,623.1,652.75,623.65,25622509
Bharat Petroleum Corporation Limited,BPCL,2024-02-14,582.0,629.35,582.0,623.65,584.3,23993681
Bharat Petroleum Corporation Limited,BPCL,2024-02-13,591.95,596.55,580.35,584.3,590.45,6329971
Bharat Petroleum Corporation Limited,BPCL,2024-02-12,614.8,618.6,583.75,590.45,614.3,8521118
Bharat Petroleum Corporation Limited,BPCL,2024-02-09,623.0,623.7,592.3,614.3,620.5,14762133
Bharat Petroleum Corporation Limited,BPCL,2024-02-08,608.0,635.35,606.4,620.5,602.05,18761294
Bharat Petroleum Corporation Limited,BPCL,2024-02-07,616.8,620.0,599.3,602.05,609.3,14395859
Bharat Petroleum Corporation Limited,BPCL,2024-02-06,579.95,614.7,570.7,609.3,574.75,22630328
Bharat Petroleum Corporation Limited,BPCL,2024-02-05,566.0,588.8,557.05,574.75,558.35,22512945
Bharat Petroleum Corporation Limited,BPCL,2024-02-02,517.35,572.4,516.0,558.35,508.45,38778041
Bharat Petroleum Corporation Limited,BPCL,2024-02-01,504.55,515.3,499.1,508.45,502.35,7004099
Bharat Petroleum Corporation Limited,BPCL,2024-01-31,505.95,512.55,498.55,502.35,504.2,10353868
Bharat Petroleum Corporation Limited,BPCL,2024-01-30,496.85,517.85,493.15,504.2,492.65,22135938
Bharat Petroleum Corporation Limited,BPCL,2024-01-29,474.0,501.4,469.4,492.65,474.4,13934742
Bharat Petroleum Corporation Limited,BPCL,2024-01-25,477.15,477.15,477.15,477.15,308.9,1243505
Bharat Petroleum Corporation Limited,BPCL,2024-01-25,477.2,488.35,471.0,474.4,477.15,10673337
Bharat Petroleum Corporation Limited,BPCL,2024-01-24,465.0,478.5,463.3,477.15,463.05,7580656
Bharat Petroleum Corporation Limited,BPCL,2024-01-23,488.5,488.5,460.1,463.05,483.1,9209775
Bharat Petroleum Corporation Limited,BPCL,2024-01-20,484.0,486.0,480.0,483.1,480.95,3811138
Bharat Petroleum Corporation Limited,BPCL,2024-01-19,476.0,485.0,474.05,480.95,473.2,6486928
Bharat Petroleum Corporation Limited,BPCL,2024-01-18,467.0,480.9,461.0,473.2,471.65,9901151
Bharat Petroleum Corporation Limited,BPCL,2024-01-17,472.0,477.15,466.15,471.65,472.85,11214642
Bharat Petroleum Corporation Limited,BPCL,2024-01-16,461.0,479.8,460.5,472.85,459.95,21184750
Bharat Petroleum Corporation Limited,BPCL,2024-01-15,460.0,463.5,455.65,459.95,458.25,5204191
Bharat Petroleum Corporation Limited,BPCL,2024-01-12,459.0,461.1,455.1,458.25,458.7,5995406
Bharat Petroleum Corporation Limited,BPCL,2024-01-11,453.9,461.2,453.2,458.7,451.25,7875626
Bharat Petroleum Corporation Limited,BPCL,2024-01-10,455.2,456.15,445.1,451.25,459.95,7630996
Bharat Petroleum Corporation Limited,BPCL,2024-01-09,460.0,463.75,455.65,459.95,455.0,6150645
Bharat Petroleum Corporation Limited,BPCL,2024-01-08,456.95,464.3,451.45,455.0,453.1,9116305
Bharat Petroleum Corporation Limited,BPCL,2024-01-05,455.9,459.65,451.25,453.1,452.65,4040234
Bharat Petroleum Corporation Limited,BPCL,2024-01-04,456.8,457.5,451.0,452.65,461.05,8952458
Bharat Petroleum Corporation Limited,BPCL,2024-01-03,459.95,465.3,455.05,461.05,456.25,7529442
Bharat Petroleum Corporation Limited,BPCL,2024-01-02,452.05,459.4,448.1,456.25,452.05,4729409
Bharat Petroleum Corporation Limited,BPCL,2024-01-01,459.4,459.4,450.7,452.05,450.65,3503144
Bharat Petroleum Corporation Limited,BPCL,2023-12-29,454.5,458.0,448.65,450.65,465.8,8544220
Bharat Petroleum Corporation Limited,BPCL,2023-12-28,456.0,470.85,454.75,465.8,454.7,22591668
Bharat Petroleum Corporation Limited,BPCL,2023-12-27,453.95,456.4,448.3,454.7,451.6,6199044
Bharat Petroleum Corporation Limited,BPCL,2023-12-26,448.0,456.5,444.5,451.6,446.65,11488225
Bharat Petroleum Corporation Limited,BPCL,2023-12-22,449.7,453.35,445.05,446.65,449.55,5779632
Bharat Petroleum Corporation Limited,BPCL,2023-12-21,434.9,450.45,432.45,449.55,439.45,9277207
Bharat Petroleum Corporation Limited,BPCL,2023-12-20,453.4,455.35,438.35,439.45,449.75,8673989
Bharat Petroleum Corporation Limited,BPCL,2023-12-19,447.25,451.5,445.05,449.75,447.25,6322336
Bharat Petroleum Corporation Limited,BPCL,2023-12-18,449.0,450.25,444.1,447.25,449.0,8415532
Bharat Petroleum Corporation Limited,BPCL,2023-12-15,445.0,453.45,442.2,449.0,445.7,11039574
Bharat Petroleum Corporation Limited,BPCL,2023-12-14,449.95,449.95,442.05,445.7,447.5,6277784
Bharat Petroleum Corporation Limited,BPCL,2023-12-13,449.5,454.35,445.95,447.5,447.55,13332009
Bharat Petroleum Corporation Limited,BPCL,2023-12-12,445.5,451.45,445.5,447.55,465.5,9970160
Bharat Petroleum Corporation Limited,BPCL,2023-12-11,474.85,474.85,456.55,465.5,470.45,13846554
Bharat Petroleum Corporation Limited,BPCL,2023-12-08,476.9,477.45,465.8,470.45,474.7,9470239
Bharat Petroleum Corporation Limited,BPCL,2023-12-07,477.0,479.0,471.5,474.7,472.85,11925282
Bharat Petroleum Corporation Limited,BPCL,2023-12-06,481.0,482.5,468.3,472.85,472.2,13704413
Bharat Petroleum Corporation Limited,BPCL,2023-12-05,470.05,476.45,465.0,472.2,461.5,19188032
Bharat Petroleum Corporation Limited,BPCL,2023-12-04,445.0,464.8,444.0,461.5,438.0,20741397
Bharat Petroleum Corporation Limited,BPCL,2023-12-01,440.0,442.4,433.4,438.0,435.7,9639421
Bharat Petroleum Corporation Limited,BPCL,2023-11-30,434.5,438.75,429.05,435.7,428.65,16360654
Bharat Petroleum Corporation Limited,BPCL,2023-11-29,426.0,434.45,418.7,428.65,424.5,12604406
Bharat Petroleum Corporation Limited,BPCL,2023-11-28,414.05,425.9,413.1,424.5,410.6,11593428
Bharat Petroleum Corporation Limited,BPCL,2023-11-24,413.0,413.0,407.0,410.6,411.3,5487773
Bharat Petroleum Corporation Limited,BPCL,2023-11-23,403.55,413.5,400.65,411.3,402.1,8119546
Bharat Petroleum Corporation Limited,BPCL,2023-11-22,392.0,402.8,391.1,402.1,388.0,12865332
Bharat Petroleum Corporation Limited,BPCL,2023-11-21,392.0,393.2,386.6,388.0,392.0,2238607
Bharat Petroleum Corporation Limited,BPCL,2023-11-20,390.65,393.4,387.45,392.0,390.25,2253441
Bharat Petroleum Corporation Limited,BPCL,2023-11-17,400.0,407.1,389.25,390.25,398.65,8190348
Bharat Petroleum Corporation Limited,BPCL,2023-11-16,394.0,401.3,393.0,398.65,392.55,7708086
Bharat Petroleum Corporation Limited,BPCL,2023-11-15,388.0,393.4,387.15,392.55,387.1,5633125
Bharat Petroleum Corporation Limited,BPCL,2023-11-13,383.5,388.7,383.5,387.1,384.1,2419453
Bharat Petroleum Corporation Limited,BPCL,2023-11-12,385.0,388.0,383.15,384.1,384.05,388405
Bharat Petroleum Corporation Limited,BPCL,2023-11-10,381.8,386.1,380.5,384.05,383.55,2466243
Bharat Petroleum Corporation Limited,BPCL,2023-11-09,385.1,390.65,382.8,383.55,384.2,6421948
Bharat Petroleum Corporation Limited,BPCL,2023-11-08,375.45,387.9,374.05,384.2,372.8,12010456
Bharat Petroleum Corporation Limited,BPCL,2023-11-07,366.8,373.65,366.2,372.8,366.25,5351088
Bharat Petroleum Corporation Limited,BPCL,2023-11-06,362.8,369.15,361.35,366.25,361.5,4536010
Bharat Petroleum Corporation Limited,BPCL,2023-11-03,361.15,363.7,360.2,361.5,360.55,2813950
Bharat Petroleum Corporation Limited,BPCL,2023-11-02,360.95,362.0,357.25,360.55,356.9,5065216
Bharat Petroleum Corporation Limited,BPCL,2023-11-01,350.55,358.75,350.55,356.9,349.25,6964890
Bharat Petroleum Corporation Limited,BPCL,2023-10-31,348.35,353.95,344.65,349.25,346.9,5336593
Bharat Petroleum Corporation Limited,BPCL,2023-10-30,338.0,348.9,337.1,346.9,334.95,10936594
Bharat Petroleum Corporation Limited,BPCL,2023-10-27,335.0,338.25,334.0,334.95,335.0,1498044
Bharat Petroleum Corporation Limited,BPCL,2023-10-26,337.6,338.95,331.45,335.0,339.95,3871939
Bharat Petroleum Corporation Limited,BPCL,2023-10-25,342.55,346.5,338.5,339.95,342.8,2714887
Bharat Petroleum Corporation Limited,BPCL,2023-10-23,345.55,347.3,341.65,342.8,346.4,3906900
Bharat Petroleum Corporation Limited,BPCL,2023-10-20,350.6,352.8,344.55,346.4,353.7,2200345
Bharat Petroleum Corporation Limited,BPCL,2023-10-19,349.5,354.55,349.15,353.7,350.2,2871594
Bharat Petroleum Corporation Limited,BPCL,2023-10-18,355.0,356.5,348.85,350.2,354.7,4581114
Bharat Petroleum Corporation Limited,BPCL,2023-10-17,348.9,357.7,346.7,354.7,347.25,5221864
Bharat Petroleum Corporation Limited,BPCL,2023-10-16,345.0,348.45,342.0,347.25,347.7,1631235
Bharat Petroleum Corporation Limited,BPCL,2023-10-13,347.1,350.6,347.05,347.7,348.7,1990902
Bharat Petroleum Corporation Limited,BPCL,2023-10-12,344.9,350.35,344.05,348.7,342.55,3851901
Bharat Petroleum Corporation Limited,BPCL,2023-10-11,342.2,345.3,341.5,342.55,340.4,2399756
Bharat Petroleum Corporation Limited,BPCL,2023-10-10,340.05,342.6,339.2,340.4,340.0,1786489
Bharat Petroleum Corporation Limited,BPCL,2023-10-09,341.0,341.65,336.15,340.0,347.2,4370040
Bharat Petroleum Corporation Limited,BPCL,2023-10-06,345.0,349.0,344.0,347.2,344.45,1858538
Bharat Petroleum Corporation Limited,BPCL,2023-10-05,345.5,347.75,342.8,344.45,341.35,3557753
Bharat Petroleum Corporation Limited,BPCL,2023-10-04,341.35,344.95,339.55,341.35,341.35,3024880
Bharat Petroleum Corporation Limited,BPCL,2023-10-03,348.5,349.2,340.85,341.35,346.6,5257277
Bharat Petroleum Corporation Limited,BPCL,2023-09-29,345.75,348.15,345.0,346.6,343.95,1334935
Bharat Petroleum Corporation Limited,BPCL,2023-09-28,347.05,350.0,342.0,343.95,349.0,4850989
Bharat Petroleum Corporation Limited,BPCL,2023-09-27,351.65,353.2,346.6,349.0,351.65,2984523
Bharat Petroleum Corporation Limited,BPCL,2023-09-26,351.9,354.85,350.9,351.65,351.9,1894180
Bharat Petroleum Corporation Limited,BPCL,2023-09-25,353.4,353.5,348.05,351.9,351.95,2479876
Bharat Petroleum Corporation Limited,BPCL,2023-09-22,355.5,357.5,351.35,351.95,355.25,1991051
Bharat Petroleum Corporation Limited,BPCL,2023-09-21,353.0,358.5,351.8,355.25,352.55,4939771
Bharat Petroleum Corporation Limited,BPCL,2023-09-20,354.0,356.8,351.2,352.55,360.35,9146076
Bharat Petroleum Corporation Limited,BPCL,2023-09-18,352.25,361.1,350.65,360.35,352.25,5003744
Bharat Petroleum Corporation Limited,BPCL,2023-09-15,357.95,358.55,351.25,352.25,358.75,6191704
Bharat Petroleum Corporation Limited,BPCL,2023-09-14,358.0,362.25,356.1,358.75,355.6,5058369
Bharat Petroleum Corporation Limited,BPCL,2023-09-13,350.6,356.15,347.2,355.6,348.4,4856859
Bharat Petroleum Corporation Limited,BPCL,2023-09-12,365.0,365.5,347.05,348.4,363.75,9084111
Bharat Petroleum Corporation Limited,BPCL,2023-09-11,365.2,368.75,360.7,363.75,361.95,5226425
Bharat Petroleum Corporation Limited,BPCL,2023-09-08,354.75,364.5,354.05,361.95,354.6,5172065
Bharat Petroleum Corporation Limited,BPCL,2023-09-07,354.0,356.25,353.15,354.6,353.15,3624673
Bharat Petroleum Corporation Limited,BPCL,2023-09-05,345.9,352.6,345.25,350.2,344.7,4181589
Bharat Petroleum Corporation Limited,BPCL,2023-09-01,341.05,344.9,340.55,344.2,340.55,4990376
Bharat Petroleum Corporation Limited,BPCL,2023-08-31,351.0,352.0,339.1,340.55,351.95,6787825
Bharat Petroleum Corporation Limited,BPCL,2023-08-30,353.2,354.8,350.2,351.95,356.8,4854716
Bharat Petroleum Corporation Limited,BPCL,2023-08-29,356.0,358.6,354.8,356.8,355.3,3126869
Bharat Petroleum Corporation Limited,BPCL,2023-08-28,355.25,357.9,352.3,355.3,350.25,5492785
Bharat Petroleum Corporation Limited,BPCL,2023-08-25,351.3,354.15,349.0,350.25,351.25,2556881
Bharat Petroleum Corporation Limited,BPCL,2023-08-24,347.45,352.85,346.15,351.25,344.8,4370878
Bharat Petroleum Corporation Limited,BPCL,2023-08-23,349.15,349.45,344.25,344.8,346.9,3207105
Bharat Petroleum Corporation Limited,BPCL,2023-08-22,352.1,354.7,346.5,346.9,352.05,4007669
Bharat Petroleum Corporation Limited,BPCL,2023-08-21,352.9,354.9,350.65,352.05,352.9,2590382
Bharat Petroleum Corporation Limited,BPCL,2023-08-18,356.95,358.35,352.05,352.9,356.95,2388652
Bharat Petroleum Corporation Limited,BPCL,2023-08-17,359.0,360.3,354.35,356.95,357.9,2389303
