StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Brigade Enterprises Limited,BRIGADE,2024-03-28,924.45,944.05,908.25,935.3,923.7,438524
Brigade Enterprises Limited,BRIGADE,2024-03-27,909.0,957.0,908.95,923.7,910.35,730300
Brigade Enterprises Limited,BRIGADE,2024-03-26,935.85,937.6,888.6,910.35,932.0,763195
Brigade Enterprises Limited,BRIGADE,2024-03-22,908.9,974.9,906.05,932.0,904.25,1238932
Brigade Enterprises Limited,BRIGADE,2024-03-21,880.0,920.0,875.2,904.25,875.2,626815
Brigade Enterprises Limited,BRIGADE,2024-03-20,876.05,889.4,849.0,875.2,867.2,182841
Brigade Enterprises Limited,BRIGADE,2024-03-19,856.55,876.0,846.1,867.2,854.9,497578
Brigade Enterprises Limited,BRIGADE,2024-03-18,869.25,872.85,846.9,854.9,869.3,234862
Brigade Enterprises Limited,BRIGADE,2024-03-15,844.4,887.85,834.0,869.3,844.75,540251
Brigade Enterprises Limited,BRIGADE,2024-03-14,845.0,869.45,830.6,844.75,858.15,895656
Brigade Enterprises Limited,BRIGADE,2024-03-13,850.0,871.75,827.0,858.15,859.0,669801
Brigade Enterprises Limited,BRIGADE,2024-03-12,875.8,878.1,846.8,859.0,875.85,432858
Brigade Enterprises Limited,BRIGADE,2024-03-11,907.8,917.9,857.9,875.85,914.8,552781
Brigade Enterprises Limited,BRIGADE,2024-03-07,936.85,938.7,898.05,914.8,936.85,397708
Brigade Enterprises Limited,BRIGADE,2024-03-06,979.0,985.05,923.05,936.85,972.9,293767
Brigade Enterprises Limited,BRIGADE,2024-03-05,1014.0,1014.5,967.0,972.9,1000.0,199532
Brigade Enterprises Limited,BRIGADE,2024-03-04,1019.0,1022.0,992.0,1000.0,1004.95,155075
Brigade Enterprises Limited,BRIGADE,2024-03-02,1009.65,1012.5,980.55,1004.95,995.25,8208
Brigade Enterprises Limited,BRIGADE,2024-03-01,1001.0,1012.0,987.0,995.25,1000.95,129488
Brigade Enterprises Limited,BRIGADE,2024-02-29,996.15,1060.0,983.0,1000.95,995.0,1660829
Brigade Enterprises Limited,BRIGADE,2024-02-28,1020.8,1028.05,986.0,995.0,1023.6,123085
