StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
BSE Limited,BSE,2024-03-28,2488.2,2570.0,2415.75,2515.9,2463.6,1681440
BSE Limited,BSE,2024-03-27,2332.0,2475.4,2317.0,2463.6,2310.2,2313292
BSE Limited,BSE,2024-03-26,2224.0,2325.0,2215.0,2310.2,2197.8,1231753
BSE Limited,BSE,2024-03-22,2249.0,2274.9,2190.0,2197.8,2243.1,629614
BSE Limited,BSE,2024-03-21,2086.0,2267.2,2075.05,2243.1,2033.15,2013072
BSE Limited,BSE,2024-03-20,1970.0,2040.0,1970.0,2033.15,1956.65,930282
BSE Limited,BSE,2024-03-19,2040.0,2046.0,1941.05,1956.65,2035.5,702083
BSE Limited,BSE,2024-03-18,2077.0,2077.0,2010.0,2035.5,2082.4,724749
BSE Limited,BSE,2024-03-15,2054.85,2094.5,2026.05,2082.4,2048.45,478329
BSE Limited,BSE,2024-03-14,2012.0,2097.95,1973.6,2048.45,2011.7,800906
BSE Limited,BSE,2024-03-13,2240.0,2270.0,1972.45,2011.7,2148.55,1656939
BSE Limited,BSE,2024-03-12,2204.1,2204.1,2060.0,2148.55,2204.1,1180130
BSE Limited,BSE,2024-03-11,2243.85,2243.85,2190.35,2204.1,2243.85,561381
BSE Limited,BSE,2024-03-07,2284.0,2299.3,2240.0,2243.85,2299.05,516836
BSE Limited,BSE,2024-03-06,2287.0,2330.0,2250.0,2299.05,2287.0,729870
BSE Limited,BSE,2024-03-05,2324.3,2324.3,2274.0,2287.0,2319.55,318889
BSE Limited,BSE,2024-03-04,2365.4,2366.0,2310.0,2319.55,2352.45,254066
BSE Limited,BSE,2024-03-02,2340.6,2361.0,2324.6,2352.45,2336.45,50156
BSE Limited,BSE,2024-03-01,2370.0,2385.9,2325.0,2336.45,2366.85,643126
BSE Limited,BSE,2024-02-29,2319.95,2380.0,2287.35,2366.85,2337.3,399885
BSE Limited,BSE,2024-02-28,2410.0,2420.0,2282.65,2337.3,2396.1,1037689
BSE Limited,BSE,2024-02-27,2290.65,2409.1,2280.0,2396.1,2278.95,1204781
BSE Limited,BSE,2024-02-27,2278.95,2278.95,2278.95,2278.95,2469.35,47014
BSE Limited,BSE,2024-02-26,2293.0,2299.0,2251.0,2278.95,2276.8,329921
BSE Limited,BSE,2024-02-23,2224.95,2349.0,2207.0,2276.8,2200.2,901883
BSE Limited,BSE,2024-02-22,2215.0,2222.85,2159.85,2200.2,2216.2,468916
BSE Limited,BSE,2024-02-21,2308.0,2310.9,2190.0,2216.2,2296.95,559517
BSE Limited,BSE,2024-02-20,2315.0,2337.0,2294.4,2296.95,2304.65,241186
BSE Limited,BSE,2024-02-19,2320.1,2352.1,2292.0,2304.65,2303.8,593389
BSE Limited,BSE,2024-02-16,2344.0,2344.7,2300.05,2303.8,2323.8,271213
BSE Limited,BSE,2024-02-15,2370.0,2382.0,2315.0,2323.8,2347.2,389194
BSE Limited,BSE,2024-02-14,2280.0,2383.3,2275.0,2347.2,2341.9,304036
BSE Limited,BSE,2024-02-13,2395.0,2398.0,2292.05,2341.9,2362.25,417393
BSE Limited,BSE,2024-02-12,2500.0,2505.3,2325.2,2362.25,2489.6,547944
BSE Limited,BSE,2024-02-09,2522.7,2571.0,2407.0,2489.6,2511.75,765639
BSE Limited,BSE,2024-02-08,2530.0,2532.0,2450.0,2511.75,2501.8,555013
BSE Limited,BSE,2024-02-07,2490.0,2539.95,2432.75,2501.8,2469.35,798435
BSE Limited,BSE,2024-02-07,2469.35,2469.35,2469.35,2469.35,2112.15,88700
BSE Limited,BSE,2024-02-06,2559.0,2559.0,2380.4,2469.35,2561.05,1642671
BSE Limited,BSE,2024-02-05,2480.0,2598.95,2480.0,2561.05,2465.0,1544810
BSE Limited,BSE,2024-02-02,2510.0,2518.4,2437.05,2465.0,2493.45,1019264
BSE Limited,BSE,2024-02-01,2342.7,2508.0,2340.0,2493.45,2323.6,2616316
BSE Limited,BSE,2024-01-31,2209.2,2342.85,2185.0,2323.6,2187.8,1093722
BSE Limited,BSE,2024-01-30,2139.85,2220.0,2137.0,2187.8,2128.9,754354
BSE Limited,BSE,2024-01-29,2132.6,2170.0,2120.1,2128.9,2121.95,444187
BSE Limited,BSE,2024-01-25,2112.15,2112.15,2112.15,2112.15,595.3,1106448
BSE Limited,BSE,2024-01-25,2112.15,2155.4,2109.05,2121.95,2112.15,786414
BSE Limited,BSE,2024-01-24,2100.0,2149.65,1980.6,2112.15,2111.25,1446052
BSE Limited,BSE,2024-01-23,2244.0,2254.0,2100.0,2111.25,2241.25,930501
BSE Limited,BSE,2024-01-20,2286.1,2286.1,2233.6,2241.25,2275.85,222455
BSE Limited,BSE,2024-01-19,2315.0,2330.0,2245.0,2275.85,2297.7,515093
BSE Limited,BSE,2024-01-18,2292.0,2327.75,2260.0,2297.7,2287.0,709367
BSE Limited,BSE,2024-01-17,2290.0,2355.9,2269.4,2287.0,2308.75,1131260
BSE Limited,BSE,2024-01-16,2244.0,2320.0,2240.0,2308.75,2238.35,955213
BSE Limited,BSE,2024-01-15,2237.1,2259.0,2206.25,2238.35,2237.1,1317601
BSE Limited,BSE,2024-01-12,2266.0,2266.95,2225.1,2237.1,2255.8,528824
BSE Limited,BSE,2024-01-11,2265.0,2289.0,2254.1,2255.8,2259.55,376884
BSE Limited,BSE,2024-01-10,2300.0,2319.9,2242.25,2259.55,2301.0,463869
BSE Limited,BSE,2024-01-09,2288.3,2306.0,2277.5,2301.0,2275.1,416173
BSE Limited,BSE,2024-01-08,2309.95,2319.95,2263.75,2275.1,2303.75,835818
BSE Limited,BSE,2024-01-05,2287.0,2310.0,2271.9,2303.75,2277.1,531863
BSE Limited,BSE,2024-01-04,2255.0,2293.95,2240.0,2277.1,2253.35,490105
BSE Limited,BSE,2024-01-03,2238.8,2274.0,2210.0,2253.35,2235.95,524120
BSE Limited,BSE,2024-01-02,2214.2,2300.0,2200.5,2235.95,2203.05,934165
BSE Limited,BSE,2024-01-01,2225.0,2227.75,2190.0,2203.05,2221.2,488056
BSE Limited,BSE,2023-12-29,2244.0,2244.9,2202.0,2221.2,2243.3,647084
BSE Limited,BSE,2023-12-28,2277.0,2301.0,2234.0,2243.3,2266.8,535331
