StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Campus Activewear Limited,CAMPUS,2024-03-28,220.0,220.95,213.0,214.5,217.75,1165340
Campus Activewear Limited,CAMPUS,2024-03-27,222.1,224.5,216.1,217.75,221.4,1214637
Campus Activewear Limited,CAMPUS,2024-03-26,225.0,226.35,221.0,221.4,224.85,998595
Campus Activewear Limited,CAMPUS,2024-03-22,223.0,226.55,222.6,224.85,223.05,996584
Campus Activewear Limited,CAMPUS,2024-03-21,225.0,225.6,222.5,223.05,221.45,620697
Campus Activewear Limited,CAMPUS,2024-03-20,223.5,226.8,219.85,221.45,223.6,1012761
Campus Activewear Limited,CAMPUS,2024-03-19,229.5,231.9,222.75,223.6,228.65,930500
Campus Activewear Limited,CAMPUS,2024-03-18,231.75,234.35,227.55,228.65,232.25,787596
Campus Activewear Limited,CAMPUS,2024-03-15,223.05,239.85,223.05,232.25,220.7,12689044
Campus Activewear Limited,CAMPUS,2024-03-14,223.9,226.85,219.15,220.7,222.3,1566799
Campus Activewear Limited,CAMPUS,2024-03-13,236.75,239.0,220.05,222.3,236.4,1491513
Campus Activewear Limited,CAMPUS,2024-03-12,241.3,242.6,235.1,236.4,240.3,871528
Campus Activewear Limited,CAMPUS,2024-03-11,247.0,248.25,237.2,240.3,246.8,1367543
Campus Activewear Limited,CAMPUS,2024-03-07,247.0,249.4,246.0,246.8,246.8,397520
Campus Activewear Limited,CAMPUS,2024-03-06,252.45,252.5,244.1,246.8,252.45,680997
Campus Activewear Limited,CAMPUS,2024-03-05,246.2,259.2,245.6,252.45,244.9,2857432
Campus Activewear Limited,CAMPUS,2024-03-04,248.3,248.3,244.1,244.9,247.2,438836
Campus Activewear Limited,CAMPUS,2024-03-02,245.8,248.4,245.0,247.2,244.85,117532
Campus Activewear Limited,CAMPUS,2024-03-01,244.0,246.7,244.0,244.85,243.7,361719
Campus Activewear Limited,CAMPUS,2024-02-29,243.15,246.45,242.0,243.7,243.15,753868
Campus Activewear Limited,CAMPUS,2024-02-28,251.5,251.5,242.0,243.15,249.35,798704
Campus Activewear Limited,CAMPUS,2024-02-27,251.3,252.5,248.65,249.35,251.25,623361
Campus Activewear Limited,CAMPUS,2024-02-26,249.95,253.45,246.5,251.25,248.05,1445075
Campus Activewear Limited,CAMPUS,2024-02-23,255.45,258.9,247.15,248.05,252.6,2530374
Campus Activewear Limited,CAMPUS,2024-02-22,256.4,265.85,251.0,252.6,252.0,10086393
Campus Activewear Limited,CAMPUS,2024-02-21,257.25,275.8,249.05,252.0,245.05,24530536
