StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Computer Age Management Services Limited,CAMS,2024-03-28,2939.95,2980.15,2900.15,2915.65,2920.6,187095
Computer Age Management Services Limited,CAMS,2024-03-27,3049.0,3049.0,2896.0,2920.6,3021.3,345041
Computer Age Management Services Limited,CAMS,2024-03-26,3088.0,3088.0,2985.0,3021.3,3089.1,294070
Computer Age Management Services Limited,CAMS,2024-03-22,2938.8,3136.45,2922.3,3089.1,2943.25,796076
Computer Age Management Services Limited,CAMS,2024-03-21,2869.0,2965.0,2860.0,2943.25,2831.85,151079
Computer Age Management Services Limited,CAMS,2024-03-20,2841.1,2878.0,2813.25,2831.85,2825.4,140160
Computer Age Management Services Limited,CAMS,2024-03-19,2929.0,2929.0,2811.0,2825.4,2926.65,149406
Computer Age Management Services Limited,CAMS,2024-03-18,2995.0,3032.35,2905.05,2926.65,2994.8,192608
Computer Age Management Services Limited,CAMS,2024-03-15,2865.05,3049.0,2860.5,2994.8,2882.25,268725
Computer Age Management Services Limited,CAMS,2024-03-14,2739.6,2905.0,2707.1,2882.25,2744.9,172643
Computer Age Management Services Limited,CAMS,2024-03-13,2914.0,2971.45,2711.0,2744.9,2914.2,458153
Computer Age Management Services Limited,CAMS,2024-03-12,3000.0,3039.0,2897.9,2914.2,3006.45,182309
Computer Age Management Services Limited,CAMS,2024-03-11,2903.95,3018.9,2902.0,3006.45,2901.9,307906
Computer Age Management Services Limited,CAMS,2024-03-07,2975.0,3007.95,2882.2,2901.9,2955.95,182025
Computer Age Management Services Limited,CAMS,2024-03-06,3050.0,3050.0,2936.0,2955.95,3062.75,317310
Computer Age Management Services Limited,CAMS,2024-03-05,3043.0,3074.9,3000.0,3062.75,3043.85,145353
Computer Age Management Services Limited,CAMS,2024-03-04,3129.0,3134.0,3022.0,3043.85,3120.15,248800
Computer Age Management Services Limited,CAMS,2024-03-02,3119.95,3148.0,3103.8,3120.15,3109.2,23712
Computer Age Management Services Limited,CAMS,2024-03-01,3099.0,3149.9,3083.0,3109.2,3072.1,239450
Computer Age Management Services Limited,CAMS,2024-02-29,3082.65,3111.95,2990.15,3072.1,3082.65,472395
Computer Age Management Services Limited,CAMS,2024-02-28,3157.0,3242.0,3060.0,3082.65,3138.25,641196
Computer Age Management Services Limited,CAMS,2024-02-27,3120.0,3223.0,3110.1,3138.25,3107.85,611369
Computer Age Management Services Limited,CAMS,2024-02-26,3150.0,3189.0,3086.0,3107.85,3113.25,411357
Computer Age Management Services Limited,CAMS,2024-02-23,3004.95,3144.95,3000.05,3113.25,2998.0,889520
Computer Age Management Services Limited,CAMS,2024-02-22,3025.0,3035.0,2923.75,2998.0,2989.55,417838
Computer Age Management Services Limited,CAMS,2024-02-21,2868.0,3039.95,2863.5,2989.55,2861.45,798662
Computer Age Management Services Limited,CAMS,2024-02-20,2894.0,2918.0,2843.2,2861.45,2887.45,239476
Computer Age Management Services Limited,CAMS,2024-02-19,2889.0,2901.5,2852.3,2887.45,2890.15,111997
Computer Age Management Services Limited,CAMS,2024-02-16,2915.0,2919.75,2862.15,2890.15,2909.5,113586
Computer Age Management Services Limited,CAMS,2024-02-15,2848.0,2920.0,2848.0,2909.5,2840.2,171850
Computer Age Management Services Limited,CAMS,2024-02-14,2790.0,2851.2,2788.6,2840.2,2825.75,111100
Computer Age Management Services Limited,CAMS,2024-02-13,2845.2,2867.05,2776.65,2825.75,2856.9,264787
Computer Age Management Services Limited,CAMS,2024-02-12,2929.0,2963.15,2814.8,2856.9,2905.25,230380
Computer Age Management Services Limited,CAMS,2024-02-09,2946.05,2981.95,2870.0,2905.25,2937.9,181926
Computer Age Management Services Limited,CAMS,2024-02-08,2855.0,3024.95,2855.0,2937.9,2852.0,591677
Computer Age Management Services Limited,CAMS,2024-02-07,2960.0,2978.8,2828.0,2852.0,2942.35,456899
Computer Age Management Services Limited,CAMS,2024-02-06,2898.35,2985.0,2892.0,2942.35,2898.35,647373
