StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Castrol India Limited,CASTROLIND,2024-03-28,190.25,191.1,185.2,185.95,189.75,2970499
Castrol India Limited,CASTROLIND,2024-03-27,187.0,192.6,187.0,189.75,186.75,3802696
Castrol India Limited,CASTROLIND,2024-03-26,191.4,191.4,186.1,186.75,191.5,2769845
Castrol India Limited,CASTROLIND,2024-03-22,193.0,193.5,191.0,191.5,193.65,2228299
Castrol India Limited,CASTROLIND,2024-03-21,196.0,196.0,192.1,193.65,195.7,2739059
Castrol India Limited,CASTROLIND,2024-03-20,197.0,198.15,192.5,195.7,196.4,3000847
Castrol India Limited,CASTROLIND,2024-03-19,200.5,200.9,195.6,196.4,200.9,2776015
Castrol India Limited,CASTROLIND,2024-03-18,199.1,202.2,197.85,200.9,197.15,3219055
Castrol India Limited,CASTROLIND,2024-03-15,198.95,202.7,193.05,197.15,199.7,3891138
Castrol India Limited,CASTROLIND,2024-03-14,191.5,202.7,186.05,199.7,191.55,5909761
Castrol India Limited,CASTROLIND,2024-03-13,205.0,207.6,189.25,191.55,204.0,6531109
Castrol India Limited,CASTROLIND,2024-03-12,205.9,213.9,201.2,204.0,201.95,9987949
Castrol India Limited,CASTROLIND,2024-03-11,209.5,210.2,201.0,201.95,209.5,3482834
Castrol India Limited,CASTROLIND,2024-03-07,210.25,211.45,208.15,209.5,210.15,1879889
Castrol India Limited,CASTROLIND,2024-03-06,214.9,215.0,207.0,210.15,215.2,4204409
Castrol India Limited,CASTROLIND,2024-03-05,212.0,219.6,211.85,215.2,211.75,6598657
Castrol India Limited,CASTROLIND,2024-03-04,215.3,215.4,209.2,211.75,214.25,4950508
Castrol India Limited,CASTROLIND,2024-03-02,214.0,215.7,213.7,214.25,213.65,540832
Castrol India Limited,CASTROLIND,2024-03-01,210.8,216.8,209.95,213.65,208.4,11655383
Castrol India Limited,CASTROLIND,2024-02-29,197.35,211.0,194.9,208.4,197.1,8294116
Castrol India Limited,CASTROLIND,2024-02-28,206.65,208.5,195.05,197.1,205.2,5015855
Castrol India Limited,CASTROLIND,2024-02-27,199.25,208.25,199.25,205.2,198.45,6921855
Castrol India Limited,CASTROLIND,2024-02-26,204.0,204.5,197.75,198.45,204.3,2870523
Castrol India Limited,CASTROLIND,2024-02-23,203.9,205.4,201.6,204.3,204.7,3359438
Castrol India Limited,CASTROLIND,2024-02-22,203.05,206.2,199.0,204.7,201.95,4750319
Castrol India Limited,CASTROLIND,2024-02-21,208.45,209.9,200.7,201.95,207.1,3977613
Castrol India Limited,CASTROLIND,2024-02-20,212.45,212.45,206.1,207.1,212.7,4258958
Castrol India Limited,CASTROLIND,2024-02-19,208.8,213.8,206.1,212.7,207.7,8254641
Castrol India Limited,CASTROLIND,2024-02-16,200.0,213.5,199.65,207.7,198.75,22037786
Castrol India Limited,CASTROLIND,2024-02-15,198.5,203.8,197.55,198.75,197.1,4679723
Castrol India Limited,CASTROLIND,2024-02-14,189.0,198.0,187.15,197.1,191.0,2809365
Castrol India Limited,CASTROLIND,2024-02-13,194.8,195.25,186.55,191.0,193.7,4723642
Castrol India Limited,CASTROLIND,2024-02-12,203.0,205.3,192.15,193.7,201.6,5478947
Castrol India Limited,CASTROLIND,2024-02-09,198.35,206.0,191.6,201.6,197.1,11761656
Castrol India Limited,CASTROLIND,2024-02-08,199.35,201.45,196.0,197.1,198.35,3180026
Castrol India Limited,CASTROLIND,2024-02-07,203.0,203.65,197.55,198.35,202.5,3466562
Castrol India Limited,CASTROLIND,2024-02-06,199.7,206.0,195.95,202.5,198.1,8433036
Castrol India Limited,CASTROLIND,2024-02-05,204.5,207.45,195.3,198.1,198.4,9370696
Castrol India Limited,CASTROLIND,2024-02-02,196.75,208.1,195.5,198.4,189.55,28691987
Castrol India Limited,CASTROLIND,2024-02-01,197.65,199.4,187.0,189.55,196.7,5036128
Castrol India Limited,CASTROLIND,2024-01-31,193.0,197.9,190.6,196.7,191.6,7640591
Castrol India Limited,CASTROLIND,2024-01-30,191.75,197.8,189.3,191.6,189.25,14430295
Castrol India Limited,CASTROLIND,2024-01-29,175.3,191.0,173.25,189.25,175.1,16622108
Castrol India Limited,CASTROLIND,2024-01-25,178.45,178.45,174.5,175.1,176.5,1775150
Castrol India Limited,CASTROLIND,2024-01-24,172.0,177.0,169.8,176.5,171.85,1945438
Castrol India Limited,CASTROLIND,2024-01-23,179.05,179.8,169.8,171.85,178.75,3935730
Castrol India Limited,CASTROLIND,2024-01-20,180.0,183.3,177.95,178.75,178.8,3625303
Castrol India Limited,CASTROLIND,2024-01-19,179.0,182.25,177.55,178.8,177.45,5416799
Castrol India Limited,CASTROLIND,2024-01-18,167.65,180.0,166.05,177.45,167.95,17216182
Castrol India Limited,CASTROLIND,2024-01-17,171.0,172.45,167.25,167.95,173.05,4783019
Castrol India Limited,CASTROLIND,2024-01-16,177.6,178.4,170.95,173.05,177.6,3749230
Castrol India Limited,CASTROLIND,2024-01-15,178.85,180.0,176.15,177.6,177.75,2337026
Castrol India Limited,CASTROLIND,2024-01-12,180.5,180.95,177.0,177.75,180.0,2078937
Castrol India Limited,CASTROLIND,2024-01-11,181.75,183.25,179.1,180.0,180.45,2669205
Castrol India Limited,CASTROLIND,2024-01-10,179.85,181.95,177.05,180.45,180.15,3726489
Castrol India Limited,CASTROLIND,2024-01-09,183.25,185.45,177.5,180.15,180.7,6810193
Castrol India Limited,CASTROLIND,2024-01-08,188.95,189.0,179.05,180.7,188.25,5227546
Castrol India Limited,CASTROLIND,2024-01-05,194.1,194.1,186.5,188.25,193.25,6203212
Castrol India Limited,CASTROLIND,2024-01-04,189.0,195.6,189.0,193.25,189.3,8817370
Castrol India Limited,CASTROLIND,2024-01-03,189.9,192.6,186.75,189.3,189.0,7466454
Castrol India Limited,CASTROLIND,2024-01-02,191.7,194.4,184.15,189.0,191.7,13613043
Castrol India Limited,CASTROLIND,2024-01-01,179.75,196.4,178.65,191.7,179.75,28004549
Castrol India Limited,CASTROLIND,2023-12-29,180.8,182.4,176.6,179.75,179.95,7607037
Castrol India Limited,CASTROLIND,2023-12-28,179.0,188.8,178.2,179.95,177.25,21997511
Castrol India Limited,CASTROLIND,2023-12-27,185.0,187.7,176.6,177.25,182.55,23457074
Castrol India Limited,CASTROLIND,2023-12-26,164.9,186.0,164.2,182.55,162.55,49755772
Castrol India Limited,CASTROLIND,2023-12-22,152.9,167.15,152.05,162.55,151.7,39554895
Castrol India Limited,CASTROLIND,2023-12-21,145.0,152.15,143.5,151.7,145.5,5551321
Castrol India Limited,CASTROLIND,2023-12-20,153.55,156.0,144.1,145.5,152.45,8394395
Castrol India Limited,CASTROLIND,2023-12-19,148.8,154.6,148.0,152.45,147.6,12011999
Castrol India Limited,CASTROLIND,2023-12-18,146.5,150.95,145.2,147.6,146.05,5110099
Castrol India Limited,CASTROLIND,2023-12-15,149.75,152.3,145.05,146.05,148.25,6278155
Castrol India Limited,CASTROLIND,2023-12-14,139.2,150.95,139.15,148.25,138.55,16472187
Castrol India Limited,CASTROLIND,2023-12-13,138.8,139.15,137.95,138.55,138.8,959505
Castrol India Limited,CASTROLIND,2023-12-12,142.05,142.05,138.3,138.8,140.55,1478309
Castrol India Limited,CASTROLIND,2023-12-11,141.2,142.45,140.1,140.55,140.45,1479794
Castrol India Limited,CASTROLIND,2023-12-08,140.15,141.2,139.0,140.45,139.45,1151168
Castrol India Limited,CASTROLIND,2023-12-07,140.4,141.85,138.95,139.45,140.4,1603564
Castrol India Limited,CASTROLIND,2023-12-06,141.05,142.45,140.05,140.4,140.4,1325350
Castrol India Limited,CASTROLIND,2023-12-05,143.0,144.5,139.0,140.4,142.0,2586063
Castrol India Limited,CASTROLIND,2023-12-04,142.8,143.45,141.15,142.0,140.1,1821626
Castrol India Limited,CASTROLIND,2023-12-01,139.5,141.95,138.6,140.1,138.2,1913617
Castrol India Limited,CASTROLIND,2023-11-30,140.0,141.0,137.75,138.2,139.85,1647992
Castrol India Limited,CASTROLIND,2023-11-29,142.0,142.25,139.6,139.85,140.65,1341165
Castrol India Limited,CASTROLIND,2023-11-28,141.9,143.55,140.0,140.65,140.5,3661271
Castrol India Limited,CASTROLIND,2023-11-24,137.6,142.5,136.25,140.5,136.65,4865918
Castrol India Limited,CASTROLIND,2023-11-23,135.0,139.4,134.6,136.65,134.35,2933590
Castrol India Limited,CASTROLIND,2023-11-22,134.3,135.5,134.2,134.35,134.15,1112025
Castrol India Limited,CASTROLIND,2023-11-21,134.95,135.4,133.85,134.15,134.45,911011
Castrol India Limited,CASTROLIND,2023-11-20,134.4,135.0,133.2,134.45,133.7,1058612
Castrol India Limited,CASTROLIND,2023-11-17,134.7,135.5,133.55,133.7,133.95,1641253
Castrol India Limited,CASTROLIND,2023-11-16,135.45,135.6,133.25,133.95,134.7,1573181
Castrol India Limited,CASTROLIND,2023-11-15,135.85,135.9,134.0,134.7,134.25,1062994
Castrol India Limited,CASTROLIND,2023-11-13,137.35,137.35,134.1,134.25,137.4,1136973
Castrol India Limited,CASTROLIND,2023-11-12,137.8,138.5,135.5,137.4,136.65,272285
Castrol India Limited,CASTROLIND,2023-11-10,136.2,138.15,136.0,136.65,137.0,711821
Castrol India Limited,CASTROLIND,2023-11-09,136.0,139.1,135.65,137.0,135.85,1130691
Castrol India Limited,CASTROLIND,2023-11-08,134.0,137.2,133.6,135.85,132.95,1257369
Castrol India Limited,CASTROLIND,2023-11-07,135.0,135.0,132.4,132.95,134.25,1305855
Castrol India Limited,CASTROLIND,2023-11-06,134.9,135.35,133.5,134.25,133.9,796520
Castrol India Limited,CASTROLIND,2023-11-03,135.6,136.05,133.5,133.9,134.9,1493962
Castrol India Limited,CASTROLIND,2023-11-02,135.3,136.7,134.5,134.9,134.7,645234
Castrol India Limited,CASTROLIND,2023-11-01,137.5,137.95,134.25,134.7,136.15,805770
Castrol India Limited,CASTROLIND,2023-10-31,139.0,140.6,135.45,136.15,139.2,907368
