StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
CCL Products (India) Limited,CCL,2024-03-28,589.95,591.3,582.0,586.3,588.4,115635
CCL Products (India) Limited,CCL,2024-03-27,591.85,593.0,586.3,588.4,590.35,79641
CCL Products (India) Limited,CCL,2024-03-26,595.95,602.75,585.6,590.35,604.6,102254
CCL Products (India) Limited,CCL,2024-03-22,599.3,611.0,590.05,604.6,596.3,110616
CCL Products (India) Limited,CCL,2024-03-21,575.0,603.25,571.0,596.3,573.6,141016
CCL Products (India) Limited,CCL,2024-03-20,567.7,576.0,559.55,573.6,567.5,108400
CCL Products (India) Limited,CCL,2024-03-19,583.75,585.0,563.1,567.5,579.55,168163
CCL Products (India) Limited,CCL,2024-03-18,584.85,594.45,572.6,579.55,581.35,225373
CCL Products (India) Limited,CCL,2024-03-15,589.45,589.9,571.0,581.35,589.35,142168
CCL Products (India) Limited,CCL,2024-03-14,597.9,597.9,586.2,589.35,590.05,94356
CCL Products (India) Limited,CCL,2024-03-13,609.5,609.5,585.0,590.05,607.95,117841
CCL Products (India) Limited,CCL,2024-03-12,607.1,612.5,589.0,607.95,607.1,147755
CCL Products (India) Limited,CCL,2024-03-11,614.8,616.2,601.1,607.1,613.3,101705
CCL Products (India) Limited,CCL,2024-03-07,610.7,619.7,606.45,613.3,609.7,172603
CCL Products (India) Limited,CCL,2024-03-06,623.0,626.5,605.0,609.7,625.05,128741
CCL Products (India) Limited,CCL,2024-03-05,627.65,630.0,620.5,625.05,626.25,80768
CCL Products (India) Limited,CCL,2024-03-04,632.5,632.5,625.0,626.25,629.15,54073
CCL Products (India) Limited,CCL,2024-03-02,634.85,634.9,625.0,629.15,628.15,6142
CCL Products (India) Limited,CCL,2024-03-01,632.8,648.0,626.1,628.15,629.75,94480
CCL Products (India) Limited,CCL,2024-02-29,642.2,642.2,627.35,629.75,642.2,192718
CCL Products (India) Limited,CCL,2024-02-28,651.05,670.0,629.9,642.2,648.2,420429
CCL Products (India) Limited,CCL,2024-02-27,640.15,651.25,636.8,648.2,639.1,66012
CCL Products (India) Limited,CCL,2024-02-26,638.0,643.95,636.75,639.1,636.75,59363
CCL Products (India) Limited,CCL,2024-02-23,640.0,644.0,633.8,636.75,638.2,65724
CCL Products (India) Limited,CCL,2024-02-22,646.7,648.8,636.0,638.2,643.5,46041
CCL Products (India) Limited,CCL,2024-02-21,651.65,659.0,639.05,643.5,648.4,99880
CCL Products (India) Limited,CCL,2024-02-20,640.9,653.95,638.6,648.4,640.9,70220
CCL Products (India) Limited,CCL,2024-02-19,648.05,652.0,639.6,640.9,647.5,102369
CCL Products (India) Limited,CCL,2024-02-16,654.2,660.95,641.1,647.5,658.6,90635
CCL Products (India) Limited,CCL,2024-02-15,657.25,665.0,651.35,658.6,657.25,52129
CCL Products (India) Limited,CCL,2024-02-14,634.95,659.95,628.25,657.25,634.85,83194
CCL Products (India) Limited,CCL,2024-02-13,643.65,648.8,633.0,634.85,642.85,79442
CCL Products (India) Limited,CCL,2024-02-12,664.4,664.4,638.0,642.85,661.5,84353
CCL Products (India) Limited,CCL,2024-02-09,662.75,665.25,641.0,661.5,662.75,86264
CCL Products (India) Limited,CCL,2024-02-08,672.0,672.95,654.5,662.75,667.35,187669
CCL Products (India) Limited,CCL,2024-02-07,647.9,672.15,647.0,667.35,645.15,233523
CCL Products (India) Limited,CCL,2024-02-06,627.0,665.45,627.0,645.15,635.1,397296
CCL Products (India) Limited,CCL,2024-02-05,644.0,647.05,625.6,635.1,645.2,206015
CCL Products (India) Limited,CCL,2024-02-02,670.2,677.3,639.05,645.2,670.0,227117
CCL Products (India) Limited,CCL,2024-02-01,671.05,674.85,667.4,670.0,671.05,103305
CCL Products (India) Limited,CCL,2024-01-31,671.0,688.25,667.6,671.05,673.05,492299
CCL Products (India) Limited,CCL,2024-01-30,675.0,678.95,668.75,673.05,668.3,219458
CCL Products (India) Limited,CCL,2024-01-29,644.9,674.0,644.1,668.3,641.9,513506
CCL Products (India) Limited,CCL,2024-01-25,640.0,643.25,634.0,641.9,636.85,63607
CCL Products (India) Limited,CCL,2024-01-24,633.45,644.2,630.15,636.85,633.45,107858
CCL Products (India) Limited,CCL,2024-01-23,631.15,639.4,627.0,633.45,628.05,132957
CCL Products (India) Limited,CCL,2024-01-20,634.0,636.6,627.0,628.05,633.65,30877
CCL Products (India) Limited,CCL,2024-01-19,631.0,637.9,629.35,633.65,629.3,69610
CCL Products (India) Limited,CCL,2024-01-18,625.6,632.0,623.0,629.3,628.35,71363
CCL Products (India) Limited,CCL,2024-01-17,630.4,633.95,626.35,628.35,636.2,59105
CCL Products (India) Limited,CCL,2024-01-16,635.05,637.75,632.25,636.2,635.3,38423
CCL Products (India) Limited,CCL,2024-01-15,647.9,648.0,631.0,635.3,642.85,81702
CCL Products (India) Limited,CCL,2024-01-12,641.15,643.8,635.35,642.85,641.15,61133
CCL Products (India) Limited,CCL,2024-01-11,636.6,644.2,636.6,641.15,636.6,91268
CCL Products (India) Limited,CCL,2024-01-10,635.5,641.8,625.25,636.6,635.4,96976
