StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Central Depository Services (India) Limited,CDSL,2024-03-28,1705.0,1729.7,1705.0,1711.95,1686.05,2995595
Central Depository Services (India) Limited,CDSL,2024-03-27,1718.55,1749.75,1675.0,1686.05,1788.9,21995292
Central Depository Services (India) Limited,CDSL,2024-03-26,1798.0,1819.0,1776.05,1788.9,1787.35,755800
Central Depository Services (India) Limited,CDSL,2024-03-22,1760.0,1798.0,1755.1,1787.35,1766.1,677206
Central Depository Services (India) Limited,CDSL,2024-03-21,1681.0,1778.6,1677.0,1766.1,1657.6,1497640
Central Depository Services (India) Limited,CDSL,2024-03-20,1677.75,1684.5,1622.0,1657.6,1677.75,694051
Central Depository Services (India) Limited,CDSL,2024-03-19,1686.7,1708.0,1670.0,1677.75,1687.3,402198
Central Depository Services (India) Limited,CDSL,2024-03-18,1704.8,1734.0,1681.1,1687.3,1719.7,623603
Central Depository Services (India) Limited,CDSL,2024-03-15,1714.0,1757.7,1690.1,1719.7,1709.35,864617
Central Depository Services (India) Limited,CDSL,2024-03-14,1679.7,1735.5,1650.0,1709.35,1684.65,857724
Central Depository Services (India) Limited,CDSL,2024-03-13,1809.7,1825.0,1665.55,1684.65,1807.45,1300232
Central Depository Services (India) Limited,CDSL,2024-03-12,1813.0,1821.9,1776.1,1807.45,1810.6,710526
Central Depository Services (India) Limited,CDSL,2024-03-11,1830.6,1853.75,1806.0,1810.6,1830.6,447401
Central Depository Services (India) Limited,CDSL,2024-03-07,1853.0,1858.65,1825.8,1830.6,1836.8,481857
Central Depository Services (India) Limited,CDSL,2024-03-06,1880.0,1880.0,1810.1,1836.8,1879.65,680849
Central Depository Services (India) Limited,CDSL,2024-03-05,1904.0,1907.7,1873.6,1879.65,1900.75,392464
Central Depository Services (India) Limited,CDSL,2024-03-04,1938.95,1944.8,1892.2,1900.75,1929.6,547337
Central Depository Services (India) Limited,CDSL,2024-03-02,1923.5,1933.0,1912.95,1929.6,1918.55,87871
Central Depository Services (India) Limited,CDSL,2024-03-01,1925.0,1958.0,1908.1,1918.55,1917.15,635328
Central Depository Services (India) Limited,CDSL,2024-02-29,1934.8,1934.8,1882.85,1917.15,1931.05,966164
Central Depository Services (India) Limited,CDSL,2024-02-28,1923.0,1980.0,1917.0,1931.05,1913.95,2128319
Central Depository Services (India) Limited,CDSL,2024-02-27,1912.05,1960.0,1902.7,1913.95,1900.0,1479422
Central Depository Services (India) Limited,CDSL,2024-02-26,1859.55,1938.5,1842.05,1900.0,1859.55,1896223
Central Depository Services (India) Limited,CDSL,2024-02-23,1835.0,1877.7,1814.7,1859.55,1824.65,957638
Central Depository Services (India) Limited,CDSL,2024-02-22,1807.0,1828.9,1793.0,1824.65,1799.6,480392
Central Depository Services (India) Limited,CDSL,2024-02-21,1842.0,1856.95,1786.35,1799.6,1841.3,568555
Central Depository Services (India) Limited,CDSL,2024-02-20,1843.95,1866.5,1835.0,1841.3,1841.5,486031
Central Depository Services (India) Limited,CDSL,2024-02-19,1868.4,1883.55,1832.0,1841.5,1876.15,591969
Central Depository Services (India) Limited,CDSL,2024-02-16,1883.0,1906.0,1870.1,1876.15,1878.4,596658
Central Depository Services (India) Limited,CDSL,2024-02-15,1912.65,1916.45,1871.65,1878.4,1898.7,563632
Central Depository Services (India) Limited,CDSL,2024-02-14,1848.0,1907.0,1837.7,1898.7,1885.5,816478
Central Depository Services (India) Limited,CDSL,2024-02-13,1849.85,1900.0,1807.35,1885.5,1849.85,1195658
Central Depository Services (India) Limited,CDSL,2024-02-12,1958.0,1958.95,1825.0,1849.85,1946.95,1401587
Central Depository Services (India) Limited,CDSL,2024-02-09,2012.0,2067.0,1916.1,1946.95,2000.3,2720850
Central Depository Services (India) Limited,CDSL,2024-02-08,1978.0,2044.0,1919.0,2000.3,1957.95,3610129
Central Depository Services (India) Limited,CDSL,2024-02-07,1866.9,1998.85,1848.0,1957.95,1850.35,5972762
Central Depository Services (India) Limited,CDSL,2024-02-06,1843.0,1878.0,1815.15,1850.35,1827.55,884055
Central Depository Services (India) Limited,CDSL,2024-02-05,1895.0,1912.0,1808.0,1827.55,1873.8,1620802
Central Depository Services (India) Limited,CDSL,2024-02-02,1833.8,1883.2,1823.55,1873.8,1810.95,1740090
Central Depository Services (India) Limited,CDSL,2024-02-01,1782.9,1835.0,1757.7,1810.95,1775.05,1211934
Central Depository Services (India) Limited,CDSL,2024-01-31,1749.0,1785.0,1734.0,1775.05,1745.05,752644
Central Depository Services (India) Limited,CDSL,2024-01-30,1770.0,1775.55,1740.05,1745.05,1765.4,479143
Central Depository Services (India) Limited,CDSL,2024-01-29,1770.0,1795.0,1760.0,1765.4,1770.2,390789
Central Depository Services (India) Limited,CDSL,2024-01-25,1766.5,1782.0,1743.1,1770.2,1761.5,464589
Central Depository Services (India) Limited,CDSL,2024-01-24,1745.0,1774.0,1717.45,1761.5,1733.35,527580
Central Depository Services (India) Limited,CDSL,2024-01-23,1810.0,1815.7,1725.0,1733.35,1804.6,704774
Central Depository Services (India) Limited,CDSL,2024-01-20,1828.0,1836.0,1800.0,1804.6,1820.75,289087
Central Depository Services (India) Limited,CDSL,2024-01-19,1849.0,1849.0,1810.1,1820.75,1820.65,356616
Central Depository Services (India) Limited,CDSL,2024-01-18,1845.0,1855.95,1770.05,1820.65,1847.5,963185
Central Depository Services (India) Limited,CDSL,2024-01-17,1860.0,1884.75,1842.0,1847.5,1881.3,599141
Central Depository Services (India) Limited,CDSL,2024-01-16,1846.0,1912.25,1836.0,1881.3,1845.75,1452652
Central Depository Services (India) Limited,CDSL,2024-01-15,1863.15,1868.65,1842.0,1845.75,1852.9,290604
Central Depository Services (India) Limited,CDSL,2024-01-12,1849.05,1874.9,1830.1,1852.9,1845.0,514602
Central Depository Services (India) Limited,CDSL,2024-01-11,1862.5,1868.15,1840.0,1845.0,1861.3,393764
Central Depository Services (India) Limited,CDSL,2024-01-10,1874.3,1879.95,1842.05,1861.3,1874.3,440176
Central Depository Services (India) Limited,CDSL,2024-01-09,1884.0,1896.6,1856.4,1874.3,1873.8,388538
Central Depository Services (India) Limited,CDSL,2024-01-08,1898.7,1917.2,1864.05,1873.8,1888.65,766849
Central Depository Services (India) Limited,CDSL,2024-01-05,1894.2,1904.6,1873.85,1888.65,1885.05,668531
Central Depository Services (India) Limited,CDSL,2024-01-04,1852.0,1908.75,1840.0,1885.05,1843.15,1259885
Central Depository Services (India) Limited,CDSL,2024-01-03,1819.1,1848.0,1819.1,1843.15,1819.1,635356
Central Depository Services (India) Limited,CDSL,2024-01-02,1818.35,1848.3,1808.0,1819.1,1818.35,556956
Central Depository Services (India) Limited,CDSL,2024-01-01,1825.0,1838.75,1812.0,1818.35,1824.4,454570
Central Depository Services (India) Limited,CDSL,2023-12-29,1841.5,1841.8,1818.0,1824.4,1833.75,470937
Central Depository Services (India) Limited,CDSL,2023-12-28,1862.55,1866.0,1823.75,1833.75,1855.05,619863
Central Depository Services (India) Limited,CDSL,2023-12-27,1860.3,1878.2,1838.05,1855.05,1851.05,616245
Central Depository Services (India) Limited,CDSL,2023-12-26,1852.0,1872.55,1838.0,1851.05,1836.95,577293
