StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Century Textiles & Industries Limited,CENTURYTEX,2024-03-28,1519.9,1684.9,1494.5,1629.9,1505.95,3549159
Century Textiles & Industries Limited,CENTURYTEX,2024-03-27,1441.6,1510.0,1388.05,1505.95,1444.5,381940
Century Textiles & Industries Limited,CENTURYTEX,2024-03-26,1455.0,1474.7,1436.4,1444.5,1459.3,112680
Century Textiles & Industries Limited,CENTURYTEX,2024-03-22,1465.0,1487.0,1449.9,1459.3,1457.05,156722
Century Textiles & Industries Limited,CENTURYTEX,2024-03-21,1406.15,1465.0,1406.15,1457.05,1424.35,109970
Century Textiles & Industries Limited,CENTURYTEX,2024-03-20,1404.15,1430.95,1384.95,1424.35,1400.15,85154
Century Textiles & Industries Limited,CENTURYTEX,2024-03-19,1422.2,1434.0,1387.05,1400.15,1415.05,84906
Century Textiles & Industries Limited,CENTURYTEX,2024-03-18,1422.95,1428.25,1395.0,1415.05,1418.3,80627
Century Textiles & Industries Limited,CENTURYTEX,2024-03-15,1419.0,1425.0,1384.15,1418.3,1437.1,197853
Century Textiles & Industries Limited,CENTURYTEX,2024-03-14,1344.8,1448.7,1340.75,1437.1,1344.55,255607
Century Textiles & Industries Limited,CENTURYTEX,2024-03-13,1439.7,1451.0,1283.7,1344.55,1433.3,441785
Century Textiles & Industries Limited,CENTURYTEX,2024-03-12,1474.95,1480.6,1415.4,1433.3,1468.1,220430
Century Textiles & Industries Limited,CENTURYTEX,2024-03-11,1500.0,1537.0,1461.0,1468.1,1530.25,358820
Century Textiles & Industries Limited,CENTURYTEX,2024-03-07,1450.15,1547.75,1441.0,1530.25,1437.15,770305
Century Textiles & Industries Limited,CENTURYTEX,2024-03-06,1473.5,1482.8,1392.2,1437.15,1472.95,181457
Century Textiles & Industries Limited,CENTURYTEX,2024-03-05,1460.0,1496.0,1450.05,1472.95,1458.65,202805
Century Textiles & Industries Limited,CENTURYTEX,2024-03-04,1465.35,1467.2,1434.95,1458.65,1459.35,95275
Century Textiles & Industries Limited,CENTURYTEX,2024-03-02,1475.0,1485.0,1435.5,1459.35,1464.75,7873
