StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Cera Sanitaryware Limited,CERA,2024-03-28,6905.2,6939.8,6760.0,6782.5,6870.8,10520
Cera Sanitaryware Limited,CERA,2024-03-27,6870.5,6940.2,6814.55,6870.8,6809.0,51898
Cera Sanitaryware Limited,CERA,2024-03-26,6989.0,6989.0,6781.0,6809.0,6841.15,33663
Cera Sanitaryware Limited,CERA,2024-03-22,6831.6,6950.0,6820.0,6841.15,6811.15,43633
Cera Sanitaryware Limited,CERA,2024-03-21,7050.0,7077.5,6780.0,6811.15,6992.55,24542
Cera Sanitaryware Limited,CERA,2024-03-20,6643.25,7077.7,6643.25,6992.55,6630.15,47347
Cera Sanitaryware Limited,CERA,2024-03-19,6848.4,6870.0,6591.2,6630.15,6813.8,21298
Cera Sanitaryware Limited,CERA,2024-03-18,6905.0,6940.0,6795.6,6813.8,6949.5,25223
Cera Sanitaryware Limited,CERA,2024-03-15,6930.5,7012.5,6897.75,6949.5,6936.5,24701
Cera Sanitaryware Limited,CERA,2024-03-14,7026.3,7350.0,6849.55,6936.5,7026.3,24799
Cera Sanitaryware Limited,CERA,2024-03-13,7300.0,7303.4,6943.5,7026.3,7304.1,19660
Cera Sanitaryware Limited,CERA,2024-03-12,7483.95,7490.0,7280.0,7304.1,7469.2,15277
Cera Sanitaryware Limited,CERA,2024-03-11,7590.65,7590.65,7412.0,7469.2,7590.65,16703
Cera Sanitaryware Limited,CERA,2024-03-07,7654.7,7715.0,7484.9,7590.65,7647.15,23892
Cera Sanitaryware Limited,CERA,2024-03-06,7531.85,7667.6,7425.0,7647.15,7531.85,15201
Cera Sanitaryware Limited,CERA,2024-03-05,7559.45,7581.15,7492.05,7531.85,7543.45,25111
Cera Sanitaryware Limited,CERA,2024-03-04,7527.05,7565.0,7500.0,7543.45,7527.95,10424
Cera Sanitaryware Limited,CERA,2024-03-02,7612.75,7650.0,7497.0,7527.95,7596.5,984
Cera Sanitaryware Limited,CERA,2024-03-01,7579.5,7638.85,7542.7,7596.5,7579.5,10816
Cera Sanitaryware Limited,CERA,2024-02-29,7650.0,7681.75,7525.85,7579.5,7658.75,49775
Cera Sanitaryware Limited,CERA,2024-02-28,7634.95,7701.4,7606.25,7658.75,7619.75,10625
Cera Sanitaryware Limited,CERA,2024-02-27,7559.0,7751.0,7534.2,7619.75,7547.6,41192
Cera Sanitaryware Limited,CERA,2024-02-26,7500.0,7597.85,7496.05,7547.6,7449.75,14899
Cera Sanitaryware Limited,CERA,2024-02-23,7579.9,7579.9,7412.05,7449.75,7433.85,26196
Cera Sanitaryware Limited,CERA,2024-02-22,7457.3,7589.95,7370.0,7433.85,7482.8,17994
Cera Sanitaryware Limited,CERA,2024-02-21,7550.0,7618.05,7441.1,7482.8,7580.5,5259
Cera Sanitaryware Limited,CERA,2024-02-20,7475.35,7639.0,7436.1,7580.5,7460.6,26108
Cera Sanitaryware Limited,CERA,2024-02-19,7681.0,7695.0,7442.15,7460.6,7556.8,8232
